LGA_NAME16	CountryOfBirth	Sex	workers
Blacktown (C)	CAN	M	70
Blacktown (C)	CHN	F	1059
Blacktown (C)	CHN	M	1324
Blacktown (C)	HRV	F	145
Blacktown (C)	HRV	M	165
Blacktown (C)	EGY	F	229
Blacktown (C)	EGY	M	297
Blacktown (C)	FJI	F	903
Blacktown (C)	FJI	M	1109
Blacktown (C)	MKD	F	43
Blacktown (C)	MKD	M	88
Blacktown (C)	DEU	F	123
Blacktown (C)	DEU	M	139
Blacktown (C)	GRC	F	34
Blacktown (C)	GRC	M	88
Blacktown (C)	HKG	F	196
Blacktown (C)	HKG	M	287
Blacktown (C)	IND	F	2451
Blacktown (C)	IND	M	3811
Blacktown (C)	IDN	F	201
Blacktown (C)	IDN	M	209
Blacktown (C)	IRN	F	174
Blacktown (C)	IRN	M	318
Blacktown (C)	IRQ	F	172
Blacktown (C)	IRQ	M	480
Blacktown (C)	IRL	F	109
Blacktown (C)	IRL	M	245
Blacktown (C)	ITA	F	137
Blacktown (C)	ITA	M	251
Blacktown (C)	JPN	F	32
Blacktown (C)	JPN	M	37
Blacktown (C)	LBN	F	244
Blacktown (C)	LBN	M	529
Blacktown (C)	MYS	F	233
Blacktown (C)	MYS	M	286
Blacktown (C)	MLT	F	173
Blacktown (C)	MLT	M	254
Blacktown (C)	NLD	F	50
Blacktown (C)	NLD	M	100
Blacktown (C)	NZL	F	1275
Blacktown (C)	NZL	M	1982
Blacktown (C)	PAK	F	235
Blacktown (C)	PAK	M	651
Blacktown (C)	PHL	F	2562
Blacktown (C)	PHL	M	2387
Blacktown (C)	POL	F	161
Blacktown (C)	POL	M	139
Blacktown (C)	SGP	F	76
Blacktown (C)	SGP	M	62
Blacktown (C)	ZAF	F	388
Blacktown (C)	ZAF	M	412
Blacktown (C)	KOR	F	269
Blacktown (C)	KOR	M	415
Blacktown (C)	LKA	F	491
Blacktown (C)	LKA	M	658
Blacktown (C)	THA	F	146
Blacktown (C)	THA	M	148
Blacktown (C)	TUR	F	103
Blacktown (C)	TUR	M	238
Blacktown (C)	GBR	F	1278
Blacktown (C)	GBR	M	1883
Blacktown (C)	USA	F	113
Blacktown (C)	USA	M	169
Blacktown (C)	VNM	F	614
Blacktown (C)	VNM	M	872
Blacktown (C)	ZWE	F	46
Blacktown (C)	ZWE	M	86
Bland (A)		F	26
Bland (A)		M	53
Bland (A)	AUS	F	1024
Bland (A)	AUS	M	1361
Bland (A)	CHN	F	3
Bland (A)	CHN	M	4
Bland (A)	HKG	M	3
Bland (A)	IND	F	4
Bland (A)	IND	M	6
Bland (A)	NZL	F	12
Bland (A)	NZL	M	13
Bland (A)	PHL	F	11
Bland (A)	PHL	M	9
Bland (A)	ZAF	F	8
Bland (A)	ZAF	M	10
Bland (A)	THA	F	3
Bland (A)	GBR	F	18
Bland (A)	GBR	M	17
Bland (A)	USA	M	5
Bland (A)	ZWE	F	4
Blayney (A)		F	38
Blayney (A)		M	50
Blayney (A)	AUS	F	969
Blayney (A)	AUS	M	1661
Blayney (A)	CAN	F	4
Blayney (A)	CAN	M	3
Blayney (A)	CHN	F	7
Blayney (A)	CHN	M	3
Blayney (A)	FJI	F	3
Blayney (A)	FJI	M	3
Blayney (A)	DEU	F	3
Blayney (A)	DEU	M	5
Blayney (A)	IRL	F	3
Blayney (A)	IRL	M	3
Blayney (A)	LBN	M	3
Blayney (A)	MLT	F	3
Blayney (A)	NLD	F	3
Blayney (A)	NLD	M	3
Blayney (A)	NZL	F	13
Blayney (A)	NZL	M	29
Blayney (A)	PHL	F	10
Blayney (A)	SGP	F	3
Blayney (A)	ZAF	F	3
Blayney (A)	ZAF	M	9
Blayney (A)	GBR	F	21
Blayney (A)	GBR	M	37
Blayney (A)	USA	M	3
Blayney (A)	ZWE	F	3
Blue Mountains (C)		F	449
Blue Mountains (C)		M	335
Blue Mountains (C)	AUS	F	8265
Blue Mountains (C)	AUS	M	6219
Blue Mountains (C)	CAN	F	33
Blue Mountains (C)	CAN	M	23
Blue Mountains (C)	CHN	F	60
Blue Mountains (C)	CHN	M	54
Blue Mountains (C)	HRV	F	4
Blue Mountains (C)	HRV	M	4
Blue Mountains (C)	EGY	F	6
Blue Mountains (C)	EGY	M	15
Blue Mountains (C)	FJI	F	19
Blue Mountains (C)	FJI	M	17
Blue Mountains (C)	MKD	M	3
Blue Mountains (C)	DEU	F	56
Blue Mountains (C)	DEU	M	55
Blue Mountains (C)	GRC	F	3
Blue Mountains (C)	GRC	M	13
Blue Mountains (C)	HKG	F	25
Blue Mountains (C)	HKG	M	22
Blue Mountains (C)	IND	F	58
Blue Mountains (C)	IND	M	90
Blue Mountains (C)	IDN	F	15
Blue Mountains (C)	IDN	M	14
Blue Mountains (C)	IRN	F	3
Blue Mountains (C)	IRN	M	10
Blue Mountains (C)	IRQ	F	7
Blue Mountains (C)	IRQ	M	6
Blue Mountains (C)	IRL	F	34
Blue Mountains (C)	IRL	M	40
Blue Mountains (C)	ITA	F	14
Blue Mountains (C)	ITA	M	28
Blue Mountains (C)	JPN	F	32
Blue Mountains (C)	JPN	M	8
Blue Mountains (C)	LBN	F	5
Blue Mountains (C)	LBN	M	18
Blue Mountains (C)	MYS	F	37
Blue Mountains (C)	MYS	M	29
Blue Mountains (C)	MLT	F	16
Blue Mountains (C)	MLT	M	9
Blue Mountains (C)	NLD	F	43
Blue Mountains (C)	NLD	M	36
Blue Mountains (C)	NZL	F	227
Blue Mountains (C)	NZL	M	161
Blue Mountains (C)	PAK	F	12
Blue Mountains (C)	PAK	M	20
Blue Mountains (C)	PHL	F	88
Blue Mountains (C)	PHL	M	43
Blue Mountains (C)	POL	F	26
Blue Mountains (C)	POL	M	18
Blue Mountains (C)	SGP	F	7
Blue Mountains (C)	SGP	M	10
Blue Mountains (C)	ZAF	F	54
Blue Mountains (C)	ZAF	M	34
Blue Mountains (C)	KOR	F	21
Blue Mountains (C)	KOR	M	12
Blue Mountains (C)	LKA	F	12
Blue Mountains (C)	LKA	M	13
Blue Mountains (C)	THA	F	51
Blue Mountains (C)	THA	M	19
Blue Mountains (C)	TUR	M	9
Blue Mountains (C)	GBR	F	650
Blue Mountains (C)	GBR	M	539
Blue Mountains (C)	USA	F	73
Blue Mountains (C)	USA	M	52
Blue Mountains (C)	VNM	F	35
Blue Mountains (C)	VNM	M	43
Blue Mountains (C)	ZWE	F	5
Blue Mountains (C)	ZWE	M	5
Bogan (A)		F	10
Bogan (A)		M	28
Bogan (A)	AUS	F	499
Bogan (A)	AUS	M	673
Bogan (A)	CHN	F	3
Bogan (A)	FJI	M	3
Bogan (A)	DEU	F	3
Bogan (A)	IND	F	3
Bogan (A)	IND	M	9
Bogan (A)	IRL	F	3
Bogan (A)	NZL	F	5
Bogan (A)	NZL	M	14
Bogan (A)	PAK	M	4
Bogan (A)	PHL	F	3
Bogan (A)	PHL	M	3
Bogan (A)	ZAF	M	3
Bogan (A)	GBR	F	8
Bogan (A)	GBR	M	10
Bogan (A)	ZWE	M	3
Botany Bay (C)		F	2128
Botany Bay (C)		M	3717
Botany Bay (C)	AUS	F	9670
Botany Bay (C)	AUS	M	15945
Botany Bay (C)	CAN	F	52
Botany Bay (C)	CAN	M	75
Botany Bay (C)	CHN	F	911
Botany Bay (C)	CHN	M	880
Botany Bay (C)	HRV	F	39
Botany Bay (C)	HRV	M	66
Botany Bay (C)	EGY	F	81
Botany Bay (C)	EGY	M	178
Botany Bay (C)	FJI	F	181
Botany Bay (C)	FJI	M	282
Botany Bay (C)	MKD	F	125
Botany Bay (C)	MKD	M	164
Botany Bay (C)	DEU	F	79
Botany Bay (C)	DEU	M	132
Botany Bay (C)	GRC	F	97
Botany Bay (C)	GRC	M	169
Botany Bay (C)	HKG	F	211
Botany Bay (C)	HKG	M	285
Botany Bay (C)	IND	F	441
Botany Bay (C)	IND	M	1130
Botany Bay (C)	IDN	F	407
Botany Bay (C)	IDN	M	447
Botany Bay (C)	IRN	F	55
Botany Bay (C)	IRN	M	85
Botany Bay (C)	IRQ	F	52
Botany Bay (C)	IRQ	M	110
Botany Bay (C)	IRL	F	94
Botany Bay (C)	IRL	M	273
Botany Bay (C)	ITA	F	83
Botany Bay (C)	ITA	M	183
Botany Bay (C)	JPN	F	119
Botany Bay (C)	JPN	M	90
Botany Bay (C)	LBN	F	111
Botany Bay (C)	LBN	M	246
Botany Bay (C)	MYS	F	143
Botany Bay (C)	MYS	M	202
Botany Bay (C)	MLT	F	16
Botany Bay (C)	MLT	M	44
Botany Bay (C)	NLD	F	32
Botany Bay (C)	NLD	M	41
Botany Bay (C)	NZL	F	576
Botany Bay (C)	NZL	M	966
Botany Bay (C)	PAK	F	22
Botany Bay (C)	PAK	M	198
Botany Bay (C)	PHL	F	572
Botany Bay (C)	PHL	M	567
Botany Bay (C)	POL	F	74
Botany Bay (C)	POL	M	64
Botany Bay (C)	SGP	F	50
Botany Bay (C)	SGP	M	93
Botany Bay (C)	ZAF	F	151
Botany Bay (C)	ZAF	M	277
Botany Bay (C)	KOR	F	146
Botany Bay (C)	KOR	M	199
Botany Bay (C)	LKA	F	51
Botany Bay (C)	LKA	M	183
Botany Bay (C)	THA	F	246
Botany Bay (C)	THA	M	159
Botany Bay (C)	TUR	F	41
Botany Bay (C)	TUR	M	113
Botany Bay (C)	GBR	F	575
Botany Bay (C)	GBR	M	1365
Botany Bay (C)	USA	F	97
Botany Bay (C)	USA	M	123
Botany Bay (C)	VNM	F	283
Botany Bay (C)	VNM	M	402
Botany Bay (C)	ZWE	F	14
Botany Bay (C)	ZWE	M	33
Bourke (A)		F	31
Bourke (A)		M	31
Bourke (A)	AUS	F	447
Bourke (A)	AUS	M	473
Bourke (A)	IND	M	4
Bourke (A)	IRL	F	5
Bourke (A)	MYS	M	5
Bourke (A)	NZL	F	4
Bourke (A)	NZL	M	4
Bourke (A)	PAK	M	3
Bourke (A)	GBR	F	9
Bourke (A)	GBR	M	3
Bourke (A)	USA	F	3
Bourke (A)	ZWE	F	5
Brewarrina (A)		F	17
Brewarrina (A)		M	13
Brewarrina (A)	AUS	F	220
Brewarrina (A)	AUS	M	234
Brewarrina (A)	IND	F	3
Brewarrina (A)	IND	M	4
Brewarrina (A)	GBR	F	8
Brewarrina (A)	GBR	M	3
Broken Hill (C)		F	109
Broken Hill (C)		M	109
Broken Hill (C)	AUS	F	3109
Broken Hill (C)	AUS	M	3172
Broken Hill (C)	CAN	F	4
Broken Hill (C)	CAN	M	4
Broken Hill (C)	CHN	F	7
Broken Hill (C)	CHN	M	10
Broken Hill (C)	HRV	M	3
Broken Hill (C)	FJI	M	3
Broken Hill (C)	DEU	F	12
Broken Hill (C)	DEU	M	7
Broken Hill (C)	GRC	F	4
Broken Hill (C)	IND	F	20
Broken Hill (C)	IND	M	21
Broken Hill (C)	IRL	F	4
Broken Hill (C)	IRL	M	3
Broken Hill (C)	ITA	M	3
Broken Hill (C)	MYS	M	3
Broken Hill (C)	MLT	F	4
Broken Hill (C)	MLT	M	5
Broken Hill (C)	NLD	M	3
Broken Hill (C)	NZL	F	29
Broken Hill (C)	NZL	M	12
Broken Hill (C)	PHL	F	44
Broken Hill (C)	PHL	M	22
Broken Hill (C)	ZAF	F	14
Broken Hill (C)	ZAF	M	8
Broken Hill (C)	KOR	F	4
Broken Hill (C)	KOR	M	7
Broken Hill (C)	LKA	F	3
Broken Hill (C)	LKA	M	5
Broken Hill (C)	GBR	F	34
Broken Hill (C)	GBR	M	55
Broken Hill (C)	USA	F	8
Broken Hill (C)	USA	M	5
Broken Hill (C)	ZWE	M	3
Burwood (A)		F	829
Burwood (A)		M	718
Burwood (A)	AUS	F	4502
Burwood (A)	AUS	M	3309
Burwood (A)	CAN	F	20
Burwood (A)	CAN	M	20
Burwood (A)	CHN	F	1116
Burwood (A)	CHN	M	869
Burwood (A)	HRV	F	19
Burwood (A)	HRV	M	17
Burwood (A)	EGY	F	27
Burwood (A)	EGY	M	47
Burwood (A)	FJI	F	76
Burwood (A)	FJI	M	51
Burwood (A)	MKD	F	18
Burwood (A)	MKD	M	12
Burwood (A)	DEU	F	34
Burwood (A)	DEU	M	20
Burwood (A)	GRC	F	33
Burwood (A)	GRC	M	39
Burwood (A)	HKG	F	162
Burwood (A)	HKG	M	145
Burwood (A)	IND	F	321
Burwood (A)	IND	M	479
Burwood (A)	IDN	F	83
Burwood (A)	IDN	M	44
Burwood (A)	IRN	F	38
Burwood (A)	IRN	M	34
Burwood (A)	IRQ	F	19
Burwood (A)	IRQ	M	32
Burwood (A)	IRL	F	59
Burwood (A)	IRL	M	58
Burwood (A)	ITA	F	93
Burwood (A)	ITA	M	91
Burwood (A)	JPN	F	27
Burwood (A)	JPN	M	17
Burwood (A)	LBN	F	115
Burwood (A)	LBN	M	188
Burwood (A)	MYS	F	73
Burwood (A)	MYS	M	65
Burwood (A)	MLT	F	4
Burwood (A)	MLT	M	14
Burwood (A)	NLD	F	5
Burwood (A)	NLD	M	11
Burwood (A)	NZL	F	160
Burwood (A)	NZL	M	132
Burwood (A)	PAK	F	24
Burwood (A)	PAK	M	71
Burwood (A)	PHL	F	249
Burwood (A)	PHL	M	146
Burwood (A)	POL	F	36
Burwood (A)	POL	M	18
Burwood (A)	SGP	F	19
Burwood (A)	SGP	M	18
Burwood (A)	ZAF	F	49
Burwood (A)	ZAF	M	36
Burwood (A)	KOR	F	311
Burwood (A)	KOR	M	277
Burwood (A)	LKA	F	96
Burwood (A)	LKA	M	79
Burwood (A)	THA	F	75
Burwood (A)	THA	M	30
Burwood (A)	TUR	F	37
Burwood (A)	TUR	M	25
Burwood (A)	GBR	F	192
Burwood (A)	GBR	M	203
Burwood (A)	USA	F	29
Burwood (A)	USA	M	23
Burwood (A)	VNM	F	206
Burwood (A)	VNM	M	155
Burwood (A)	ZWE	F	11
Burwood (A)	ZWE	M	5
Byron (A)		F	452
Byron (A)		M	429
Byron (A)	AUS	F	5053
Byron (A)	AUS	M	4740
Byron (A)	CAN	F	58
Byron (A)	CAN	M	41
Byron (A)	CHN	F	5
Byron (A)	CHN	M	4
Byron (A)	HRV	M	4
Byron (A)	EGY	F	3
Byron (A)	FJI	F	6
Byron (A)	FJI	M	10
Byron (A)	DEU	F	94
Byron (A)	DEU	M	65
Byron (A)	GRC	M	3
Byron (A)	HKG	F	4
Byron (A)	HKG	M	9
Byron (A)	IND	F	21
Byron (A)	IND	M	35
Byron (A)	IDN	F	6
Byron (A)	IDN	M	7
Byron (A)	IRL	F	16
Byron (A)	IRL	M	24
Byron (A)	ITA	F	26
Byron (A)	ITA	M	48
Byron (A)	JPN	F	69
Byron (A)	JPN	M	19
Byron (A)	MYS	F	6
Byron (A)	MYS	M	13
Byron (A)	MLT	F	9
Byron (A)	MLT	M	3
Byron (A)	NLD	F	27
Byron (A)	NLD	M	17
Byron (A)	NZL	F	218
Byron (A)	NZL	M	221
Byron (A)	PAK	F	3
Byron (A)	PHL	F	18
Byron (A)	PHL	M	13
Byron (A)	POL	F	9
Byron (A)	POL	M	4
Byron (A)	SGP	F	7
