LGA_NAME16	Age	ModeTravelToWork	NumberModes	workers
Balranald (A)	35-44	(Other)	1	9
Balranald (A)	35-44	Walked only	1	20
Balranald (A)	35-44	Worked at home		15
Balranald (A)	45-54	Bicycle	1	4
Balranald (A)	45-54	Car as driver	1	99
Balranald (A)	45-54	Car as passenger	1	14
Balranald (A)	45-54	Did not go to work		12
Balranald (A)	45-54	Method of travel not stated		4
Balranald (A)	45-54	(Other)	1	3
Balranald (A)	45-54	Truck	1	5
Balranald (A)	45-54	Walked only	1	26
Balranald (A)	45-54	Worked at home		14
Balranald (A)	55-64	Bicycle	1	3
Balranald (A)	55-64	Car as driver	1	127
Balranald (A)	55-64	Car as passenger	1	3
Balranald (A)	55-64	Did not go to work		7
Balranald (A)	55-64	Walked only	1	24
Balranald (A)	55-64	Worked at home		22
Balranald (A)	65-74	Car as driver	1	18
Balranald (A)	65-74	Car as passenger	1	4
Balranald (A)	65-74	Did not go to work		3
Balranald (A)	65-74	(Other)	1	3
Balranald (A)	65-74	Walked only	1	3
Balranald (A)	65-74	Worked at home		14
Balranald (A)	75+	Car as driver	1	3
Bathurst Regional (A)	15-24	Bicycle	1	16
Bathurst Regional (A)	15-24	Bus	1	14
Bathurst Regional (A)	15-24	Bus and car as passenger	2	3
Bathurst Regional (A)	15-24	Car as driver	1	1766
Bathurst Regional (A)	15-24	Car as passenger	1	378
Bathurst Regional (A)	15-24	Did not go to work		509
Bathurst Regional (A)	15-24	Method of travel not stated		55
Bathurst Regional (A)	15-24	Motorbike scooter	1	8
Bathurst Regional (A)	15-24	(Other)	1	4
Bathurst Regional (A)	15-24	Other two methods	2	14
Bathurst Regional (A)	15-24	Taxi	1	4
Bathurst Regional (A)	15-24	Train	1	7
Bathurst Regional (A)	15-24	Truck	1	12
Bathurst Regional (A)	15-24	Walked only	1	166
Bathurst Regional (A)	15-24	Worked at home		32
Bathurst Regional (A)	25-34	Bicycle	1	20
Bathurst Regional (A)	25-34	Bus	1	10
Bathurst Regional (A)	25-34	Car as driver	1	2511
Bathurst Regional (A)	25-34	Car as passenger	1	154
Bathurst Regional (A)	25-34	Did not go to work		350
Bathurst Regional (A)	25-34	Method of travel not stated		29
Bathurst Regional (A)	25-34	Motorbike scooter	1	11
Bathurst Regional (A)	25-34	(Other)	1	13
Bathurst Regional (A)	25-34	Other three methods	3	5
Bathurst Regional (A)	25-34	Other two methods	2	36
Bathurst Regional (A)	25-34	Taxi	1	15
Bathurst Regional (A)	25-34	Train	1	3
Bathurst Regional (A)	25-34	Truck	1	22
Bathurst Regional (A)	25-34	Walked only	1	159
Bathurst Regional (A)	25-34	Worked at home		88
Bathurst Regional (A)	35-44	Bicycle	1	17
Bathurst Regional (A)	35-44	Bus	1	12
Bathurst Regional (A)	35-44	Bus and car as driver	2	4
Bathurst Regional (A)	35-44	Bus and other	2	4
Bathurst Regional (A)	35-44	Car as driver	1	2675
Bathurst Regional (A)	35-44	Car as passenger	1	112
Bathurst Regional (A)	35-44	Did not go to work		277
Bathurst Regional (A)	35-44	Method of travel not stated		42
Bathurst Regional (A)	35-44	Motorbike scooter	1	5
Bathurst Regional (A)	35-44	(Other)	1	14
Bathurst Regional (A)	35-44	Other two methods	2	9
Bathurst Regional (A)	35-44	Taxi	1	7
Bathurst Regional (A)	35-44	Truck	1	27
Bathurst Regional (A)	35-44	Walked only	1	87
Bathurst Regional (A)	35-44	Worked at home		146
Bathurst Regional (A)	45-54	Bicycle	1	19
Bathurst Regional (A)	45-54	Bus	1	9
Bathurst Regional (A)	45-54	Bus and car as passenger	2	4
Bathurst Regional (A)	45-54	Car as driver	1	2895
Bathurst Regional (A)	45-54	Car as passenger	1	139
Bathurst Regional (A)	45-54	Did not go to work		270
Bathurst Regional (A)	45-54	Method of travel not stated		34
Bathurst Regional (A)	45-54	Motorbike scooter	1	14
Bathurst Regional (A)	45-54	(Other)	1	14
Bathurst Regional (A)	45-54	Other two methods	2	16
Bathurst Regional (A)	45-54	Taxi	1	8
Bathurst Regional (A)	45-54	Truck	1	37
Bathurst Regional (A)	45-54	Walked only	1	118
Bathurst Regional (A)	45-54	Worked at home		171
Bathurst Regional (A)	55-64	Bicycle	1	16
Bathurst Regional (A)	55-64	Bus	1	10
Bathurst Regional (A)	55-64	Bus and car as driver	2	3
Bathurst Regional (A)	55-64	Car as driver	1	2041
Bathurst Regional (A)	55-64	Car as passenger	1	109
Bathurst Regional (A)	55-64	Did not go to work		296
Bathurst Regional (A)	55-64	Method of travel not stated		33
Bathurst Regional (A)	55-64	Motorbike scooter	1	13
Bathurst Regional (A)	55-64	(Other)	1	20
Bathurst Regional (A)	55-64	Other two methods	2	17
Bathurst Regional (A)	55-64	Truck	1	51
Bathurst Regional (A)	55-64	Walked only	1	120
Bathurst Regional (A)	55-64	Worked at home		195
Bathurst Regional (A)	65-74	Bicycle	1	3
Bathurst Regional (A)	65-74	Bus	1	6
Bathurst Regional (A)	65-74	Car as driver	1	413
Bathurst Regional (A)	65-74	Car as passenger	1	20
Bathurst Regional (A)	65-74	Did not go to work		85
Bathurst Regional (A)	65-74	Method of travel not stated		12
Bathurst Regional (A)	65-74	Motorbike scooter	1	7
Bathurst Regional (A)	65-74	(Other)	1	10
Bathurst Regional (A)	65-74	Other two methods	2	8
Bathurst Regional (A)	65-74	Taxi	1	7
Bathurst Regional (A)	65-74	Truck	1	19
Bathurst Regional (A)	65-74	Walked only	1	34
Bathurst Regional (A)	65-74	Worked at home		150
Bathurst Regional (A)	75+	Car as driver	1	43
Bathurst Regional (A)	75+	Car as passenger	1	8
Bathurst Regional (A)	75+	Did not go to work		19
Bathurst Regional (A)	75+	Method of travel not stated		3
Bathurst Regional (A)	75+	(Other)	1	4
Bathurst Regional (A)	75+	Truck	1	6
Bathurst Regional (A)	75+	Walked only	1	11
Bathurst Regional (A)	75+	Worked at home		47
Bega Valley (A)	15-24	Bicycle	1	3
Bega Valley (A)	15-24	Bus	1	11
Bega Valley (A)	15-24	Bus and car as passenger	2	7
Bega Valley (A)	15-24	Car as driver	1	782
Bega Valley (A)	15-24	Car as passenger	1	213
Bega Valley (A)	15-24	Did not go to work		259
Bega Valley (A)	15-24	Method of travel not stated		33
Bega Valley (A)	15-24	Motorbike scooter	1	14
Bega Valley (A)	15-24	(Other)	1	4
Bega Valley (A)	15-24	Other two methods	2	7
Bega Valley (A)	15-24	Truck	1	5
Bega Valley (A)	15-24	Walked only	1	88
Bega Valley (A)	15-24	Worked at home		15
Bega Valley (A)	25-34	Bicycle	1	5
Bega Valley (A)	25-34	Bus	1	3
Bega Valley (A)	25-34	Car as driver	1	1087
Bega Valley (A)	25-34	Car as passenger	1	69
Bega Valley (A)	25-34	Did not go to work		218
Bega Valley (A)	25-34	Method of travel not stated		19
Bega Valley (A)	25-34	Motorbike scooter	1	3
Bega Valley (A)	25-34	(Other)	1	3
Bega Valley (A)	25-34	Other two methods	2	16
Bega Valley (A)	25-34	Truck	1	12
Bega Valley (A)	25-34	Walked only	1	77
Bega Valley (A)	25-34	Worked at home		56
Bega Valley (A)	35-44	Bicycle	1	6
Bega Valley (A)	35-44	Bus	1	8
Bega Valley (A)	35-44	Car as driver	1	1504
Bega Valley (A)	35-44	Car as passenger	1	56
Bega Valley (A)	35-44	Did not go to work		225
Bega Valley (A)	35-44	Method of travel not stated		25
Bega Valley (A)	35-44	Motorbike scooter	1	9
Bega Valley (A)	35-44	(Other)	1	11
Bega Valley (A)	35-44	Other two methods	2	12
Bega Valley (A)	35-44	Truck	1	16
Bega Valley (A)	35-44	Walked only	1	96
Bega Valley (A)	35-44	Worked at home		139
Bega Valley (A)	45-54	Bicycle	1	15
Bega Valley (A)	45-54	Bus	1	7
Bega Valley (A)	45-54	Car as driver	1	2184
Bega Valley (A)	45-54	Car as passenger	1	83
Bega Valley (A)	45-54	Did not go to work		301
Bega Valley (A)	45-54	Method of travel not stated		34
Bega Valley (A)	45-54	Motorbike scooter	1	17
Bega Valley (A)	45-54	(Other)	1	23
Bega Valley (A)	45-54	Other three methods	3	4
Bega Valley (A)	45-54	Other two methods	2	12
Bega Valley (A)	45-54	Truck	1	43
Bega Valley (A)	45-54	Walked only	1	136
Bega Valley (A)	45-54	Worked at home		194
Bega Valley (A)	55-64	Bicycle	1	12
Bega Valley (A)	55-64	Bus	1	3
Bega Valley (A)	55-64	Car as driver	1	1844
Bega Valley (A)	55-64	Car as passenger	1	53
Bega Valley (A)	55-64	Did not go to work		393
Bega Valley (A)	55-64	Method of travel not stated		29
Bega Valley (A)	55-64	Motorbike scooter	1	18
Bega Valley (A)	55-64	(Other)	1	30
Bega Valley (A)	55-64	Other three methods	3	6
Bega Valley (A)	55-64	Other two methods	2	13
Bega Valley (A)	55-64	Truck	1	34
Bega Valley (A)	55-64	Walked only	1	153
Bega Valley (A)	55-64	Worked at home		291
Bega Valley (A)	65-74	Bicycle	1	6
Bega Valley (A)	65-74	Car as driver	1	336
Bega Valley (A)	65-74	Car as passenger	1	15
Bega Valley (A)	65-74	Did not go to work		116
Bega Valley (A)	65-74	Method of travel not stated		24
Bega Valley (A)	65-74	Motorbike scooter	1	3
Bega Valley (A)	65-74	(Other)	1	13
Bega Valley (A)	65-74	Truck	1	23
Bega Valley (A)	65-74	Walked only	1	54
Bega Valley (A)	65-74	Worked at home		184
Bega Valley (A)	75+	Car as driver	1	27
Bega Valley (A)	75+	Did not go to work		13
Bega Valley (A)	75+	Method of travel not stated		10
Bega Valley (A)	75+	(Other)	1	3
Bega Valley (A)	75+	Walked only	1	8
Bega Valley (A)	75+	Worked at home		55
Bellingen (A)	15-24	Bicycle	1	3
Bellingen (A)	15-24	Bus	1	3
Bellingen (A)	15-24	Car as driver	1	167
Bellingen (A)	15-24	Car as passenger	1	46
Bellingen (A)	15-24	Did not go to work		50
Bellingen (A)	15-24	Method of travel not stated		9
Bellingen (A)	15-24	Motorbike scooter	1	10
Bellingen (A)	15-24	Other two methods	2	3
Bellingen (A)	15-24	Walked only	1	38
Bellingen (A)	25-34	Car as driver	1	317
Bellingen (A)	25-34	Car as passenger	1	9
Bellingen (A)	25-34	Did not go to work		51
Bellingen (A)	25-34	Method of travel not stated		3
Bellingen (A)	25-34	Motorbike scooter	1	10
Bellingen (A)	25-34	(Other)	1	7
Bellingen (A)	25-34	Other two methods	2	4
Bellingen (A)	25-34	Truck	1	4
Bellingen (A)	25-34	Walked only	1	37
Bellingen (A)	25-34	Worked at home		33
Bellingen (A)	35-44	Bicycle	1	4
Bellingen (A)	35-44	Car as driver	1	439
Bellingen (A)	35-44	Car as passenger	1	14
Bellingen (A)	35-44	Did not go to work		74
Bellingen (A)	35-44	Method of travel not stated		4
Bellingen (A)	35-44	Motorbike scooter	1	3
Bellingen (A)	35-44	Other two methods	2	4
Bellingen (A)	35-44	Walked only	1	39
Bellingen (A)	35-44	Worked at home		89
Bellingen (A)	45-54	Bicycle	1	3
Bellingen (A)	45-54	Car as driver	1	572
Bellingen (A)	45-54	Car as passenger	1	19
Bellingen (A)	45-54	Did not go to work		98
Bellingen (A)	45-54	Method of travel not stated		13
Bellingen (A)	45-54	Motorbike scooter	1	14
Bellingen (A)	45-54	(Other)	1	9
Bellingen (A)	45-54	Other two methods	2	5
Bellingen (A)	45-54	Truck	1	6
Bellingen (A)	45-54	Walked only	1	55
Bellingen (A)	45-54	Worked at home		111
Bellingen (A)	55-64	Bicycle	1	7
Bellingen (A)	55-64	Bus	1	4
Bellingen (A)	55-64	Car as driver	1	540
Bellingen (A)	55-64	Car as passenger	1	27
Bellingen (A)	55-64	Did not go to work		100
Bellingen (A)	55-64	Method of travel not stated		11
Bellingen (A)	55-64	Motorbike scooter	1	3
Bellingen (A)	55-64	(Other)	1	8
Bellingen (A)	55-64	Other two methods	2	3
Bellingen (A)	55-64	Truck	1	13
Bellingen (A)	55-64	Walked only	1	51
Bellingen (A)	55-64	Worked at home		137
Bellingen (A)	65-74	Car as driver	1	98
Bellingen (A)	65-74	Car as passenger	1	8
Bellingen (A)	65-74	Did not go to work		30
Bellingen (A)	65-74	Method of travel not stated		3
Bellingen (A)	65-74	(Other)	1	7
Bellingen (A)	65-74	Truck	1	5
Bellingen (A)	65-74	Walked only	1	16
Bellingen (A)	65-74	Worked at home		82
Bellingen (A)	75+	Car as driver	1	5
Bellingen (A)	75+	Method of travel not stated		4
Bellingen (A)	75+	(Other)	1	3
Bellingen (A)	75+	Truck	1	3
Bellingen (A)	75+	Walked only	1	6
Bellingen (A)	75+	Worked at home		39
Berrigan (A)	15-24	Bicycle	1	3
Berrigan (A)	15-24	Car as driver	1	193
Berrigan (A)	15-24	Car as passenger	1	38
Berrigan (A)	15-24	Did not go to work		41
Berrigan (A)	15-24	Method of travel not stated		7
Berrigan (A)	15-24	Other two methods	2	4
Berrigan (A)	15-24	Walked only	1	20
Berrigan (A)	15-24	Worked at home		3
Berrigan (A)	25-34	Car as driver	1	259
Berrigan (A)	25-34	Car as passenger	1	16
Berrigan (A)	25-34	Did not go to work		47
Berrigan (A)	25-34	Method of travel not stated		6
Berrigan (A)	25-34	(Other)	1	12
Berrigan (A)	25-34	Other two methods	2	3
Berrigan (A)	25-34	Truck	1	8
Berrigan (A)	25-34	Walked only	1	37
Berrigan (A)	25-34	Worked at home		18
Berrigan (A)	35-44	Car as driver	1	312
Berrigan (A)	35-44	Car as passenger	1	10
Berrigan (A)	35-44	Did not go to work		38
Berrigan (A)	35-44	Method of travel not stated		3
Berrigan (A)	35-44	Motorbike scooter	1	4
Berrigan (A)	35-44	(Other)	1	10
Berrigan (A)	35-44	Truck	1	4
Berrigan (A)	35-44	Walked only	1	26
Berrigan (A)	35-44	Worked at home		54
Berrigan (A)	45-54	Bicycle	1	8
Berrigan (A)	45-54	Car as driver	1	357
Berrigan (A)	45-54	Car as passenger	1	12
Berrigan (A)	45-54	Did not go to work		47
Berrigan (A)	45-54	Method of travel not stated		5
Berrigan (A)	45-54	(Other)	1	11
Berrigan (A)	45-54	Truck	1	9
Berrigan (A)	45-54	Walked only	1	42
Berrigan (A)	45-54	Worked at home		74
Berrigan (A)	55-64	Bicycle	1	9
Berrigan (A)	55-64	Car as driver	1	395
Berrigan (A)	55-64	Car as passenger	1	3
Berrigan (A)	55-64	Did not go to work		60
Berrigan (A)	55-64	Method of travel not stated		3
Berrigan (A)	55-64	Motorbike scooter	1	4
Berrigan (A)	55-64	(Other)	1	3
Berrigan (A)	55-64	Other two methods	2	4
Berrigan (A)	55-64	Truck	1	19
Berrigan (A)	55-64	Walked only	1	55
Berrigan (A)	55-64	Worked at home		97
Berrigan (A)	65-74	Car as driver	1	114
Berrigan (A)	65-74	Car as passenger	1	4
Berrigan (A)	65-74	Did not go to work		25
Berrigan (A)	65-74	Method of travel not stated		3
Berrigan (A)	65-74	Motorbike scooter	1	3
Berrigan (A)	65-74	Truck	1	6
Berrigan (A)	65-74	Walked only	1	21
Berrigan (A)	65-74	Worked at home		52
Berrigan (A)	75+	Car as driver	1	18
Berrigan (A)	75+	Car as passenger	1	3
Berrigan (A)	75+	Did not go to work		7
Berrigan (A)	75+	Method of travel not stated		5
Berrigan (A)	75+	Walked only	1	5
