LGA_NAME16	Age	EmploymentStatus	Sex	workers
Albury (C)	45-49	Contributing family workers	F	21
Albury (C)	45-49	Contributing family workers	M	16
Albury (C)	45-49	Employee	F	1310
Albury (C)	45-49	Employee	M	970
Albury (C)	45-49	Owner managers of incorporated enterprises	F	88
Albury (C)	45-49	Owner managers of incorporated enterprises	M	145
Albury (C)	45-49	Owner managers of unincorporated enterprises	F	89
Albury (C)	45-49	Owner managers of unincorporated enterprises	M	106
Albury (C)	50-54		F	5
Albury (C)	50-54		M	8
Albury (C)	50-54	Contributing family workers	F	19
Albury (C)	50-54	Contributing family workers	M	5
Albury (C)	50-54	Employee	F	1313
Albury (C)	50-54	Employee	M	898
Albury (C)	50-54	Owner managers of incorporated enterprises	F	82
Albury (C)	50-54	Owner managers of incorporated enterprises	M	164
Albury (C)	50-54	Owner managers of unincorporated enterprises	F	91
Albury (C)	50-54	Owner managers of unincorporated enterprises	M	108
Albury (C)	55-59		F	15
Albury (C)	55-59		M	7
Albury (C)	55-59	Contributing family workers	F	23
Albury (C)	55-59	Contributing family workers	M	12
Albury (C)	55-59	Employee	F	1224
Albury (C)	55-59	Employee	M	821
Albury (C)	55-59	Owner managers of incorporated enterprises	F	48
Albury (C)	55-59	Owner managers of incorporated enterprises	M	147
Albury (C)	55-59	Owner managers of unincorporated enterprises	F	72
Albury (C)	55-59	Owner managers of unincorporated enterprises	M	135
Albury (C)	60-64		F	10
Albury (C)	60-64		M	10
Albury (C)	60-64	Contributing family workers	F	23
Albury (C)	60-64	Contributing family workers	M	16
Albury (C)	60-64	Employee	F	722
Albury (C)	60-64	Employee	M	595
Albury (C)	60-64	Owner managers of incorporated enterprises	F	48
Albury (C)	60-64	Owner managers of incorporated enterprises	M	109
Albury (C)	60-64	Owner managers of unincorporated enterprises	F	66
Albury (C)	60-64	Owner managers of unincorporated enterprises	M	108
Albury (C)	65-69		F	5
Albury (C)	65-69		M	9
Albury (C)	65-69	Contributing family workers	F	17
Albury (C)	65-69	Contributing family workers	M	24
Albury (C)	65-69	Employee	F	246
Albury (C)	65-69	Employee	M	241
Albury (C)	65-69	Owner managers of incorporated enterprises	F	29
Albury (C)	65-69	Owner managers of incorporated enterprises	M	58
Albury (C)	65-69	Owner managers of unincorporated enterprises	F	44
Albury (C)	65-69	Owner managers of unincorporated enterprises	M	73
Albury (C)	70-74		F	7
Albury (C)	70-74		M	3
Albury (C)	70-74	Contributing family workers	F	7
Albury (C)	70-74	Contributing family workers	M	16
Albury (C)	70-74	Employee	F	36
Albury (C)	70-74	Employee	M	54
Albury (C)	70-74	Owner managers of incorporated enterprises	M	20
Albury (C)	70-74	Owner managers of unincorporated enterprises	F	14
Albury (C)	70-74	Owner managers of unincorporated enterprises	M	26
Albury (C)	75+		F	3
Albury (C)	75+		M	4
Albury (C)	75+	Contributing family workers	F	5
Albury (C)	75+	Contributing family workers	M	14
Albury (C)	75+	Employee	F	21
Albury (C)	75+	Employee	M	25
Albury (C)	75+	Owner managers of incorporated enterprises	M	5
Albury (C)	75+	Owner managers of unincorporated enterprises	F	3
Albury (C)	75+	Owner managers of unincorporated enterprises	M	17
Armidale Regional (A)	15-19		F	4
Armidale Regional (A)	15-19	Contributing family workers	F	12
Armidale Regional (A)	15-19	Contributing family workers	M	5
Armidale Regional (A)	15-19	Employee	F	487
Armidale Regional (A)	15-19	Employee	M	376
Armidale Regional (A)	15-19	Owner managers of unincorporated enterprises	F	3
Armidale Regional (A)	20-24		F	5
Armidale Regional (A)	20-24		M	9
Armidale Regional (A)	20-24	Contributing family workers	M	3
Armidale Regional (A)	20-24	Employee	F	679
Armidale Regional (A)	20-24	Employee	M	608
Armidale Regional (A)	20-24	Owner managers of incorporated enterprises	M	8
Armidale Regional (A)	20-24	Owner managers of unincorporated enterprises	F	8
Armidale Regional (A)	20-24	Owner managers of unincorporated enterprises	M	11
Armidale Regional (A)	25-29		F	7
Armidale Regional (A)	25-29		M	4
Armidale Regional (A)	25-29	Contributing family workers	F	4
Armidale Regional (A)	25-29	Employee	F	565
Armidale Regional (A)	25-29	Employee	M	551
Armidale Regional (A)	25-29	Owner managers of incorporated enterprises	F	3
Armidale Regional (A)	25-29	Owner managers of incorporated enterprises	M	16
Armidale Regional (A)	25-29	Owner managers of unincorporated enterprises	F	15
Armidale Regional (A)	25-29	Owner managers of unincorporated enterprises	M	35
Armidale Regional (A)	30-34		M	3
Armidale Regional (A)	30-34	Contributing family workers	F	8
Armidale Regional (A)	30-34	Contributing family workers	M	3
Armidale Regional (A)	30-34	Employee	F	544
Armidale Regional (A)	30-34	Employee	M	508
Armidale Regional (A)	30-34	Owner managers of incorporated enterprises	F	11
Armidale Regional (A)	30-34	Owner managers of incorporated enterprises	M	40
Armidale Regional (A)	30-34	Owner managers of unincorporated enterprises	F	21
Armidale Regional (A)	30-34	Owner managers of unincorporated enterprises	M	37
Armidale Regional (A)	35-39		F	3
Armidale Regional (A)	35-39		M	7
Armidale Regional (A)	35-39	Contributing family workers	F	10
Armidale Regional (A)	35-39	Contributing family workers	M	5
Armidale Regional (A)	35-39	Employee	F	480
Armidale Regional (A)	35-39	Employee	M	436
Armidale Regional (A)	35-39	Owner managers of incorporated enterprises	F	18
Armidale Regional (A)	35-39	Owner managers of incorporated enterprises	M	45
Armidale Regional (A)	35-39	Owner managers of unincorporated enterprises	F	37
Armidale Regional (A)	35-39	Owner managers of unincorporated enterprises	M	54
Armidale Regional (A)	40-44		F	4
Armidale Regional (A)	40-44		M	3
Armidale Regional (A)	40-44	Contributing family workers	F	14
Armidale Regional (A)	40-44	Contributing family workers	M	13
Armidale Regional (A)	40-44	Employee	F	632
Armidale Regional (A)	40-44	Employee	M	451
Armidale Regional (A)	40-44	Owner managers of incorporated enterprises	F	26
Armidale Regional (A)	40-44	Owner managers of incorporated enterprises	M	47
Armidale Regional (A)	40-44	Owner managers of unincorporated enterprises	F	34
Armidale Regional (A)	40-44	Owner managers of unincorporated enterprises	M	84
Armidale Regional (A)	45-49		F	3
Armidale Regional (A)	45-49		M	4
Armidale Regional (A)	45-49	Contributing family workers	F	9
Armidale Regional (A)	45-49	Contributing family workers	M	13
Armidale Regional (A)	45-49	Employee	F	642
Armidale Regional (A)	45-49	Employee	M	495
Armidale Regional (A)	45-49	Owner managers of incorporated enterprises	F	43
Armidale Regional (A)	45-49	Owner managers of incorporated enterprises	M	57
Armidale Regional (A)	45-49	Owner managers of unincorporated enterprises	F	49
Armidale Regional (A)	45-49	Owner managers of unincorporated enterprises	M	73
Armidale Regional (A)	50-54		F	7
Armidale Regional (A)	50-54		M	13
Armidale Regional (A)	50-54	Contributing family workers	F	12
Armidale Regional (A)	50-54	Contributing family workers	M	18
Armidale Regional (A)	50-54	Employee	F	684
Armidale Regional (A)	50-54	Employee	M	498
Armidale Regional (A)	50-54	Owner managers of incorporated enterprises	F	35
Armidale Regional (A)	50-54	Owner managers of incorporated enterprises	M	82
Armidale Regional (A)	50-54	Owner managers of unincorporated enterprises	F	55
Armidale Regional (A)	50-54	Owner managers of unincorporated enterprises	M	112
Armidale Regional (A)	55-59		F	8
Armidale Regional (A)	55-59		M	7
Armidale Regional (A)	55-59	Contributing family workers	F	29
Armidale Regional (A)	55-59	Contributing family workers	M	17
Armidale Regional (A)	55-59	Employee	F	608
Armidale Regional (A)	55-59	Employee	M	469
Armidale Regional (A)	55-59	Owner managers of incorporated enterprises	F	35
Armidale Regional (A)	55-59	Owner managers of incorporated enterprises	M	76
Armidale Regional (A)	55-59	Owner managers of unincorporated enterprises	F	43
Armidale Regional (A)	55-59	Owner managers of unincorporated enterprises	M	97
Armidale Regional (A)	60-64		F	7
Armidale Regional (A)	60-64		M	4
Armidale Regional (A)	60-64	Contributing family workers	F	15
Armidale Regional (A)	60-64	Contributing family workers	M	22
Armidale Regional (A)	60-64	Employee	F	352
Armidale Regional (A)	60-64	Employee	M	306
Armidale Regional (A)	60-64	Owner managers of incorporated enterprises	F	23
Armidale Regional (A)	60-64	Owner managers of incorporated enterprises	M	53
Armidale Regional (A)	60-64	Owner managers of unincorporated enterprises	F	64
Armidale Regional (A)	60-64	Owner managers of unincorporated enterprises	M	96
Armidale Regional (A)	65-69		F	7
Armidale Regional (A)	65-69		M	6
Armidale Regional (A)	65-69	Contributing family workers	F	26
Armidale Regional (A)	65-69	Contributing family workers	M	33
Armidale Regional (A)	65-69	Employee	F	109
Armidale Regional (A)	65-69	Employee	M	123
Armidale Regional (A)	65-69	Owner managers of incorporated enterprises	F	12
Armidale Regional (A)	65-69	Owner managers of incorporated enterprises	M	31
Armidale Regional (A)	65-69	Owner managers of unincorporated enterprises	F	44
Armidale Regional (A)	65-69	Owner managers of unincorporated enterprises	M	70
Armidale Regional (A)	70-74		F	3
Armidale Regional (A)	70-74		M	3
Armidale Regional (A)	70-74	Contributing family workers	F	26
Armidale Regional (A)	70-74	Contributing family workers	M	37
Armidale Regional (A)	70-74	Employee	F	35
Armidale Regional (A)	70-74	Employee	M	40
Armidale Regional (A)	70-74	Owner managers of incorporated enterprises	F	9
Armidale Regional (A)	70-74	Owner managers of incorporated enterprises	M	17
Armidale Regional (A)	70-74	Owner managers of unincorporated enterprises	F	19
Armidale Regional (A)	70-74	Owner managers of unincorporated enterprises	M	45
Armidale Regional (A)	75+		F	4
Armidale Regional (A)	75+		M	4
Armidale Regional (A)	75+	Contributing family workers	F	14
Armidale Regional (A)	75+	Contributing family workers	M	37
Armidale Regional (A)	75+	Employee	F	11
Armidale Regional (A)	75+	Employee	M	18
Armidale Regional (A)	75+	Owner managers of incorporated enterprises	M	13
Armidale Regional (A)	75+	Owner managers of unincorporated enterprises	F	7
Armidale Regional (A)	75+	Owner managers of unincorporated enterprises	M	33
Ballina (A)	15-19		F	9
Ballina (A)	15-19		M	7
Ballina (A)	15-19	Contributing family workers	F	6
Ballina (A)	15-19	Contributing family workers	M	3
Ballina (A)	15-19	Employee	F	517
Ballina (A)	15-19	Employee	M	438
Ballina (A)	15-19	Owner managers of unincorporated enterprises	M	7
Ballina (A)	20-24		F	4
Ballina (A)	20-24		M	7
Ballina (A)	20-24	Employee	F	525
Ballina (A)	20-24	Employee	M	498
Ballina (A)	20-24	Owner managers of incorporated enterprises	M	7
Ballina (A)	20-24	Owner managers of unincorporated enterprises	F	12
Ballina (A)	20-24	Owner managers of unincorporated enterprises	M	15
Ballina (A)	25-29		M	4
Ballina (A)	25-29	Contributing family workers	F	9
Ballina (A)	25-29	Contributing family workers	M	4
Ballina (A)	25-29	Employee	F	428
Ballina (A)	25-29	Employee	M	468
Ballina (A)	25-29	Owner managers of incorporated enterprises	F	9
Ballina (A)	25-29	Owner managers of incorporated enterprises	M	21
Ballina (A)	25-29	Owner managers of unincorporated enterprises	F	23
Ballina (A)	25-29	Owner managers of unincorporated enterprises	M	44
Ballina (A)	30-34		F	5
Ballina (A)	30-34		M	6
Ballina (A)	30-34	Contributing family workers	F	13
Ballina (A)	30-34	Contributing family workers	M	8
Ballina (A)	30-34	Employee	F	488
Ballina (A)	30-34	Employee	M	496
Ballina (A)	30-34	Owner managers of incorporated enterprises	F	24
Ballina (A)	30-34	Owner managers of incorporated enterprises	M	27
Ballina (A)	30-34	Owner managers of unincorporated enterprises	F	51
Ballina (A)	30-34	Owner managers of unincorporated enterprises	M	59
Ballina (A)	35-39		F	8
Ballina (A)	35-39		M	12
Ballina (A)	35-39	Contributing family workers	F	15
Ballina (A)	35-39	Contributing family workers	M	5
Ballina (A)	35-39	Employee	F	549
Ballina (A)	35-39	Employee	M	479
Ballina (A)	35-39	Owner managers of incorporated enterprises	F	39
Ballina (A)	35-39	Owner managers of incorporated enterprises	M	84
Ballina (A)	35-39	Owner managers of unincorporated enterprises	F	81
Ballina (A)	35-39	Owner managers of unincorporated enterprises	M	98
Ballina (A)	40-44		F	3
Ballina (A)	40-44		M	11
Ballina (A)	40-44	Contributing family workers	F	12
Ballina (A)	40-44	Contributing family workers	M	15
Ballina (A)	40-44	Employee	F	705
Ballina (A)	40-44	Employee	M	500
Ballina (A)	40-44	Owner managers of incorporated enterprises	F	55
Ballina (A)	40-44	Owner managers of incorporated enterprises	M	100
Ballina (A)	40-44	Owner managers of unincorporated enterprises	F	89
Ballina (A)	40-44	Owner managers of unincorporated enterprises	M	116
Ballina (A)	45-49		F	13
Ballina (A)	45-49		M	8
Ballina (A)	45-49	Contributing family workers	F	19
Ballina (A)	45-49	Contributing family workers	M	13
Ballina (A)	45-49	Employee	F	768
Ballina (A)	45-49	Employee	M	531
Ballina (A)	45-49	Owner managers of incorporated enterprises	F	54
Ballina (A)	45-49	Owner managers of incorporated enterprises	M	103
Ballina (A)	45-49	Owner managers of unincorporated enterprises	F	107
Ballina (A)	45-49	Owner managers of unincorporated enterprises	M	135
Ballina (A)	50-54		F	9
Ballina (A)	50-54		M	6
Ballina (A)	50-54	Contributing family workers	F	24
Ballina (A)	50-54	Contributing family workers	M	14
Ballina (A)	50-54	Employee	F	796
Ballina (A)	50-54	Employee	M	533
Ballina (A)	50-54	Owner managers of incorporated enterprises	F	60
Ballina (A)	50-54	Owner managers of incorporated enterprises	M	124
Ballina (A)	50-54	Owner managers of unincorporated enterprises	F	98
Ballina (A)	50-54	Owner managers of unincorporated enterprises	M	160
Ballina (A)	55-59		F	16
Ballina (A)	55-59		M	11
Ballina (A)	55-59	Contributing family workers	F	22
Ballina (A)	55-59	Contributing family workers	M	13
Ballina (A)	55-59	Employee	F	770
Ballina (A)	55-59	Employee	M	582
Ballina (A)	55-59	Owner managers of incorporated enterprises	F	47
Ballina (A)	55-59	Owner managers of incorporated enterprises	M	97
Ballina (A)	55-59	Owner managers of unincorporated enterprises	F	108
Ballina (A)	55-59	Owner managers of unincorporated enterprises	M	164
Ballina (A)	60-64		F	7
Ballina (A)	60-64		M	6
Ballina (A)	60-64	Contributing family workers	F	22
Ballina (A)	60-64	Contributing family workers	M	21
Ballina (A)	60-64	Employee	F	489
Ballina (A)	60-64	Employee	M	375
Ballina (A)	60-64	Owner managers of incorporated enterprises	F	48
Ballina (A)	60-64	Owner managers of incorporated enterprises	M	72
Ballina (A)	60-64	Owner managers of unincorporated enterprises	F	94
Ballina (A)	60-64	Owner managers of unincorporated enterprises	M	153
Ballina (A)	65-69		F	4
Ballina (A)	65-69		M	4
Ballina (A)	65-69	Contributing family workers	F	23
Ballina (A)	65-69	Contributing family workers	M	24
Ballina (A)	65-69	Employee	F	145
Ballina (A)	65-69	Employee	M	171
Ballina (A)	65-69	Owner managers of incorporated enterprises	F	21
Ballina (A)	65-69	Owner managers of incorporated enterprises	M	68
Ballina (A)	65-69	Owner managers of unincorporated enterprises	F	52
Ballina (A)	65-69	Owner managers of unincorporated enterprises	M	101
Ballina (A)	70-74		F	8
Ballina (A)	70-74		M	7
Ballina (A)	70-74	Contributing family workers	F	12
Ballina (A)	70-74	Contributing family workers	M	19
Ballina (A)	70-74	Employee	F	40
Ballina (A)	70-74	Employee	M	51
Ballina (A)	70-74	Owner managers of incorporated enterprises	F	3
Ballina (A)	70-74	Owner managers of incorporated enterprises	M	21
Ballina (A)	70-74	Owner managers of unincorporated enterprises	F	28
Ballina (A)	70-74	Owner managers of unincorporated enterprises	M	42
Ballina (A)	75+		F	5
Ballina (A)	75+		M	8
Ballina (A)	75+	Contributing family workers	F	16
Ballina (A)	75+	Contributing family workers	M	24
Ballina (A)	75+	Employee	F	11
Ballina (A)	75+	Employee	M	20
Ballina (A)	75+	Owner managers of incorporated enterprises	F	7
Ballina (A)	75+	Owner managers of incorporated enterprises	M	14
Ballina (A)	75+	Owner managers of unincorporated enterprises	F	11
Ballina (A)	75+	Owner managers of unincorporated enterprises	M	33
Balranald (A)	15-19	Employee	F	16
Balranald (A)	15-19	Employee	M	10
Balranald (A)	20-24	Contributing family workers	M	6
Balranald (A)	20-24	Employee	F	18
Balranald (A)	20-24	Employee	M	38
Balranald (A)	25-29	Employee	F	29
Balranald (A)	25-29	Employee	M	16
Balranald (A)	25-29	Owner managers of incorporated enterprises	M	3
Balranald (A)	25-29	Owner managers of unincorporated enterprises	M	5
Balranald (A)	30-34	Employee	F	23
Balranald (A)	30-34	Employee	M	26
Balranald (A)	30-34	Owner managers of incorporated enterprises	F	4
Balranald (A)	30-34	Owner managers of incorporated enterprises	M	3
Balranald (A)	30-34	Owner managers of unincorporated enterprises	F	3
Balranald (A)	30-34	Owner managers of unincorporated enterprises	M	3
Balranald (A)	35-39	Contributing family workers	M	5
Balranald (A)	35-39	Employee	F	28
Balranald (A)	35-39	Employee	M	24
Balranald (A)	35-39	Owner managers of incorporated enterprises	M	11
Balranald (A)	35-39	Owner managers of unincorporated enterprises	M	3
Balranald (A)	40-44	Contributing family workers	F	3
Balranald (A)	40-44	Contributing family workers	M	4
Balranald (A)	40-44	Employee	F	38
Balranald (A)	40-44	Employee	M	27
Balranald (A)	40-44	Owner managers of incorporated enterprises	F	3
Balranald (A)	40-44	Owner managers of incorporated enterprises	M	12
Balranald (A)	40-44	Owner managers of unincorporated enterprises	F	3
Balranald (A)	40-44	Owner managers of unincorporated enterprises	M	11
Balranald (A)	45-49	Contributing family workers	M	6
Balranald (A)	45-49	Employee	F	39
Balranald (A)	45-49	Employee	M	27
Balranald (A)	45-49	Owner managers of incorporated enterprises	M	4
Balranald (A)	45-49	Owner managers of unincorporated enterprises	F	3
Balranald (A)	45-49	Owner managers of unincorporated enterprises	M	9
Balranald (A)	50-54	Contributing family workers	F	4
Balranald (A)	50-54	Contributing family workers	M	7
Balranald (A)	50-54	Employee	F	38
Balranald (A)	50-54	Employee	M	27
Balranald (A)	50-54	Owner managers of incorporated enterprises	F	3
Balranald (A)	50-54	Owner managers of incorporated enterprises	M	4
Balranald (A)	50-54	Owner managers of unincorporated enterprises	M	8
Balranald (A)	55-59	Contributing family workers	M	4
Balranald (A)	55-59	Employee	F	36
Balranald (A)	55-59	Employee	M	33
Balranald (A)	55-59	Owner managers of incorporated enterprises	F	3
Balranald (A)	55-59	Owner managers of incorporated enterprises	M	10
Balranald (A)	55-59	Owner managers of unincorporated enterprises	F	6
Balranald (A)	55-59	Owner managers of unincorporated enterprises	M	13
Balranald (A)	60-64	Contributing family workers	F	3
Balranald (A)	60-64	Contributing family workers	M	4
Balranald (A)	60-64	Employee	F	25
Balranald (A)	60-64	Employee	M	22
Balranald (A)	60-64	Owner managers of incorporated enterprises	F	4
Balranald (A)	60-64	Owner managers of incorporated enterprises	M	5
Balranald (A)	60-64	Owner managers of unincorporated enterprises	F	9
Balranald (A)	60-64	Owner managers of unincorporated enterprises	M	8
Balranald (A)	65-69	Contributing family workers	M	3
Balranald (A)	65-69	Employee	F	4
Balranald (A)	65-69	Employee	M	12
Balranald (A)	65-69	Owner managers of incorporated enterprises	F	4
Balranald (A)	65-69	Owner managers of incorporated enterprises	M	3
Balranald (A)	65-69	Owner managers of unincorporated enterprises	F	3
Balranald (A)	65-69	Owner managers of unincorporated enterprises	M	10
Balranald (A)	70-74	Contributing family workers	F	3
Balranald (A)	70-74	Owner managers of incorporated enterprises	M	3
Balranald (A)	75+	Contributing family workers	F	3
Balranald (A)	75+	Employee	M	3
Bathurst Regional (A)	15-19		F	9
Bathurst Regional (A)	15-19		M	9
Bathurst Regional (A)	15-19	Contributing family workers	F	5
Bathurst Regional (A)	15-19	Contributing family workers	M	9
Bathurst Regional (A)	15-19	Employee	F	634
Bathurst Regional (A)	15-19	Employee	M	480
Bathurst Regional (A)	15-19	Owner managers of unincorporated enterprises	M	5
Bathurst Regional (A)	20-24		F	11
Bathurst Regional (A)	20-24		M	11
Bathurst Regional (A)	20-24	Contributing family workers	F	9
Bathurst Regional (A)	20-24	Contributing family workers	M	4
Bathurst Regional (A)	20-24	Employee	F	912
Bathurst Regional (A)	20-24	Employee	M	852
Bathurst Regional (A)	20-24	Owner managers of incorporated enterprises	F	7
Bathurst Regional (A)	20-24	Owner managers of incorporated enterprises	M	6
Bathurst Regional (A)	20-24	Owner managers of unincorporated enterprises	F	17
Bathurst Regional (A)	20-24	Owner managers of unincorporated enterprises	M	25
Bathurst Regional (A)	25-29		F	7
Bathurst Regional (A)	25-29		M	17
Bathurst Regional (A)	25-29	Contributing family workers	F	6
Bathurst Regional (A)	25-29	Contributing family workers	M	7
Bathurst Regional (A)	25-29	Employee	F	813
Bathurst Regional (A)	25-29	Employee	M	791
Bathurst Regional (A)	25-29	Owner managers of incorporated enterprises	F	10
Bathurst Regional (A)	25-29	Owner managers of incorporated enterprises	M	25
Bathurst Regional (A)	25-29	Owner managers of unincorporated enterprises	F	23
Bathurst Regional (A)	25-29	Owner managers of unincorporated enterprises	M	52
Bathurst Regional (A)	30-34		F	5
Bathurst Regional (A)	30-34		M	11
Bathurst Regional (A)	30-34	Contributing family workers	F	10
Bathurst Regional (A)	30-34	Employee	F	757
Bathurst Regional (A)	30-34	Employee	M	700
Bathurst Regional (A)	30-34	Owner managers of incorporated enterprises	F	32
Bathurst Regional (A)	30-34	Owner managers of incorporated enterprises	M	76
Bathurst Regional (A)	30-34	Owner managers of unincorporated enterprises	F	30
Bathurst Regional (A)	30-34	Owner managers of unincorporated enterprises	M	56
Bathurst Regional (A)	35-39		F	6
Bathurst Regional (A)	35-39		M	4
Bathurst Regional (A)	35-39	Contributing family workers	F	19
Bathurst Regional (A)	35-39	Contributing family workers	M	6
Bathurst Regional (A)	35-39	Employee	F	710
Bathurst Regional (A)	35-39	Employee	M	622
Bathurst Regional (A)	35-39	Owner managers of incorporated enterprises	F	38
Bathurst Regional (A)	35-39	Owner managers of incorporated enterprises	M	62
Bathurst Regional (A)	35-39	Owner managers of unincorporated enterprises	F	67
Bathurst Regional (A)	35-39	Owner managers of unincorporated enterprises	M	74
Bathurst Regional (A)	40-44		F	11
Bathurst Regional (A)	40-44		M	16
Bathurst Regional (A)	40-44	Contributing family workers	F	18
Bathurst Regional (A)	40-44	Contributing family workers	M	15
Bathurst Regional (A)	40-44	Employee	F	879
Bathurst Regional (A)	40-44	Employee	M	649
Bathurst Regional (A)	40-44	Owner managers of incorporated enterprises	F	36
Bathurst Regional (A)	40-44	Owner managers of incorporated enterprises	M	85
Bathurst Regional (A)	40-44	Owner managers of unincorporated enterprises	F	58
Bathurst Regional (A)	40-44	Owner managers of unincorporated enterprises	M	80
Bathurst Regional (A)	45-49		F	5
Bathurst Regional (A)	45-49		M	8
Bathurst Regional (A)	45-49	Contributing family workers	F	14
Bathurst Regional (A)	45-49	Contributing family workers	M	11
Bathurst Regional (A)	45-49	Employee	F	891
Bathurst Regional (A)	45-49	Employee	M	674
Bathurst Regional (A)	45-49	Owner managers of incorporated enterprises	F	67
Bathurst Regional (A)	45-49	Owner managers of incorporated enterprises	M	83
Bathurst Regional (A)	45-49	Owner managers of unincorporated enterprises	F	54
Bathurst Regional (A)	45-49	Owner managers of unincorporated enterprises	M	103
Bathurst Regional (A)	50-54		F	7
Bathurst Regional (A)	50-54		M	15
Bathurst Regional (A)	50-54	Contributing family workers	F	32
Bathurst Regional (A)	50-54	Contributing family workers	M	12
Bathurst Regional (A)	50-54	Employee	F	841
Bathurst Regional (A)	50-54	Employee	M	660
Bathurst Regional (A)	50-54	Owner managers of incorporated enterprises	F	43
Bathurst Regional (A)	50-54	Owner managers of incorporated enterprises	M	89
Bathurst Regional (A)	50-54	Owner managers of unincorporated enterprises	F	65
Bathurst Regional (A)	50-54	Owner managers of unincorporated enterprises	M	86
Bathurst Regional (A)	55-59		F	15
Bathurst Regional (A)	55-59		M	12
Bathurst Regional (A)	55-59	Contributing family workers	F	24
Bathurst Regional (A)	55-59	Contributing family workers	M	30
Bathurst Regional (A)	55-59	Employee	F	776
Bathurst Regional (A)	55-59	Employee	M	588
Bathurst Regional (A)	55-59	Owner managers of incorporated enterprises	F	43
Bathurst Regional (A)	55-59	Owner managers of incorporated enterprises	M	79
Bathurst Regional (A)	55-59	Owner managers of unincorporated enterprises	F	65
Bathurst Regional (A)	55-59	Owner managers of unincorporated enterprises	M	93
Bathurst Regional (A)	60-64		F	7
Bathurst Regional (A)	60-64		M	7
Bathurst Regional (A)	60-64	Contributing family workers	F	18
Bathurst Regional (A)	60-64	Contributing family workers	M	20
Bathurst Regional (A)	60-64	Employee	F	493
Bathurst Regional (A)	60-64	Employee	M	437
Bathurst Regional (A)	60-64	Owner managers of incorporated enterprises	F	26
Bathurst Regional (A)	60-64	Owner managers of incorporated enterprises	M	61
Bathurst Regional (A)	60-64	Owner managers of unincorporated enterprises	F	50
Bathurst Regional (A)	60-64	Owner managers of unincorporated enterprises	M	91
Bathurst Regional (A)	65-69		F	8
Bathurst Regional (A)	65-69		M	6
Bathurst Regional (A)	65-69	Contributing family workers	F	23
Bathurst Regional (A)	65-69	Contributing family workers	M	23
Bathurst Regional (A)	65-69	Employee	F	158
Bathurst Regional (A)	65-69	Employee	M	152
Bathurst Regional (A)	65-69	Owner managers of incorporated enterprises	F	21
Bathurst Regional (A)	65-69	Owner managers of incorporated enterprises	M	45
Bathurst Regional (A)	65-69	Owner managers of unincorporated enterprises	F	55
Bathurst Regional (A)	65-69	Owner managers of unincorporated enterprises	M	68
