LGA_NAME16	CountryOfBirth	EmploymentStatus	Sex	workers
Albury (C)	PHL	Owner managers of incorporated enterprises	F	3
Albury (C)	PHL	Owner managers of unincorporated enterprises	F	3
Albury (C)	POL	Employee	F	5
Albury (C)	POL	Owner managers of unincorporated enterprises	M	4
Albury (C)	SGP	Employee	F	10
Albury (C)	SGP	Employee	M	8
Albury (C)	ZAF	Employee	F	43
Albury (C)	ZAF	Employee	M	32
Albury (C)	ZAF	Owner managers of incorporated enterprises	F	3
Albury (C)	ZAF	Owner managers of incorporated enterprises	M	11
Albury (C)	ZAF	Owner managers of unincorporated enterprises	F	4
Albury (C)	ZAF	Owner managers of unincorporated enterprises	M	5
Albury (C)	KOR	Employee	F	9
Albury (C)	KOR	Employee	M	12
Albury (C)	LKA	Employee	F	19
Albury (C)	LKA	Employee	M	28
Albury (C)	LKA	Owner managers of incorporated enterprises	M	4
Albury (C)	LKA	Owner managers of unincorporated enterprises	M	3
Albury (C)	THA	Employee	F	19
Albury (C)	THA	Employee	M	3
Albury (C)	THA	Owner managers of incorporated enterprises	F	5
Albury (C)	THA	Owner managers of unincorporated enterprises	F	8
Albury (C)	TUR	Employee	M	4
Albury (C)	GBR	Contributing family workers	F	6
Albury (C)	GBR	Contributing family workers	M	4
Albury (C)	GBR	Employee	F	297
Albury (C)	GBR	Employee	M	264
Albury (C)	GBR	Owner managers of incorporated enterprises	F	10
Albury (C)	GBR	Owner managers of incorporated enterprises	M	31
Albury (C)	GBR	Owner managers of unincorporated enterprises	F	19
Albury (C)	GBR	Owner managers of unincorporated enterprises	M	20
Albury (C)	GBR	Status in employment not stated	F	3
Albury (C)	GBR	Status in employment not stated	M	3
Albury (C)	USA	Employee	F	25
Albury (C)	USA	Employee	M	20
Albury (C)	USA	Owner managers of incorporated enterprises	M	4
Albury (C)	USA	Owner managers of unincorporated enterprises	M	3
Albury (C)	VNM	Employee	F	14
Albury (C)	VNM	Employee	M	4
Albury (C)	VNM	Owner managers of incorporated enterprises	F	4
Albury (C)	VNM	Owner managers of incorporated enterprises	M	3
Albury (C)	ZWE	Employee	F	10
Albury (C)	ZWE	Employee	M	3
Armidale Regional (A)		Contributing family workers	F	11
Armidale Regional (A)		Contributing family workers	M	13
Armidale Regional (A)		Employee	F	263
Armidale Regional (A)		Employee	M	237
Armidale Regional (A)		Owner managers of incorporated enterprises	F	6
Armidale Regional (A)		Owner managers of incorporated enterprises	M	11
Armidale Regional (A)		Owner managers of unincorporated enterprises	F	19
Armidale Regional (A)		Owner managers of unincorporated enterprises	M	17
Armidale Regional (A)		Status in employment not stated	F	9
Armidale Regional (A)		Status in employment not stated	M	13
Armidale Regional (A)	AUS	Contributing family workers	F	165
Armidale Regional (A)	AUS	Contributing family workers	M	177
Armidale Regional (A)	AUS	Employee	F	4976
Armidale Regional (A)	AUS	Employee	M	4088
Armidale Regional (A)	AUS	Owner managers of incorporated enterprises	F	178
Armidale Regional (A)	AUS	Owner managers of incorporated enterprises	M	417
Armidale Regional (A)	AUS	Owner managers of unincorporated enterprises	F	360
Armidale Regional (A)	AUS	Owner managers of unincorporated enterprises	M	666
Armidale Regional (A)	AUS	Status in employment not stated	F	52
Armidale Regional (A)	AUS	Status in employment not stated	M	48
Armidale Regional (A)	CAN	Employee	F	20
Armidale Regional (A)	CAN	Employee	M	9
Armidale Regional (A)	CAN	Owner managers of incorporated enterprises	M	3
Armidale Regional (A)	CAN	Owner managers of unincorporated enterprises	M	3
Armidale Regional (A)	CHN	Contributing family workers	F	3
Armidale Regional (A)	CHN	Employee	F	35
Armidale Regional (A)	CHN	Employee	M	37
Armidale Regional (A)	CHN	Owner managers of incorporated enterprises	M	7
Armidale Regional (A)	CHN	Owner managers of unincorporated enterprises	F	4
Armidale Regional (A)	FJI	Employee	F	14
Armidale Regional (A)	FJI	Employee	M	10
Armidale Regional (A)	FJI	Owner managers of incorporated enterprises	M	3
Armidale Regional (A)	DEU	Employee	F	33
Armidale Regional (A)	DEU	Employee	M	12
Armidale Regional (A)	DEU	Owner managers of unincorporated enterprises	M	7
Armidale Regional (A)	HKG	Employee	F	3
Armidale Regional (A)	HKG	Employee	M	8
Armidale Regional (A)	IND	Employee	F	27
Armidale Regional (A)	IND	Employee	M	60
Armidale Regional (A)	IND	Owner managers of incorporated enterprises	F	3
Armidale Regional (A)	IND	Owner managers of incorporated enterprises	M	3
Armidale Regional (A)	IDN	Employee	F	11
Armidale Regional (A)	IDN	Employee	M	3
Armidale Regional (A)	IRN	Employee	F	12
Armidale Regional (A)	IRN	Employee	M	7
Armidale Regional (A)	IRN	Owner managers of unincorporated enterprises	M	3
Armidale Regional (A)	IRQ	Employee	M	3
Armidale Regional (A)	IRL	Employee	F	4
Armidale Regional (A)	IRL	Employee	M	6
Armidale Regional (A)	ITA	Employee	F	6
Armidale Regional (A)	ITA	Employee	M	3
Armidale Regional (A)	JPN	Employee	F	17
Armidale Regional (A)	LBN	Employee	F	3
Armidale Regional (A)	MYS	Employee	F	9
Armidale Regional (A)	MYS	Employee	M	17
Armidale Regional (A)	NLD	Contributing family workers	F	3
Armidale Regional (A)	NLD	Employee	F	14
Armidale Regional (A)	NLD	Employee	M	12
Armidale Regional (A)	NLD	Owner managers of unincorporated enterprises	F	3
Armidale Regional (A)	NZL	Employee	F	95
Armidale Regional (A)	NZL	Employee	M	90
Armidale Regional (A)	NZL	Owner managers of incorporated enterprises	F	6
Armidale Regional (A)	NZL	Owner managers of incorporated enterprises	M	9
Armidale Regional (A)	NZL	Owner managers of unincorporated enterprises	F	4
Armidale Regional (A)	NZL	Owner managers of unincorporated enterprises	M	3
Armidale Regional (A)	PAK	Employee	F	3
Armidale Regional (A)	PAK	Employee	M	19
Armidale Regional (A)	PAK	Owner managers of incorporated enterprises	M	3
Armidale Regional (A)	PHL	Employee	F	46
Armidale Regional (A)	PHL	Employee	M	32
Armidale Regional (A)	PHL	Owner managers of unincorporated enterprises	F	3
Armidale Regional (A)	SGP	Employee	F	8
Armidale Regional (A)	SGP	Employee	M	3
Armidale Regional (A)	ZAF	Employee	F	25
Armidale Regional (A)	ZAF	Employee	M	27
Armidale Regional (A)	ZAF	Owner managers of incorporated enterprises	M	3
Armidale Regional (A)	ZAF	Owner managers of unincorporated enterprises	M	3
Armidale Regional (A)	KOR	Employee	F	4
Armidale Regional (A)	KOR	Employee	M	3
Armidale Regional (A)	LKA	Employee	F	12
Armidale Regional (A)	LKA	Employee	M	17
Armidale Regional (A)	THA	Employee	F	11
Armidale Regional (A)	THA	Employee	M	4
Armidale Regional (A)	GBR	Contributing family workers	F	7
Armidale Regional (A)	GBR	Contributing family workers	M	10
Armidale Regional (A)	GBR	Employee	F	142
Armidale Regional (A)	GBR	Employee	M	122
Armidale Regional (A)	GBR	Owner managers of incorporated enterprises	F	7
Armidale Regional (A)	GBR	Owner managers of incorporated enterprises	M	17
Armidale Regional (A)	GBR	Owner managers of unincorporated enterprises	F	3
Armidale Regional (A)	GBR	Owner managers of unincorporated enterprises	M	19
Armidale Regional (A)	USA	Employee	F	30
Armidale Regional (A)	USA	Employee	M	21
Armidale Regional (A)	USA	Owner managers of incorporated enterprises	M	3
Armidale Regional (A)	USA	Owner managers of unincorporated enterprises	F	3
Armidale Regional (A)	USA	Owner managers of unincorporated enterprises	M	5
Armidale Regional (A)	VNM	Employee	F	14
Armidale Regional (A)	VNM	Employee	M	12
Armidale Regional (A)	VNM	Owner managers of incorporated enterprises	F	3
Armidale Regional (A)	ZWE	Employee	F	5
Armidale Regional (A)	ZWE	Employee	M	6
Ballina (A)		Contributing family workers	F	7
Ballina (A)		Contributing family workers	M	7
Ballina (A)		Employee	F	186
Ballina (A)		Employee	M	155
Ballina (A)		Owner managers of incorporated enterprises	F	11
Ballina (A)		Owner managers of incorporated enterprises	M	27
Ballina (A)		Owner managers of unincorporated enterprises	F	27
Ballina (A)		Owner managers of unincorporated enterprises	M	45
Ballina (A)		Status in employment not stated	F	11
Ballina (A)		Status in employment not stated	M	19
Ballina (A)	AUS	Contributing family workers	F	155
Ballina (A)	AUS	Contributing family workers	M	132
Ballina (A)	AUS	Employee	F	5374
Ballina (A)	AUS	Employee	M	4505
Ballina (A)	AUS	Owner managers of incorporated enterprises	F	302
Ballina (A)	AUS	Owner managers of incorporated enterprises	M	607
Ballina (A)	AUS	Owner managers of unincorporated enterprises	F	597
Ballina (A)	AUS	Owner managers of unincorporated enterprises	M	915
Ballina (A)	AUS	Status in employment not stated	F	72
Ballina (A)	AUS	Status in employment not stated	M	72
Ballina (A)	CAN	Employee	F	19
Ballina (A)	CAN	Employee	M	15
Ballina (A)	CAN	Owner managers of incorporated enterprises	M	3
Ballina (A)	CAN	Owner managers of unincorporated enterprises	M	5
Ballina (A)	CHN	Employee	F	11
Ballina (A)	CHN	Employee	M	6
Ballina (A)	CHN	Owner managers of unincorporated enterprises	F	8
Ballina (A)	CHN	Owner managers of unincorporated enterprises	M	3
Ballina (A)	EGY	Employee	M	3
Ballina (A)	FJI	Contributing family workers	F	3
Ballina (A)	FJI	Employee	F	7
Ballina (A)	FJI	Employee	M	9
Ballina (A)	FJI	Owner managers of incorporated enterprises	M	3
Ballina (A)	DEU	Contributing family workers	F	3
Ballina (A)	DEU	Employee	F	26
Ballina (A)	DEU	Employee	M	14
Ballina (A)	DEU	Owner managers of incorporated enterprises	F	3
Ballina (A)	DEU	Owner managers of incorporated enterprises	M	3
Ballina (A)	DEU	Owner managers of unincorporated enterprises	F	6
Ballina (A)	GRC	Employee	F	3
Ballina (A)	HKG	Employee	F	8
Ballina (A)	HKG	Owner managers of incorporated enterprises	F	3
Ballina (A)	IND	Employee	F	15
Ballina (A)	IND	Employee	M	32
Ballina (A)	IND	Owner managers of incorporated enterprises	F	3
Ballina (A)	IND	Owner managers of incorporated enterprises	M	6
Ballina (A)	IND	Owner managers of unincorporated enterprises	F	3
Ballina (A)	IND	Owner managers of unincorporated enterprises	M	3
Ballina (A)	IDN	Employee	F	13
Ballina (A)	IDN	Employee	M	5
Ballina (A)	IRN	Owner managers of unincorporated enterprises	M	3
Ballina (A)	IRL	Employee	F	13
Ballina (A)	IRL	Employee	M	9
Ballina (A)	IRL	Owner managers of incorporated enterprises	M	6
Ballina (A)	IRL	Owner managers of unincorporated enterprises	F	4
Ballina (A)	IRL	Owner managers of unincorporated enterprises	M	3
Ballina (A)	ITA	Employee	F	13
Ballina (A)	ITA	Employee	M	8
Ballina (A)	ITA	Owner managers of incorporated enterprises	F	3
Ballina (A)	ITA	Owner managers of incorporated enterprises	M	3
Ballina (A)	ITA	Owner managers of unincorporated enterprises	F	3
Ballina (A)	ITA	Owner managers of unincorporated enterprises	M	4
Ballina (A)	JPN	Employee	F	13
Ballina (A)	JPN	Employee	M	3
Ballina (A)	JPN	Owner managers of unincorporated enterprises	F	6
Ballina (A)	JPN	Owner managers of unincorporated enterprises	M	3
Ballina (A)	MYS	Employee	F	10
Ballina (A)	MYS	Employee	M	9
Ballina (A)	MYS	Owner managers of unincorporated enterprises	M	3
Ballina (A)	MLT	Employee	F	3
Ballina (A)	MLT	Employee	M	4
Ballina (A)	NLD	Contributing family workers	F	3
Ballina (A)	NLD	Employee	F	22
Ballina (A)	NLD	Employee	M	8
Ballina (A)	NLD	Owner managers of incorporated enterprises	M	3
Ballina (A)	NLD	Owner managers of unincorporated enterprises	F	5
Ballina (A)	NLD	Owner managers of unincorporated enterprises	M	8
Ballina (A)	NZL	Contributing family workers	F	3
Ballina (A)	NZL	Contributing family workers	M	3
Ballina (A)	NZL	Employee	F	154
Ballina (A)	NZL	Employee	M	107
Ballina (A)	NZL	Owner managers of incorporated enterprises	F	3
Ballina (A)	NZL	Owner managers of incorporated enterprises	M	20
Ballina (A)	NZL	Owner managers of unincorporated enterprises	F	14
Ballina (A)	NZL	Owner managers of unincorporated enterprises	M	41
Ballina (A)	PHL	Employee	F	47
Ballina (A)	PHL	Employee	M	6
Ballina (A)	PHL	Owner managers of unincorporated enterprises	F	3
Ballina (A)	PHL	Status in employment not stated	F	3
Ballina (A)	POL	Employee	M	3
Ballina (A)	POL	Owner managers of unincorporated enterprises	F	3
Ballina (A)	SGP	Employee	F	4
Ballina (A)	ZAF	Contributing family workers	F	3
Ballina (A)	ZAF	Contributing family workers	M	3
Ballina (A)	ZAF	Employee	F	26
Ballina (A)	ZAF	Employee	M	35
Ballina (A)	ZAF	Owner managers of incorporated enterprises	F	3
Ballina (A)	ZAF	Owner managers of incorporated enterprises	M	5
Ballina (A)	ZAF	Owner managers of unincorporated enterprises	F	10
Ballina (A)	ZAF	Owner managers of unincorporated enterprises	M	11
Ballina (A)	KOR	Employee	F	5
Ballina (A)	KOR	Employee	M	8
Ballina (A)	LKA	Employee	F	3
Ballina (A)	LKA	Employee	M	5
Ballina (A)	THA	Employee	F	25
Ballina (A)	THA	Employee	M	3
Ballina (A)	THA	Owner managers of unincorporated enterprises	F	6
Ballina (A)	TUR	Employee	F	3
Ballina (A)	GBR	Contributing family workers	F	3
Ballina (A)	GBR	Contributing family workers	M	8
Ballina (A)	GBR	Employee	F	209
Ballina (A)	GBR	Employee	M	163
Ballina (A)	GBR	Owner managers of incorporated enterprises	F	24
Ballina (A)	GBR	Owner managers of incorporated enterprises	M	32
Ballina (A)	GBR	Owner managers of unincorporated enterprises	F	33
Ballina (A)	GBR	Owner managers of unincorporated enterprises	M	48
Ballina (A)	GBR	Status in employment not stated	M	5
Ballina (A)	USA	Employee	F	20
Ballina (A)	USA	Employee	M	18
Ballina (A)	USA	Owner managers of incorporated enterprises	M	6
Ballina (A)	USA	Owner managers of unincorporated enterprises	F	12
Ballina (A)	USA	Owner managers of unincorporated enterprises	M	11
Ballina (A)	VNM	Employee	M	3
Ballina (A)	VNM	Owner managers of unincorporated enterprises	M	4
Ballina (A)	ZWE	Employee	F	9
Ballina (A)	ZWE	Employee	M	4
Ballina (A)	ZWE	Owner managers of incorporated enterprises	M	3
Ballina (A)	ZWE	Owner managers of unincorporated enterprises	M	3
Balranald (A)		Contributing family workers	F	3
Balranald (A)		Employee	F	25
Balranald (A)		Employee	M	18
Balranald (A)	AUS	Contributing family workers	F	19
Balranald (A)	AUS	Contributing family workers	M	37
Balranald (A)	AUS	Employee	F	244
Balranald (A)	AUS	Employee	M	221
Balranald (A)	AUS	Owner managers of incorporated enterprises	F	22
Balranald (A)	AUS	Owner managers of incorporated enterprises	M	51
Balranald (A)	AUS	Owner managers of unincorporated enterprises	F	27
Balranald (A)	AUS	Owner managers of unincorporated enterprises	M	67
Balranald (A)	AUS	Status in employment not stated	F	3
Balranald (A)	AUS	Status in employment not stated	M	6
Balranald (A)	FJI	Employee	M	3
Balranald (A)	MYS	Employee	F	3
Balranald (A)	MYS	Employee	M	3
Balranald (A)	NZL	Employee	F	4
Balranald (A)	NZL	Employee	M	3
Balranald (A)	THA	Employee	F	3
Balranald (A)	GBR	Employee	F	4
Balranald (A)	GBR	Employee	M	3
Bathurst Regional (A)		Contributing family workers	M	5
Bathurst Regional (A)		Employee	F	209
Bathurst Regional (A)		Employee	M	183
Bathurst Regional (A)		Owner managers of incorporated enterprises	F	15
Bathurst Regional (A)		Owner managers of incorporated enterprises	M	15
Bathurst Regional (A)		Owner managers of unincorporated enterprises	F	31
Bathurst Regional (A)		Owner managers of unincorporated enterprises	M	22
Bathurst Regional (A)		Status in employment not stated	F	11
Bathurst Regional (A)		Status in employment not stated	M	8
Bathurst Regional (A)	AUS	Contributing family workers	F	151
Bathurst Regional (A)	AUS	Contributing family workers	M	159
Bathurst Regional (A)	AUS	Employee	F	7055
Bathurst Regional (A)	AUS	Employee	M	5955
Bathurst Regional (A)	AUS	Owner managers of incorporated enterprises	F	285
Bathurst Regional (A)	AUS	Owner managers of incorporated enterprises	M	565
Bathurst Regional (A)	AUS	Owner managers of unincorporated enterprises	F	435
Bathurst Regional (A)	AUS	Owner managers of unincorporated enterprises	M	691
Bathurst Regional (A)	AUS	Status in employment not stated	F	76
Bathurst Regional (A)	AUS	Status in employment not stated	M	94
Bathurst Regional (A)	CAN	Employee	F	15
Bathurst Regional (A)	CAN	Employee	M	12
Bathurst Regional (A)	CHN	Contributing family workers	M	4
Bathurst Regional (A)	CHN	Employee	F	25
Bathurst Regional (A)	CHN	Employee	M	22
Bathurst Regional (A)	CHN	Owner managers of unincorporated enterprises	F	3
Bathurst Regional (A)	CHN	Owner managers of unincorporated enterprises	M	6
Bathurst Regional (A)	HRV	Employee	F	3
Bathurst Regional (A)	EGY	Employee	M	5
Bathurst Regional (A)	EGY	Owner managers of unincorporated enterprises	M	6
Bathurst Regional (A)	FJI	Employee	F	5
Bathurst Regional (A)	FJI	Employee	M	11
Bathurst Regional (A)	DEU	Employee	F	19
Bathurst Regional (A)	DEU	Employee	M	13
Bathurst Regional (A)	DEU	Owner managers of unincorporated enterprises	F	3
Bathurst Regional (A)	DEU	Owner managers of unincorporated enterprises	M	4
Bathurst Regional (A)	HKG	Employee	F	4
Bathurst Regional (A)	HKG	Employee	M	3
Bathurst Regional (A)	IND	Contributing family workers	F	3
Bathurst Regional (A)	IND	Employee	F	40
Bathurst Regional (A)	IND	Employee	M	56
Bathurst Regional (A)	IND	Owner managers of incorporated enterprises	F	3
Bathurst Regional (A)	IND	Owner managers of incorporated enterprises	M	9
Bathurst Regional (A)	IND	Owner managers of unincorporated enterprises	F	3
Bathurst Regional (A)	IND	Owner managers of unincorporated enterprises	M	6
Bathurst Regional (A)	IDN	Employee	F	3
Bathurst Regional (A)	IDN	Employee	M	4
Bathurst Regional (A)	IDN	Owner managers of unincorporated enterprises	F	3
Bathurst Regional (A)	IRN	Employee	F	9
Bathurst Regional (A)	IRN	Employee	M	3
Bathurst Regional (A)	IRL	Employee	F	15
Bathurst Regional (A)	IRL	Employee	M	6
Bathurst Regional (A)	IRL	Owner managers of incorporated enterprises	M	3
Bathurst Regional (A)	IRL	Owner managers of unincorporated enterprises	M	3
Bathurst Regional (A)	ITA	Employee	F	7
Bathurst Regional (A)	ITA	Employee	M	4
Bathurst Regional (A)	ITA	Owner managers of unincorporated enterprises	M	3
Bathurst Regional (A)	JPN	Employee	F	7
Bathurst Regional (A)	JPN	Employee	M	3
Bathurst Regional (A)	LBN	Owner managers of unincorporated enterprises	M	4
Bathurst Regional (A)	MYS	Employee	F	15
Bathurst Regional (A)	MYS	Employee	M	4
Bathurst Regional (A)	MLT	Employee	F	7
Bathurst Regional (A)	MLT	Owner managers of unincorporated enterprises	M	3
Bathurst Regional (A)	NLD	Contributing family workers	F	3
Bathurst Regional (A)	NLD	Employee	F	9
Bathurst Regional (A)	NLD	Employee	M	12
Bathurst Regional (A)	NLD	Owner managers of unincorporated enterprises	F	3
Bathurst Regional (A)	NLD	Owner managers of unincorporated enterprises	M	3
Bathurst Regional (A)	NZL	Employee	F	100
Bathurst Regional (A)	NZL	Employee	M	88
Bathurst Regional (A)	NZL	Owner managers of incorporated enterprises	F	6
Bathurst Regional (A)	NZL	Owner managers of incorporated enterprises	M	15
Bathurst Regional (A)	NZL	Owner managers of unincorporated enterprises	F	11
Bathurst Regional (A)	NZL	Owner managers of unincorporated enterprises	M	4
Bathurst Regional (A)	PAK	Employee	F	3
Bathurst Regional (A)	PAK	Employee	M	7
Bathurst Regional (A)	PHL	Contributing family workers	F	3
Bathurst Regional (A)	PHL	Employee	F	61
Bathurst Regional (A)	PHL	Employee	M	33
Bathurst Regional (A)	POL	Employee	F	3
Bathurst Regional (A)	POL	Employee	M	3
Bathurst Regional (A)	SGP	Employee	F	4
Bathurst Regional (A)	SGP	Employee	M	3
Bathurst Regional (A)	SGP	Owner managers of unincorporated enterprises	F	3
Bathurst Regional (A)	ZAF	Employee	F	23
Bathurst Regional (A)	ZAF	Employee	M	26
Bathurst Regional (A)	ZAF	Owner managers of incorporated enterprises	M	3
Bathurst Regional (A)	ZAF	Owner managers of unincorporated enterprises	F	3
Bathurst Regional (A)	KOR	Employee	F	6
Bathurst Regional (A)	KOR	Employee	M	9
Bathurst Regional (A)	LKA	Employee	F	9
Bathurst Regional (A)	LKA	Employee	M	13
Bathurst Regional (A)	LKA	Owner managers of incorporated enterprises	M	4
Bathurst Regional (A)	LKA	Owner managers of unincorporated enterprises	F	3
Bathurst Regional (A)	THA	Employee	F	19
Bathurst Regional (A)	THA	Employee	M	14
Bathurst Regional (A)	GBR	Contributing family workers	F	3
Bathurst Regional (A)	GBR	Contributing family workers	M	6
Bathurst Regional (A)	GBR	Employee	F	204
Bathurst Regional (A)	GBR	Employee	M	145
Bathurst Regional (A)	GBR	Owner managers of incorporated enterprises	F	10
Bathurst Regional (A)	GBR	Owner managers of incorporated enterprises	M	12
Bathurst Regional (A)	GBR	Owner managers of unincorporated enterprises	F	12
Bathurst Regional (A)	GBR	Owner managers of unincorporated enterprises	M	27
Bathurst Regional (A)	GBR	Status in employment not stated	F	3
Bathurst Regional (A)	GBR	Status in employment not stated	M	5
Bathurst Regional (A)	USA	Contributing family workers	F	3
Bathurst Regional (A)	USA	Employee	F	27
Bathurst Regional (A)	USA	Employee	M	11
Bathurst Regional (A)	USA	Owner managers of unincorporated enterprises	M	3
Bathurst Regional (A)	VNM	Employee	F	11
Bathurst Regional (A)	VNM	Employee	M	11
Bathurst Regional (A)	VNM	Owner managers of incorporated enterprises	M	3
Bathurst Regional (A)	VNM	Owner managers of unincorporated enterprises	M	3
Bathurst Regional (A)	ZWE	Employee	F	7
Bathurst Regional (A)	ZWE	Employee	M	5
Bega Valley (A)		Contributing family workers	F	3
Bega Valley (A)		Contributing family workers	M	3
Bega Valley (A)		Employee	F	204
Bega Valley (A)		Employee	M	144
Bega Valley (A)		Owner managers of incorporated enterprises	F	7
Bega Valley (A)		Owner managers of incorporated enterprises	M	17
Bega Valley (A)		Owner managers of unincorporated enterprises	F	31
Bega Valley (A)		Owner managers of unincorporated enterprises	M	41
Bega Valley (A)		Status in employment not stated	F	10
Bega Valley (A)		Status in employment not stated	M	7
Bega Valley (A)	AUS	Contributing family workers	F	163
Bega Valley (A)	AUS	Contributing family workers	M	134
Bega Valley (A)	AUS	Employee	F	4292
Bega Valley (A)	AUS	Employee	M	3545
Bega Valley (A)	AUS	Owner managers of incorporated enterprises	F	258
Bega Valley (A)	AUS	Owner managers of incorporated enterprises	M	519
Bega Valley (A)	AUS	Owner managers of unincorporated enterprises	F	484
Bega Valley (A)	AUS	Owner managers of unincorporated enterprises	M	759
Bega Valley (A)	AUS	Status in employment not stated	F	67
Bega Valley (A)	AUS	Status in employment not stated	M	94
Bega Valley (A)	CAN	Employee	F	17
Bega Valley (A)	CAN	Employee	M	9
Bega Valley (A)	CHN	Employee	F	8
Bega Valley (A)	CHN	Owner managers of incorporated enterprises	M	3
Bega Valley (A)	CHN	Owner managers of unincorporated enterprises	F	3
Bega Valley (A)	CHN	Owner managers of unincorporated enterprises	M	6
Bega Valley (A)	EGY	Employee	M	3
Bega Valley (A)	FJI	Employee	M	5
Bega Valley (A)	FJI	Owner managers of unincorporated enterprises	M	3
Bega Valley (A)	DEU	Contributing family workers	F	3
Bega Valley (A)	DEU	Contributing family workers	M	3
Bega Valley (A)	DEU	Employee	F	26
Bega Valley (A)	DEU	Employee	M	22
Bega Valley (A)	DEU	Owner managers of incorporated enterprises	M	7
Bega Valley (A)	DEU	Owner managers of unincorporated enterprises	F	8
Bega Valley (A)	DEU	Owner managers of unincorporated enterprises	M	3
