LGA_NAME16	EmploymentStatus	workers
Carrathool (A)	Status in employment not stated	27
Central Coast (C) (NSW)	Contributing family workers	1503
Central Coast (C) (NSW)	Employee	86009
Central Coast (C) (NSW)	Owner managers of incorporated enterprises	7309
Central Coast (C) (NSW)	Owner managers of unincorporated enterprises	8802
Central Coast (C) (NSW)	Status in employment not stated	1115
Central Darling (A)	Contributing family workers	65
Central Darling (A)	Employee	442
Central Darling (A)	Owner managers of incorporated enterprises	41
Central Darling (A)	Owner managers of unincorporated enterprises	96
Central Darling (A)	Status in employment not stated	16
Cessnock (C)	Contributing family workers	304
Cessnock (C)	Employee	12441
Cessnock (C)	Owner managers of incorporated enterprises	840
Cessnock (C)	Owner managers of unincorporated enterprises	1002
Cessnock (C)	Status in employment not stated	192
Clarence Valley (A)	Contributing family workers	518
Clarence Valley (A)	Employee	12836
Clarence Valley (A)	Owner managers of incorporated enterprises	905
Clarence Valley (A)	Owner managers of unincorporated enterprises	1807
Clarence Valley (A)	Status in employment not stated	276
Cobar (A)	Contributing family workers	113
Cobar (A)	Employee	1832
Cobar (A)	Owner managers of incorporated enterprises	95
Cobar (A)	Owner managers of unincorporated enterprises	191
Cobar (A)	Status in employment not stated	36
Coffs Harbour (C)	Contributing family workers	590
Coffs Harbour (C)	Employee	23635
Coffs Harbour (C)	Owner managers of incorporated enterprises	1668
Coffs Harbour (C)	Owner managers of unincorporated enterprises	2658
Coffs Harbour (C)	Status in employment not stated	335
Coolamon (A)	Contributing family workers	111
Coolamon (A)	Employee	653
Coolamon (A)	Owner managers of incorporated enterprises	71
Coolamon (A)	Owner managers of unincorporated enterprises	255
Coolamon (A)	Status in employment not stated	22
Coonamble (A)	Contributing family workers	142
Coonamble (A)	Employee	928
Coonamble (A)	Owner managers of incorporated enterprises	92
Coonamble (A)	Owner managers of unincorporated enterprises	230
Coonamble (A)	Status in employment not stated	42
Cowra (A)	Contributing family workers	209
Cowra (A)	Employee	3359
Cowra (A)	Owner managers of incorporated enterprises	246
Cowra (A)	Owner managers of unincorporated enterprises	665
Cowra (A)	Status in employment not stated	95
Cumberland (A)	Contributing family workers	755
Cumberland (A)	Employee	59705
Cumberland (A)	Owner managers of incorporated enterprises	5066
Cumberland (A)	Owner managers of unincorporated enterprises	4288
Cumberland (A)	Status in employment not stated	861
Dungog (A)	Contributing family workers	145
Dungog (A)	Employee	1426
Dungog (A)	Owner managers of incorporated enterprises	206
Dungog (A)	Owner managers of unincorporated enterprises	348
Dungog (A)	Status in employment not stated	30
Edward River (A)	Contributing family workers	145
Edward River (A)	Employee	2842
Edward River (A)	Owner managers of incorporated enterprises	265
Edward River (A)	Owner managers of unincorporated enterprises	368
Edward River (A)	Status in employment not stated	72
Eurobodalla (A)	Contributing family workers	282
Eurobodalla (A)	Employee	9135
Eurobodalla (A)	Owner managers of incorporated enterprises	816
Eurobodalla (A)	Owner managers of unincorporated enterprises	1576
Eurobodalla (A)	Status in employment not stated	169
Fairfield (C)	Contributing family workers	752
Fairfield (C)	Employee	47236
Fairfield (C)	Owner managers of incorporated enterprises	4630
Fairfield (C)	Owner managers of unincorporated enterprises	3715
Fairfield (C)	Status in employment not stated	764
Federation (A)	Contributing family workers	211
Federation (A)	Employee	3831
Federation (A)	Owner managers of incorporated enterprises	353
Federation (A)	Owner managers of unincorporated enterprises	449
Federation (A)	Status in employment not stated	88
Forbes (A)	Contributing family workers	192
Forbes (A)	Employee	2827
Forbes (A)	Owner managers of incorporated enterprises	217
Forbes (A)	Owner managers of unincorporated enterprises	540
Forbes (A)	Status in employment not stated	75
Georges River (A)	Contributing family workers	636
Georges River (A)	Employee	34555
Georges River (A)	Owner managers of incorporated enterprises	3786
Georges River (A)	Owner managers of unincorporated enterprises	3200
Georges River (A)	Status in employment not stated	370
Gilgandra (A)	Contributing family workers	126
Gilgandra (A)	Employee	987
Gilgandra (A)	Owner managers of incorporated enterprises	81
Gilgandra (A)	Owner managers of unincorporated enterprises	342
Gilgandra (A)	Status in employment not stated	30
Glen Innes Severn (A)	Contributing family workers	232
Glen Innes Severn (A)	Employee	2134
Glen Innes Severn (A)	Owner managers of incorporated enterprises	156
Glen Innes Severn (A)	Owner managers of unincorporated enterprises	464
Glen Innes Severn (A)	Status in employment not stated	81
Goulburn Mulwaree (A)	Contributing family workers	228
Goulburn Mulwaree (A)	Employee	9742
Goulburn Mulwaree (A)	Owner managers of incorporated enterprises	598
Goulburn Mulwaree (A)	Owner managers of unincorporated enterprises	852
Goulburn Mulwaree (A)	Status in employment not stated	136
Greater Hume Shire (A)	Contributing family workers	298
Greater Hume Shire (A)	Employee	2050
Greater Hume Shire (A)	Owner managers of incorporated enterprises	322
Greater Hume Shire (A)	Owner managers of unincorporated enterprises	585
Greater Hume Shire (A)	Status in employment not stated	61
Griffith (C)	Contributing family workers	337
Griffith (C)	Employee	9957
Griffith (C)	Owner managers of incorporated enterprises	845
Griffith (C)	Owner managers of unincorporated enterprises	835
Griffith (C)	Status in employment not stated	158
Gundagai (A)	Contributing family workers	195
Gundagai (A)	Employee	3135
Gundagai (A)	Owner managers of incorporated enterprises	249
Gundagai (A)	Owner managers of unincorporated enterprises	473
Gundagai (A)	Status in employment not stated	81
Gunnedah (A)	Contributing family workers	232
Gunnedah (A)	Employee	3700
Gunnedah (A)	Owner managers of incorporated enterprises	345
Gunnedah (A)	Owner managers of unincorporated enterprises	498
Gunnedah (A)	Status in employment not stated	92
Gwydir (A)	Contributing family workers	259
Gwydir (A)	Employee	1072
Gwydir (A)	Owner managers of incorporated enterprises	121
Gwydir (A)	Owner managers of unincorporated enterprises	341
Gwydir (A)	Status in employment not stated	29
Hawkesbury (C)	Contributing family workers	472
Hawkesbury (C)	Employee	19075
Hawkesbury (C)	Owner managers of incorporated enterprises	2180
Hawkesbury (C)	Owner managers of unincorporated enterprises	2114
Hawkesbury (C)	Status in employment not stated	253
Hay (A)	Contributing family workers	79
Hay (A)	Employee	927
Hay (A)	Owner managers of incorporated enterprises	94
Hay (A)	Owner managers of unincorporated enterprises	162
Hay (A)	Status in employment not stated	28
Hilltops (A)	Contributing family workers	439
Hilltops (A)	Employee	4992
Hilltops (A)	Owner managers of incorporated enterprises	485
Hilltops (A)	Owner managers of unincorporated enterprises	931
Hilltops (A)	Status in employment not stated	112
Hornsby (A)	Contributing family workers	684
Hornsby (A)	Employee	33580
Hornsby (A)	Owner managers of incorporated enterprises	4022
Hornsby (A)	Owner managers of unincorporated enterprises	3662
Hornsby (A)	Status in employment not stated	334
Hunters Hill (A)	Contributing family workers	86
Hunters Hill (A)	Employee	3414
Hunters Hill (A)	Owner managers of incorporated enterprises	498
Hunters Hill (A)	Owner managers of unincorporated enterprises	373
Hunters Hill (A)	Status in employment not stated	24
Inner West (A)	Contributing family workers	845
Inner West (A)	Employee	48432
Inner West (A)	Owner managers of incorporated enterprises	6252
Inner West (A)	Owner managers of unincorporated enterprises	6302
Inner West (A)	Status in employment not stated	573
Inverell (A)	Contributing family workers	304
Inverell (A)	Employee	4834
Inverell (A)	Owner managers of incorporated enterprises	326
Inverell (A)	Owner managers of unincorporated enterprises	737
Inverell (A)	Status in employment not stated	119
Junee (A)	Contributing family workers	101
Junee (A)	Employee	1337
Junee (A)	Owner managers of incorporated enterprises	105
Junee (A)	Owner managers of unincorporated enterprises	260
Junee (A)	Status in employment not stated	24
Kempsey (A)	Contributing family workers	305
Kempsey (A)	Employee	7417
Kempsey (A)	Owner managers of incorporated enterprises	450
Kempsey (A)	Owner managers of unincorporated enterprises	974
Kempsey (A)	Status in employment not stated	178
Kiama (A)	Contributing family workers	170
Kiama (A)	Employee	3795
Kiama (A)	Owner managers of incorporated enterprises	517
Kiama (A)	Owner managers of unincorporated enterprises	814
Kiama (A)	Status in employment not stated	68
Ku-ring-gai (A)	Contributing family workers	611
Ku-ring-gai (A)	Employee	22576
Ku-ring-gai (A)	Owner managers of incorporated enterprises	3776
Ku-ring-gai (A)	Owner managers of unincorporated enterprises	3053
Ku-ring-gai (A)	Status in employment not stated	209
Kyogle (A)	Contributing family workers	204
Kyogle (A)	Employee	1778
Kyogle (A)	Owner managers of incorporated enterprises	167
Kyogle (A)	Owner managers of unincorporated enterprises	524
Kyogle (A)	Status in employment not stated	48
Lachlan (A)	Contributing family workers	194
Lachlan (A)	Employee	1563
Lachlan (A)	Owner managers of incorporated enterprises	150
Lachlan (A)	Owner managers of unincorporated enterprises	382
Lachlan (A)	Status in employment not stated	55
Lake Macquarie (C)	Contributing family workers	769
Lake Macquarie (C)	Employee	48075
Lake Macquarie (C)	Owner managers of incorporated enterprises	3985
Lake Macquarie (C)	Owner managers of unincorporated enterprises	4411
Lake Macquarie (C)	Status in employment not stated	524
Lane Cove (A)	Contributing family workers	178
Lane Cove (A)	Employee	13302
Lane Cove (A)	Owner managers of incorporated enterprises	1335
Lane Cove (A)	Owner managers of unincorporated enterprises	1075
Lane Cove (A)	Status in employment not stated	101
Leeton (A)	Contributing family workers	172
Leeton (A)	Employee	3722
Leeton (A)	Owner managers of incorporated enterprises	230
Leeton (A)	Owner managers of unincorporated enterprises	386
Leeton (A)	Status in employment not stated	64
Lismore (C)	Contributing family workers	399
Lismore (C)	Employee	16637
Lismore (C)	Owner managers of incorporated enterprises	840
Lismore (C)	Owner managers of unincorporated enterprises	1973
Lismore (C)	Status in employment not stated	238
Lithgow (C)	Contributing family workers	182
Lithgow (C)	Employee	6293
Lithgow (C)	Owner managers of incorporated enterprises	350
Lithgow (C)	Owner managers of unincorporated enterprises	528
Lithgow (C)	Status in employment not stated	88
Liverpool (C)	Contributing family workers	749
Liverpool (C)	Employee	58010
Liverpool (C)	Owner managers of incorporated enterprises	4696
Liverpool (C)	Owner managers of unincorporated enterprises	3649
Liverpool (C)	Status in employment not stated	775
Liverpool Plains (A)	Contributing family workers	159
Liverpool Plains (A)	Employee	1872
Liverpool Plains (A)	Owner managers of incorporated enterprises	153
Liverpool Plains (A)	Owner managers of unincorporated enterprises	409
Liverpool Plains (A)	Status in employment not stated	57
Lockhart (A)	Contributing family workers	109
Lockhart (A)	Employee	477
Lockhart (A)	Owner managers of incorporated enterprises	58
Lockhart (A)	Owner managers of unincorporated enterprises	211
Lockhart (A)	Status in employment not stated	20
Maitland (C)	Contributing family workers	359
Maitland (C)	Employee	23019
Maitland (C)	Owner managers of incorporated enterprises	1555
Maitland (C)	Owner managers of unincorporated enterprises	1595
Maitland (C)	Status in employment not stated	222
Mid-Coast (A)	Contributing family workers	839
Mid-Coast (A)	Employee	20892
Mid-Coast (A)	Owner managers of incorporated enterprises	1614
Mid-Coast (A)	Owner managers of unincorporated enterprises	3049
Mid-Coast (A)	Status in employment not stated	508
Mid-Western Regional (A)	Contributing family workers	381
Mid-Western Regional (A)	Employee	7438
Mid-Western Regional (A)	Owner managers of incorporated enterprises	583
Mid-Western Regional (A)	Owner managers of unincorporated enterprises	970
Mid-Western Regional (A)	Status in employment not stated	157
Moree Plains (A)	Contributing family workers	222
Moree Plains (A)	Employee	4182
Moree Plains (A)	Owner managers of incorporated enterprises	424
Moree Plains (A)	Owner managers of unincorporated enterprises	672
Moree Plains (A)	Status in employment not stated	106
Mosman (A)	Contributing family workers	210
Mosman (A)	Employee	6108
Mosman (A)	Owner managers of incorporated enterprises	1317
Mosman (A)	Owner managers of unincorporated enterprises	1029
Mosman (A)	Status in employment not stated	75
Murray River (A)	Contributing family workers	320
Murray River (A)	Employee	2981
Murray River (A)	Owner managers of incorporated enterprises	405
Murray River (A)	Owner managers of unincorporated enterprises	537
Murray River (A)	Status in employment not stated	85
Murrumbidgee (A)	Contributing family workers	110
Murrumbidgee (A)	Employee	1035
Murrumbidgee (A)	Owner managers of incorporated enterprises	202
Murrumbidgee (A)	Owner managers of unincorporated enterprises	222
Murrumbidgee (A)	Status in employment not stated	42
Muswellbrook (A)	Contributing family workers	126
Muswellbrook (A)	Employee	8624
Muswellbrook (A)	Owner managers of incorporated enterprises	249
Muswellbrook (A)	Owner managers of unincorporated enterprises	392
Muswellbrook (A)	Status in employment not stated	102
Nambucca (A)	Contributing family workers	213
Nambucca (A)	Employee	4221
Nambucca (A)	Owner managers of incorporated enterprises	260
Nambucca (A)	Owner managers of unincorporated enterprises	737
Nambucca (A)	Status in employment not stated	100
Narrabri (A)	Contributing family workers	264
Narrabri (A)	Employee	4974
Narrabri (A)	Owner managers of incorporated enterprises	396
Narrabri (A)	Owner managers of unincorporated enterprises	564
Narrabri (A)	Status in employment not stated	99
Narrandera (A)	Contributing family workers	140
Narrandera (A)	Employee	1466
Narrandera (A)	Owner managers of incorporated enterprises	139
Narrandera (A)	Owner managers of unincorporated enterprises	315
Narrandera (A)	Status in employment not stated	32
Narromine (A)	Contributing family workers	185
Narromine (A)	Employee	1529
Narromine (A)	Owner managers of incorporated enterprises	166
Narromine (A)	Owner managers of unincorporated enterprises	341
Narromine (A)	Status in employment not stated	44
Newcastle (C)	Contributing family workers	660
Newcastle (C)	Employee	87238
Newcastle (C)	Owner managers of incorporated enterprises	4294
Newcastle (C)	Owner managers of unincorporated enterprises	4443
Newcastle (C)	Status in employment not stated	692
North Sydney (A)	Contributing family workers	530
North Sydney (A)	Employee	63199
North Sydney (A)	Owner managers of incorporated enterprises	5193
North Sydney (A)	Owner managers of unincorporated enterprises	2875
North Sydney (A)	Status in employment not stated	457
Northern Beaches (A)	Contributing family workers	1440
Northern Beaches (A)	Employee	66096
Northern Beaches (A)	Owner managers of incorporated enterprises	10930
Northern Beaches (A)	Owner managers of unincorporated enterprises	9061
Northern Beaches (A)	Status in employment not stated	708
Oberon (A)	Contributing family workers	129
Oberon (A)	Employee	1618
Oberon (A)	Owner managers of incorporated enterprises	121
Oberon (A)	Owner managers of unincorporated enterprises	258
Oberon (A)	Status in employment not stated	33
Orange (C)	Contributing family workers	225
Orange (C)	Employee	16235
Orange (C)	Owner managers of incorporated enterprises	999
Orange (C)	Owner managers of unincorporated enterprises	1271
Orange (C)	Status in employment not stated	230
Parkes (A)	Contributing family workers	252
Parkes (A)	Employee	4353
Parkes (A)	Owner managers of incorporated enterprises	305
Parkes (A)	Owner managers of unincorporated enterprises	615
Parkes (A)	Status in employment not stated	89
Parramatta (C)	Contributing family workers	972
Parramatta (C)	Employee	123281
Parramatta (C)	Owner managers of incorporated enterprises	7379
Parramatta (C)	Owner managers of unincorporated enterprises	5276
Parramatta (C)	Status in employment not stated	1043
Penrith (C)	Contributing family workers	675
Penrith (C)	Employee	58709
Penrith (C)	Owner managers of incorporated enterprises	4466
Penrith (C)	Owner managers of unincorporated enterprises	4164
Penrith (C)	Status in employment not stated	575
Port Macquarie-Hastings (A)	Contributing family workers	591
Port Macquarie-Hastings (A)	Employee	21915
Port Macquarie-Hastings (A)	Owner managers of incorporated enterprises	1781
Port Macquarie-Hastings (A)	Owner managers of unincorporated enterprises	2886
Port Macquarie-Hastings (A)	Status in employment not stated	335
Port Stephens (A)	Contributing family workers	367
Port Stephens (A)	Employee	21881
Port Stephens (A)	Owner managers of incorporated enterprises	1484
Port Stephens (A)	Owner managers of unincorporated enterprises	1754
Port Stephens (A)	Status in employment not stated	240
Queanbeyan-Palerang Regional (A)	Contributing family workers	370
Queanbeyan-Palerang Regional (A)	Employee	11574
Queanbeyan-Palerang Regional (A)	Owner managers of incorporated enterprises	1345
Queanbeyan-Palerang Regional (A)	Owner managers of unincorporated enterprises	1273
Queanbeyan-Palerang Regional (A)	Status in employment not stated	148
Randwick (C)	Contributing family workers	446
Randwick (C)	Employee	38643
Randwick (C)	Owner managers of incorporated enterprises	3120
Randwick (C)	Owner managers of unincorporated enterprises	3398
Randwick (C)	Status in employment not stated	382
Richmond Valley (A)	Contributing family workers	223
Richmond Valley (A)	Employee	5614
Richmond Valley (A)	Owner managers of incorporated enterprises	277
Richmond Valley (A)	Owner managers of unincorporated enterprises	699
Richmond Valley (A)	Status in employment not stated	126
Rockdale (C)	Contributing family workers	350
Rockdale (C)	Employee	21700
Rockdale (C)	Owner managers of incorporated enterprises	2065
Rockdale (C)	Owner managers of unincorporated enterprises	2117
Rockdale (C)	Status in employment not stated	291
Ryde (C)	Contributing family workers	555
Ryde (C)	Employee	76620
Ryde (C)	Owner managers of incorporated enterprises	3742
Ryde (C)	Owner managers of unincorporated enterprises	2997
Ryde (C)	Status in employment not stated	490
Shellharbour (C)	Contributing family workers	244
Shellharbour (C)	Employee	14570
Shellharbour (C)	Owner managers of incorporated enterprises	1104
Shellharbour (C)	Owner managers of unincorporated enterprises	1376
Shellharbour (C)	Status in employment not stated	192
Shoalhaven (C)	Contributing family workers	682
Shoalhaven (C)	Employee	26842
Shoalhaven (C)	Owner managers of incorporated enterprises	2182
Shoalhaven (C)	Owner managers of unincorporated enterprises	3474
Shoalhaven (C)	Status in employment not stated	482
Singleton (A)	Contributing family workers	236
Singleton (A)	Employee	13997
Singleton (A)	Owner managers of incorporated enterprises	572
Singleton (A)	Owner managers of unincorporated enterprises	566
Singleton (A)	Status in employment not stated	141
Snowy Monaro Regional (A)	Contributing family workers	392
Snowy Monaro Regional (A)	Employee	7507
Snowy Monaro Regional (A)	Owner managers of incorporated enterprises	666
Snowy Monaro Regional (A)	Owner managers of unincorporated enterprises	1077
Snowy Monaro Regional (A)	Status in employment not stated	117
Snowy Valleys (A)	Contributing family workers	258
Snowy Valleys (A)	Employee	4555
Snowy Valleys (A)	Owner managers of incorporated enterprises	328
Snowy Valleys (A)	Owner managers of unincorporated enterprises	633
Snowy Valleys (A)	Status in employment not stated	119
Strathfield (A)	Contributing family workers	237
Strathfield (A)	Employee	18410
Strathfield (A)	Owner managers of incorporated enterprises	1793
Strathfield (A)	Owner managers of unincorporated enterprises	1135
Strathfield (A)	Status in employment not stated	226
Sutherland Shire (A)	Contributing family workers	894
Sutherland Shire (A)	Employee	52568
Sutherland Shire (A)	Owner managers of incorporated enterprises	6745
Sutherland Shire (A)	Owner managers of unincorporated enterprises	5631
Sutherland Shire (A)	Status in employment not stated	590
Sydney (C)	Contributing family workers	1952
Sydney (C)	Employee	453830
Sydney (C)	Owner managers of incorporated enterprises	22987
Sydney (C)	Owner managers of unincorporated enterprises	16431
Sydney (C)	Status in employment not stated	3225
Tamworth Regional (A)	Contributing family workers	662
Tamworth Regional (A)	Employee	20725
Tamworth Regional (A)	Owner managers of incorporated enterprises	1267
Tamworth Regional (A)	Owner managers of unincorporated enterprises	2129
Tamworth Regional (A)	Status in employment not stated	331
Temora (A)	Contributing family workers	153
Temora (A)	Employee	1625
Temora (A)	Owner managers of incorporated enterprises	126
Temora (A)	Owner managers of unincorporated enterprises	399
Temora (A)	Status in employment not stated	30
Tenterfield (A)	Contributing family workers	246
Tenterfield (A)	Employee	1327
Tenterfield (A)	Owner managers of incorporated enterprises	101
Tenterfield (A)	Owner managers of unincorporated enterprises	408
Tenterfield (A)	Status in employment not stated	61
The Hills Shire (A)	Contributing family workers	865
The Hills Shire (A)	Employee	52060
The Hills Shire (A)	Owner managers of incorporated enterprises	6334
The Hills Shire (A)	Owner managers of unincorporated enterprises	4137
The Hills Shire (A)	Status in employment not stated	464
Tweed (A)	Contributing family workers	644
Tweed (A)	Employee	21853
Tweed (A)	Owner managers of incorporated enterprises	2052
Tweed (A)	Owner managers of unincorporated enterprises	3236
Tweed (A)	Status in employment not stated	388
Upper Hunter Shire (A)	Contributing family workers	266
Upper Hunter Shire (A)	Employee	3790
Upper Hunter Shire (A)	Owner managers of incorporated enterprises	308
Upper Hunter Shire (A)	Owner managers of unincorporated enterprises	591
Upper Hunter Shire (A)	Status in employment not stated	82
Upper Lachlan Shire (A)	Contributing family workers	339
Upper Lachlan Shire (A)	Employee	1381
Upper Lachlan Shire (A)	Owner managers of incorporated enterprises	178
Upper Lachlan Shire (A)	Owner managers of unincorporated enterprises	544
Upper Lachlan Shire (A)	Status in employment not stated	45
Uralla (A)	Contributing family workers	134
Uralla (A)	Employee	778
Uralla (A)	Owner managers of incorporated enterprises	93
Uralla (A)	Owner managers of unincorporated enterprises	327
Uralla (A)	Status in employment not stated	31
Wagga Wagga (C)	Contributing family workers	497
Wagga Wagga (C)	Employee	26237
Wagga Wagga (C)	Owner managers of incorporated enterprises	1502
Wagga Wagga (C)	Owner managers of unincorporated enterprises	2053
Wagga Wagga (C)	Status in employment not stated	311
Walcha (A)	Contributing family workers	170
Walcha (A)	Employee	772
Walcha (A)	Owner managers of incorporated enterprises	89
Walcha (A)	Owner managers of unincorporated enterprises	304
Walcha (A)	Status in employment not stated	23
Walgett (A)	Contributing family workers	212
Walgett (A)	Employee	1418
Walgett (A)	Owner managers of incorporated enterprises	107
Walgett (A)	Owner managers of unincorporated enterprises	260
Walgett (A)	Status in employment not stated	56
Warren (A)	Contributing family workers	89
Warren (A)	Employee	712
Warren (A)	Owner managers of incorporated enterprises	88
Warren (A)	Owner managers of unincorporated enterprises	187
Warren (A)	Status in employment not stated	12
Warrumbungle Shire (A)	Contributing family workers	304
Warrumbungle Shire (A)	Employee	1919
Warrumbungle Shire (A)	Owner managers of incorporated enterprises	163
Warrumbungle Shire (A)	Owner managers of unincorporated enterprises	577
Warrumbungle Shire (A)	Status in employment not stated	62
Waverley (A)	Contributing family workers	332
Waverley (A)	Employee	18360
Waverley (A)	Owner managers of incorporated enterprises	2684
Waverley (A)	Owner managers of unincorporated enterprises	2745
Waverley (A)	Status in employment not stated	222
Weddin (A)	Contributing family workers	123
Weddin (A)	Employee	668
Weddin (A)	Owner managers of incorporated enterprises	83
Weddin (A)	Owner managers of unincorporated enterprises	339
Weddin (A)	Status in employment not stated	26
Wentworth (A)	Contributing family workers	163
Wentworth (A)	Employee	2066
Wentworth (A)	Owner managers of incorporated enterprises	176
Wentworth (A)	Owner managers of unincorporated enterprises	285
Wentworth (A)	Status in employment not stated	48
Western Plains Regional (A)	Contributing family workers	475
Western Plains Regional (A)	Employee	18002
Western Plains Regional (A)	Owner managers of incorporated enterprises	1157
Western Plains Regional (A)	Owner managers of unincorporated enterprises	1772
Western Plains Regional (A)	Status in employment not stated	291
Willoughby (C)	Contributing family workers	517
Willoughby (C)	Employee	51587
Willoughby (C)	Owner managers of incorporated enterprises	4225
Willoughby (C)	Owner managers of unincorporated enterprises	2730
Willoughby (C)	Status in employment not stated	383
Wingecarribee (A)	Contributing family workers	501
