LGA_NAME16	CountryOfBirth	EmploymentStatus	workers
Armidale Regional (A)	GBR	Status in employment not stated	5
Armidale Regional (A)	USA	Contributing family workers	3
Armidale Regional (A)	USA	Employee	53
Armidale Regional (A)	USA	Owner managers of incorporated enterprises	3
Armidale Regional (A)	USA	Owner managers of unincorporated enterprises	13
Armidale Regional (A)	VNM	Employee	20
Armidale Regional (A)	VNM	Owner managers of incorporated enterprises	7
Armidale Regional (A)	ZWE	Employee	14
Ballina (A)		Contributing family workers	17
Ballina (A)		Employee	331
Ballina (A)		Owner managers of incorporated enterprises	46
Ballina (A)		Owner managers of unincorporated enterprises	82
Ballina (A)		Status in employment not stated	23
Ballina (A)	AUS	Contributing family workers	285
Ballina (A)	AUS	Employee	9882
Ballina (A)	AUS	Owner managers of incorporated enterprises	910
Ballina (A)	AUS	Owner managers of unincorporated enterprises	1515
Ballina (A)	AUS	Status in employment not stated	142
Ballina (A)	CAN	Employee	37
Ballina (A)	CAN	Owner managers of incorporated enterprises	3
Ballina (A)	CAN	Owner managers of unincorporated enterprises	6
Ballina (A)	CHN	Employee	18
Ballina (A)	CHN	Owner managers of unincorporated enterprises	15
Ballina (A)	EGY	Employee	3
Ballina (A)	FJI	Contributing family workers	3
Ballina (A)	FJI	Employee	12
Ballina (A)	FJI	Owner managers of incorporated enterprises	5
Ballina (A)	DEU	Contributing family workers	4
Ballina (A)	DEU	Employee	36
Ballina (A)	DEU	Owner managers of incorporated enterprises	5
Ballina (A)	DEU	Owner managers of unincorporated enterprises	7
Ballina (A)	GRC	Employee	7
Ballina (A)	HKG	Employee	7
Ballina (A)	HKG	Owner managers of incorporated enterprises	3
Ballina (A)	IND	Contributing family workers	3
Ballina (A)	IND	Employee	49
Ballina (A)	IND	Owner managers of incorporated enterprises	6
Ballina (A)	IND	Owner managers of unincorporated enterprises	6
Ballina (A)	IDN	Employee	18
Ballina (A)	IRN	Employee	3
Ballina (A)	IRN	Owner managers of unincorporated enterprises	3
Ballina (A)	IRL	Employee	20
Ballina (A)	IRL	Owner managers of incorporated enterprises	5
Ballina (A)	IRL	Owner managers of unincorporated enterprises	4
Ballina (A)	ITA	Employee	23
Ballina (A)	ITA	Owner managers of incorporated enterprises	5
Ballina (A)	ITA	Owner managers of unincorporated enterprises	5
Ballina (A)	JPN	Employee	19
Ballina (A)	JPN	Owner managers of unincorporated enterprises	9
Ballina (A)	MYS	Employee	19
Ballina (A)	MYS	Owner managers of incorporated enterprises	3
Ballina (A)	MYS	Owner managers of unincorporated enterprises	3
Ballina (A)	MLT	Employee	6
Ballina (A)	NLD	Contributing family workers	3
Ballina (A)	NLD	Employee	30
Ballina (A)	NLD	Owner managers of incorporated enterprises	3
Ballina (A)	NLD	Owner managers of unincorporated enterprises	11
Ballina (A)	NZL	Contributing family workers	9
Ballina (A)	NZL	Employee	262
Ballina (A)	NZL	Owner managers of incorporated enterprises	23
Ballina (A)	NZL	Owner managers of unincorporated enterprises	55
Ballina (A)	PHL	Employee	53
Ballina (A)	PHL	Owner managers of unincorporated enterprises	3
Ballina (A)	PHL	Status in employment not stated	3
Ballina (A)	POL	Employee	7
Ballina (A)	POL	Owner managers of unincorporated enterprises	3
Ballina (A)	SGP	Employee	6
Ballina (A)	ZAF	Contributing family workers	4
Ballina (A)	ZAF	Employee	59
Ballina (A)	ZAF	Owner managers of incorporated enterprises	14
Ballina (A)	ZAF	Owner managers of unincorporated enterprises	21
Ballina (A)	KOR	Employee	10
Ballina (A)	KOR	Owner managers of incorporated enterprises	3
Ballina (A)	LKA	Employee	7
Ballina (A)	THA	Employee	24
Ballina (A)	THA	Owner managers of unincorporated enterprises	7
Ballina (A)	TUR	Employee	3
Ballina (A)	GBR	Contributing family workers	18
Ballina (A)	GBR	Employee	372
Ballina (A)	GBR	Owner managers of incorporated enterprises	53
Ballina (A)	GBR	Owner managers of unincorporated enterprises	85
Ballina (A)	GBR	Status in employment not stated	4
Ballina (A)	USA	Employee	38
Ballina (A)	USA	Owner managers of incorporated enterprises	3
Ballina (A)	USA	Owner managers of unincorporated enterprises	18
Ballina (A)	VNM	Employee	7
Ballina (A)	VNM	Owner managers of incorporated enterprises	3
Ballina (A)	VNM	Owner managers of unincorporated enterprises	3
Ballina (A)	ZWE	Employee	14
Ballina (A)	ZWE	Owner managers of incorporated enterprises	3
Ballina (A)	ZWE	Owner managers of unincorporated enterprises	3
Balranald (A)		Contributing family workers	5
Balranald (A)		Employee	32
Balranald (A)		Status in employment not stated	3
Balranald (A)	AUS	Contributing family workers	51
Balranald (A)	AUS	Employee	469
Balranald (A)	AUS	Owner managers of incorporated enterprises	75
Balranald (A)	AUS	Owner managers of unincorporated enterprises	97
Balranald (A)	AUS	Status in employment not stated	14
Balranald (A)	FJI	Employee	4
Balranald (A)	MYS	Employee	5
Balranald (A)	NZL	Employee	9
Balranald (A)	PHL	Employee	5
Balranald (A)	THA	Employee	3
Balranald (A)	GBR	Employee	9
Bathurst Regional (A)		Contributing family workers	7
Bathurst Regional (A)		Employee	384
Bathurst Regional (A)		Owner managers of incorporated enterprises	28
Bathurst Regional (A)		Owner managers of unincorporated enterprises	56
Bathurst Regional (A)		Status in employment not stated	15
Bathurst Regional (A)	AUS	Contributing family workers	307
Bathurst Regional (A)	AUS	Employee	13009
Bathurst Regional (A)	AUS	Owner managers of incorporated enterprises	852
Bathurst Regional (A)	AUS	Owner managers of unincorporated enterprises	1128
Bathurst Regional (A)	AUS	Status in employment not stated	171
Bathurst Regional (A)	CAN	Employee	27
Bathurst Regional (A)	CAN	Status in employment not stated	3
Bathurst Regional (A)	CHN	Contributing family workers	4
Bathurst Regional (A)	CHN	Employee	45
Bathurst Regional (A)	CHN	Owner managers of incorporated enterprises	4
Bathurst Regional (A)	CHN	Owner managers of unincorporated enterprises	9
Bathurst Regional (A)	HRV	Employee	3
Bathurst Regional (A)	EGY	Employee	7
Bathurst Regional (A)	EGY	Owner managers of unincorporated enterprises	5
Bathurst Regional (A)	FJI	Employee	13
Bathurst Regional (A)	FJI	Owner managers of unincorporated enterprises	4
Bathurst Regional (A)	MKD	Employee	3
Bathurst Regional (A)	DEU	Employee	29
Bathurst Regional (A)	DEU	Owner managers of incorporated enterprises	3
Bathurst Regional (A)	DEU	Owner managers of unincorporated enterprises	3
Bathurst Regional (A)	GRC	Contributing family workers	4
Bathurst Regional (A)	GRC	Employee	3
Bathurst Regional (A)	HKG	Employee	11
Bathurst Regional (A)	IND	Contributing family workers	3
Bathurst Regional (A)	IND	Employee	100
Bathurst Regional (A)	IND	Owner managers of incorporated enterprises	13
Bathurst Regional (A)	IND	Owner managers of unincorporated enterprises	7
Bathurst Regional (A)	IDN	Employee	3
Bathurst Regional (A)	IDN	Owner managers of unincorporated enterprises	3
Bathurst Regional (A)	IRN	Employee	14
Bathurst Regional (A)	IRL	Employee	24
Bathurst Regional (A)	IRL	Owner managers of incorporated enterprises	5
Bathurst Regional (A)	IRL	Owner managers of unincorporated enterprises	3
Bathurst Regional (A)	ITA	Employee	13
Bathurst Regional (A)	ITA	Owner managers of unincorporated enterprises	3
Bathurst Regional (A)	JPN	Employee	10
Bathurst Regional (A)	JPN	Owner managers of unincorporated enterprises	3
Bathurst Regional (A)	LBN	Contributing family workers	3
Bathurst Regional (A)	LBN	Employee	6
Bathurst Regional (A)	LBN	Owner managers of unincorporated enterprises	6
Bathurst Regional (A)	MYS	Employee	20
Bathurst Regional (A)	MLT	Employee	7
Bathurst Regional (A)	MLT	Owner managers of unincorporated enterprises	3
Bathurst Regional (A)	NLD	Contributing family workers	3
Bathurst Regional (A)	NLD	Employee	20
Bathurst Regional (A)	NLD	Owner managers of incorporated enterprises	4
Bathurst Regional (A)	NLD	Owner managers of unincorporated enterprises	8
Bathurst Regional (A)	NZL	Contributing family workers	3
Bathurst Regional (A)	NZL	Employee	194
Bathurst Regional (A)	NZL	Owner managers of incorporated enterprises	24
Bathurst Regional (A)	NZL	Owner managers of unincorporated enterprises	16
Bathurst Regional (A)	PAK	Employee	9
Bathurst Regional (A)	PHL	Contributing family workers	3
Bathurst Regional (A)	PHL	Employee	95
Bathurst Regional (A)	POL	Employee	4
Bathurst Regional (A)	SGP	Employee	7
Bathurst Regional (A)	SGP	Owner managers of unincorporated enterprises	3
Bathurst Regional (A)	ZAF	Employee	46
Bathurst Regional (A)	ZAF	Owner managers of incorporated enterprises	10
Bathurst Regional (A)	ZAF	Owner managers of unincorporated enterprises	3
Bathurst Regional (A)	KOR	Employee	11
Bathurst Regional (A)	LKA	Employee	27
Bathurst Regional (A)	LKA	Owner managers of incorporated enterprises	4
Bathurst Regional (A)	LKA	Owner managers of unincorporated enterprises	3
Bathurst Regional (A)	THA	Employee	31
Bathurst Regional (A)	THA	Owner managers of incorporated enterprises	3
Bathurst Regional (A)	THA	Owner managers of unincorporated enterprises	5
Bathurst Regional (A)	GBR	Contributing family workers	12
Bathurst Regional (A)	GBR	Employee	349
Bathurst Regional (A)	GBR	Owner managers of incorporated enterprises	23
Bathurst Regional (A)	GBR	Owner managers of unincorporated enterprises	44
Bathurst Regional (A)	GBR	Status in employment not stated	6
Bathurst Regional (A)	USA	Contributing family workers	3
Bathurst Regional (A)	USA	Employee	35
Bathurst Regional (A)	USA	Owner managers of incorporated enterprises	3
Bathurst Regional (A)	USA	Owner managers of unincorporated enterprises	3
Bathurst Regional (A)	VNM	Employee	19
Bathurst Regional (A)	VNM	Owner managers of incorporated enterprises	3
Bathurst Regional (A)	VNM	Owner managers of unincorporated enterprises	6
Bathurst Regional (A)	ZWE	Employee	15
Bega Valley (A)		Contributing family workers	7
Bega Valley (A)		Employee	346
Bega Valley (A)		Owner managers of incorporated enterprises	30
Bega Valley (A)		Owner managers of unincorporated enterprises	78
Bega Valley (A)		Status in employment not stated	16
Bega Valley (A)	AUS	Contributing family workers	293
Bega Valley (A)	AUS	Employee	7832
Bega Valley (A)	AUS	Owner managers of incorporated enterprises	779
Bega Valley (A)	AUS	Owner managers of unincorporated enterprises	1243
Bega Valley (A)	AUS	Status in employment not stated	161
Bega Valley (A)	CAN	Employee	22
Bega Valley (A)	CHN	Contributing family workers	3
Bega Valley (A)	CHN	Employee	8
Bega Valley (A)	CHN	Owner managers of incorporated enterprises	3
Bega Valley (A)	CHN	Owner managers of unincorporated enterprises	8
Bega Valley (A)	EGY	Employee	3
Bega Valley (A)	FJI	Employee	9
Bega Valley (A)	FJI	Owner managers of unincorporated enterprises	3
Bega Valley (A)	DEU	Contributing family workers	5
Bega Valley (A)	DEU	Employee	44
Bega Valley (A)	DEU	Owner managers of incorporated enterprises	11
Bega Valley (A)	DEU	Owner managers of unincorporated enterprises	10
Bega Valley (A)	GRC	Contributing family workers	3
Bega Valley (A)	GRC	Employee	3
Bega Valley (A)	HKG	Employee	3
Bega Valley (A)	IND	Employee	24
Bega Valley (A)	IND	Owner managers of incorporated enterprises	3
Bega Valley (A)	IND	Owner managers of unincorporated enterprises	3
Bega Valley (A)	IRN	Employee	4
Bega Valley (A)	IRQ	Employee	3
Bega Valley (A)	IRL	Employee	11
Bega Valley (A)	IRL	Owner managers of unincorporated enterprises	3
Bega Valley (A)	ITA	Employee	12
Bega Valley (A)	ITA	Owner managers of unincorporated enterprises	4
Bega Valley (A)	JPN	Employee	9
Bega Valley (A)	MYS	Employee	10
Bega Valley (A)	MYS	Owner managers of unincorporated enterprises	4
Bega Valley (A)	NLD	Contributing family workers	3
Bega Valley (A)	NLD	Employee	25
Bega Valley (A)	NLD	Owner managers of incorporated enterprises	4
Bega Valley (A)	NLD	Owner managers of unincorporated enterprises	7
Bega Valley (A)	NZL	Employee	138
Bega Valley (A)	NZL	Owner managers of incorporated enterprises	17
Bega Valley (A)	NZL	Owner managers of unincorporated enterprises	13
Bega Valley (A)	PHL	Employee	54
Bega Valley (A)	PHL	Owner managers of incorporated enterprises	3
Bega Valley (A)	PHL	Owner managers of unincorporated enterprises	4
Bega Valley (A)	PHL	Status in employment not stated	5
Bega Valley (A)	POL	Employee	4
Bega Valley (A)	SGP	Employee	10
Bega Valley (A)	ZAF	Contributing family workers	3
Bega Valley (A)	ZAF	Employee	17
Bega Valley (A)	ZAF	Owner managers of incorporated enterprises	7
Bega Valley (A)	ZAF	Owner managers of unincorporated enterprises	4
Bega Valley (A)	KOR	Employee	5
Bega Valley (A)	KOR	Owner managers of unincorporated enterprises	3
Bega Valley (A)	THA	Employee	23
Bega Valley (A)	THA	Owner managers of incorporated enterprises	5
Bega Valley (A)	THA	Owner managers of unincorporated enterprises	3
Bega Valley (A)	GBR	Contributing family workers	17
Bega Valley (A)	GBR	Employee	342
Bega Valley (A)	GBR	Owner managers of incorporated enterprises	34
Bega Valley (A)	GBR	Owner managers of unincorporated enterprises	90
Bega Valley (A)	GBR	Status in employment not stated	4
Bega Valley (A)	USA	Contributing family workers	3
Bega Valley (A)	USA	Employee	27
Bega Valley (A)	USA	Owner managers of incorporated enterprises	5
Bega Valley (A)	USA	Owner managers of unincorporated enterprises	5
Bega Valley (A)	VNM	Employee	11
Bega Valley (A)	VNM	Owner managers of unincorporated enterprises	3
Bega Valley (A)	ZWE	Employee	4
Bega Valley (A)	ZWE	Owner managers of unincorporated enterprises	4
Bellingen (A)		Contributing family workers	4
Bellingen (A)		Employee	97
Bellingen (A)		Owner managers of incorporated enterprises	7
Bellingen (A)		Owner managers of unincorporated enterprises	31
Bellingen (A)		Status in employment not stated	6
Bellingen (A)	AUS	Contributing family workers	138
Bellingen (A)	AUS	Employee	2128
Bellingen (A)	AUS	Owner managers of incorporated enterprises	180
Bellingen (A)	AUS	Owner managers of unincorporated enterprises	538
Bellingen (A)	AUS	Status in employment not stated	50
Bellingen (A)	CAN	Employee	5
Bellingen (A)	CHN	Employee	3
Bellingen (A)	CHN	Owner managers of unincorporated enterprises	4
Bellingen (A)	DEU	Employee	17
Bellingen (A)	DEU	Owner managers of incorporated enterprises	4
Bellingen (A)	DEU	Owner managers of unincorporated enterprises	10
Bellingen (A)	IND	Employee	9
Bellingen (A)	IDN	Employee	3
Bellingen (A)	IRL	Employee	6
Bellingen (A)	IRL	Owner managers of incorporated enterprises	3
Bellingen (A)	IRL	Owner managers of unincorporated enterprises	3
Bellingen (A)	ITA	Employee	3
Bellingen (A)	JPN	Employee	3
Bellingen (A)	MYS	Employee	3
Bellingen (A)	MYS	Owner managers of unincorporated enterprises	4
Bellingen (A)	NLD	Employee	5
Bellingen (A)	NZL	Contributing family workers	3
Bellingen (A)	NZL	Employee	38
Bellingen (A)	NZL	Owner managers of incorporated enterprises	3
Bellingen (A)	NZL	Owner managers of unincorporated enterprises	14
Bellingen (A)	NZL	Status in employment not stated	4
Bellingen (A)	PAK	Employee	3
Bellingen (A)	PHL	Employee	3
Bellingen (A)	ZAF	Employee	14
Bellingen (A)	ZAF	Owner managers of incorporated enterprises	6
Bellingen (A)	ZAF	Owner managers of unincorporated enterprises	7
Bellingen (A)	GBR	Contributing family workers	13
Bellingen (A)	GBR	Employee	118
Bellingen (A)	GBR	Owner managers of incorporated enterprises	14
Bellingen (A)	GBR	Owner managers of unincorporated enterprises	52
Bellingen (A)	GBR	Status in employment not stated	3
Bellingen (A)	USA	Employee	6
Bellingen (A)	USA	Owner managers of unincorporated enterprises	6
Berrigan (A)		Contributing family workers	9
Berrigan (A)		Employee	65
Berrigan (A)		Owner managers of incorporated enterprises	3
Berrigan (A)		Owner managers of unincorporated enterprises	14
Berrigan (A)	AUS	Contributing family workers	159
Berrigan (A)	AUS	Employee	1620
Berrigan (A)	AUS	Owner managers of incorporated enterprises	253
Berrigan (A)	AUS	Owner managers of unincorporated enterprises	322
Berrigan (A)	AUS	Status in employment not stated	53
Berrigan (A)	CAN	Employee	3
Berrigan (A)	CHN	Employee	4
Berrigan (A)	CHN	Owner managers of unincorporated enterprises	8
Berrigan (A)	EGY	Employee	4
Berrigan (A)	IND	Employee	19
Berrigan (A)	IRQ	Employee	3
Berrigan (A)	IRL	Employee	4
Berrigan (A)	ITA	Employee	3
Berrigan (A)	MYS	Employee	4
Berrigan (A)	NLD	Contributing family workers	4
Berrigan (A)	NLD	Employee	4
Berrigan (A)	NLD	Owner managers of incorporated enterprises	3
Berrigan (A)	NZL	Contributing family workers	5
Berrigan (A)	NZL	Employee	32
Berrigan (A)	NZL	Owner managers of incorporated enterprises	3
Berrigan (A)	NZL	Owner managers of unincorporated enterprises	10
Berrigan (A)	PHL	Employee	10
Berrigan (A)	PHL	Owner managers of incorporated enterprises	3
Berrigan (A)	ZAF	Employee	10
Berrigan (A)	KOR	Employee	3
Berrigan (A)	LKA	Employee	4
Berrigan (A)	LKA	Owner managers of incorporated enterprises	3
Berrigan (A)	GBR	Contributing family workers	4
Berrigan (A)	GBR	Employee	31
Berrigan (A)	GBR	Owner managers of incorporated enterprises	5
Berrigan (A)	GBR	Owner managers of unincorporated enterprises	7
Berrigan (A)	USA	Employee	3
Blacktown (C)		Contributing family workers	121
Blacktown (C)		Employee	7592
Blacktown (C)		Owner managers of incorporated enterprises	627
Blacktown (C)		Owner managers of unincorporated enterprises	736
Blacktown (C)		Status in employment not stated	172
Blacktown (C)	AUS	Contributing family workers	401
Blacktown (C)	AUS	Employee	54896
Blacktown (C)	AUS	Owner managers of incorporated enterprises	3166
Blacktown (C)	AUS	Owner managers of unincorporated enterprises	2443
Blacktown (C)	AUS	Status in employment not stated	504
Blacktown (C)	CAN	Employee	99
Blacktown (C)	CAN	Owner managers of incorporated enterprises	12
Blacktown (C)	CAN	Owner managers of unincorporated enterprises	8
Blacktown (C)	CHN	Contributing family workers	84
Blacktown (C)	CHN	Employee	1754
Blacktown (C)	CHN	Owner managers of incorporated enterprises	297
Blacktown (C)	CHN	Owner managers of unincorporated enterprises	229
Blacktown (C)	CHN	Status in employment not stated	16
Blacktown (C)	HRV	Contributing family workers	3
Blacktown (C)	HRV	Employee	251
Blacktown (C)	HRV	Owner managers of incorporated enterprises	21
Blacktown (C)	HRV	Owner managers of unincorporated enterprises	21
Blacktown (C)	HRV	Status in employment not stated	8
Blacktown (C)	EGY	Contributing family workers	7
Blacktown (C)	EGY	Employee	375
Blacktown (C)	EGY	Owner managers of incorporated enterprises	91
Blacktown (C)	EGY	Owner managers of unincorporated enterprises	53
Blacktown (C)	EGY	Status in employment not stated	6
Blacktown (C)	FJI	Contributing family workers	23
Blacktown (C)	FJI	Employee	1711
Blacktown (C)	FJI	Owner managers of incorporated enterprises	151
Blacktown (C)	FJI	Owner managers of unincorporated enterprises	103
Blacktown (C)	FJI	Status in employment not stated	23
Blacktown (C)	MKD	Employee	104
Blacktown (C)	MKD	Owner managers of incorporated enterprises	15
Blacktown (C)	MKD	Owner managers of unincorporated enterprises	9
Blacktown (C)	DEU	Contributing family workers	9
Blacktown (C)	DEU	Employee	218
Blacktown (C)	DEU	Owner managers of incorporated enterprises	18
Blacktown (C)	DEU	Owner managers of unincorporated enterprises	16
Blacktown (C)	GRC	Contributing family workers	6
Blacktown (C)	GRC	Employee	81
Blacktown (C)	GRC	Owner managers of incorporated enterprises	20
Blacktown (C)	GRC	Owner managers of unincorporated enterprises	17
Blacktown (C)	GRC	Status in employment not stated	3
Blacktown (C)	HKG	Contributing family workers	3
Blacktown (C)	HKG	Employee	410
Blacktown (C)	HKG	Owner managers of incorporated enterprises	31
Blacktown (C)	HKG	Owner managers of unincorporated enterprises	33
Blacktown (C)	IND	Contributing family workers	93
Blacktown (C)	IND	Employee	4926
Blacktown (C)	IND	Owner managers of incorporated enterprises	620
Blacktown (C)	IND	Owner managers of unincorporated enterprises	569
Blacktown (C)	IND	Status in employment not stated	47
Blacktown (C)	IDN	Contributing family workers	4
Blacktown (C)	IDN	Employee	339
Blacktown (C)	IDN	Owner managers of incorporated enterprises	24
Blacktown (C)	IDN	Owner managers of unincorporated enterprises	41
Blacktown (C)	IRN	Contributing family workers	15
Blacktown (C)	IRN	Employee	355
Blacktown (C)	IRN	Owner managers of incorporated enterprises	69
Blacktown (C)	IRN	Owner managers of unincorporated enterprises	41
Blacktown (C)	IRN	Status in employment not stated	5
Blacktown (C)	IRQ	Contributing family workers	7
Blacktown (C)	IRQ	Employee	502
Blacktown (C)	IRQ	Owner managers of incorporated enterprises	71
Blacktown (C)	IRQ	Owner managers of unincorporated enterprises	62
Blacktown (C)	IRQ	Status in employment not stated	6
Blacktown (C)	IRL	Employee	292
