LGA_NAME16	Occupation	OccupationSubtype	Sex	workers
Albury (C)	Managers	Specialist managers	M	740
Albury (C)	Professionals	Arts and media professionals	F	75
Albury (C)	Professionals	Arts and media professionals	M	74
Albury (C)	Professionals	Business human resource and marketing professionals	F	535
Albury (C)	Professionals	Business human resource and marketing professionals	M	534
Albury (C)	Professionals	Design engineering science and transport professionals	F	114
Albury (C)	Professionals	Design engineering science and transport professionals	M	306
Albury (C)	Professionals	Education professionals	F	844
Albury (C)	Professionals	Education professionals	M	330
Albury (C)	Professionals	Health professionals	F	1194
Albury (C)	Professionals	Health professionals	M	350
Albury (C)	Professionals	Information and Communication Technology ICT professionals	F	34
Albury (C)	Professionals	Information and Communication Technology ICT professionals	M	119
Albury (C)	Professionals	Legal social and welfare professionals	F	266
Albury (C)	Professionals	Legal social and welfare professionals	M	135
Albury (C)	Professionals	Professionals nfd	F	18
Albury (C)	Professionals	Professionals nfd	M	18
Albury (C)	Sales workers	Sales assistants and salespersons	F	1545
Albury (C)	Sales workers	Sales assistants and salespersons	M	749
Albury (C)	Sales workers	Sales representatives and agents	F	154
Albury (C)	Sales workers	Sales representatives and agents	M	249
Albury (C)	Sales workers	Sales support workers	F	307
Albury (C)	Sales workers	Sales support workers	M	94
Albury (C)	Sales workers	Sales workers nfd	M	3
Albury (C)	Technicians and trades workers	Automotive and engineering trades workers	F	19
Albury (C)	Technicians and trades workers	Automotive and engineering trades workers	M	789
Albury (C)	Technicians and trades workers	Construction trades workers	F	6
Albury (C)	Technicians and trades workers	Construction trades workers	M	531
Albury (C)	Technicians and trades workers	Electrotechnology and telecommunications trades workers	F	12
Albury (C)	Technicians and trades workers	Electrotechnology and telecommunications trades workers	M	436
Albury (C)	Technicians and trades workers	Engineering ICT and science technicians	F	107
Albury (C)	Technicians and trades workers	Engineering ICT and science technicians	M	268
Albury (C)	Technicians and trades workers	Food trades workers	F	173
Albury (C)	Technicians and trades workers	Food trades workers	M	266
Albury (C)	Technicians and trades workers	Other technicians and trades workers	F	238
Albury (C)	Technicians and trades workers	Other technicians and trades workers	M	206
Albury (C)	Technicians and trades workers	Skilled animal and horticultural workers	F	66
Albury (C)	Technicians and trades workers	Skilled animal and horticultural workers	M	126
Albury (C)	Technicians and trades workers	Technicians and trades workers nfd	F	3
Albury (C)	Technicians and trades workers	Technicians and trades workers nfd	M	41
Armidale Regional (A)			F	82
Armidale Regional (A)			M	97
Armidale Regional (A)	Clerical and administrative workers	Clerical and administrative workers nfd	F	3
Armidale Regional (A)	Clerical and administrative workers	Clerical and office support workers	F	38
Armidale Regional (A)	Clerical and administrative workers	Clerical and office support workers	M	43
Armidale Regional (A)	Clerical and administrative workers	General clerical workers	F	349
Armidale Regional (A)	Clerical and administrative workers	General clerical workers	M	49
Armidale Regional (A)	Clerical and administrative workers	Inquiry clerks and receptionists	F	233
Armidale Regional (A)	Clerical and administrative workers	Inquiry clerks and receptionists	M	23
Armidale Regional (A)	Clerical and administrative workers	Numerical clerks	F	276
Armidale Regional (A)	Clerical and administrative workers	Numerical clerks	M	69
Armidale Regional (A)	Clerical and administrative workers	Office managers and program administrators	F	262
Armidale Regional (A)	Clerical and administrative workers	Office managers and program administrators	M	64
Armidale Regional (A)	Clerical and administrative workers	Other clerical and administrative workers	F	108
Armidale Regional (A)	Clerical and administrative workers	Other clerical and administrative workers	M	75
Armidale Regional (A)	Clerical and administrative workers	Personal assistants and secretaries	F	137
Armidale Regional (A)	Clerical and administrative workers	Personal assistants and secretaries	M	4
Armidale Regional (A)	Community and personal service workers	Carers and aides	F	521
Armidale Regional (A)	Community and personal service workers	Carers and aides	M	146
Armidale Regional (A)	Community and personal service workers	Health and welfare support workers	F	146
Armidale Regional (A)	Community and personal service workers	Health and welfare support workers	M	73
Armidale Regional (A)	Community and personal service workers	Hospitality workers	F	245
Armidale Regional (A)	Community and personal service workers	Hospitality workers	M	106
Armidale Regional (A)	Community and personal service workers	Protective service workers	F	19
Armidale Regional (A)	Community and personal service workers	Protective service workers	M	102
Armidale Regional (A)	Community and personal service workers	Sports and personal service workers	F	91
Armidale Regional (A)	Community and personal service workers	Sports and personal service workers	M	47
Armidale Regional (A)	Labourers	Cleaners and laundry workers	F	220
Armidale Regional (A)	Labourers	Cleaners and laundry workers	M	161
Armidale Regional (A)	Labourers	Construction and mining labourers	M	88
Armidale Regional (A)	Labourers	Factory process workers	F	57
Armidale Regional (A)	Labourers	Factory process workers	M	77
Armidale Regional (A)	Labourers	Farm forestry and garden workers	F	80
Armidale Regional (A)	Labourers	Farm forestry and garden workers	M	266
Armidale Regional (A)	Labourers	Food preparation assistants	F	113
Armidale Regional (A)	Labourers	Food preparation assistants	M	106
Armidale Regional (A)	Labourers	Labourers nfd	F	4
Armidale Regional (A)	Labourers	Labourers nfd	M	22
Armidale Regional (A)	Labourers	Other labourers	F	42
Armidale Regional (A)	Labourers	Other labourers	M	152
Armidale Regional (A)	Machinery operators and drivers	Machine and stationary plant operators	F	6
Armidale Regional (A)	Machinery operators and drivers	Machine and stationary plant operators	M	66
Armidale Regional (A)	Machinery operators and drivers	Machinery operators and drivers nfd	M	11
Armidale Regional (A)	Machinery operators and drivers	Mobile plant operators	F	6
Armidale Regional (A)	Machinery operators and drivers	Mobile plant operators	M	79
Armidale Regional (A)	Machinery operators and drivers	Road and rail drivers	F	19
Armidale Regional (A)	Machinery operators and drivers	Road and rail drivers	M	249
Armidale Regional (A)	Machinery operators and drivers	Storepersons	F	3
Armidale Regional (A)	Machinery operators and drivers	Storepersons	M	41
Armidale Regional (A)	Managers	Chief executives general managers and legislators	F	22
Armidale Regional (A)	Managers	Chief executives general managers and legislators	M	64
Armidale Regional (A)	Managers	Farmers and farm managers	F	221
Armidale Regional (A)	Managers	Farmers and farm managers	M	520
Armidale Regional (A)	Managers	Hospitality retail and service managers	F	226
Armidale Regional (A)	Managers	Hospitality retail and service managers	M	286
Armidale Regional (A)	Managers	Managers nfd	F	8
Armidale Regional (A)	Managers	Managers nfd	M	17
Armidale Regional (A)	Managers	Specialist managers	F	217
Armidale Regional (A)	Managers	Specialist managers	M	345
Armidale Regional (A)	Professionals	Arts and media professionals	F	30
Armidale Regional (A)	Professionals	Arts and media professionals	M	27
Armidale Regional (A)	Professionals	Business human resource and marketing professionals	F	236
Armidale Regional (A)	Professionals	Business human resource and marketing professionals	M	235
Armidale Regional (A)	Professionals	Design engineering science and transport professionals	F	93
Armidale Regional (A)	Professionals	Design engineering science and transport professionals	M	192
Armidale Regional (A)	Professionals	Education professionals	F	792
Armidale Regional (A)	Professionals	Education professionals	M	455
Armidale Regional (A)	Professionals	Health professionals	F	467
Armidale Regional (A)	Professionals	Health professionals	M	143
Armidale Regional (A)	Professionals	Information and Communication Technology ICT professionals	F	20
Armidale Regional (A)	Professionals	Information and Communication Technology ICT professionals	M	109
Armidale Regional (A)	Professionals	Legal social and welfare professionals	F	164
Armidale Regional (A)	Professionals	Legal social and welfare professionals	M	103
Armidale Regional (A)	Professionals	Professionals nfd	F	41
Armidale Regional (A)	Professionals	Professionals nfd	M	31
Armidale Regional (A)	Sales workers	Sales assistants and salespersons	F	606
Armidale Regional (A)	Sales workers	Sales assistants and salespersons	M	382
Armidale Regional (A)	Sales workers	Sales representatives and agents	F	64
Armidale Regional (A)	Sales workers	Sales representatives and agents	M	82
Armidale Regional (A)	Sales workers	Sales support workers	F	129
Armidale Regional (A)	Sales workers	Sales support workers	M	61
Armidale Regional (A)	Sales workers	Sales workers nfd	M	4
Armidale Regional (A)	Technicians and trades workers	Automotive and engineering trades workers	M	260
Armidale Regional (A)	Technicians and trades workers	Construction trades workers	M	232
Armidale Regional (A)	Technicians and trades workers	Electrotechnology and telecommunications trades workers	F	3
Armidale Regional (A)	Technicians and trades workers	Electrotechnology and telecommunications trades workers	M	145
Armidale Regional (A)	Technicians and trades workers	Engineering ICT and science technicians	F	84
Armidale Regional (A)	Technicians and trades workers	Engineering ICT and science technicians	M	152
Armidale Regional (A)	Technicians and trades workers	Food trades workers	F	64
Armidale Regional (A)	Technicians and trades workers	Food trades workers	M	141
Armidale Regional (A)	Technicians and trades workers	Other technicians and trades workers	F	91
Armidale Regional (A)	Technicians and trades workers	Other technicians and trades workers	M	75
Armidale Regional (A)	Technicians and trades workers	Skilled animal and horticultural workers	F	56
Armidale Regional (A)	Technicians and trades workers	Skilled animal and horticultural workers	M	111
Armidale Regional (A)	Technicians and trades workers	Technicians and trades workers nfd	M	14
Ballina (A)			F	102
Ballina (A)			M	120
Ballina (A)	Clerical and administrative workers	Clerical and office support workers	F	40
Ballina (A)	Clerical and administrative workers	Clerical and office support workers	M	51
Ballina (A)	Clerical and administrative workers	General clerical workers	F	341
Ballina (A)	Clerical and administrative workers	General clerical workers	M	40
Ballina (A)	Clerical and administrative workers	Inquiry clerks and receptionists	F	264
Ballina (A)	Clerical and administrative workers	Inquiry clerks and receptionists	M	10
Ballina (A)	Clerical and administrative workers	Numerical clerks	F	303
Ballina (A)	Clerical and administrative workers	Numerical clerks	M	38
Ballina (A)	Clerical and administrative workers	Office managers and program administrators	F	266
Ballina (A)	Clerical and administrative workers	Office managers and program administrators	M	55
Ballina (A)	Clerical and administrative workers	Other clerical and administrative workers	F	98
Ballina (A)	Clerical and administrative workers	Other clerical and administrative workers	M	68
Ballina (A)	Clerical and administrative workers	Personal assistants and secretaries	F	135
Ballina (A)	Community and personal service workers	Carers and aides	F	774
Ballina (A)	Community and personal service workers	Carers and aides	M	168
Ballina (A)	Community and personal service workers	Health and welfare support workers	F	188
Ballina (A)	Community and personal service workers	Health and welfare support workers	M	58
Ballina (A)	Community and personal service workers	Hospitality workers	F	335
Ballina (A)	Community and personal service workers	Hospitality workers	M	102
Ballina (A)	Community and personal service workers	Protective service workers	F	29
Ballina (A)	Community and personal service workers	Protective service workers	M	80
Ballina (A)	Community and personal service workers	Sports and personal service workers	F	161
Ballina (A)	Community and personal service workers	Sports and personal service workers	M	70
Ballina (A)	Labourers	Cleaners and laundry workers	F	238
Ballina (A)	Labourers	Cleaners and laundry workers	M	144
Ballina (A)	Labourers	Construction and mining labourers	F	3
Ballina (A)	Labourers	Construction and mining labourers	M	185
Ballina (A)	Labourers	Factory process workers	F	70
Ballina (A)	Labourers	Factory process workers	M	111
Ballina (A)	Labourers	Farm forestry and garden workers	F	96
Ballina (A)	Labourers	Farm forestry and garden workers	M	246
Ballina (A)	Labourers	Food preparation assistants	F	152
Ballina (A)	Labourers	Food preparation assistants	M	129
Ballina (A)	Labourers	Labourers nfd	F	3
Ballina (A)	Labourers	Labourers nfd	M	37
Ballina (A)	Labourers	Other labourers	F	56
Ballina (A)	Labourers	Other labourers	M	224
Ballina (A)	Machinery operators and drivers	Machine and stationary plant operators	F	21
Ballina (A)	Machinery operators and drivers	Machine and stationary plant operators	M	97
Ballina (A)	Machinery operators and drivers	Machinery operators and drivers nfd	M	26
Ballina (A)	Machinery operators and drivers	Mobile plant operators	M	119
Ballina (A)	Machinery operators and drivers	Road and rail drivers	F	19
Ballina (A)	Machinery operators and drivers	Road and rail drivers	M	352
Ballina (A)	Machinery operators and drivers	Storepersons	F	15
Ballina (A)	Machinery operators and drivers	Storepersons	M	67
Ballina (A)	Managers	Chief executives general managers and legislators	F	38
Ballina (A)	Managers	Chief executives general managers and legislators	M	94
Ballina (A)	Managers	Farmers and farm managers	F	122
Ballina (A)	Managers	Farmers and farm managers	M	286
Ballina (A)	Managers	Hospitality retail and service managers	F	345
Ballina (A)	Managers	Hospitality retail and service managers	M	400
Ballina (A)	Managers	Managers nfd	F	9
Ballina (A)	Managers	Managers nfd	M	21
Ballina (A)	Managers	Specialist managers	F	219
Ballina (A)	Managers	Specialist managers	M	425
Ballina (A)	Professionals	Arts and media professionals	F	43
Ballina (A)	Professionals	Arts and media professionals	M	56
Ballina (A)	Professionals	Business human resource and marketing professionals	F	225
Ballina (A)	Professionals	Business human resource and marketing professionals	M	242
Ballina (A)	Professionals	Design engineering science and transport professionals	F	93
Ballina (A)	Professionals	Design engineering science and transport professionals	M	221
Ballina (A)	Professionals	Education professionals	F	666
Ballina (A)	Professionals	Education professionals	M	297
Ballina (A)	Professionals	Health professionals	F	567
Ballina (A)	Professionals	Health professionals	M	216
Ballina (A)	Professionals	Information and Communication Technology ICT professionals	F	10
Ballina (A)	Professionals	Information and Communication Technology ICT professionals	M	43
Ballina (A)	Professionals	Legal social and welfare professionals	F	183
Ballina (A)	Professionals	Legal social and welfare professionals	M	95
Ballina (A)	Professionals	Professionals nfd	F	5
Ballina (A)	Professionals	Professionals nfd	M	10
Ballina (A)	Sales workers	Sales assistants and salespersons	F	816
Ballina (A)	Sales workers	Sales assistants and salespersons	M	438
Ballina (A)	Sales workers	Sales representatives and agents	F	98
Ballina (A)	Sales workers	Sales representatives and agents	M	142
Ballina (A)	Sales workers	Sales support workers	F	141
Ballina (A)	Sales workers	Sales support workers	M	55
Ballina (A)	Sales workers	Sales workers nfd	F	7
Ballina (A)	Sales workers	Sales workers nfd	M	3
Ballina (A)	Technicians and trades workers	Automotive and engineering trades workers	F	4
Ballina (A)	Technicians and trades workers	Automotive and engineering trades workers	M	345
Ballina (A)	Technicians and trades workers	Construction trades workers	F	3
Ballina (A)	Technicians and trades workers	Construction trades workers	M	430
Ballina (A)	Technicians and trades workers	Electrotechnology and telecommunications trades workers	M	203
Ballina (A)	Technicians and trades workers	Engineering ICT and science technicians	F	61
Ballina (A)	Technicians and trades workers	Engineering ICT and science technicians	M	160
Ballina (A)	Technicians and trades workers	Food trades workers	F	108
Ballina (A)	Technicians and trades workers	Food trades workers	M	203
Ballina (A)	Technicians and trades workers	Other technicians and trades workers	F	108
Ballina (A)	Technicians and trades workers	Other technicians and trades workers	M	111
Ballina (A)	Technicians and trades workers	Skilled animal and horticultural workers	F	64
Ballina (A)	Technicians and trades workers	Skilled animal and horticultural workers	M	165
Ballina (A)	Technicians and trades workers	Technicians and trades workers nfd	M	14
Balranald (A)			F	6
Balranald (A)			M	12
Balranald (A)	Clerical and administrative workers	General clerical workers	F	19
Balranald (A)	Clerical and administrative workers	General clerical workers	M	3
Balranald (A)	Clerical and administrative workers	Inquiry clerks and receptionists	F	10
Balranald (A)	Clerical and administrative workers	Numerical clerks	F	14
Balranald (A)	Clerical and administrative workers	Office managers and program administrators	F	9
Balranald (A)	Clerical and administrative workers	Office managers and program administrators	M	3
Balranald (A)	Clerical and administrative workers	Other clerical and administrative workers	F	4
Balranald (A)	Clerical and administrative workers	Other clerical and administrative workers	M	6
Balranald (A)	Clerical and administrative workers	Personal assistants and secretaries	F	9
Balranald (A)	Community and personal service workers	Carers and aides	F	29
Balranald (A)	Community and personal service workers	Carers and aides	M	3
Balranald (A)	Community and personal service workers	Health and welfare support workers	F	13
Balranald (A)	Community and personal service workers	Health and welfare support workers	M	3
Balranald (A)	Community and personal service workers	Hospitality workers	F	18
Balranald (A)	Community and personal service workers	Hospitality workers	M	4
Balranald (A)	Community and personal service workers	Protective service workers	M	4
Balranald (A)	Community and personal service workers	Sports and personal service workers	F	4
Balranald (A)	Labourers	Cleaners and laundry workers	F	33
Balranald (A)	Labourers	Cleaners and laundry workers	M	4
Balranald (A)	Labourers	Construction and mining labourers	M	4
Balranald (A)	Labourers	Farm forestry and garden workers	F	21
Balranald (A)	Labourers	Farm forestry and garden workers	M	43
Balranald (A)	Labourers	Food preparation assistants	F	7
Balranald (A)	Labourers	Food preparation assistants	M	4
Balranald (A)	Labourers	Labourers nfd	M	5
Balranald (A)	Labourers	Other labourers	M	19
Balranald (A)	Machinery operators and drivers	Machine and stationary plant operators	M	13
Balranald (A)	Machinery operators and drivers	Mobile plant operators	F	3
Balranald (A)	Machinery operators and drivers	Mobile plant operators	M	21
Balranald (A)	Machinery operators and drivers	Road and rail drivers	F	8
Balranald (A)	Machinery operators and drivers	Road and rail drivers	M	31
Balranald (A)	Machinery operators and drivers	Storepersons	M	4
Balranald (A)	Managers	Chief executives general managers and legislators	M	3
Balranald (A)	Managers	Farmers and farm managers	F	28
Balranald (A)	Managers	Farmers and farm managers	M	100
Balranald (A)	Managers	Hospitality retail and service managers	F	14
Balranald (A)	Managers	Hospitality retail and service managers	M	19
Balranald (A)	Managers	Specialist managers	F	9
Balranald (A)	Managers	Specialist managers	M	13
Balranald (A)	Professionals	Business human resource and marketing professionals	M	8
Balranald (A)	Professionals	Design engineering science and transport professionals	F	3
Balranald (A)	Professionals	Design engineering science and transport professionals	M	5
Balranald (A)	Professionals	Education professionals	F	30
Balranald (A)	Professionals	Education professionals	M	8
Balranald (A)	Professionals	Health professionals	F	16
Balranald (A)	Professionals	Health professionals	M	10
Balranald (A)	Professionals	Legal social and welfare professionals	F	4
Balranald (A)	Professionals	Legal social and welfare professionals	M	3
Balranald (A)	Sales workers	Sales assistants and salespersons	F	15
Balranald (A)	Sales workers	Sales assistants and salespersons	M	11
Balranald (A)	Sales workers	Sales support workers	F	3
Balranald (A)	Technicians and trades workers	Automotive and engineering trades workers	M	26
Balranald (A)	Technicians and trades workers	Construction trades workers	M	4
Balranald (A)	Technicians and trades workers	Electrotechnology and telecommunications trades workers	M	10
Balranald (A)	Technicians and trades workers	Engineering ICT and science technicians	M	7
Balranald (A)	Technicians and trades workers	Food trades workers	F	9
Balranald (A)	Technicians and trades workers	Food trades workers	M	7
Balranald (A)	Technicians and trades workers	Skilled animal and horticultural workers	F	5
Balranald (A)	Technicians and trades workers	Skilled animal and horticultural workers	M	15
Bathurst Regional (A)			F	108
Bathurst Regional (A)			M	164
Bathurst Regional (A)	Clerical and administrative workers	Clerical and administrative workers nfd	F	3
Bathurst Regional (A)	Clerical and administrative workers	Clerical and office support workers	F	49
Bathurst Regional (A)	Clerical and administrative workers	Clerical and office support workers	M	69
Bathurst Regional (A)	Clerical and administrative workers	General clerical workers	F	450
Bathurst Regional (A)	Clerical and administrative workers	General clerical workers	M	42
Bathurst Regional (A)	Clerical and administrative workers	Inquiry clerks and receptionists	F	336
Bathurst Regional (A)	Clerical and administrative workers	Inquiry clerks and receptionists	M	55
Bathurst Regional (A)	Clerical and administrative workers	Numerical clerks	F	359
Bathurst Regional (A)	Clerical and administrative workers	Numerical clerks	M	40
Bathurst Regional (A)	Clerical and administrative workers	Office managers and program administrators	F	313
Bathurst Regional (A)	Clerical and administrative workers	Office managers and program administrators	M	50
Bathurst Regional (A)	Clerical and administrative workers	Other clerical and administrative workers	F	143
Bathurst Regional (A)	Clerical and administrative workers	Other clerical and administrative workers	M	108
Bathurst Regional (A)	Clerical and administrative workers	Personal assistants and secretaries	F	158
Bathurst Regional (A)	Community and personal service workers	Carers and aides	F	825
Bathurst Regional (A)	Community and personal service workers	Carers and aides	M	174
Bathurst Regional (A)	Community and personal service workers	Health and welfare support workers	F	193
Bathurst Regional (A)	Community and personal service workers	Health and welfare support workers	M	76
Bathurst Regional (A)	Community and personal service workers	Hospitality workers	F	347
Bathurst Regional (A)	Community and personal service workers	Hospitality workers	M	114
Bathurst Regional (A)	Community and personal service workers	Protective service workers	F	99
Bathurst Regional (A)	Community and personal service workers	Protective service workers	M	326
Bathurst Regional (A)	Community and personal service workers	Sports and personal service workers	F	185
Bathurst Regional (A)	Community and personal service workers	Sports and personal service workers	M	98
Bathurst Regional (A)	Labourers	Cleaners and laundry workers	F	314
Bathurst Regional (A)	Labourers	Cleaners and laundry workers	M	206
Bathurst Regional (A)	Labourers	Construction and mining labourers	F	3
Bathurst Regional (A)	Labourers	Construction and mining labourers	M	199
Bathurst Regional (A)	Labourers	Factory process workers	F	174
Bathurst Regional (A)	Labourers	Factory process workers	M	313
Bathurst Regional (A)	Labourers	Farm forestry and garden workers	F	55
Bathurst Regional (A)	Labourers	Farm forestry and garden workers	M	116
Bathurst Regional (A)	Labourers	Food preparation assistants	F	168
Bathurst Regional (A)	Labourers	Food preparation assistants	M	122
Bathurst Regional (A)	Labourers	Labourers nfd	F	3
Bathurst Regional (A)	Labourers	Labourers nfd	M	27
Bathurst Regional (A)	Labourers	Other labourers	F	60
Bathurst Regional (A)	Labourers	Other labourers	M	231
Bathurst Regional (A)	Machinery operators and drivers	Machine and stationary plant operators	F	31
Bathurst Regional (A)	Machinery operators and drivers	Machine and stationary plant operators	M	137
Bathurst Regional (A)	Machinery operators and drivers	Machinery operators and drivers nfd	M	23
Bathurst Regional (A)	Machinery operators and drivers	Mobile plant operators	F	6
Bathurst Regional (A)	Machinery operators and drivers	Mobile plant operators	M	177
Bathurst Regional (A)	Machinery operators and drivers	Road and rail drivers	F	18
Bathurst Regional (A)	Machinery operators and drivers	Road and rail drivers	M	449
Bathurst Regional (A)	Machinery operators and drivers	Storepersons	F	5
Bathurst Regional (A)	Machinery operators and drivers	Storepersons	M	73
Bathurst Regional (A)	Managers	Chief executives general managers and legislators	F	36
Bathurst Regional (A)	Managers	Chief executives general managers and legislators	M	67
Bathurst Regional (A)	Managers	Farmers and farm managers	F	119
Bathurst Regional (A)	Managers	Farmers and farm managers	M	265
Bathurst Regional (A)	Managers	Hospitality retail and service managers	F	359
Bathurst Regional (A)	Managers	Hospitality retail and service managers	M	395
Bathurst Regional (A)	Managers	Managers nfd	F	13
Bathurst Regional (A)	Managers	Managers nfd	M	22
Bathurst Regional (A)	Managers	Specialist managers	F	295
Bathurst Regional (A)	Managers	Specialist managers	M	570
Bathurst Regional (A)	Professionals	Arts and media professionals	F	48
Bathurst Regional (A)	Professionals	Arts and media professionals	M	43
Bathurst Regional (A)	Professionals	Business human resource and marketing professionals	F	307
Bathurst Regional (A)	Professionals	Business human resource and marketing professionals	M	215
Bathurst Regional (A)	Professionals	Design engineering science and transport professionals	F	117
Bathurst Regional (A)	Professionals	Design engineering science and transport professionals	M	230
Bathurst Regional (A)	Professionals	Education professionals	F	829
Bathurst Regional (A)	Professionals	Education professionals	M	328
Bathurst Regional (A)	Professionals	Health professionals	F	615
Bathurst Regional (A)	Professionals	Health professionals	M	170
Bathurst Regional (A)	Professionals	Information and Communication Technology ICT professionals	F	23
Bathurst Regional (A)	Professionals	Information and Communication Technology ICT professionals	M	95
Bathurst Regional (A)	Professionals	Legal social and welfare professionals	F	194
Bathurst Regional (A)	Professionals	Legal social and welfare professionals	M	88
Bathurst Regional (A)	Professionals	Professionals nfd	F	27
Bathurst Regional (A)	Professionals	Professionals nfd	M	16
Bathurst Regional (A)	Sales workers	Sales assistants and salespersons	F	927
Bathurst Regional (A)	Sales workers	Sales assistants and salespersons	M	473
Bathurst Regional (A)	Sales workers	Sales representatives and agents	F	120
Bathurst Regional (A)	Sales workers	Sales representatives and agents	M	115
Bathurst Regional (A)	Sales workers	Sales support workers	F	174
Bathurst Regional (A)	Sales workers	Sales support workers	M	54
Bathurst Regional (A)	Sales workers	Sales workers nfd	M	3
Bathurst Regional (A)	Technicians and trades workers	Automotive and engineering trades workers	F	7
Bathurst Regional (A)	Technicians and trades workers	Automotive and engineering trades workers	M	507
Bathurst Regional (A)	Technicians and trades workers	Construction trades workers	F	6
Bathurst Regional (A)	Technicians and trades workers	Construction trades workers	M	437
Bathurst Regional (A)	Technicians and trades workers	Electrotechnology and telecommunications trades workers	F	8
Bathurst Regional (A)	Technicians and trades workers	Electrotechnology and telecommunications trades workers	M	294
Bathurst Regional (A)	Technicians and trades workers	Engineering ICT and science technicians	F	97
Bathurst Regional (A)	Technicians and trades workers	Engineering ICT and science technicians	M	212
Bathurst Regional (A)	Technicians and trades workers	Food trades workers	F	119
Bathurst Regional (A)	Technicians and trades workers	Food trades workers	M	177
Bathurst Regional (A)	Technicians and trades workers	Other technicians and trades workers	F	133
Bathurst Regional (A)	Technicians and trades workers	Other technicians and trades workers	M	95
Bathurst Regional (A)	Technicians and trades workers	Skilled animal and horticultural workers	F	56
Bathurst Regional (A)	Technicians and trades workers	Skilled animal and horticultural workers	M	118
Bathurst Regional (A)	Technicians and trades workers	Technicians and trades workers nfd	M	22
Bega Valley (A)			F	76
Bega Valley (A)			M	112
Bega Valley (A)	Clerical and administrative workers	Clerical and administrative workers nfd	M	3
Bega Valley (A)	Clerical and administrative workers	Clerical and office support workers	F	43
Bega Valley (A)	Clerical and administrative workers	Clerical and office support workers	M	48
Bega Valley (A)	Clerical and administrative workers	General clerical workers	F	243
Bega Valley (A)	Clerical and administrative workers	General clerical workers	M	26
Bega Valley (A)	Clerical and administrative workers	Inquiry clerks and receptionists	F	230
Bega Valley (A)	Clerical and administrative workers	Inquiry clerks and receptionists	M	17
