LGA_NAME16	Age	LabourForceStatus	workers
Armidale Regional (A)	30-34		16
Armidale Regional (A)	30-34	Employed (away from work)	53
Armidale Regional (A)	30-34	Employed (full-time)	757
Armidale Regional (A)	30-34	Employed (part-time)	356
Armidale Regional (A)	35-39		11
Armidale Regional (A)	35-39	Employed (away from work)	48
Armidale Regional (A)	35-39	Employed (full-time)	681
Armidale Regional (A)	35-39	Employed (part-time)	356
Armidale Regional (A)	40-44		21
Armidale Regional (A)	40-44	Employed (away from work)	19
Armidale Regional (A)	40-44	Employed (full-time)	849
Armidale Regional (A)	40-44	Employed (part-time)	423
Armidale Regional (A)	45-49		21
Armidale Regional (A)	45-49	Employed (away from work)	30
Armidale Regional (A)	45-49	Employed (full-time)	933
Armidale Regional (A)	45-49	Employed (part-time)	406
Armidale Regional (A)	50-54		23
Armidale Regional (A)	50-54	Employed (away from work)	30
Armidale Regional (A)	50-54	Employed (full-time)	1034
Armidale Regional (A)	50-54	Employed (part-time)	421
Armidale Regional (A)	55-59		13
Armidale Regional (A)	55-59	Employed (away from work)	61
Armidale Regional (A)	55-59	Employed (full-time)	904
Armidale Regional (A)	55-59	Employed (part-time)	409
Armidale Regional (A)	60-64		16
Armidale Regional (A)	60-64	Employed (away from work)	46
Armidale Regional (A)	60-64	Employed (full-time)	563
Armidale Regional (A)	60-64	Employed (part-time)	322
Armidale Regional (A)	65-69		11
Armidale Regional (A)	65-69	Employed (away from work)	24
Armidale Regional (A)	65-69	Employed (full-time)	218
Armidale Regional (A)	65-69	Employed (part-time)	209
Armidale Regional (A)	70-74		11
Armidale Regional (A)	70-74	Employed (away from work)	4
Armidale Regional (A)	70-74	Employed (full-time)	106
Armidale Regional (A)	70-74	Employed (part-time)	107
Armidale Regional (A)	75+		4
Armidale Regional (A)	75+	Employed (away from work)	10
Armidale Regional (A)	75+	Employed (full-time)	63
Armidale Regional (A)	75+	Employed (part-time)	67
Ballina (A)	15-19		25
Ballina (A)	15-19	Employed (away from work)	39
Ballina (A)	15-19	Employed (full-time)	169
Ballina (A)	15-19	Employed (part-time)	755
Ballina (A)	20-24		23
Ballina (A)	20-24	Employed (away from work)	35
Ballina (A)	20-24	Employed (full-time)	536
Ballina (A)	20-24	Employed (part-time)	481
Ballina (A)	25-29		19
Ballina (A)	25-29	Employed (away from work)	35
Ballina (A)	25-29	Employed (full-time)	594
Ballina (A)	25-29	Employed (part-time)	359
Ballina (A)	30-34		20
Ballina (A)	30-34	Employed (away from work)	49
Ballina (A)	30-34	Employed (full-time)	693
Ballina (A)	30-34	Employed (part-time)	426
Ballina (A)	35-39		31
Ballina (A)	35-39	Employed (away from work)	30
Ballina (A)	35-39	Employed (full-time)	821
Ballina (A)	35-39	Employed (part-time)	488
Ballina (A)	40-44		34
Ballina (A)	40-44	Employed (away from work)	30
Ballina (A)	40-44	Employed (full-time)	938
Ballina (A)	40-44	Employed (part-time)	618
Ballina (A)	45-49		18
Ballina (A)	45-49	Employed (away from work)	38
Ballina (A)	45-49	Employed (full-time)	1028
Ballina (A)	45-49	Employed (part-time)	654
Ballina (A)	50-54		25
Ballina (A)	50-54	Employed (away from work)	51
Ballina (A)	50-54	Employed (full-time)	1094
Ballina (A)	50-54	Employed (part-time)	667
Ballina (A)	55-59		42
Ballina (A)	55-59	Employed (away from work)	67
Ballina (A)	55-59	Employed (full-time)	995
Ballina (A)	55-59	Employed (part-time)	728
Ballina (A)	60-64		13
Ballina (A)	60-64	Employed (away from work)	56
Ballina (A)	60-64	Employed (full-time)	617
Ballina (A)	60-64	Employed (part-time)	602
Ballina (A)	65-69		13
Ballina (A)	65-69	Employed (away from work)	39
Ballina (A)	65-69	Employed (full-time)	203
Ballina (A)	65-69	Employed (part-time)	356
Ballina (A)	70-74		9
Ballina (A)	70-74	Employed (away from work)	12
Ballina (A)	70-74	Employed (full-time)	75
Ballina (A)	70-74	Employed (part-time)	128
Ballina (A)	75+		13
Ballina (A)	75+	Employed (away from work)	3
Ballina (A)	75+	Employed (full-time)	48
Ballina (A)	75+	Employed (part-time)	77
Balranald (A)	15-19	Employed (away from work)	5
Balranald (A)	15-19	Employed (full-time)	8
Balranald (A)	15-19	Employed (part-time)	13
Balranald (A)	20-24		7
Balranald (A)	20-24	Employed (full-time)	44
Balranald (A)	20-24	Employed (part-time)	18
Balranald (A)	25-29	Employed (away from work)	3
Balranald (A)	25-29	Employed (full-time)	36
Balranald (A)	25-29	Employed (part-time)	16
Balranald (A)	30-34		5
Balranald (A)	30-34	Employed (away from work)	3
Balranald (A)	30-34	Employed (full-time)	34
Balranald (A)	30-34	Employed (part-time)	13
Balranald (A)	35-39	Employed (full-time)	40
Balranald (A)	35-39	Employed (part-time)	25
Balranald (A)	40-44		3
Balranald (A)	40-44	Employed (away from work)	3
Balranald (A)	40-44	Employed (full-time)	66
Balranald (A)	40-44	Employed (part-time)	33
Balranald (A)	45-49		3
Balranald (A)	45-49	Employed (away from work)	3
Balranald (A)	45-49	Employed (full-time)	56
Balranald (A)	45-49	Employed (part-time)	29
Balranald (A)	50-54		4
Balranald (A)	50-54	Employed (full-time)	54
Balranald (A)	50-54	Employed (part-time)	31
Balranald (A)	55-59		3
Balranald (A)	55-59	Employed (away from work)	5
Balranald (A)	55-59	Employed (full-time)	75
Balranald (A)	55-59	Employed (part-time)	29
Balranald (A)	60-64		3
Balranald (A)	60-64	Employed (full-time)	43
Balranald (A)	60-64	Employed (part-time)	37
Balranald (A)	65-69	Employed (away from work)	3
Balranald (A)	65-69	Employed (full-time)	17
Balranald (A)	65-69	Employed (part-time)	11
Balranald (A)	70-74	Employed (full-time)	3
Balranald (A)	70-74	Employed (part-time)	5
Balranald (A)	75+	Employed (part-time)	4
Bathurst Regional (A)	15-19		50
Bathurst Regional (A)	15-19	Employed (away from work)	54
Bathurst Regional (A)	15-19	Employed (full-time)	246
Bathurst Regional (A)	15-19	Employed (part-time)	802
Bathurst Regional (A)	20-24		56
Bathurst Regional (A)	20-24	Employed (away from work)	79
Bathurst Regional (A)	20-24	Employed (full-time)	881
Bathurst Regional (A)	20-24	Employed (part-time)	821
Bathurst Regional (A)	25-29		30
Bathurst Regional (A)	25-29	Employed (away from work)	77
Bathurst Regional (A)	25-29	Employed (full-time)	1163
Bathurst Regional (A)	25-29	Employed (part-time)	473
Bathurst Regional (A)	30-34		38
Bathurst Regional (A)	30-34	Employed (away from work)	83
Bathurst Regional (A)	30-34	Employed (full-time)	1057
Bathurst Regional (A)	30-34	Employed (part-time)	504
Bathurst Regional (A)	35-39		24
Bathurst Regional (A)	35-39	Employed (away from work)	49
Bathurst Regional (A)	35-39	Employed (full-time)	1053
Bathurst Regional (A)	35-39	Employed (part-time)	474
Bathurst Regional (A)	40-44		27
Bathurst Regional (A)	40-44	Employed (away from work)	42
Bathurst Regional (A)	40-44	Employed (full-time)	1230
Bathurst Regional (A)	40-44	Employed (part-time)	533
Bathurst Regional (A)	45-49		26
Bathurst Regional (A)	45-49	Employed (away from work)	49
Bathurst Regional (A)	45-49	Employed (full-time)	1338
Bathurst Regional (A)	45-49	Employed (part-time)	500
Bathurst Regional (A)	50-54		24
Bathurst Regional (A)	50-54	Employed (away from work)	51
Bathurst Regional (A)	50-54	Employed (full-time)	1298
Bathurst Regional (A)	50-54	Employed (part-time)	475
Bathurst Regional (A)	55-59		22
Bathurst Regional (A)	55-59	Employed (away from work)	62
Bathurst Regional (A)	55-59	Employed (full-time)	1135
Bathurst Regional (A)	55-59	Employed (part-time)	494
Bathurst Regional (A)	60-64		21
Bathurst Regional (A)	60-64	Employed (away from work)	72
Bathurst Regional (A)	60-64	Employed (full-time)	694
Bathurst Regional (A)	60-64	Employed (part-time)	426
Bathurst Regional (A)	65-69		7
Bathurst Regional (A)	65-69	Employed (away from work)	28
Bathurst Regional (A)	65-69	Employed (full-time)	274
Bathurst Regional (A)	65-69	Employed (part-time)	243
Bathurst Regional (A)	70-74		4
Bathurst Regional (A)	70-74	Employed (away from work)	19
Bathurst Regional (A)	70-74	Employed (full-time)	76
Bathurst Regional (A)	70-74	Employed (part-time)	129
Bathurst Regional (A)	75+		11
Bathurst Regional (A)	75+	Employed (away from work)	10
Bathurst Regional (A)	75+	Employed (full-time)	46
Bathurst Regional (A)	75+	Employed (part-time)	78
Bega Valley (A)	15-19		27
Bega Valley (A)	15-19	Employed (away from work)	39
Bega Valley (A)	15-19	Employed (full-time)	174
Bega Valley (A)	15-19	Employed (part-time)	501
Bega Valley (A)	20-24		28
Bega Valley (A)	20-24	Employed (away from work)	28
Bega Valley (A)	20-24	Employed (full-time)	396
Bega Valley (A)	20-24	Employed (part-time)	252
Bega Valley (A)	25-29		9
Bega Valley (A)	25-29	Employed (away from work)	34
Bega Valley (A)	25-29	Employed (full-time)	439
Bega Valley (A)	25-29	Employed (part-time)	226
Bega Valley (A)	30-34		9
Bega Valley (A)	30-34	Employed (away from work)	57
Bega Valley (A)	30-34	Employed (full-time)	505
Bega Valley (A)	30-34	Employed (part-time)	304
Bega Valley (A)	35-39		14
Bega Valley (A)	35-39	Employed (away from work)	30
Bega Valley (A)	35-39	Employed (full-time)	538
Bega Valley (A)	35-39	Employed (part-time)	368
Bega Valley (A)	40-44		17
Bega Valley (A)	40-44	Employed (away from work)	36
Bega Valley (A)	40-44	Employed (full-time)	678
Bega Valley (A)	40-44	Employed (part-time)	425
Bega Valley (A)	45-49		17
Bega Valley (A)	45-49	Employed (away from work)	48
Bega Valley (A)	45-49	Employed (full-time)	862
Bega Valley (A)	45-49	Employed (part-time)	502
Bega Valley (A)	50-54		27
Bega Valley (A)	50-54	Employed (away from work)	49
Bega Valley (A)	50-54	Employed (full-time)	962
Bega Valley (A)	50-54	Employed (part-time)	589
Bega Valley (A)	55-59		29
Bega Valley (A)	55-59	Employed (away from work)	91
Bega Valley (A)	55-59	Employed (full-time)	852
Bega Valley (A)	55-59	Employed (part-time)	724
Bega Valley (A)	60-64		30
Bega Valley (A)	60-64	Employed (away from work)	73
Bega Valley (A)	60-64	Employed (full-time)	523
Bega Valley (A)	60-64	Employed (part-time)	566
Bega Valley (A)	65-69		20
Bega Valley (A)	65-69	Employed (away from work)	30
Bega Valley (A)	65-69	Employed (full-time)	209
Bega Valley (A)	65-69	Employed (part-time)	290
Bega Valley (A)	70-74		11
Bega Valley (A)	70-74	Employed (away from work)	21
Bega Valley (A)	70-74	Employed (full-time)	65
Bega Valley (A)	70-74	Employed (part-time)	115
Bega Valley (A)	75+		8
Bega Valley (A)	75+	Employed (away from work)	8
Bega Valley (A)	75+	Employed (full-time)	40
Bega Valley (A)	75+	Employed (part-time)	61
Bellingen (A)	15-19		9
Bellingen (A)	15-19	Employed (away from work)	3
Bellingen (A)	15-19	Employed (full-time)	34
Bellingen (A)	15-19	Employed (part-time)	145
Bellingen (A)	20-24		6
Bellingen (A)	20-24	Employed (away from work)	4
Bellingen (A)	20-24	Employed (full-time)	71
Bellingen (A)	20-24	Employed (part-time)	68
Bellingen (A)	25-29		8
Bellingen (A)	25-29	Employed (away from work)	4
Bellingen (A)	25-29	Employed (full-time)	101
Bellingen (A)	25-29	Employed (part-time)	83
Bellingen (A)	30-34		8
Bellingen (A)	30-34	Employed (away from work)	12
Bellingen (A)	30-34	Employed (full-time)	156
Bellingen (A)	30-34	Employed (part-time)	115
Bellingen (A)	35-39		6
Bellingen (A)	35-39	Employed (away from work)	18
Bellingen (A)	35-39	Employed (full-time)	141
Bellingen (A)	35-39	Employed (part-time)	126
Bellingen (A)	40-44		7
Bellingen (A)	40-44	Employed (away from work)	10
Bellingen (A)	40-44	Employed (full-time)	199
Bellingen (A)	40-44	Employed (part-time)	162
Bellingen (A)	45-49		12
Bellingen (A)	45-49	Employed (away from work)	16
Bellingen (A)	45-49	Employed (full-time)	228
Bellingen (A)	45-49	Employed (part-time)	179
Bellingen (A)	50-54		7
Bellingen (A)	50-54	Employed (away from work)	18
Bellingen (A)	50-54	Employed (full-time)	250
Bellingen (A)	50-54	Employed (part-time)	193
Bellingen (A)	55-59		7
Bellingen (A)	55-59	Employed (away from work)	25
Bellingen (A)	55-59	Employed (full-time)	253
Bellingen (A)	55-59	Employed (part-time)	221
Bellingen (A)	60-64		8
Bellingen (A)	60-64	Employed (away from work)	19
Bellingen (A)	60-64	Employed (full-time)	167
Bellingen (A)	60-64	Employed (part-time)	204
Bellingen (A)	65-69		4
Bellingen (A)	65-69	Employed (away from work)	4
Bellingen (A)	65-69	Employed (full-time)	74
Bellingen (A)	65-69	Employed (part-time)	95
Bellingen (A)	70-74	Employed (away from work)	7
Bellingen (A)	70-74	Employed (full-time)	25
Bellingen (A)	70-74	Employed (part-time)	44
Bellingen (A)	75+		9
Bellingen (A)	75+	Employed (away from work)	5
Bellingen (A)	75+	Employed (full-time)	25
Bellingen (A)	75+	Employed (part-time)	30
Berrigan (A)	15-19		6
Berrigan (A)	15-19	Employed (away from work)	9
Berrigan (A)	15-19	Employed (full-time)	52
Berrigan (A)	15-19	Employed (part-time)	78
Berrigan (A)	20-24		7
Berrigan (A)	20-24	Employed (away from work)	5
Berrigan (A)	20-24	Employed (full-time)	114
Berrigan (A)	20-24	Employed (part-time)	53
Berrigan (A)	25-29		3
Berrigan (A)	25-29	Employed (away from work)	7
Berrigan (A)	25-29	Employed (full-time)	125
Berrigan (A)	25-29	Employed (part-time)	69
Berrigan (A)	30-34		7
Berrigan (A)	30-34	Employed (away from work)	5
Berrigan (A)	30-34	Employed (full-time)	128
Berrigan (A)	30-34	Employed (part-time)	54
Berrigan (A)	35-39		4
Berrigan (A)	35-39	Employed (away from work)	10
Berrigan (A)	35-39	Employed (full-time)	130
Berrigan (A)	35-39	Employed (part-time)	78
Berrigan (A)	40-44		3
Berrigan (A)	40-44	Employed (away from work)	4
Berrigan (A)	40-44	Employed (full-time)	163
Berrigan (A)	40-44	Employed (part-time)	80
Berrigan (A)	45-49		6
Berrigan (A)	45-49	Employed (away from work)	11
Berrigan (A)	45-49	Employed (full-time)	191
Berrigan (A)	45-49	Employed (part-time)	70
Berrigan (A)	50-54		10
Berrigan (A)	50-54	Employed (away from work)	9
Berrigan (A)	50-54	Employed (full-time)	172
Berrigan (A)	50-54	Employed (part-time)	99
Berrigan (A)	55-59		3
Berrigan (A)	55-59	Employed (away from work)	19
Berrigan (A)	55-59	Employed (full-time)	190
Berrigan (A)	55-59	Employed (part-time)	135
Berrigan (A)	60-64		5
Berrigan (A)	60-64	Employed (away from work)	25
Berrigan (A)	60-64	Employed (full-time)	171
Berrigan (A)	60-64	Employed (part-time)	114
Berrigan (A)	65-69		11
Berrigan (A)	65-69	Employed (away from work)	8
Berrigan (A)	65-69	Employed (full-time)	71
Berrigan (A)	65-69	Employed (part-time)	69
Berrigan (A)	70-74		3
Berrigan (A)	70-74	Employed (away from work)	9
Berrigan (A)	70-74	Employed (full-time)	26
Berrigan (A)	70-74	Employed (part-time)	32
Berrigan (A)	75+		6
Berrigan (A)	75+	Employed (away from work)	3
Berrigan (A)	75+	Employed (full-time)	18
Berrigan (A)	75+	Employed (part-time)	29
Blacktown (C)	15-19		184
Blacktown (C)	15-19	Employed (away from work)	233
Blacktown (C)	15-19	Employed (full-time)	1319
Blacktown (C)	15-19	Employed (part-time)	4251
Blacktown (C)	20-24		326
Blacktown (C)	20-24	Employed (away from work)	224
Blacktown (C)	20-24	Employed (full-time)	5230
Blacktown (C)	20-24	Employed (part-time)	4140
Blacktown (C)	25-29		296
Blacktown (C)	25-29	Employed (away from work)	359
Blacktown (C)	25-29	Employed (full-time)	7996
Blacktown (C)	25-29	Employed (part-time)	2536
Blacktown (C)	30-34		289
Blacktown (C)	30-34	Employed (away from work)	435
Blacktown (C)	30-34	Employed (full-time)	8658
Blacktown (C)	30-34	Employed (part-time)	2867
Blacktown (C)	35-39		308
Blacktown (C)	35-39	Employed (away from work)	314
Blacktown (C)	35-39	Employed (full-time)	8582
Blacktown (C)	35-39	Employed (part-time)	2917
Blacktown (C)	40-44		237
Blacktown (C)	40-44	Employed (away from work)	216
Blacktown (C)	40-44	Employed (full-time)	8932
Blacktown (C)	40-44	Employed (part-time)	2895
Blacktown (C)	45-49		256
Blacktown (C)	45-49	Employed (away from work)	204
Blacktown (C)	45-49	Employed (full-time)	8615
Blacktown (C)	45-49	Employed (part-time)	2731
Blacktown (C)	50-54		233
Blacktown (C)	50-54	Employed (away from work)	224
Blacktown (C)	50-54	Employed (full-time)	8253
Blacktown (C)	50-54	Employed (part-time)	2450
Blacktown (C)	55-59		145
Blacktown (C)	55-59	Employed (away from work)	229
Blacktown (C)	55-59	Employed (full-time)	6735
Blacktown (C)	55-59	Employed (part-time)	2154
Blacktown (C)	60-64		91
Blacktown (C)	60-64	Employed (away from work)	195
Blacktown (C)	60-64	Employed (full-time)	3952
Blacktown (C)	60-64	Employed (part-time)	1775
Blacktown (C)	65-69		54
Blacktown (C)	65-69	Employed (away from work)	105
Blacktown (C)	65-69	Employed (full-time)	1307
Blacktown (C)	65-69	Employed (part-time)	932
Blacktown (C)	70-74		35
Blacktown (C)	70-74	Employed (away from work)	20
Blacktown (C)	70-74	Employed (full-time)	295
Blacktown (C)	70-74	Employed (part-time)	369
Blacktown (C)	75+		22
Blacktown (C)	75+	Employed (away from work)	19
Blacktown (C)	75+	Employed (full-time)	68
Blacktown (C)	75+	Employed (part-time)	136
Bland (A)	15-19		10
Bland (A)	15-19	Employed (away from work)	3
Bland (A)	15-19	Employed (full-time)	38
Bland (A)	15-19	Employed (part-time)	65
Bland (A)	20-24		3
Bland (A)	20-24	Employed (away from work)	10
Bland (A)	20-24	Employed (full-time)	129
Bland (A)	20-24	Employed (part-time)	57
Bland (A)	25-29		3
Bland (A)	25-29	Employed (away from work)	4
Bland (A)	25-29	Employed (full-time)	144
Bland (A)	25-29	Employed (part-time)	50
Bland (A)	30-34		8
Bland (A)	30-34	Employed (away from work)	6
Bland (A)	30-34	Employed (full-time)	151
Bland (A)	30-34	Employed (part-time)	73
Bland (A)	35-39		9
Bland (A)	35-39	Employed (away from work)	8
Bland (A)	35-39	Employed (full-time)	167
Bland (A)	35-39	Employed (part-time)	61
Bland (A)	40-44		3
Bland (A)	40-44	Employed (away from work)	9
Bland (A)	40-44	Employed (full-time)	194
Bland (A)	40-44	Employed (part-time)	70
Bland (A)	45-49		3
Bland (A)	45-49	Employed (away from work)	3
Bland (A)	45-49	Employed (full-time)	194
Bland (A)	45-49	Employed (part-time)	57
Bland (A)	50-54		8
Bland (A)	50-54	Employed (away from work)	11
Bland (A)	50-54	Employed (full-time)	187
Bland (A)	50-54	Employed (part-time)	76
Bland (A)	55-59		7
Bland (A)	55-59	Employed (away from work)	13
Bland (A)	55-59	Employed (full-time)	211
Bland (A)	55-59	Employed (part-time)	79
Bland (A)	60-64		7
Bland (A)	60-64	Employed (away from work)	12
Bland (A)	60-64	Employed (full-time)	131
Bland (A)	60-64	Employed (part-time)	75
Bland (A)	65-69		9
Bland (A)	65-69	Employed (away from work)	10
Bland (A)	65-69	Employed (full-time)	68
Bland (A)	65-69	Employed (part-time)	33
Bland (A)	70-74		5
Bland (A)	70-74	Employed (away from work)	4
Bland (A)	70-74	Employed (full-time)	28
Bland (A)	70-74	Employed (part-time)	20
Bland (A)	75+		6
Bland (A)	75+	Employed (away from work)	8
Bland (A)	75+	Employed (full-time)	34
Bland (A)	75+	Employed (part-time)	24
Blayney (A)	15-19		9
Blayney (A)	15-19	Employed (away from work)	12
Blayney (A)	15-19	Employed (full-time)	38
Blayney (A)	15-19	Employed (part-time)	96
Blayney (A)	20-24		3
Blayney (A)	20-24	Employed (away from work)	5
Blayney (A)	20-24	Employed (full-time)	129
Blayney (A)	20-24	Employed (part-time)	44
Blayney (A)	25-29		6
Blayney (A)	25-29	Employed (away from work)	17
Blayney (A)	25-29	Employed (full-time)	218
Blayney (A)	25-29	Employed (part-time)	50
Blayney (A)	30-34		3
Blayney (A)	30-34	Employed (away from work)	8
Blayney (A)	30-34	Employed (full-time)	204
Blayney (A)	30-34	Employed (part-time)	52
Blayney (A)	35-39		3
Blayney (A)	35-39	Employed (away from work)	17
Blayney (A)	35-39	Employed (full-time)	212
Blayney (A)	35-39	Employed (part-time)	61
Blayney (A)	40-44		8
Blayney (A)	40-44	Employed (away from work)	10
Blayney (A)	40-44	Employed (full-time)	250
Blayney (A)	40-44	Employed (part-time)	78
Blayney (A)	45-49		4
Blayney (A)	45-49	Employed (away from work)	9
Blayney (A)	45-49	Employed (full-time)	273
Blayney (A)	45-49	Employed (part-time)	66
Blayney (A)	50-54		3
Blayney (A)	50-54	Employed (away from work)	12
Blayney (A)	50-54	Employed (full-time)	204
Blayney (A)	50-54	Employed (part-time)	82
Blayney (A)	55-59		4
Blayney (A)	55-59	Employed (away from work)	12
Blayney (A)	55-59	Employed (full-time)	199
Blayney (A)	55-59	Employed (part-time)	61
Blayney (A)	60-64		6
Blayney (A)	60-64	Employed (away from work)	9
Blayney (A)	60-64	Employed (full-time)	144
Blayney (A)	60-64	Employed (part-time)	59
Blayney (A)	65-69		3
Blayney (A)	65-69	Employed (away from work)	12
Blayney (A)	65-69	Employed (full-time)	54
Blayney (A)	65-69	Employed (part-time)	36
Blayney (A)	70-74		10
Blayney (A)	70-74	Employed (away from work)	5
Blayney (A)	70-74	Employed (full-time)	34
Blayney (A)	70-74	Employed (part-time)	39
Blayney (A)	75+		12
Blayney (A)	75+	Employed (away from work)	3
Blayney (A)	75+	Employed (full-time)	30
Blayney (A)	75+	Employed (part-time)	22
Blue Mountains (C)	15-19		37
Blue Mountains (C)	15-19	Employed (away from work)	55
Blue Mountains (C)	15-19	Employed (full-time)	256
Blue Mountains (C)	15-19	Employed (part-time)	1068
Blue Mountains (C)	20-24		33
Blue Mountains (C)	20-24	Employed (away from work)	36
Blue Mountains (C)	20-24	Employed (full-time)	624
Blue Mountains (C)	20-24	Employed (part-time)	941
Blue Mountains (C)	25-29		29
Blue Mountains (C)	25-29	Employed (away from work)	57
Blue Mountains (C)	25-29	Employed (full-time)	747
Blue Mountains (C)	25-29	Employed (part-time)	529
Blue Mountains (C)	30-34		32
Blue Mountains (C)	30-34	Employed (away from work)	43
Blue Mountains (C)	30-34	Employed (full-time)	758
Blue Mountains (C)	30-34	Employed (part-time)	550
Blue Mountains (C)	35-39		23
Blue Mountains (C)	35-39	Employed (away from work)	47
Blue Mountains (C)	35-39	Employed (full-time)	809
Blue Mountains (C)	35-39	Employed (part-time)	652
Blue Mountains (C)	40-44		19
Blue Mountains (C)	40-44	Employed (away from work)	43
Blue Mountains (C)	40-44	Employed (full-time)	1038
Blue Mountains (C)	40-44	Employed (part-time)	817
Blue Mountains (C)	45-49		33
Blue Mountains (C)	45-49	Employed (away from work)	58
Blue Mountains (C)	45-49	Employed (full-time)	1168
Blue Mountains (C)	45-49	Employed (part-time)	889
Blue Mountains (C)	50-54		21
Blue Mountains (C)	50-54	Employed (away from work)	67
Blue Mountains (C)	50-54	Employed (full-time)	1175
Blue Mountains (C)	50-54	Employed (part-time)	852
Blue Mountains (C)	55-59		27
Blue Mountains (C)	55-59	Employed (away from work)	91
Blue Mountains (C)	55-59	Employed (full-time)	1098
Blue Mountains (C)	55-59	Employed (part-time)	858
Blue Mountains (C)	60-64		20
Blue Mountains (C)	60-64	Employed (away from work)	56
Blue Mountains (C)	60-64	Employed (full-time)	675
Blue Mountains (C)	60-64	Employed (part-time)	832
Blue Mountains (C)	65-69		11
Blue Mountains (C)	65-69	Employed (away from work)	36
Blue Mountains (C)	65-69	Employed (full-time)	270
Blue Mountains (C)	65-69	Employed (part-time)	529
Blue Mountains (C)	70-74		3
Blue Mountains (C)	70-74	Employed (away from work)	15
Blue Mountains (C)	70-74	Employed (full-time)	60
Blue Mountains (C)	70-74	Employed (part-time)	210
Blue Mountains (C)	75+		3
Blue Mountains (C)	75+	Employed (away from work)	4
Blue Mountains (C)	75+	Employed (full-time)	33
Blue Mountains (C)	75+	Employed (part-time)	100
Bogan (A)	15-19		4
Bogan (A)	15-19	Employed (away from work)	3
Bogan (A)	15-19	Employed (full-time)	18
Bogan (A)	15-19	Employed (part-time)	26
Bogan (A)	20-24	Employed (full-time)	82
Bogan (A)	20-24	Employed (part-time)	21
Bogan (A)	25-29		3
Bogan (A)	25-29	Employed (away from work)	8
Bogan (A)	25-29	Employed (full-time)	110
Bogan (A)	25-29	Employed (part-time)	20
Bogan (A)	30-34		3
Bogan (A)	30-34	Employed (full-time)	87
Bogan (A)	30-34	Employed (part-time)	33
Bogan (A)	35-39		3
Bogan (A)	35-39	Employed (away from work)	5
Bogan (A)	35-39	Employed (full-time)	68
Bogan (A)	35-39	Employed (part-time)	15
Bogan (A)	40-44	Employed (away from work)	3
Bogan (A)	40-44	Employed (full-time)	101
Bogan (A)	40-44	Employed (part-time)	40
Bogan (A)	45-49	Employed (away from work)	3
Bogan (A)	45-49	Employed (full-time)	114
Bogan (A)	45-49	Employed (part-time)	40
Bogan (A)	50-54	Employed (away from work)	8
Bogan (A)	50-54	Employed (full-time)	119
Bogan (A)	50-54	Employed (part-time)	27
Bogan (A)	55-59		4
