LGA_NAME16	Age	LabourForceStatus	NeedsAssistance	workers
Albury (C)	40-44	Employed (part-time)	1	10
Albury (C)	45-49		0	48
Albury (C)	45-49	Employed (away from work)	0	62
Albury (C)	45-49	Employed (away from work)	1	3
Albury (C)	45-49	Employed (full-time)		32
Albury (C)	45-49	Employed (full-time)	0	1796
Albury (C)	45-49	Employed (full-time)	1	9
Albury (C)	45-49	Employed (part-time)		15
Albury (C)	45-49	Employed (part-time)	0	784
Albury (C)	45-49	Employed (part-time)	1	9
Albury (C)	50-54		0	27
Albury (C)	50-54	Employed (away from work)	0	86
Albury (C)	50-54	Employed (away from work)	1	3
Albury (C)	50-54	Employed (full-time)		24
Albury (C)	50-54	Employed (full-time)	0	1752
Albury (C)	50-54	Employed (full-time)	1	6
Albury (C)	50-54	Employed (part-time)		4
Albury (C)	50-54	Employed (part-time)	0	778
Albury (C)	50-54	Employed (part-time)	1	15
Albury (C)	55-59		0	32
Albury (C)	55-59	Employed (away from work)		4
Albury (C)	55-59	Employed (away from work)	0	104
Albury (C)	55-59	Employed (full-time)		20
Albury (C)	55-59	Employed (full-time)	0	1532
Albury (C)	55-59	Employed (full-time)	1	8
Albury (C)	55-59	Employed (part-time)		16
Albury (C)	55-59	Employed (part-time)	0	775
Albury (C)	55-59	Employed (part-time)	1	9
Albury (C)	60-64			5
Albury (C)	60-64		0	17
Albury (C)	60-64	Employed (away from work)	0	75
Albury (C)	60-64	Employed (away from work)	1	7
Albury (C)	60-64	Employed (full-time)		21
Albury (C)	60-64	Employed (full-time)	0	881
Albury (C)	60-64	Employed (full-time)	1	6
Albury (C)	60-64	Employed (part-time)		5
Albury (C)	60-64	Employed (part-time)	0	674
Albury (C)	60-64	Employed (part-time)	1	5
Albury (C)	65-69			3
Albury (C)	65-69		0	20
Albury (C)	65-69		1	4
Albury (C)	65-69	Employed (away from work)		3
Albury (C)	65-69	Employed (away from work)	0	37
Albury (C)	65-69	Employed (full-time)		4
Albury (C)	65-69	Employed (full-time)	0	285
Albury (C)	65-69	Employed (part-time)		3
Albury (C)	65-69	Employed (part-time)	0	378
Albury (C)	65-69	Employed (part-time)	1	8
Albury (C)	70-74		0	8
Albury (C)	70-74	Employed (away from work)	0	16
Albury (C)	70-74	Employed (full-time)	0	47
Albury (C)	70-74	Employed (part-time)		3
Albury (C)	70-74	Employed (part-time)	0	105
Albury (C)	70-74	Employed (part-time)	1	3
Albury (C)	75+		0	11
Albury (C)	75+	Employed (away from work)	0	5
Albury (C)	75+	Employed (full-time)	0	17
Albury (C)	75+	Employed (part-time)	0	58
Albury (C)	75+	Employed (part-time)	1	7
Armidale Regional (A)	15-19		0	33
Armidale Regional (A)	15-19	Employed (away from work)	0	54
Armidale Regional (A)	15-19	Employed (full-time)	0	163
Armidale Regional (A)	15-19	Employed (part-time)		9
Armidale Regional (A)	15-19	Employed (part-time)	0	627
Armidale Regional (A)	15-19	Employed (part-time)	1	3
Armidale Regional (A)	20-24		0	52
Armidale Regional (A)	20-24	Employed (away from work)		4
Armidale Regional (A)	20-24	Employed (away from work)	0	53
Armidale Regional (A)	20-24	Employed (full-time)		3
Armidale Regional (A)	20-24	Employed (full-time)	0	563
Armidale Regional (A)	20-24	Employed (part-time)		4
Armidale Regional (A)	20-24	Employed (part-time)	0	658
Armidale Regional (A)	20-24	Employed (part-time)	1	11
Armidale Regional (A)	25-29		0	15
Armidale Regional (A)	25-29	Employed (away from work)		3
Armidale Regional (A)	25-29	Employed (away from work)	0	49
Armidale Regional (A)	25-29	Employed (full-time)		9
Armidale Regional (A)	25-29	Employed (full-time)	0	740
Armidale Regional (A)	25-29	Employed (part-time)	0	381
Armidale Regional (A)	25-29	Employed (part-time)	1	7
Armidale Regional (A)	30-34		0	16
Armidale Regional (A)	30-34	Employed (away from work)	0	48
Armidale Regional (A)	30-34	Employed (full-time)		11
Armidale Regional (A)	30-34	Employed (full-time)	0	745
Armidale Regional (A)	30-34	Employed (part-time)		3
Armidale Regional (A)	30-34	Employed (part-time)	0	351
Armidale Regional (A)	30-34	Employed (part-time)	1	3
Armidale Regional (A)	35-39		0	11
Armidale Regional (A)	35-39	Employed (away from work)	0	48
Armidale Regional (A)	35-39	Employed (full-time)		4
Armidale Regional (A)	35-39	Employed (full-time)	0	676
Armidale Regional (A)	35-39	Employed (part-time)		8
Armidale Regional (A)	35-39	Employed (part-time)	0	336
Armidale Regional (A)	35-39	Employed (part-time)	1	9
Armidale Regional (A)	40-44		0	21
Armidale Regional (A)	40-44	Employed (away from work)	0	19
Armidale Regional (A)	40-44	Employed (full-time)		21
Armidale Regional (A)	40-44	Employed (full-time)	0	819
Armidale Regional (A)	40-44	Employed (full-time)	1	3
Armidale Regional (A)	40-44	Employed (part-time)		8
Armidale Regional (A)	40-44	Employed (part-time)	0	403
Armidale Regional (A)	40-44	Employed (part-time)	1	6
Armidale Regional (A)	45-49		0	21
Armidale Regional (A)	45-49	Employed (away from work)	0	28
Armidale Regional (A)	45-49	Employed (full-time)		12
Armidale Regional (A)	45-49	Employed (full-time)	0	919
Armidale Regional (A)	45-49	Employed (full-time)	1	4
Armidale Regional (A)	45-49	Employed (part-time)		5
Armidale Regional (A)	45-49	Employed (part-time)	0	384
Armidale Regional (A)	45-49	Employed (part-time)	1	15
Armidale Regional (A)	50-54		0	19
Armidale Regional (A)	50-54	Employed (away from work)	0	31
Armidale Regional (A)	50-54	Employed (full-time)		7
Armidale Regional (A)	50-54	Employed (full-time)	0	1016
Armidale Regional (A)	50-54	Employed (full-time)	1	5
Armidale Regional (A)	50-54	Employed (part-time)	0	411
Armidale Regional (A)	50-54	Employed (part-time)	1	9
Armidale Regional (A)	55-59		0	15
Armidale Regional (A)	55-59	Employed (away from work)		4
Armidale Regional (A)	55-59	Employed (away from work)	0	54
Armidale Regional (A)	55-59	Employed (full-time)		21
Armidale Regional (A)	55-59	Employed (full-time)	0	871
Armidale Regional (A)	55-59	Employed (full-time)	1	7
Armidale Regional (A)	55-59	Employed (part-time)		8
Armidale Regional (A)	55-59	Employed (part-time)	0	400
Armidale Regional (A)	60-64		0	13
Armidale Regional (A)	60-64	Employed (away from work)		3
Armidale Regional (A)	60-64	Employed (away from work)	0	40
Armidale Regional (A)	60-64	Employed (full-time)		5
Armidale Regional (A)	60-64	Employed (full-time)	0	556
Armidale Regional (A)	60-64	Employed (full-time)	1	3
Armidale Regional (A)	60-64	Employed (part-time)		3
Armidale Regional (A)	60-64	Employed (part-time)	0	312
Armidale Regional (A)	60-64	Employed (part-time)	1	8
Armidale Regional (A)	65-69		0	11
Armidale Regional (A)	65-69	Employed (away from work)	0	24
Armidale Regional (A)	65-69	Employed (full-time)	0	215
Armidale Regional (A)	65-69	Employed (part-time)		3
Armidale Regional (A)	65-69	Employed (part-time)	0	201
Armidale Regional (A)	65-69	Employed (part-time)	1	4
Armidale Regional (A)	70-74		0	5
Armidale Regional (A)	70-74	Employed (away from work)	0	4
Armidale Regional (A)	70-74	Employed (full-time)	0	107
Armidale Regional (A)	70-74	Employed (part-time)		4
Armidale Regional (A)	70-74	Employed (part-time)	0	100
Armidale Regional (A)	70-74	Employed (part-time)	1	4
Armidale Regional (A)	75+		0	7
Armidale Regional (A)	75+	Employed (away from work)	0	4
Armidale Regional (A)	75+	Employed (away from work)	1	3
Armidale Regional (A)	75+	Employed (full-time)	0	63
Armidale Regional (A)	75+	Employed (part-time)	0	57
Armidale Regional (A)	75+	Employed (part-time)	1	8
Ballina (A)	15-19		0	25
Ballina (A)	15-19	Employed (away from work)	0	39
Ballina (A)	15-19	Employed (full-time)		3
Ballina (A)	15-19	Employed (full-time)	0	165
Ballina (A)	15-19	Employed (part-time)		7
Ballina (A)	15-19	Employed (part-time)	0	741
Ballina (A)	15-19	Employed (part-time)	1	8
Ballina (A)	20-24		0	18
Ballina (A)	20-24	Employed (away from work)	0	37
Ballina (A)	20-24	Employed (full-time)		9
Ballina (A)	20-24	Employed (full-time)	0	524
Ballina (A)	20-24	Employed (full-time)	1	3
Ballina (A)	20-24	Employed (part-time)		4
Ballina (A)	20-24	Employed (part-time)	0	470
Ballina (A)	20-24	Employed (part-time)	1	11
Ballina (A)	25-29		0	19
Ballina (A)	25-29	Employed (away from work)	0	30
Ballina (A)	25-29	Employed (full-time)		10
Ballina (A)	25-29	Employed (full-time)	0	573
Ballina (A)	25-29	Employed (full-time)	1	10
Ballina (A)	25-29	Employed (part-time)		5
Ballina (A)	25-29	Employed (part-time)	0	345
Ballina (A)	25-29	Employed (part-time)	1	7
Ballina (A)	30-34		0	16
Ballina (A)	30-34	Employed (away from work)	0	44
Ballina (A)	30-34	Employed (full-time)		11
Ballina (A)	30-34	Employed (full-time)	0	678
Ballina (A)	30-34	Employed (full-time)	1	3
Ballina (A)	30-34	Employed (part-time)		4
Ballina (A)	30-34	Employed (part-time)	0	415
Ballina (A)	30-34	Employed (part-time)	1	6
Ballina (A)	35-39			3
Ballina (A)	35-39		0	27
Ballina (A)	35-39	Employed (away from work)	0	31
Ballina (A)	35-39	Employed (full-time)		13
Ballina (A)	35-39	Employed (full-time)	0	807
Ballina (A)	35-39	Employed (full-time)	1	3
Ballina (A)	35-39	Employed (part-time)		7
Ballina (A)	35-39	Employed (part-time)	0	471
Ballina (A)	35-39	Employed (part-time)	1	7
Ballina (A)	40-44		0	27
Ballina (A)	40-44	Employed (away from work)	0	30
Ballina (A)	40-44	Employed (away from work)	1	4
Ballina (A)	40-44	Employed (full-time)		10
Ballina (A)	40-44	Employed (full-time)	0	917
Ballina (A)	40-44	Employed (full-time)	1	9
Ballina (A)	40-44	Employed (part-time)		8
Ballina (A)	40-44	Employed (part-time)	0	597
Ballina (A)	40-44	Employed (part-time)	1	16
Ballina (A)	45-49			3
Ballina (A)	45-49		0	21
Ballina (A)	45-49	Employed (away from work)	0	37
Ballina (A)	45-49	Employed (full-time)		15
Ballina (A)	45-49	Employed (full-time)	0	1017
Ballina (A)	45-49	Employed (part-time)		12
Ballina (A)	45-49	Employed (part-time)	0	632
Ballina (A)	45-49	Employed (part-time)	1	10
Ballina (A)	50-54		0	25
Ballina (A)	50-54	Employed (away from work)	0	45
Ballina (A)	50-54	Employed (full-time)		21
Ballina (A)	50-54	Employed (full-time)	0	1067
Ballina (A)	50-54	Employed (full-time)	1	3
Ballina (A)	50-54	Employed (part-time)		11
Ballina (A)	50-54	Employed (part-time)	0	629
Ballina (A)	50-54	Employed (part-time)	1	22
Ballina (A)	55-59		0	33
Ballina (A)	55-59		1	3
Ballina (A)	55-59	Employed (away from work)		3
Ballina (A)	55-59	Employed (away from work)	0	67
Ballina (A)	55-59	Employed (full-time)		21
Ballina (A)	55-59	Employed (full-time)	0	974
Ballina (A)	55-59	Employed (full-time)	1	4
Ballina (A)	55-59	Employed (part-time)		13
Ballina (A)	55-59	Employed (part-time)	0	703
Ballina (A)	55-59	Employed (part-time)	1	10
Ballina (A)	60-64		0	13
Ballina (A)	60-64	Employed (away from work)	0	50
Ballina (A)	60-64	Employed (away from work)	1	4
Ballina (A)	60-64	Employed (full-time)		7
Ballina (A)	60-64	Employed (full-time)	0	606
Ballina (A)	60-64	Employed (full-time)	1	3
Ballina (A)	60-64	Employed (part-time)		10
Ballina (A)	60-64	Employed (part-time)	0	587
Ballina (A)	60-64	Employed (part-time)	1	4
Ballina (A)	65-69		0	13
Ballina (A)	65-69	Employed (away from work)	0	36
Ballina (A)	65-69	Employed (full-time)		3
Ballina (A)	65-69	Employed (full-time)	0	199
Ballina (A)	65-69	Employed (part-time)		3
Ballina (A)	65-69	Employed (part-time)	0	345
Ballina (A)	65-69	Employed (part-time)	1	11
Ballina (A)	70-74		0	11
Ballina (A)	70-74		1	3
Ballina (A)	70-74	Employed (away from work)	0	12
Ballina (A)	70-74	Employed (full-time)		3
Ballina (A)	70-74	Employed (full-time)	0	72
Ballina (A)	70-74	Employed (part-time)		3
Ballina (A)	70-74	Employed (part-time)	0	124
Ballina (A)	70-74	Employed (part-time)	1	4
Ballina (A)	75+		0	6
Ballina (A)	75+		1	3
Ballina (A)	75+	Employed (away from work)	0	3
Ballina (A)	75+	Employed (full-time)	0	48
Ballina (A)	75+	Employed (part-time)	0	72
Ballina (A)	75+	Employed (part-time)	1	4
Balranald (A)	15-19	Employed (away from work)	0	5
Balranald (A)	15-19	Employed (full-time)	0	12
Balranald (A)	15-19	Employed (part-time)	0	13
Balranald (A)	20-24		0	7
Balranald (A)	20-24	Employed (full-time)	0	44
Balranald (A)	20-24	Employed (part-time)	0	18
Balranald (A)	25-29	Employed (away from work)	0	3
Balranald (A)	25-29	Employed (full-time)	0	35
Balranald (A)	25-29	Employed (part-time)	0	12
Balranald (A)	30-34		0	5
Balranald (A)	30-34	Employed (away from work)	0	3
Balranald (A)	30-34	Employed (full-time)	0	34
Balranald (A)	30-34	Employed (part-time)	0	13
Balranald (A)	35-39	Employed (full-time)		3
Balranald (A)	35-39	Employed (full-time)	0	44
Balranald (A)	35-39	Employed (part-time)	0	22
Balranald (A)	40-44		0	3
Balranald (A)	40-44	Employed (away from work)	0	3
Balranald (A)	40-44	Employed (full-time)		3
Balranald (A)	40-44	Employed (full-time)	0	60
Balranald (A)	40-44	Employed (part-time)	0	31
Balranald (A)	45-49		0	3
Balranald (A)	45-49	Employed (away from work)	0	3
Balranald (A)	45-49	Employed (full-time)	0	56
Balranald (A)	45-49	Employed (part-time)	0	29
Balranald (A)	50-54		0	4
Balranald (A)	50-54	Employed (full-time)	0	54
Balranald (A)	50-54	Employed (part-time)	0	28
Balranald (A)	55-59		0	3
Balranald (A)	55-59	Employed (away from work)	0	5
Balranald (A)	55-59	Employed (full-time)	0	71
Balranald (A)	55-59	Employed (part-time)	0	26
Balranald (A)	60-64		0	3
Balranald (A)	60-64	Employed (full-time)	0	43
Balranald (A)	60-64	Employed (part-time)	0	37
Balranald (A)	65-69	Employed (away from work)	0	3
Balranald (A)	65-69	Employed (full-time)	0	17
Balranald (A)	65-69	Employed (part-time)	0	11
Balranald (A)	70-74	Employed (full-time)	0	3
Balranald (A)	70-74	Employed (part-time)	0	5
Balranald (A)	75+	Employed (part-time)	0	4
Bathurst Regional (A)	15-19		0	50
Bathurst Regional (A)	15-19	Employed (away from work)	0	50
Bathurst Regional (A)	15-19	Employed (full-time)		7
Bathurst Regional (A)	15-19	Employed (full-time)	0	242
Bathurst Regional (A)	15-19	Employed (full-time)	1	5
Bathurst Regional (A)	15-19	Employed (part-time)	0	796
Bathurst Regional (A)	15-19	Employed (part-time)	1	3
Bathurst Regional (A)	20-24		0	52
Bathurst Regional (A)	20-24	Employed (away from work)	0	80
Bathurst Regional (A)	20-24	Employed (full-time)		3
Bathurst Regional (A)	20-24	Employed (full-time)	0	869
Bathurst Regional (A)	20-24	Employed (full-time)	1	6
Bathurst Regional (A)	20-24	Employed (part-time)		7
Bathurst Regional (A)	20-24	Employed (part-time)	0	799
Bathurst Regional (A)	20-24	Employed (part-time)	1	13
Bathurst Regional (A)	25-29		0	29
Bathurst Regional (A)	25-29	Employed (away from work)	0	77
Bathurst Regional (A)	25-29	Employed (full-time)		9
Bathurst Regional (A)	25-29	Employed (full-time)	0	1144
Bathurst Regional (A)	25-29	Employed (full-time)	1	9
Bathurst Regional (A)	25-29	Employed (part-time)		3
Bathurst Regional (A)	25-29	Employed (part-time)	0	460
Bathurst Regional (A)	25-29	Employed (part-time)	1	9
Bathurst Regional (A)	30-34			4
Bathurst Regional (A)	30-34		0	35
Bathurst Regional (A)	30-34	Employed (away from work)	0	81
Bathurst Regional (A)	30-34	Employed (away from work)	1	3
Bathurst Regional (A)	30-34	Employed (full-time)		19
Bathurst Regional (A)	30-34	Employed (full-time)	0	1032
Bathurst Regional (A)	30-34	Employed (full-time)	1	7
Bathurst Regional (A)	30-34	Employed (part-time)		6
Bathurst Regional (A)	30-34	Employed (part-time)	0	490
Bathurst Regional (A)	30-34	Employed (part-time)	1	6
Bathurst Regional (A)	35-39		0	23
Bathurst Regional (A)	35-39	Employed (away from work)	0	49
Bathurst Regional (A)	35-39	Employed (full-time)		15
Bathurst Regional (A)	35-39	Employed (full-time)	0	1039
Bathurst Regional (A)	35-39	Employed (part-time)		10
Bathurst Regional (A)	35-39	Employed (part-time)	0	453
Bathurst Regional (A)	35-39	Employed (part-time)	1	8
Bathurst Regional (A)	40-44			3
Bathurst Regional (A)	40-44		0	23
Bathurst Regional (A)	40-44	Employed (away from work)	0	36
Bathurst Regional (A)	40-44	Employed (full-time)		16
Bathurst Regional (A)	40-44	Employed (full-time)	0	1199
Bathurst Regional (A)	40-44	Employed (full-time)	1	14
Bathurst Regional (A)	40-44	Employed (part-time)		12
Bathurst Regional (A)	40-44	Employed (part-time)	0	508
Bathurst Regional (A)	40-44	Employed (part-time)	1	14
Bathurst Regional (A)	45-49			3
Bathurst Regional (A)	45-49		0	20
Bathurst Regional (A)	45-49	Employed (away from work)		3
Bathurst Regional (A)	45-49	Employed (away from work)	0	51
Bathurst Regional (A)	45-49	Employed (full-time)		34
Bathurst Regional (A)	45-49	Employed (full-time)	0	1296
Bathurst Regional (A)	45-49	Employed (full-time)	1	3
Bathurst Regional (A)	45-49	Employed (part-time)		10
Bathurst Regional (A)	45-49	Employed (part-time)	0	477
Bathurst Regional (A)	45-49	Employed (part-time)	1	13
Bathurst Regional (A)	50-54			3
Bathurst Regional (A)	50-54		0	22
Bathurst Regional (A)	50-54	Employed (away from work)	0	48
Bathurst Regional (A)	50-54	Employed (full-time)		17
Bathurst Regional (A)	50-54	Employed (full-time)	0	1268
Bathurst Regional (A)	50-54	Employed (full-time)	1	10
Bathurst Regional (A)	50-54	Employed (part-time)		5
Bathurst Regional (A)	50-54	Employed (part-time)	0	464
Bathurst Regional (A)	50-54	Employed (part-time)	1	8
Bathurst Regional (A)	55-59		0	19
Bathurst Regional (A)	55-59	Employed (away from work)	0	56
Bathurst Regional (A)	55-59	Employed (away from work)	1	4
Bathurst Regional (A)	55-59	Employed (full-time)		17
Bathurst Regional (A)	55-59	Employed (full-time)	0	1113
Bathurst Regional (A)	55-59	Employed (full-time)	1	5
Bathurst Regional (A)	55-59	Employed (part-time)		6
Bathurst Regional (A)	55-59	Employed (part-time)	0	482
Bathurst Regional (A)	55-59	Employed (part-time)	1	3
Bathurst Regional (A)	60-64		0	17
Bathurst Regional (A)	60-64	Employed (away from work)		5
Bathurst Regional (A)	60-64	Employed (away from work)	0	68
Bathurst Regional (A)	60-64	Employed (full-time)		6
Bathurst Regional (A)	60-64	Employed (full-time)	0	687
Bathurst Regional (A)	60-64	Employed (full-time)	1	3
Bathurst Regional (A)	60-64	Employed (part-time)		5
Bathurst Regional (A)	60-64	Employed (part-time)	0	411
Bathurst Regional (A)	60-64	Employed (part-time)	1	8
Bathurst Regional (A)	65-69		0	7
Bathurst Regional (A)	65-69	Employed (away from work)	0	26
Bathurst Regional (A)	65-69	Employed (full-time)		5
Bathurst Regional (A)	65-69	Employed (full-time)	0	269
Bathurst Regional (A)	65-69	Employed (part-time)		3
Bathurst Regional (A)	65-69	Employed (part-time)	0	238
Bathurst Regional (A)	65-69	Employed (part-time)	1	3
Bathurst Regional (A)	70-74		0	4
Bathurst Regional (A)	70-74	Employed (away from work)	0	21
Bathurst Regional (A)	70-74	Employed (full-time)		4
Bathurst Regional (A)	70-74	Employed (full-time)	0	74
Bathurst Regional (A)	70-74	Employed (part-time)	0	123
Bathurst Regional (A)	75+		0	4
Bathurst Regional (A)	75+	Employed (away from work)	0	9
Bathurst Regional (A)	75+	Employed (full-time)	0	46
Bathurst Regional (A)	75+	Employed (part-time)		3
Bathurst Regional (A)	75+	Employed (part-time)	0	67
Bathurst Regional (A)	75+	Employed (part-time)	1	3
Bega Valley (A)	15-19		0	27
Bega Valley (A)	15-19	Employed (away from work)	0	37
Bega Valley (A)	15-19	Employed (full-time)	0	172
Bega Valley (A)	15-19	Employed (part-time)		5
Bega Valley (A)	15-19	Employed (part-time)	0	492
Bega Valley (A)	15-19	Employed (part-time)	1	3
Bega Valley (A)	20-24		0	29
Bega Valley (A)	20-24	Employed (away from work)	0	26
Bega Valley (A)	20-24	Employed (full-time)		8
Bega Valley (A)	20-24	Employed (full-time)	0	386
Bega Valley (A)	20-24	Employed (part-time)		3
Bega Valley (A)	20-24	Employed (part-time)	0	238
Bega Valley (A)	20-24	Employed (part-time)	1	12
Bega Valley (A)	25-29		0	7
Bega Valley (A)	25-29	Employed (away from work)	0	30
Bega Valley (A)	25-29	Employed (full-time)		4
Bega Valley (A)	25-29	Employed (full-time)	0	431
Bega Valley (A)	25-29	Employed (part-time)		3
Bega Valley (A)	25-29	Employed (part-time)	0	218
Bega Valley (A)	25-29	Employed (part-time)	1	8
Bega Valley (A)	30-34		0	9
Bega Valley (A)	30-34	Employed (away from work)	0	57
Bega Valley (A)	30-34	Employed (full-time)		12
Bega Valley (A)	30-34	Employed (full-time)	0	495
Bega Valley (A)	30-34	Employed (part-time)		6
Bega Valley (A)	30-34	Employed (part-time)	0	294
Bega Valley (A)	30-34	Employed (part-time)	1	3
Bega Valley (A)	35-39		0	16
Bega Valley (A)	35-39	Employed (away from work)	0	33
Bega Valley (A)	35-39	Employed (full-time)		3
Bega Valley (A)	35-39	Employed (full-time)	0	530
Bega Valley (A)	35-39	Employed (full-time)	1	3
Bega Valley (A)	35-39	Employed (part-time)		12
Bega Valley (A)	35-39	Employed (part-time)	0	351
Bega Valley (A)	35-39	Employed (part-time)	1	6
Bega Valley (A)	40-44		0	20
Bega Valley (A)	40-44	Employed (away from work)	0	37
Bega Valley (A)	40-44	Employed (full-time)		12
Bega Valley (A)	40-44	Employed (full-time)	0	664
Bega Valley (A)	40-44	Employed (full-time)	1	5
Bega Valley (A)	40-44	Employed (part-time)		12
Bega Valley (A)	40-44	Employed (part-time)	0	404
Bega Valley (A)	40-44	Employed (part-time)	1	10
Bega Valley (A)	45-49		0	21
Bega Valley (A)	45-49	Employed (away from work)	0	48
Bega Valley (A)	45-49	Employed (full-time)		11
Bega Valley (A)	45-49	Employed (full-time)	0	844
Bega Valley (A)	45-49	Employed (full-time)	1	4
Bega Valley (A)	45-49	Employed (part-time)		7
Bega Valley (A)	45-49	Employed (part-time)	0	486
Bega Valley (A)	45-49	Employed (part-time)	1	7
Bega Valley (A)	50-54		0	27
Bega Valley (A)	50-54	Employed (away from work)		4
Bega Valley (A)	50-54	Employed (away from work)	0	44
Bega Valley (A)	50-54	Employed (full-time)		13
Bega Valley (A)	50-54	Employed (full-time)	0	943
Bega Valley (A)	50-54	Employed (full-time)	1	4
Bega Valley (A)	50-54	Employed (part-time)		15
Bega Valley (A)	50-54	Employed (part-time)	0	559
Bega Valley (A)	50-54	Employed (part-time)	1	14
Bega Valley (A)	55-59		0	25
Bega Valley (A)	55-59	Employed (away from work)	0	91
Bega Valley (A)	55-59	Employed (full-time)		11
Bega Valley (A)	55-59	Employed (full-time)	0	834
Bega Valley (A)	55-59	Employed (full-time)	1	6
Bega Valley (A)	55-59	Employed (part-time)		15
Bega Valley (A)	55-59	Employed (part-time)	0	694
Bega Valley (A)	55-59	Employed (part-time)	1	13
Bega Valley (A)	60-64		0	27
Bega Valley (A)	60-64	Employed (away from work)	0	72
Bega Valley (A)	60-64	Employed (full-time)		6
Bega Valley (A)	60-64	Employed (full-time)	0	514
Bega Valley (A)	60-64	Employed (full-time)	1	8
Bega Valley (A)	60-64	Employed (part-time)		10
Bega Valley (A)	60-64	Employed (part-time)	0	544
Bega Valley (A)	60-64	Employed (part-time)	1	15
Bega Valley (A)	65-69		0	20
Bega Valley (A)	65-69	Employed (away from work)	0	29
Bega Valley (A)	65-69	Employed (full-time)		3
Bega Valley (A)	65-69	Employed (full-time)	0	205
Bega Valley (A)	65-69	Employed (full-time)	1	3
Bega Valley (A)	65-69	Employed (part-time)		6
Bega Valley (A)	65-69	Employed (part-time)	0	288
Bega Valley (A)	65-69	Employed (part-time)	1	3
Bega Valley (A)	70-74		0	11
Bega Valley (A)	70-74	Employed (away from work)	0	21
Bega Valley (A)	70-74	Employed (full-time)	0	65
Bega Valley (A)	70-74	Employed (part-time)	0	114
Bega Valley (A)	75+		0	6
Bega Valley (A)	75+	Employed (away from work)	0	8
Bega Valley (A)	75+	Employed (full-time)	0	40
Bega Valley (A)	75+	Employed (part-time)	0	54
Bega Valley (A)	75+	Employed (part-time)	1	5
Bellingen (A)	15-19		0	8
Bellingen (A)	15-19	Employed (away from work)	0	3
Bellingen (A)	15-19	Employed (full-time)	0	29
Bellingen (A)	15-19	Employed (part-time)		3
Bellingen (A)	15-19	Employed (part-time)	0	138
Bellingen (A)	15-19	Employed (part-time)	1	3
Bellingen (A)	20-24		0	6
Bellingen (A)	20-24	Employed (away from work)	0	4
Bellingen (A)	20-24	Employed (full-time)	0	71
Bellingen (A)	20-24	Employed (part-time)	0	66
Bellingen (A)	20-24	Employed (part-time)	1	3
Bellingen (A)	25-29		0	3
Bellingen (A)	25-29	Employed (away from work)	0	4
Bellingen (A)	25-29	Employed (full-time)		3
Bellingen (A)	25-29	Employed (full-time)	0	101
Bellingen (A)	25-29	Employed (part-time)		5
Bellingen (A)	25-29	Employed (part-time)	0	71
Bellingen (A)	30-34		0	8
Bellingen (A)	30-34	Employed (away from work)	0	12
