LGA_NAME16	Age	EmploymentStatus	workers
Bega Valley (A)	45-49	Owner managers of unincorporated enterprises	181
Bega Valley (A)	45-49	Status in employment not stated	25
Bega Valley (A)	50-54	Contributing family workers	46
Bega Valley (A)	50-54	Employee	1206
Bega Valley (A)	50-54	Owner managers of incorporated enterprises	146
Bega Valley (A)	50-54	Owner managers of unincorporated enterprises	212
Bega Valley (A)	50-54	Status in employment not stated	17
Bega Valley (A)	55-59	Contributing family workers	49
Bega Valley (A)	55-59	Employee	1215
Bega Valley (A)	55-59	Owner managers of incorporated enterprises	159
Bega Valley (A)	55-59	Owner managers of unincorporated enterprises	251
Bega Valley (A)	55-59	Status in employment not stated	27
Bega Valley (A)	60-64	Contributing family workers	68
Bega Valley (A)	60-64	Employee	755
Bega Valley (A)	60-64	Owner managers of incorporated enterprises	129
Bega Valley (A)	60-64	Owner managers of unincorporated enterprises	212
Bega Valley (A)	60-64	Status in employment not stated	25
Bega Valley (A)	65-69	Contributing family workers	48
Bega Valley (A)	65-69	Employee	268
Bega Valley (A)	65-69	Owner managers of incorporated enterprises	79
Bega Valley (A)	65-69	Owner managers of unincorporated enterprises	142
Bega Valley (A)	65-69	Status in employment not stated	14
Bega Valley (A)	70-74	Contributing family workers	38
Bega Valley (A)	70-74	Employee	63
Bega Valley (A)	70-74	Owner managers of incorporated enterprises	35
Bega Valley (A)	70-74	Owner managers of unincorporated enterprises	64
Bega Valley (A)	70-74	Status in employment not stated	9
Bega Valley (A)	75+	Contributing family workers	24
Bega Valley (A)	75+	Employee	31
Bega Valley (A)	75+	Owner managers of incorporated enterprises	16
Bega Valley (A)	75+	Owner managers of unincorporated enterprises	44
Bega Valley (A)	75+	Status in employment not stated	3
Bellingen (A)	15-19	Employee	179
Bellingen (A)	15-19	Owner managers of unincorporated enterprises	3
Bellingen (A)	15-19	Status in employment not stated	8
Bellingen (A)	20-24	Contributing family workers	4
Bellingen (A)	20-24	Employee	132
Bellingen (A)	20-24	Owner managers of unincorporated enterprises	8
Bellingen (A)	20-24	Status in employment not stated	7
Bellingen (A)	25-29	Contributing family workers	5
Bellingen (A)	25-29	Employee	160
Bellingen (A)	25-29	Owner managers of incorporated enterprises	3
Bellingen (A)	25-29	Owner managers of unincorporated enterprises	24
Bellingen (A)	25-29	Status in employment not stated	4
Bellingen (A)	30-34	Contributing family workers	12
Bellingen (A)	30-34	Employee	210
Bellingen (A)	30-34	Owner managers of incorporated enterprises	15
Bellingen (A)	30-34	Owner managers of unincorporated enterprises	43
Bellingen (A)	30-34	Status in employment not stated	3
Bellingen (A)	35-39	Contributing family workers	4
Bellingen (A)	35-39	Employee	227
Bellingen (A)	35-39	Owner managers of incorporated enterprises	12
Bellingen (A)	35-39	Owner managers of unincorporated enterprises	38
Bellingen (A)	35-39	Status in employment not stated	3
Bellingen (A)	40-44	Contributing family workers	9
Bellingen (A)	40-44	Employee	260
Bellingen (A)	40-44	Owner managers of incorporated enterprises	28
Bellingen (A)	40-44	Owner managers of unincorporated enterprises	64
Bellingen (A)	40-44	Status in employment not stated	7
Bellingen (A)	45-49	Contributing family workers	20
Bellingen (A)	45-49	Employee	315
Bellingen (A)	45-49	Owner managers of incorporated enterprises	37
Bellingen (A)	45-49	Owner managers of unincorporated enterprises	72
Bellingen (A)	50-54	Contributing family workers	15
Bellingen (A)	50-54	Employee	327
Bellingen (A)	50-54	Owner managers of incorporated enterprises	30
Bellingen (A)	50-54	Owner managers of unincorporated enterprises	95
Bellingen (A)	50-54	Status in employment not stated	7
Bellingen (A)	55-59	Contributing family workers	19
Bellingen (A)	55-59	Employee	334
Bellingen (A)	55-59	Owner managers of incorporated enterprises	33
Bellingen (A)	55-59	Owner managers of unincorporated enterprises	115
Bellingen (A)	55-59	Status in employment not stated	5
Bellingen (A)	60-64	Contributing family workers	19
Bellingen (A)	60-64	Employee	251
Bellingen (A)	60-64	Owner managers of incorporated enterprises	27
Bellingen (A)	60-64	Owner managers of unincorporated enterprises	95
Bellingen (A)	60-64	Status in employment not stated	13
Bellingen (A)	65-69	Contributing family workers	29
Bellingen (A)	65-69	Employee	57
Bellingen (A)	65-69	Owner managers of incorporated enterprises	19
Bellingen (A)	65-69	Owner managers of unincorporated enterprises	74
Bellingen (A)	65-69	Status in employment not stated	3
Bellingen (A)	70-74	Contributing family workers	11
Bellingen (A)	70-74	Employee	22
Bellingen (A)	70-74	Owner managers of incorporated enterprises	11
Bellingen (A)	70-74	Owner managers of unincorporated enterprises	29
Bellingen (A)	75+	Contributing family workers	21
Bellingen (A)	75+	Employee	5
Bellingen (A)	75+	Owner managers of incorporated enterprises	3
Bellingen (A)	75+	Owner managers of unincorporated enterprises	23
Bellingen (A)	75+	Status in employment not stated	11
Berrigan (A)	15-19	Contributing family workers	3
Berrigan (A)	15-19	Employee	132
Berrigan (A)	15-19	Status in employment not stated	8
Berrigan (A)	20-24	Contributing family workers	6
Berrigan (A)	20-24	Employee	161
Berrigan (A)	20-24	Owner managers of unincorporated enterprises	4
Berrigan (A)	20-24	Status in employment not stated	4
Berrigan (A)	25-29	Contributing family workers	3
Berrigan (A)	25-29	Employee	177
Berrigan (A)	25-29	Owner managers of incorporated enterprises	10
Berrigan (A)	25-29	Owner managers of unincorporated enterprises	19
Berrigan (A)	30-34	Contributing family workers	11
Berrigan (A)	30-34	Employee	157
Berrigan (A)	30-34	Owner managers of incorporated enterprises	14
Berrigan (A)	30-34	Owner managers of unincorporated enterprises	14
Berrigan (A)	35-39	Contributing family workers	12
Berrigan (A)	35-39	Employee	144
Berrigan (A)	35-39	Owner managers of incorporated enterprises	25
Berrigan (A)	35-39	Owner managers of unincorporated enterprises	34
Berrigan (A)	35-39	Status in employment not stated	6
Berrigan (A)	40-44	Contributing family workers	12
Berrigan (A)	40-44	Employee	154
Berrigan (A)	40-44	Owner managers of incorporated enterprises	33
Berrigan (A)	40-44	Owner managers of unincorporated enterprises	52
Berrigan (A)	40-44	Status in employment not stated	3
Berrigan (A)	45-49	Contributing family workers	19
Berrigan (A)	45-49	Employee	169
Berrigan (A)	45-49	Owner managers of incorporated enterprises	37
Berrigan (A)	45-49	Owner managers of unincorporated enterprises	46
Berrigan (A)	45-49	Status in employment not stated	3
Berrigan (A)	50-54	Contributing family workers	9
Berrigan (A)	50-54	Employee	209
Berrigan (A)	50-54	Owner managers of incorporated enterprises	38
Berrigan (A)	50-54	Owner managers of unincorporated enterprises	33
Berrigan (A)	55-59	Contributing family workers	24
Berrigan (A)	55-59	Employee	214
Berrigan (A)	55-59	Owner managers of incorporated enterprises	47
Berrigan (A)	55-59	Owner managers of unincorporated enterprises	46
Berrigan (A)	55-59	Status in employment not stated	11
Berrigan (A)	60-64	Contributing family workers	28
Berrigan (A)	60-64	Employee	174
Berrigan (A)	60-64	Owner managers of incorporated enterprises	42
Berrigan (A)	60-64	Owner managers of unincorporated enterprises	56
Berrigan (A)	60-64	Status in employment not stated	10
Berrigan (A)	65-69	Contributing family workers	22
Berrigan (A)	65-69	Employee	83
Berrigan (A)	65-69	Owner managers of incorporated enterprises	19
Berrigan (A)	65-69	Owner managers of unincorporated enterprises	30
Berrigan (A)	65-69	Status in employment not stated	5
Berrigan (A)	70-74	Contributing family workers	18
Berrigan (A)	70-74	Employee	30
Berrigan (A)	70-74	Owner managers of incorporated enterprises	11
Berrigan (A)	70-74	Owner managers of unincorporated enterprises	17
Berrigan (A)	75+	Contributing family workers	23
Berrigan (A)	75+	Employee	16
Berrigan (A)	75+	Owner managers of incorporated enterprises	11
Berrigan (A)	75+	Owner managers of unincorporated enterprises	10
Berrigan (A)	75+	Status in employment not stated	3
Blacktown (C)	15-19	Contributing family workers	40
Blacktown (C)	15-19	Employee	5832
Blacktown (C)	15-19	Owner managers of incorporated enterprises	25
Blacktown (C)	15-19	Owner managers of unincorporated enterprises	31
Blacktown (C)	15-19	Status in employment not stated	63
Blacktown (C)	20-24	Contributing family workers	51
Blacktown (C)	20-24	Employee	9509
Blacktown (C)	20-24	Owner managers of incorporated enterprises	93
Blacktown (C)	20-24	Owner managers of unincorporated enterprises	181
Blacktown (C)	20-24	Status in employment not stated	92
Blacktown (C)	25-29	Contributing family workers	41
Blacktown (C)	25-29	Employee	10302
Blacktown (C)	25-29	Owner managers of incorporated enterprises	355
Blacktown (C)	25-29	Owner managers of unincorporated enterprises	389
Blacktown (C)	25-29	Status in employment not stated	99
Blacktown (C)	30-34	Contributing family workers	101
Blacktown (C)	30-34	Employee	10719
Blacktown (C)	30-34	Owner managers of incorporated enterprises	708
Blacktown (C)	30-34	Owner managers of unincorporated enterprises	628
Blacktown (C)	30-34	Status in employment not stated	93
Blacktown (C)	35-39	Contributing family workers	134
Blacktown (C)	35-39	Employee	10306
Blacktown (C)	35-39	Owner managers of incorporated enterprises	870
Blacktown (C)	35-39	Owner managers of unincorporated enterprises	717
Blacktown (C)	35-39	Status in employment not stated	97
Blacktown (C)	40-44	Contributing family workers	120
Blacktown (C)	40-44	Employee	10270
Blacktown (C)	40-44	Owner managers of incorporated enterprises	964
Blacktown (C)	40-44	Owner managers of unincorporated enterprises	822
Blacktown (C)	40-44	Status in employment not stated	99
Blacktown (C)	45-49	Contributing family workers	116
Blacktown (C)	45-49	Employee	9809
Blacktown (C)	45-49	Owner managers of incorporated enterprises	996
Blacktown (C)	45-49	Owner managers of unincorporated enterprises	776
Blacktown (C)	45-49	Status in employment not stated	114
Blacktown (C)	50-54	Contributing family workers	103
Blacktown (C)	50-54	Employee	9266
Blacktown (C)	50-54	Owner managers of incorporated enterprises	916
Blacktown (C)	50-54	Owner managers of unincorporated enterprises	755
Blacktown (C)	50-54	Status in employment not stated	112
Blacktown (C)	55-59	Contributing family workers	97
Blacktown (C)	55-59	Employee	7819
Blacktown (C)	55-59	Owner managers of incorporated enterprises	697
Blacktown (C)	55-59	Owner managers of unincorporated enterprises	588
Blacktown (C)	55-59	Status in employment not stated	72
Blacktown (C)	60-64	Contributing family workers	79
Blacktown (C)	60-64	Employee	4902
Blacktown (C)	60-64	Owner managers of incorporated enterprises	515
Blacktown (C)	60-64	Owner managers of unincorporated enterprises	459
Blacktown (C)	60-64	Status in employment not stated	69
Blacktown (C)	65-69	Contributing family workers	60
Blacktown (C)	65-69	Employee	1776
Blacktown (C)	65-69	Owner managers of incorporated enterprises	280
Blacktown (C)	65-69	Owner managers of unincorporated enterprises	243
Blacktown (C)	65-69	Status in employment not stated	37
Blacktown (C)	70-74	Contributing family workers	23
Blacktown (C)	70-74	Employee	446
Blacktown (C)	70-74	Owner managers of incorporated enterprises	116
Blacktown (C)	70-74	Owner managers of unincorporated enterprises	101
Blacktown (C)	70-74	Status in employment not stated	22
Blacktown (C)	75+	Contributing family workers	18
Blacktown (C)	75+	Employee	119
Blacktown (C)	75+	Owner managers of incorporated enterprises	33
