LGA_NAME16	ModeTravelToWork	NumberModes	Occupation	workers
Armidale Regional (A)	Bus	1	Sales workers	6
Armidale Regional (A)	Bus	1	Technicians and trades workers	3
Armidale Regional (A)	Bus and car as driver	2	Professionals	3
Armidale Regional (A)	Car as driver	1		79
Armidale Regional (A)	Car as driver	1	Clerical and administrative workers	1253
Armidale Regional (A)	Car as driver	1	Community and personal service workers	991
Armidale Regional (A)	Car as driver	1	Labourers	808
Armidale Regional (A)	Car as driver	1	Machinery operators and drivers	345
Armidale Regional (A)	Car as driver	1	Managers	1058
Armidale Regional (A)	Car as driver	1	Professionals	2207
Armidale Regional (A)	Car as driver	1	Sales workers	819
Armidale Regional (A)	Car as driver	1	Technicians and trades workers	1056
Armidale Regional (A)	Car as passenger	1		11
Armidale Regional (A)	Car as passenger	1	Clerical and administrative workers	84
Armidale Regional (A)	Car as passenger	1	Community and personal service workers	76
Armidale Regional (A)	Car as passenger	1	Labourers	210
Armidale Regional (A)	Car as passenger	1	Machinery operators and drivers	15
Armidale Regional (A)	Car as passenger	1	Managers	52
Armidale Regional (A)	Car as passenger	1	Professionals	141
Armidale Regional (A)	Car as passenger	1	Sales workers	144
Armidale Regional (A)	Car as passenger	1	Technicians and trades workers	90
Armidale Regional (A)	Did not go to work			21
Armidale Regional (A)	Did not go to work		Clerical and administrative workers	164
Armidale Regional (A)	Did not go to work		Community and personal service workers	225
Armidale Regional (A)	Did not go to work		Labourers	148
Armidale Regional (A)	Did not go to work		Machinery operators and drivers	35
Armidale Regional (A)	Did not go to work		Managers	97
Armidale Regional (A)	Did not go to work		Professionals	280
Armidale Regional (A)	Did not go to work		Sales workers	230
Armidale Regional (A)	Did not go to work		Technicians and trades workers	95
Armidale Regional (A)	Method of travel not stated			38
Armidale Regional (A)	Method of travel not stated		Clerical and administrative workers	13
Armidale Regional (A)	Method of travel not stated		Community and personal service workers	18
Armidale Regional (A)	Method of travel not stated		Labourers	13
Armidale Regional (A)	Method of travel not stated		Machinery operators and drivers	8
Armidale Regional (A)	Method of travel not stated		Managers	10
Armidale Regional (A)	Method of travel not stated		Professionals	21
Armidale Regional (A)	Method of travel not stated		Sales workers	13
Armidale Regional (A)	Method of travel not stated		Technicians and trades workers	10
Armidale Regional (A)	Motorbike scooter	1	Clerical and administrative workers	3
Armidale Regional (A)	Motorbike scooter	1	Community and personal service workers	4
Armidale Regional (A)	Motorbike scooter	1	Labourers	18
Armidale Regional (A)	Motorbike scooter	1	Machinery operators and drivers	4
Armidale Regional (A)	Motorbike scooter	1	Managers	27
Armidale Regional (A)	Motorbike scooter	1	Professionals	22
Armidale Regional (A)	Motorbike scooter	1	Sales workers	10
Armidale Regional (A)	Motorbike scooter	1	Technicians and trades workers	14
Armidale Regional (A)	(Other)	1		5
Armidale Regional (A)	(Other)	1	Clerical and administrative workers	6
Armidale Regional (A)	(Other)	1	Community and personal service workers	12
Armidale Regional (A)	(Other)	1	Labourers	6
Armidale Regional (A)	(Other)	1	Machinery operators and drivers	3
Armidale Regional (A)	(Other)	1	Managers	43
Armidale Regional (A)	(Other)	1	Professionals	13
Armidale Regional (A)	(Other)	1	Technicians and trades workers	3
Armidale Regional (A)	Other three methods	3	Managers	3
Armidale Regional (A)	Other two methods	2		3
Armidale Regional (A)	Other two methods	2	Clerical and administrative workers	12
Armidale Regional (A)	Other two methods	2	Community and personal service workers	5
Armidale Regional (A)	Other two methods	2	Labourers	11
Armidale Regional (A)	Other two methods	2	Machinery operators and drivers	8
Armidale Regional (A)	Other two methods	2	Managers	16
Armidale Regional (A)	Other two methods	2	Professionals	19
Armidale Regional (A)	Other two methods	2	Sales workers	12
Armidale Regional (A)	Other two methods	2	Technicians and trades workers	14
Armidale Regional (A)	Taxi	1	Clerical and administrative workers	3
Armidale Regional (A)	Taxi	1	Community and personal service workers	5
Armidale Regional (A)	Taxi	1	Labourers	3
Armidale Regional (A)	Taxi	1	Machinery operators and drivers	7
Armidale Regional (A)	Taxi	1	Managers	5
Armidale Regional (A)	Taxi	1	Professionals	7
Armidale Regional (A)	Taxi	1	Technicians and trades workers	3
Armidale Regional (A)	Train	1	Professionals	9
Armidale Regional (A)	Train and two other methods	3	Professionals	3
Armidale Regional (A)	Truck	1	Clerical and administrative workers	3
Armidale Regional (A)	Truck	1	Labourers	13
Armidale Regional (A)	Truck	1	Machinery operators and drivers	20
Armidale Regional (A)	Truck	1	Managers	50
Armidale Regional (A)	Truck	1	Professionals	6
Armidale Regional (A)	Truck	1	Sales workers	4
Armidale Regional (A)	Truck	1	Technicians and trades workers	32
Armidale Regional (A)	Walked only	1		8
Armidale Regional (A)	Walked only	1	Clerical and administrative workers	48
Armidale Regional (A)	Walked only	1	Community and personal service workers	108
Armidale Regional (A)	Walked only	1	Labourers	93
Armidale Regional (A)	Walked only	1	Machinery operators and drivers	17
Armidale Regional (A)	Walked only	1	Managers	102
Armidale Regional (A)	Walked only	1	Professionals	143
Armidale Regional (A)	Walked only	1	Sales workers	63
Armidale Regional (A)	Walked only	1	Technicians and trades workers	64
Armidale Regional (A)	Worked at home			16
Armidale Regional (A)	Worked at home		Clerical and administrative workers	109
Armidale Regional (A)	Worked at home		Community and personal service workers	38
Armidale Regional (A)	Worked at home		Labourers	40
Armidale Regional (A)	Worked at home		Machinery operators and drivers	3
Armidale Regional (A)	Worked at home		Managers	436
Armidale Regional (A)	Worked at home		Professionals	191
Armidale Regional (A)	Worked at home		Sales workers	16
Armidale Regional (A)	Worked at home		Technicians and trades workers	37
Ballina (A)	Bicycle	1		4
Ballina (A)	Bicycle	1	Clerical and administrative workers	12
Ballina (A)	Bicycle	1	Community and personal service workers	24
Ballina (A)	Bicycle	1	Labourers	42
Ballina (A)	Bicycle	1	Machinery operators and drivers	14
Ballina (A)	Bicycle	1	Managers	21
Ballina (A)	Bicycle	1	Professionals	41
Ballina (A)	Bicycle	1	Sales workers	21
Ballina (A)	Bicycle	1	Technicians and trades workers	33
Ballina (A)	Bus	1	Clerical and administrative workers	3
Ballina (A)	Bus	1	Community and personal service workers	11
Ballina (A)	Bus	1	Labourers	22
Ballina (A)	Bus	1	Machinery operators and drivers	3
Ballina (A)	Bus	1	Professionals	8
Ballina (A)	Bus	1	Sales workers	12
Ballina (A)	Bus	1	Technicians and trades workers	5
Ballina (A)	Bus and car as driver	2	Technicians and trades workers	3
Ballina (A)	Bus and car as passenger	2	Community and personal service workers	3
Ballina (A)	Bus and car as passenger	2	Labourers	6
Ballina (A)	Bus and car as passenger	2	Sales workers	3
Ballina (A)	Car as driver	1		84
Ballina (A)	Car as driver	1	Clerical and administrative workers	1205
Ballina (A)	Car as driver	1	Community and personal service workers	1385
Ballina (A)	Car as driver	1	Labourers	1043
Ballina (A)	Car as driver	1	Machinery operators and drivers	525
Ballina (A)	Car as driver	1	Managers	1181
Ballina (A)	Car as driver	1	Professionals	2085
Ballina (A)	Car as driver	1	Sales workers	1041
Ballina (A)	Car as driver	1	Technicians and trades workers	1510
Ballina (A)	Car as passenger	1		4
Ballina (A)	Car as passenger	1	Clerical and administrative workers	56
Ballina (A)	Car as passenger	1	Community and personal service workers	92
Ballina (A)	Car as passenger	1	Labourers	159
Ballina (A)	Car as passenger	1	Machinery operators and drivers	20
Ballina (A)	Car as passenger	1	Managers	57
Ballina (A)	Car as passenger	1	Professionals	60
Ballina (A)	Car as passenger	1	Sales workers	144
Ballina (A)	Car as passenger	1	Technicians and trades workers	103
Ballina (A)	Did not go to work			16
Ballina (A)	Did not go to work		Clerical and administrative workers	169
Ballina (A)	Did not go to work		Community and personal service workers	250
Ballina (A)	Did not go to work		Labourers	209
Ballina (A)	Did not go to work		Machinery operators and drivers	56
Ballina (A)	Did not go to work		Managers	105
Ballina (A)	Did not go to work		Professionals	268
Ballina (A)	Did not go to work		Sales workers	302
Ballina (A)	Did not go to work		Technicians and trades workers	106
Ballina (A)	Method of travel not stated			70
Ballina (A)	Method of travel not stated		Clerical and administrative workers	5
Ballina (A)	Method of travel not stated		Community and personal service workers	23
Ballina (A)	Method of travel not stated		Labourers	19
Ballina (A)	Method of travel not stated		Machinery operators and drivers	8
Ballina (A)	Method of travel not stated		Managers	14
Ballina (A)	Method of travel not stated		Professionals	31
Ballina (A)	Method of travel not stated		Sales workers	17
Ballina (A)	Method of travel not stated		Technicians and trades workers	15
Ballina (A)	Motorbike scooter	1	Clerical and administrative workers	4
Ballina (A)	Motorbike scooter	1	Community and personal service workers	13
Ballina (A)	Motorbike scooter	1	Labourers	19
Ballina (A)	Motorbike scooter	1	Machinery operators and drivers	3
Ballina (A)	Motorbike scooter	1	Managers	6
Ballina (A)	Motorbike scooter	1	Professionals	16
Ballina (A)	Motorbike scooter	1	Sales workers	10
Ballina (A)	Motorbike scooter	1	Technicians and trades workers	22
Ballina (A)	(Other)	1		5
Ballina (A)	(Other)	1	Clerical and administrative workers	8
Ballina (A)	(Other)	1	Community and personal service workers	10
Ballina (A)	(Other)	1	Labourers	6
Ballina (A)	(Other)	1	Machinery operators and drivers	3
Ballina (A)	(Other)	1	Managers	23
Ballina (A)	(Other)	1	Professionals	15
Ballina (A)	(Other)	1	Sales workers	3
Ballina (A)	(Other)	1	Technicians and trades workers	7
Ballina (A)	Other two methods	2	Clerical and administrative workers	10
Ballina (A)	Other two methods	2	Community and personal service workers	16
Ballina (A)	Other two methods	2	Labourers	13
Ballina (A)	Other two methods	2	Machinery operators and drivers	8
Ballina (A)	Other two methods	2	Managers	13
Ballina (A)	Other two methods	2	Professionals	22
Ballina (A)	Other two methods	2	Sales workers	8
Ballina (A)	Other two methods	2	Technicians and trades workers	15
Ballina (A)	Taxi	1	Clerical and administrative workers	3
Ballina (A)	Taxi	1	Technicians and trades workers	3
Ballina (A)	Train	1	Clerical and administrative workers	3
Ballina (A)	Train	1	Managers	3
Ballina (A)	Truck	1	Clerical and administrative workers	4
Ballina (A)	Truck	1	Labourers	27
Ballina (A)	Truck	1	Machinery operators and drivers	40
Ballina (A)	Truck	1	Managers	26
Ballina (A)	Truck	1	Sales workers	5
Ballina (A)	Truck	1	Technicians and trades workers	39
Ballina (A)	Walked only	1		6
Ballina (A)	Walked only	1	Clerical and administrative workers	52
Ballina (A)	Walked only	1	Community and personal service workers	75
Ballina (A)	Walked only	1	Labourers	82
Ballina (A)	Walked only	1	Machinery operators and drivers	14
Ballina (A)	Walked only	1	Managers	113
Ballina (A)	Walked only	1	Professionals	73
Ballina (A)	Walked only	1	Sales workers	66
Ballina (A)	Walked only	1	Technicians and trades workers	40
Ballina (A)	Worked at home			26
Ballina (A)	Worked at home		Clerical and administrative workers	194
Ballina (A)	Worked at home		Community and personal service workers	79
Ballina (A)	Worked at home		Labourers	45
Ballina (A)	Worked at home		Machinery operators and drivers	8
Ballina (A)	Worked at home		Managers	399
Ballina (A)	Worked at home		Professionals	357
Ballina (A)	Worked at home		Sales workers	49
Ballina (A)	Worked at home		Technicians and trades workers	77
Balranald (A)	Bicycle	1	Machinery operators and drivers	4
Balranald (A)	Car as driver	1		9
Balranald (A)	Car as driver	1	Clerical and administrative workers	49
Balranald (A)	Car as driver	1	Community and personal service workers	50
Balranald (A)	Car as driver	1	Labourers	93
Balranald (A)	Car as driver	1	Machinery operators and drivers	51
Balranald (A)	Car as driver	1	Managers	88
Balranald (A)	Car as driver	1	Professionals	45
Balranald (A)	Car as driver	1	Sales workers	15
Balranald (A)	Car as driver	1	Technicians and trades workers	62
Balranald (A)	Car as passenger	1		3
Balranald (A)	Car as passenger	1	Clerical and administrative workers	3
Balranald (A)	Car as passenger	1	Community and personal service workers	3
Balranald (A)	Car as passenger	1	Labourers	20
Balranald (A)	Car as passenger	1	Machinery operators and drivers	7
Balranald (A)	Car as passenger	1	Managers	3
Balranald (A)	Car as passenger	1	Professionals	3
Balranald (A)	Car as passenger	1	Technicians and trades workers	3
Balranald (A)	Did not go to work		Clerical and administrative workers	4
Balranald (A)	Did not go to work		Community and personal service workers	8
Balranald (A)	Did not go to work		Labourers	6
Balranald (A)	Did not go to work		Machinery operators and drivers	4
Balranald (A)	Did not go to work		Managers	5
Balranald (A)	Did not go to work		Professionals	10
Balranald (A)	Did not go to work		Sales workers	6
Balranald (A)	Did not go to work		Technicians and trades workers	8
Balranald (A)	Method of travel not stated			8
Balranald (A)	Method of travel not stated		Managers	3
Balranald (A)	(Other)	1		3
Balranald (A)	(Other)	1	Community and personal service workers	3
Balranald (A)	(Other)	1	Labourers	3
Balranald (A)	(Other)	1	Managers	9
Balranald (A)	(Other)	1	Technicians and trades workers	3
Balranald (A)	Other two methods	2	Managers	6
Balranald (A)	Truck	1	Machinery operators and drivers	3
Balranald (A)	Truck	1	Managers	3
Balranald (A)	Walked only	1	Clerical and administrative workers	8
Balranald (A)	Walked only	1	Community and personal service workers	14
Balranald (A)	Walked only	1	Labourers	11
Balranald (A)	Walked only	1	Machinery operators and drivers	7
Balranald (A)	Walked only	1	Managers	23
Balranald (A)	Walked only	1	Professionals	9
Balranald (A)	Walked only	1	Sales workers	7
Balranald (A)	Walked only	1	Technicians and trades workers	11
Balranald (A)	Worked at home			3
Balranald (A)	Worked at home		Clerical and administrative workers	11
Balranald (A)	Worked at home		Community and personal service workers	3
Balranald (A)	Worked at home		Labourers	7
Balranald (A)	Worked at home		Machinery operators and drivers	3
Balranald (A)	Worked at home		Managers	43
Balranald (A)	Worked at home		Professionals	8
Bathurst Regional (A)	Bicycle	1	Clerical and administrative workers	3
Bathurst Regional (A)	Bicycle	1	Community and personal service workers	4
Bathurst Regional (A)	Bicycle	1	Labourers	12
Bathurst Regional (A)	Bicycle	1	Machinery operators and drivers	4
Bathurst Regional (A)	Bicycle	1	Managers	10
Bathurst Regional (A)	Bicycle	1	Professionals	22
Bathurst Regional (A)	Bicycle	1	Sales workers	3
Bathurst Regional (A)	Bicycle	1	Technicians and trades workers	12
Bathurst Regional (A)	Bus	1	Clerical and administrative workers	7
Bathurst Regional (A)	Bus	1	Community and personal service workers	8
Bathurst Regional (A)	Bus	1	Labourers	22
Bathurst Regional (A)	Bus	1	Managers	3
Bathurst Regional (A)	Bus	1	Professionals	4
Bathurst Regional (A)	Bus	1	Sales workers	8
Bathurst Regional (A)	Bus	1	Technicians and trades workers	4
Bathurst Regional (A)	Bus and car as driver	2	Technicians and trades workers	3
Bathurst Regional (A)	Bus and car as passenger	2	Labourers	3
Bathurst Regional (A)	Bus and other	2	Labourers	3
Bathurst Regional (A)	Car as driver	1		137
Bathurst Regional (A)	Car as driver	1	Clerical and administrative workers	1606
Bathurst Regional (A)	Car as driver	1	Community and personal service workers	1693
Bathurst Regional (A)	Car as driver	1	Labourers	1256
Bathurst Regional (A)	Car as driver	1	Machinery operators and drivers	721
Bathurst Regional (A)	Car as driver	1	Managers	1483
Bathurst Regional (A)	Car as driver	1	Professionals	2532
Bathurst Regional (A)	Car as driver	1	Sales workers	1162
Bathurst Regional (A)	Car as driver	1	Technicians and trades workers	1754
Bathurst Regional (A)	Car as passenger	1		11
Bathurst Regional (A)	Car as passenger	1	Clerical and administrative workers	90
Bathurst Regional (A)	Car as passenger	1	Community and personal service workers	106
Bathurst Regional (A)	Car as passenger	1	Labourers	217
Bathurst Regional (A)	Car as passenger	1	Machinery operators and drivers	30
Bathurst Regional (A)	Car as passenger	1	Managers	55
Bathurst Regional (A)	Car as passenger	1	Professionals	103
Bathurst Regional (A)	Car as passenger	1	Sales workers	201
Bathurst Regional (A)	Car as passenger	1	Technicians and trades workers	116
Bathurst Regional (A)	Did not go to work			27
Bathurst Regional (A)	Did not go to work		Clerical and administrative workers	214
Bathurst Regional (A)	Did not go to work		Community and personal service workers	369
Bathurst Regional (A)	Did not go to work		Labourers	257
Bathurst Regional (A)	Did not go to work		Machinery operators and drivers	45
Bathurst Regional (A)	Did not go to work		Managers	118
Bathurst Regional (A)	Did not go to work		Professionals	284
Bathurst Regional (A)	Did not go to work		Sales workers	335
Bathurst Regional (A)	Did not go to work		Technicians and trades workers	149
Bathurst Regional (A)	Method of travel not stated			70
Bathurst Regional (A)	Method of travel not stated		Clerical and administrative workers	18
Bathurst Regional (A)	Method of travel not stated		Community and personal service workers	19
Bathurst Regional (A)	Method of travel not stated		Labourers	21
Bathurst Regional (A)	Method of travel not stated		Machinery operators and drivers	10
Bathurst Regional (A)	Method of travel not stated		Managers	9
Bathurst Regional (A)	Method of travel not stated		Professionals	18
Bathurst Regional (A)	Method of travel not stated		Sales workers	15
Bathurst Regional (A)	Method of travel not stated		Technicians and trades workers	33
Bathurst Regional (A)	Motorbike scooter	1	Clerical and administrative workers	6
Bathurst Regional (A)	Motorbike scooter	1	Community and personal service workers	10
Bathurst Regional (A)	Motorbike scooter	1	Labourers	3
Bathurst Regional (A)	Motorbike scooter	1	Machinery operators and drivers	8
Bathurst Regional (A)	Motorbike scooter	1	Managers	11
Bathurst Regional (A)	Motorbike scooter	1	Professionals	8
Bathurst Regional (A)	Motorbike scooter	1	Sales workers	4
Bathurst Regional (A)	Motorbike scooter	1	Technicians and trades workers	12
Bathurst Regional (A)	(Other)	1	Clerical and administrative workers	7
Bathurst Regional (A)	(Other)	1	Labourers	11
Bathurst Regional (A)	(Other)	1	Machinery operators and drivers	3
Bathurst Regional (A)	(Other)	1	Managers	26
Bathurst Regional (A)	(Other)	1	Professionals	10
Bathurst Regional (A)	(Other)	1	Sales workers	3
Bathurst Regional (A)	(Other)	1	Technicians and trades workers	14
Bathurst Regional (A)	Other three methods	3	Labourers	3
Bathurst Regional (A)	Other three methods	3	Professionals	3
Bathurst Regional (A)	Other two methods	2		3
Bathurst Regional (A)	Other two methods	2	Clerical and administrative workers	8
Bathurst Regional (A)	Other two methods	2	Community and personal service workers	11
Bathurst Regional (A)	Other two methods	2	Labourers	10
Bathurst Regional (A)	Other two methods	2	Machinery operators and drivers	4
Bathurst Regional (A)	Other two methods	2	Managers	9
Bathurst Regional (A)	Other two methods	2	Professionals	18
Bathurst Regional (A)	Other two methods	2	Sales workers	9
Bathurst Regional (A)	Other two methods	2	Technicians and trades workers	16
Bathurst Regional (A)	Taxi	1	Community and personal service workers	4
Bathurst Regional (A)	Taxi	1	Labourers	4
Bathurst Regional (A)	Taxi	1	Machinery operators and drivers	6
Bathurst Regional (A)	Taxi	1	Managers	7
Bathurst Regional (A)	Taxi	1	Sales workers	4
Bathurst Regional (A)	Train	1		3
Bathurst Regional (A)	Train	1	Clerical and administrative workers	3
Bathurst Regional (A)	Train	1	Professionals	8
Bathurst Regional (A)	Train and car as driver	2	Technicians and trades workers	3
Bathurst Regional (A)	Truck	1	Clerical and administrative workers	4
Bathurst Regional (A)	Truck	1	Labourers	28
Bathurst Regional (A)	Truck	1	Machinery operators and drivers	56
Bathurst Regional (A)	Truck	1	Managers	43
Bathurst Regional (A)	Truck	1	Professionals	4
Bathurst Regional (A)	Truck	1	Sales workers	3
Bathurst Regional (A)	Truck	1	Technicians and trades workers	30
Bathurst Regional (A)	Walked only	1		4
Bathurst Regional (A)	Walked only	1	Clerical and administrative workers	71
Bathurst Regional (A)	Walked only	1	Community and personal service workers	131
Bathurst Regional (A)	Walked only	1	Labourers	100
Bathurst Regional (A)	Walked only	1	Machinery operators and drivers	22
Bathurst Regional (A)	Walked only	1	Managers	90
Bathurst Regional (A)	Walked only	1	Professionals	127
Bathurst Regional (A)	Walked only	1	Sales workers	73
Bathurst Regional (A)	Walked only	1	Technicians and trades workers	81
Bathurst Regional (A)	Worked at home			13
Bathurst Regional (A)	Worked at home		Clerical and administrative workers	156
Bathurst Regional (A)	Worked at home		Community and personal service workers	63
Bathurst Regional (A)	Worked at home		Labourers	32
Bathurst Regional (A)	Worked at home		Machinery operators and drivers	13
Bathurst Regional (A)	Worked at home		Managers	271
Bathurst Regional (A)	Worked at home		Professionals	187
Bathurst Regional (A)	Worked at home		Sales workers	36
Bathurst Regional (A)	Worked at home		Technicians and trades workers	65
Bega Valley (A)	Bicycle	1	Clerical and administrative workers	4
Bega Valley (A)	Bicycle	1	Community and personal service workers	5
Bega Valley (A)	Bicycle	1	Labourers	17
Bega Valley (A)	Bicycle	1	Managers	3
Bega Valley (A)	Bicycle	1	Professionals	16
Bega Valley (A)	Bicycle	1	Technicians and trades workers	6
Bega Valley (A)	Bus	1		5
Bega Valley (A)	Bus	1	Clerical and administrative workers	3
Bega Valley (A)	Bus	1	Community and personal service workers	5
Bega Valley (A)	Bus	1	Labourers	9
Bega Valley (A)	Bus	1	Machinery operators and drivers	5
Bega Valley (A)	Bus	1	Professionals	4
Bega Valley (A)	Bus	1	Sales workers	8
Bega Valley (A)	Bus	1	Technicians and trades workers	4
Bega Valley (A)	Bus and car as passenger	2	Community and personal service workers	3
Bega Valley (A)	Bus and car as passenger	2	Labourers	3
Bega Valley (A)	Bus and car as passenger	2	Sales workers	3
Bega Valley (A)	Car as driver	1		86
Bega Valley (A)	Car as driver	1	Clerical and administrative workers	936
Bega Valley (A)	Car as driver	1	Community and personal service workers	1006
Bega Valley (A)	Car as driver	1	Labourers	1020
Bega Valley (A)	Car as driver	1	Machinery operators and drivers	474
Bega Valley (A)	Car as driver	1	Managers	899
Bega Valley (A)	Car as driver	1	Professionals	1327
Bega Valley (A)	Car as driver	1	Sales workers	837
Bega Valley (A)	Car as driver	1	Technicians and trades workers	1183
Bega Valley (A)	Car as passenger	1		4
