LGA_NAME16	Age	LabourForceStatus	Sex	workers
Armidale Regional (A)	20-24	Employed (full-time)	M	333
Armidale Regional (A)	20-24	Employed (part-time)	F	405
Armidale Regional (A)	20-24	Employed (part-time)	M	266
Armidale Regional (A)	25-29		F	8
Armidale Regional (A)	25-29		M	16
Armidale Regional (A)	25-29	Employed (away from work)	F	40
Armidale Regional (A)	25-29	Employed (away from work)	M	18
Armidale Regional (A)	25-29	Employed (full-time)	F	294
Armidale Regional (A)	25-29	Employed (full-time)	M	454
Armidale Regional (A)	25-29	Employed (part-time)	F	253
Armidale Regional (A)	25-29	Employed (part-time)	M	135
Armidale Regional (A)	30-34		F	5
Armidale Regional (A)	30-34		M	11
Armidale Regional (A)	30-34	Employed (away from work)	F	43
Armidale Regional (A)	30-34	Employed (away from work)	M	12
Armidale Regional (A)	30-34	Employed (full-time)	F	291
Armidale Regional (A)	30-34	Employed (full-time)	M	463
Armidale Regional (A)	30-34	Employed (part-time)	F	250
Armidale Regional (A)	30-34	Employed (part-time)	M	107
Armidale Regional (A)	35-39		F	5
Armidale Regional (A)	35-39		M	8
Armidale Regional (A)	35-39	Employed (away from work)	F	32
Armidale Regional (A)	35-39	Employed (away from work)	M	10
Armidale Regional (A)	35-39	Employed (full-time)	F	239
Armidale Regional (A)	35-39	Employed (full-time)	M	443
Armidale Regional (A)	35-39	Employed (part-time)	F	263
Armidale Regional (A)	35-39	Employed (part-time)	M	92
Armidale Regional (A)	40-44		F	10
Armidale Regional (A)	40-44		M	11
Armidale Regional (A)	40-44	Employed (away from work)	F	10
Armidale Regional (A)	40-44	Employed (away from work)	M	4
Armidale Regional (A)	40-44	Employed (full-time)	F	356
Armidale Regional (A)	40-44	Employed (full-time)	M	493
Armidale Regional (A)	40-44	Employed (part-time)	F	331
Armidale Regional (A)	40-44	Employed (part-time)	M	94
Armidale Regional (A)	45-49		F	10
Armidale Regional (A)	45-49		M	14
Armidale Regional (A)	45-49	Employed (away from work)	F	15
Armidale Regional (A)	45-49	Employed (away from work)	M	11
Armidale Regional (A)	45-49	Employed (full-time)	F	418
Armidale Regional (A)	45-49	Employed (full-time)	M	516
Armidale Regional (A)	45-49	Employed (part-time)	F	303
Armidale Regional (A)	45-49	Employed (part-time)	M	103
Armidale Regional (A)	50-54		F	7
Armidale Regional (A)	50-54		M	15
Armidale Regional (A)	50-54	Employed (away from work)	F	20
Armidale Regional (A)	50-54	Employed (away from work)	M	13
Armidale Regional (A)	50-54	Employed (full-time)	F	457
Armidale Regional (A)	50-54	Employed (full-time)	M	580
Armidale Regional (A)	50-54	Employed (part-time)	F	311
Armidale Regional (A)	50-54	Employed (part-time)	M	113
Armidale Regional (A)	55-59		F	4
Armidale Regional (A)	55-59		M	8
Armidale Regional (A)	55-59	Employed (away from work)	F	31
Armidale Regional (A)	55-59	Employed (away from work)	M	30
Armidale Regional (A)	55-59	Employed (full-time)	F	390
Armidale Regional (A)	55-59	Employed (full-time)	M	515
Armidale Regional (A)	55-59	Employed (part-time)	F	295
Armidale Regional (A)	55-59	Employed (part-time)	M	113
Armidale Regional (A)	60-64		F	8
Armidale Regional (A)	60-64		M	12
Armidale Regional (A)	60-64	Employed (away from work)	F	21
Armidale Regional (A)	60-64	Employed (away from work)	M	24
Armidale Regional (A)	60-64	Employed (full-time)	F	226
Armidale Regional (A)	60-64	Employed (full-time)	M	334
Armidale Regional (A)	60-64	Employed (part-time)	F	204
Armidale Regional (A)	60-64	Employed (part-time)	M	120
Armidale Regional (A)	65-69		F	3
Armidale Regional (A)	65-69		M	5
Armidale Regional (A)	65-69	Employed (away from work)	F	13
Armidale Regional (A)	65-69	Employed (away from work)	M	18
Armidale Regional (A)	65-69	Employed (full-time)	F	77
Armidale Regional (A)	65-69	Employed (full-time)	M	144
Armidale Regional (A)	65-69	Employed (part-time)	F	108
Armidale Regional (A)	65-69	Employed (part-time)	M	99
Armidale Regional (A)	70-74		F	3
Armidale Regional (A)	70-74		M	3
Armidale Regional (A)	70-74	Employed (away from work)	M	3
Armidale Regional (A)	70-74	Employed (full-time)	F	42
Armidale Regional (A)	70-74	Employed (full-time)	M	64
Armidale Regional (A)	70-74	Employed (part-time)	F	47
Armidale Regional (A)	70-74	Employed (part-time)	M	67
Armidale Regional (A)	75+		M	3
Armidale Regional (A)	75+	Employed (away from work)	F	4
Armidale Regional (A)	75+	Employed (away from work)	M	6
Armidale Regional (A)	75+	Employed (full-time)	F	13
Armidale Regional (A)	75+	Employed (full-time)	M	54
Armidale Regional (A)	75+	Employed (part-time)	F	25
Armidale Regional (A)	75+	Employed (part-time)	M	42
Ballina (A)	15-19		F	9
Ballina (A)	15-19		M	16
Ballina (A)	15-19	Employed (away from work)	F	28
Ballina (A)	15-19	Employed (away from work)	M	8
Ballina (A)	15-19	Employed (full-time)	F	56
Ballina (A)	15-19	Employed (full-time)	M	109
Ballina (A)	15-19	Employed (part-time)	F	437
Ballina (A)	15-19	Employed (part-time)	M	317
Ballina (A)	20-24		F	5
Ballina (A)	20-24		M	13
Ballina (A)	20-24	Employed (away from work)	F	24
Ballina (A)	20-24	Employed (away from work)	M	15
Ballina (A)	20-24	Employed (full-time)	F	217
Ballina (A)	20-24	Employed (full-time)	M	316
Ballina (A)	20-24	Employed (part-time)	F	294
Ballina (A)	20-24	Employed (part-time)	M	189
Ballina (A)	25-29		F	7
Ballina (A)	25-29		M	9
Ballina (A)	25-29	Employed (away from work)	F	28
Ballina (A)	25-29	Employed (away from work)	M	11
Ballina (A)	25-29	Employed (full-time)	F	203
Ballina (A)	25-29	Employed (full-time)	M	390
Ballina (A)	25-29	Employed (part-time)	F	236
Ballina (A)	25-29	Employed (part-time)	M	123
Ballina (A)	30-34		F	6
Ballina (A)	30-34		M	8
Ballina (A)	30-34	Employed (away from work)	F	42
Ballina (A)	30-34	Employed (away from work)	M	5
Ballina (A)	30-34	Employed (full-time)	F	234
Ballina (A)	30-34	Employed (full-time)	M	461
Ballina (A)	30-34	Employed (part-time)	F	303
Ballina (A)	30-34	Employed (part-time)	M	117
Ballina (A)	35-39		F	18
Ballina (A)	35-39		M	15
Ballina (A)	35-39	Employed (away from work)	F	26
Ballina (A)	35-39	Employed (away from work)	M	9
Ballina (A)	35-39	Employed (full-time)	F	297
Ballina (A)	35-39	Employed (full-time)	M	524
Ballina (A)	35-39	Employed (part-time)	F	365
Ballina (A)	35-39	Employed (part-time)	M	123
Ballina (A)	40-44		F	13
Ballina (A)	40-44		M	14
Ballina (A)	40-44	Employed (away from work)	F	24
Ballina (A)	40-44	Employed (away from work)	M	13
Ballina (A)	40-44	Employed (full-time)	F	377
Ballina (A)	40-44	Employed (full-time)	M	558
Ballina (A)	40-44	Employed (part-time)	F	453
Ballina (A)	40-44	Employed (part-time)	M	164
Ballina (A)	45-49		F	8
Ballina (A)	45-49		M	12
Ballina (A)	45-49	Employed (away from work)	F	21
Ballina (A)	45-49	Employed (away from work)	M	17
Ballina (A)	45-49	Employed (full-time)	F	426
Ballina (A)	45-49	Employed (full-time)	M	603
Ballina (A)	45-49	Employed (part-time)	F	508
Ballina (A)	45-49	Employed (part-time)	M	147
Ballina (A)	50-54		F	16
Ballina (A)	50-54		M	11
Ballina (A)	50-54	Employed (away from work)	F	30
Ballina (A)	50-54	Employed (away from work)	M	21
Ballina (A)	50-54	Employed (full-time)	F	471
Ballina (A)	50-54	Employed (full-time)	M	627
Ballina (A)	50-54	Employed (part-time)	F	476
Ballina (A)	50-54	Employed (part-time)	M	184
Ballina (A)	55-59		F	12
Ballina (A)	55-59		M	23
Ballina (A)	55-59	Employed (away from work)	F	38
Ballina (A)	55-59	Employed (away from work)	M	30
Ballina (A)	55-59	Employed (full-time)	F	404
Ballina (A)	55-59	Employed (full-time)	M	593
Ballina (A)	55-59	Employed (part-time)	F	505
Ballina (A)	55-59	Employed (part-time)	M	226
Ballina (A)	60-64		F	5
Ballina (A)	60-64		M	6
Ballina (A)	60-64	Employed (away from work)	F	39
Ballina (A)	60-64	Employed (away from work)	M	23
Ballina (A)	60-64	Employed (full-time)	F	230
Ballina (A)	60-64	Employed (full-time)	M	389
Ballina (A)	60-64	Employed (part-time)	F	385
Ballina (A)	60-64	Employed (part-time)	M	221
Ballina (A)	65-69		F	8
Ballina (A)	65-69		M	5
Ballina (A)	65-69	Employed (away from work)	F	17
Ballina (A)	65-69	Employed (away from work)	M	18
Ballina (A)	65-69	Employed (full-time)	F	63
Ballina (A)	65-69	Employed (full-time)	M	144
Ballina (A)	65-69	Employed (part-time)	F	157
Ballina (A)	65-69	Employed (part-time)	M	200
Ballina (A)	70-74		F	7
Ballina (A)	70-74		M	3
Ballina (A)	70-74	Employed (away from work)	M	12
Ballina (A)	70-74	Employed (full-time)	F	28
Ballina (A)	70-74	Employed (full-time)	M	50
Ballina (A)	70-74	Employed (part-time)	F	52
Ballina (A)	70-74	Employed (part-time)	M	72
Ballina (A)	75+		F	5
Ballina (A)	75+		M	5
Ballina (A)	75+	Employed (away from work)	M	3
Ballina (A)	75+	Employed (full-time)	F	16
Ballina (A)	75+	Employed (full-time)	M	34
Ballina (A)	75+	Employed (part-time)	F	23
Ballina (A)	75+	Employed (part-time)	M	53
Balranald (A)	15-19	Employed (away from work)	F	3
Balranald (A)	15-19	Employed (full-time)	F	3
Balranald (A)	15-19	Employed (full-time)	M	6
Balranald (A)	15-19	Employed (part-time)	F	9
Balranald (A)	15-19	Employed (part-time)	M	3
Balranald (A)	20-24		F	4
Balranald (A)	20-24		M	3
Balranald (A)	20-24	Employed (full-time)	F	13
Balranald (A)	20-24	Employed (full-time)	M	30
Balranald (A)	20-24	Employed (part-time)	F	11
Balranald (A)	20-24	Employed (part-time)	M	9
Balranald (A)	25-29	Employed (away from work)	F	3
Balranald (A)	25-29	Employed (full-time)	F	17
Balranald (A)	25-29	Employed (full-time)	M	20
Balranald (A)	25-29	Employed (part-time)	F	16
Balranald (A)	25-29	Employed (part-time)	M	3
Balranald (A)	30-34		M	3
Balranald (A)	30-34	Employed (away from work)	F	5
Balranald (A)	30-34	Employed (full-time)	F	12
Balranald (A)	30-34	Employed (full-time)	M	24
Balranald (A)	30-34	Employed (part-time)	F	17
Balranald (A)	35-39	Employed (full-time)	F	10
Balranald (A)	35-39	Employed (full-time)	M	31
Balranald (A)	35-39	Employed (part-time)	F	22
Balranald (A)	35-39	Employed (part-time)	M	6
Balranald (A)	40-44		M	3
Balranald (A)	40-44	Employed (full-time)	F	23
Balranald (A)	40-44	Employed (full-time)	M	44
Balranald (A)	40-44	Employed (part-time)	F	25
Balranald (A)	40-44	Employed (part-time)	M	8
Balranald (A)	45-49		M	3
Balranald (A)	45-49	Employed (away from work)	F	3
Balranald (A)	45-49	Employed (full-time)	F	21
Balranald (A)	45-49	Employed (full-time)	M	38
Balranald (A)	45-49	Employed (part-time)	F	19
Balranald (A)	45-49	Employed (part-time)	M	7
Balranald (A)	50-54		M	4
Balranald (A)	50-54	Employed (full-time)	F	20
Balranald (A)	50-54	Employed (full-time)	M	36
Balranald (A)	50-54	Employed (part-time)	F	23
Balranald (A)	50-54	Employed (part-time)	M	7
Balranald (A)	55-59		F	3
Balranald (A)	55-59	Employed (away from work)	F	3
Balranald (A)	55-59	Employed (full-time)	F	23
Balranald (A)	55-59	Employed (full-time)	M	50
Balranald (A)	55-59	Employed (part-time)	F	17
Balranald (A)	55-59	Employed (part-time)	M	7
Balranald (A)	60-64		F	3
Balranald (A)	60-64	Employed (full-time)	F	17
Balranald (A)	60-64	Employed (full-time)	M	29
Balranald (A)	60-64	Employed (part-time)	F	19
Balranald (A)	60-64	Employed (part-time)	M	12
Balranald (A)	65-69		M	3
Balranald (A)	65-69	Employed (away from work)	F	3
Balranald (A)	65-69	Employed (full-time)	M	13
Balranald (A)	65-69	Employed (part-time)	F	3
Balranald (A)	65-69	Employed (part-time)	M	5
Balranald (A)	70-74	Employed (full-time)	M	3
Balranald (A)	70-74	Employed (part-time)	M	5
Balranald (A)	75+	Employed (part-time)	M	3
Bathurst Regional (A)	15-19		F	32
Bathurst Regional (A)	15-19		M	24
Bathurst Regional (A)	15-19	Employed (away from work)	F	37
Bathurst Regional (A)	15-19	Employed (away from work)	M	20
Bathurst Regional (A)	15-19	Employed (full-time)	F	83
Bathurst Regional (A)	15-19	Employed (full-time)	M	170
Bathurst Regional (A)	15-19	Employed (part-time)	F	502
Bathurst Regional (A)	15-19	Employed (part-time)	M	294
Bathurst Regional (A)	20-24		F	31
Bathurst Regional (A)	20-24		M	26
Bathurst Regional (A)	20-24	Employed (away from work)	F	48
Bathurst Regional (A)	20-24	Employed (away from work)	M	33
Bathurst Regional (A)	20-24	Employed (full-time)	F	358
Bathurst Regional (A)	20-24	Employed (full-time)	M	521
Bathurst Regional (A)	20-24	Employed (part-time)	F	511
Bathurst Regional (A)	20-24	Employed (part-time)	M	308
Bathurst Regional (A)	25-29		F	20
Bathurst Regional (A)	25-29		M	18
Bathurst Regional (A)	25-29	Employed (away from work)	F	60
Bathurst Regional (A)	25-29	Employed (away from work)	M	14
Bathurst Regional (A)	25-29	Employed (full-time)	F	462
Bathurst Regional (A)	25-29	Employed (full-time)	M	699
Bathurst Regional (A)	25-29	Employed (part-time)	F	316
Bathurst Regional (A)	25-29	Employed (part-time)	M	158
Bathurst Regional (A)	30-34		F	12
Bathurst Regional (A)	30-34		M	24
Bathurst Regional (A)	30-34	Employed (away from work)	F	71
Bathurst Regional (A)	30-34	Employed (away from work)	M	14
Bathurst Regional (A)	30-34	Employed (full-time)	F	349
Bathurst Regional (A)	30-34	Employed (full-time)	M	707
Bathurst Regional (A)	30-34	Employed (part-time)	F	405
Bathurst Regional (A)	30-34	Employed (part-time)	M	95
Bathurst Regional (A)	35-39		F	13
Bathurst Regional (A)	35-39		M	13
Bathurst Regional (A)	35-39	Employed (away from work)	F	30
Bathurst Regional (A)	35-39	Employed (away from work)	M	20
Bathurst Regional (A)	35-39	Employed (full-time)	F	394
Bathurst Regional (A)	35-39	Employed (full-time)	M	662
Bathurst Regional (A)	35-39	Employed (part-time)	F	395
Bathurst Regional (A)	35-39	Employed (part-time)	M	76
Bathurst Regional (A)	40-44		F	15
Bathurst Regional (A)	40-44		M	13
Bathurst Regional (A)	40-44	Employed (away from work)	F	30
Bathurst Regional (A)	40-44	Employed (away from work)	M	16
Bathurst Regional (A)	40-44	Employed (full-time)	F	509
Bathurst Regional (A)	40-44	Employed (full-time)	M	719
Bathurst Regional (A)	40-44	Employed (part-time)	F	447
Bathurst Regional (A)	40-44	Employed (part-time)	M	87
Bathurst Regional (A)	45-49		F	5
Bathurst Regional (A)	45-49		M	15
Bathurst Regional (A)	45-49	Employed (away from work)	F	28
Bathurst Regional (A)	45-49	Employed (away from work)	M	21
Bathurst Regional (A)	45-49	Employed (full-time)	F	595
Bathurst Regional (A)	45-49	Employed (full-time)	M	744
Bathurst Regional (A)	45-49	Employed (part-time)	F	402
Bathurst Regional (A)	45-49	Employed (part-time)	M	94
Bathurst Regional (A)	50-54		F	16
Bathurst Regional (A)	50-54		M	10
Bathurst Regional (A)	50-54	Employed (away from work)	F	33
Bathurst Regional (A)	50-54	Employed (away from work)	M	14
Bathurst Regional (A)	50-54	Employed (full-time)	F	565
Bathurst Regional (A)	50-54	Employed (full-time)	M	732
Bathurst Regional (A)	50-54	Employed (part-time)	F	382
Bathurst Regional (A)	50-54	Employed (part-time)	M	94
Bathurst Regional (A)	55-59		F	8
Bathurst Regional (A)	55-59		M	11
Bathurst Regional (A)	55-59	Employed (away from work)	F	37
Bathurst Regional (A)	55-59	Employed (away from work)	M	26
Bathurst Regional (A)	55-59	Employed (full-time)	F	496
Bathurst Regional (A)	55-59	Employed (full-time)	M	641
Bathurst Regional (A)	55-59	Employed (part-time)	F	378
Bathurst Regional (A)	55-59	Employed (part-time)	M	118
Bathurst Regional (A)	60-64		F	11
Bathurst Regional (A)	60-64		M	10
Bathurst Regional (A)	60-64	Employed (away from work)	F	32
Bathurst Regional (A)	60-64	Employed (away from work)	M	36
Bathurst Regional (A)	60-64	Employed (full-time)	F	268
Bathurst Regional (A)	60-64	Employed (full-time)	M	421
Bathurst Regional (A)	60-64	Employed (part-time)	F	276
Bathurst Regional (A)	60-64	Employed (part-time)	M	146
Bathurst Regional (A)	65-69		F	3
Bathurst Regional (A)	65-69		M	5
Bathurst Regional (A)	65-69	Employed (away from work)	F	15
Bathurst Regional (A)	65-69	Employed (away from work)	M	10
Bathurst Regional (A)	65-69	Employed (full-time)	F	93
Bathurst Regional (A)	65-69	Employed (full-time)	M	184
Bathurst Regional (A)	65-69	Employed (part-time)	F	136
Bathurst Regional (A)	65-69	Employed (part-time)	M	105
Bathurst Regional (A)	70-74	Employed (away from work)	F	3
Bathurst Regional (A)	70-74	Employed (away from work)	M	15
Bathurst Regional (A)	70-74	Employed (full-time)	F	25
Bathurst Regional (A)	70-74	Employed (full-time)	M	50
Bathurst Regional (A)	70-74	Employed (part-time)	F	54
Bathurst Regional (A)	70-74	Employed (part-time)	M	70
Bathurst Regional (A)	75+		M	3
Bathurst Regional (A)	75+	Employed (away from work)	F	3
Bathurst Regional (A)	75+	Employed (away from work)	M	8
Bathurst Regional (A)	75+	Employed (full-time)	F	12
Bathurst Regional (A)	75+	Employed (full-time)	M	37
Bathurst Regional (A)	75+	Employed (part-time)	F	25
Bathurst Regional (A)	75+	Employed (part-time)	M	51
Bega Valley (A)	15-19		F	10
Bega Valley (A)	15-19		M	15
Bega Valley (A)	15-19	Employed (away from work)	F	20
Bega Valley (A)	15-19	Employed (away from work)	M	16
Bega Valley (A)	15-19	Employed (full-time)	F	63
Bega Valley (A)	15-19	Employed (full-time)	M	108
Bega Valley (A)	15-19	Employed (part-time)	F	308
Bega Valley (A)	15-19	Employed (part-time)	M	193
Bega Valley (A)	20-24		F	11
Bega Valley (A)	20-24		M	17
Bega Valley (A)	20-24	Employed (away from work)	F	19
Bega Valley (A)	20-24	Employed (away from work)	M	6
Bega Valley (A)	20-24	Employed (full-time)	F	167
Bega Valley (A)	20-24	Employed (full-time)	M	229
Bega Valley (A)	20-24	Employed (part-time)	F	147
Bega Valley (A)	20-24	Employed (part-time)	M	104
Bega Valley (A)	25-29		F	3
Bega Valley (A)	25-29		M	6
Bega Valley (A)	25-29	Employed (away from work)	F	17
Bega Valley (A)	25-29	Employed (away from work)	M	8
Bega Valley (A)	25-29	Employed (full-time)	F	176
Bega Valley (A)	25-29	Employed (full-time)	M	257
Bega Valley (A)	25-29	Employed (part-time)	F	157
Bega Valley (A)	25-29	Employed (part-time)	M	77
Bega Valley (A)	30-34		F	3
Bega Valley (A)	30-34		M	5
Bega Valley (A)	30-34	Employed (away from work)	F	41
Bega Valley (A)	30-34	Employed (away from work)	M	13
Bega Valley (A)	30-34	Employed (full-time)	F	172
Bega Valley (A)	30-34	Employed (full-time)	M	330
Bega Valley (A)	30-34	Employed (part-time)	F	243
Bega Valley (A)	30-34	Employed (part-time)	M	62
Bega Valley (A)	35-39		F	6
Bega Valley (A)	35-39		M	9
Bega Valley (A)	35-39	Employed (away from work)	F	17
Bega Valley (A)	35-39	Employed (away from work)	M	10
Bega Valley (A)	35-39	Employed (full-time)	F	185
Bega Valley (A)	35-39	Employed (full-time)	M	354
Bega Valley (A)	35-39	Employed (part-time)	F	289
Bega Valley (A)	35-39	Employed (part-time)	M	78
Bega Valley (A)	40-44		F	11
Bega Valley (A)	40-44		M	10
Bega Valley (A)	40-44	Employed (away from work)	F	19
Bega Valley (A)	40-44	Employed (away from work)	M	14
Bega Valley (A)	40-44	Employed (full-time)	F	263
Bega Valley (A)	40-44	Employed (full-time)	M	410
Bega Valley (A)	40-44	Employed (part-time)	F	315
Bega Valley (A)	40-44	Employed (part-time)	M	105
Bega Valley (A)	45-49		F	10
Bega Valley (A)	45-49		M	11
Bega Valley (A)	45-49	Employed (away from work)	F	26
Bega Valley (A)	45-49	Employed (away from work)	M	21
Bega Valley (A)	45-49	Employed (full-time)	F	354
Bega Valley (A)	45-49	Employed (full-time)	M	505
Bega Valley (A)	45-49	Employed (part-time)	F	380
Bega Valley (A)	45-49	Employed (part-time)	M	128
Bega Valley (A)	50-54		F	13
Bega Valley (A)	50-54		M	13
Bega Valley (A)	50-54	Employed (away from work)	F	27
Bega Valley (A)	50-54	Employed (away from work)	M	21
Bega Valley (A)	50-54	Employed (full-time)	F	378
Bega Valley (A)	50-54	Employed (full-time)	M	583
Bega Valley (A)	50-54	Employed (part-time)	F	449
Bega Valley (A)	50-54	Employed (part-time)	M	138
Bega Valley (A)	55-59		F	10
Bega Valley (A)	55-59		M	12
Bega Valley (A)	55-59	Employed (away from work)	F	49
Bega Valley (A)	55-59	Employed (away from work)	M	44
Bega Valley (A)	55-59	Employed (full-time)	F	333
Bega Valley (A)	55-59	Employed (full-time)	M	522
Bega Valley (A)	55-59	Employed (part-time)	F	487
Bega Valley (A)	55-59	Employed (part-time)	M	237
Bega Valley (A)	60-64		F	11
Bega Valley (A)	60-64		M	14
Bega Valley (A)	60-64	Employed (away from work)	F	38
Bega Valley (A)	60-64	Employed (away from work)	M	32
Bega Valley (A)	60-64	Employed (full-time)	F	173
Bega Valley (A)	60-64	Employed (full-time)	M	347
Bega Valley (A)	60-64	Employed (part-time)	F	340
Bega Valley (A)	60-64	Employed (part-time)	M	226
Bega Valley (A)	65-69		F	6
Bega Valley (A)	65-69		M	9
Bega Valley (A)	65-69	Employed (away from work)	F	17
Bega Valley (A)	65-69	Employed (away from work)	M	14
Bega Valley (A)	65-69	Employed (full-time)	F	61
Bega Valley (A)	65-69	Employed (full-time)	M	148
Bega Valley (A)	65-69	Employed (part-time)	F	147
Bega Valley (A)	65-69	Employed (part-time)	M	144
Bega Valley (A)	70-74		F	3
Bega Valley (A)	70-74		M	7
Bega Valley (A)	70-74	Employed (away from work)	F	13
Bega Valley (A)	70-74	Employed (away from work)	M	6
Bega Valley (A)	70-74	Employed (full-time)	F	24
Bega Valley (A)	70-74	Employed (full-time)	M	39
Bega Valley (A)	70-74	Employed (part-time)	F	53
Bega Valley (A)	70-74	Employed (part-time)	M	57
Bega Valley (A)	75+		F	3
Bega Valley (A)	75+		M	4
Bega Valley (A)	75+	Employed (away from work)	M	8
Bega Valley (A)	75+	Employed (full-time)	F	13
Bega Valley (A)	75+	Employed (full-time)	M	31
Bega Valley (A)	75+	Employed (part-time)	F	14
Bega Valley (A)	75+	Employed (part-time)	M	49
Bellingen (A)	15-19		F	3
Bellingen (A)	15-19		M	7
Bellingen (A)	15-19	Employed (full-time)	F	3
