LGA_NAME16	Age	ModeTravelToWork	NumberModes	Sex	workers
Armidale Regional (A)	45-54	Bicycle	1	M	23
Armidale Regional (A)	45-54	Bus	1	F	7
Armidale Regional (A)	45-54	Bus	1	M	5
Armidale Regional (A)	45-54	Bus and car as driver	2	M	3
Armidale Regional (A)	45-54	Bus and other	2	M	3
Armidale Regional (A)	45-54	Car as driver	1	F	1139
Armidale Regional (A)	45-54	Car as driver	1	M	961
Armidale Regional (A)	45-54	Car as passenger	1	F	73
Armidale Regional (A)	45-54	Car as passenger	1	M	45
Armidale Regional (A)	45-54	Did not go to work		F	127
Armidale Regional (A)	45-54	Did not go to work		M	65
Armidale Regional (A)	45-54	Method of travel not stated		F	20
Armidale Regional (A)	45-54	Method of travel not stated		M	7
Armidale Regional (A)	45-54	Motorbike scooter	1	M	32
Armidale Regional (A)	45-54	(Other)	1	F	9
Armidale Regional (A)	45-54	(Other)	1	M	14
Armidale Regional (A)	45-54	Other two methods	2	F	3
Armidale Regional (A)	45-54	Other two methods	2	M	12
Armidale Regional (A)	45-54	Taxi	1	M	3
Armidale Regional (A)	45-54	Truck	1	F	3
Armidale Regional (A)	45-54	Truck	1	M	23
Armidale Regional (A)	45-54	Walked only	1	F	47
Armidale Regional (A)	45-54	Walked only	1	M	64
Armidale Regional (A)	45-54	Worked at home		F	99
Armidale Regional (A)	45-54	Worked at home		M	89
Armidale Regional (A)	55-64	Bicycle	1	F	5
Armidale Regional (A)	55-64	Bicycle	1	M	20
Armidale Regional (A)	55-64	Bus	1	F	8
Armidale Regional (A)	55-64	Bus	1	M	9
Armidale Regional (A)	55-64	Car as driver	1	F	774
Armidale Regional (A)	55-64	Car as driver	1	M	761
Armidale Regional (A)	55-64	Car as passenger	1	F	64
Armidale Regional (A)	55-64	Car as passenger	1	M	26
Armidale Regional (A)	55-64	Did not go to work		F	131
Armidale Regional (A)	55-64	Did not go to work		M	84
Armidale Regional (A)	55-64	Method of travel not stated		F	8
Armidale Regional (A)	55-64	Method of travel not stated		M	8
Armidale Regional (A)	55-64	Motorbike scooter	1	F	4
Armidale Regional (A)	55-64	Motorbike scooter	1	M	20
Armidale Regional (A)	55-64	(Other)	1	F	4
Armidale Regional (A)	55-64	(Other)	1	M	14
Armidale Regional (A)	55-64	Other two methods	2	F	3
Armidale Regional (A)	55-64	Other two methods	2	M	7
Armidale Regional (A)	55-64	Taxi	1	M	3
Armidale Regional (A)	55-64	Truck	1	F	3
Armidale Regional (A)	55-64	Truck	1	M	36
Armidale Regional (A)	55-64	Walked only	1	F	65
Armidale Regional (A)	55-64	Walked only	1	M	59
Armidale Regional (A)	55-64	Worked at home		F	106
Armidale Regional (A)	55-64	Worked at home		M	106
Armidale Regional (A)	65-74	Car as driver	1	F	125
Armidale Regional (A)	65-74	Car as driver	1	M	160
Armidale Regional (A)	65-74	Car as passenger	1	F	7
Armidale Regional (A)	65-74	Car as passenger	1	M	12
Armidale Regional (A)	65-74	Did not go to work		F	29
Armidale Regional (A)	65-74	Did not go to work		M	47
Armidale Regional (A)	65-74	Method of travel not stated		F	10
Armidale Regional (A)	65-74	Method of travel not stated		M	5
Armidale Regional (A)	65-74	Motorbike scooter	1	M	3
Armidale Regional (A)	65-74	(Other)	1	F	4
Armidale Regional (A)	65-74	(Other)	1	M	10
Armidale Regional (A)	65-74	Other two methods	2	M	4
Armidale Regional (A)	65-74	Truck	1	F	10
Armidale Regional (A)	65-74	Truck	1	M	27
Armidale Regional (A)	65-74	Walked only	1	F	15
Armidale Regional (A)	65-74	Walked only	1	M	28
Armidale Regional (A)	65-74	Worked at home		F	84
Armidale Regional (A)	65-74	Worked at home		M	100
Armidale Regional (A)	75+	Car as driver	1	F	7
Armidale Regional (A)	75+	Car as driver	1	M	22
Armidale Regional (A)	75+	Car as passenger	1	M	3
Armidale Regional (A)	75+	Did not go to work		F	3
Armidale Regional (A)	75+	Did not go to work		M	8
Armidale Regional (A)	75+	Method of travel not stated		M	3
Armidale Regional (A)	75+	Motorbike scooter	1	M	3
Armidale Regional (A)	75+	(Other)	1	M	3
Armidale Regional (A)	75+	Truck	1	M	3
Armidale Regional (A)	75+	Walked only	1	F	3
Armidale Regional (A)	75+	Walked only	1	M	4
Armidale Regional (A)	75+	Worked at home		F	18
Armidale Regional (A)	75+	Worked at home		M	47
Ballina (A)	15-24	Bicycle	1	F	10
Ballina (A)	15-24	Bicycle	1	M	26
Ballina (A)	15-24	Bus	1	F	23
Ballina (A)	15-24	Bus	1	M	7
Ballina (A)	15-24	Bus and car as passenger	2	F	4
Ballina (A)	15-24	Car as driver	1	F	598
Ballina (A)	15-24	Car as driver	1	M	573
Ballina (A)	15-24	Car as passenger	1	F	162
Ballina (A)	15-24	Car as passenger	1	M	146
Ballina (A)	15-24	Did not go to work		F	200
Ballina (A)	15-24	Did not go to work		M	134
Ballina (A)	15-24	Method of travel not stated		F	14
Ballina (A)	15-24	Method of travel not stated		M	16
Ballina (A)	15-24	Motorbike scooter	1	F	3
Ballina (A)	15-24	Motorbike scooter	1	M	23
Ballina (A)	15-24	(Other)	1	M	4
Ballina (A)	15-24	Other two methods	2	F	10
Ballina (A)	15-24	Other two methods	2	M	8
Ballina (A)	15-24	Truck	1	M	7
Ballina (A)	15-24	Walked only	1	F	52
Ballina (A)	15-24	Walked only	1	M	32
Ballina (A)	15-24	Worked at home		F	6
Ballina (A)	15-24	Worked at home		M	7
Ballina (A)	25-34	Bicycle	1	F	7
Ballina (A)	25-34	Bicycle	1	M	19
Ballina (A)	25-34	Bus	1	F	10
Ballina (A)	25-34	Bus	1	M	7
Ballina (A)	25-34	Car as driver	1	F	708
Ballina (A)	25-34	Car as driver	1	M	880
Ballina (A)	25-34	Car as passenger	1	F	48
Ballina (A)	25-34	Car as passenger	1	M	48
Ballina (A)	25-34	Did not go to work		F	158
Ballina (A)	25-34	Did not go to work		M	74
Ballina (A)	25-34	Method of travel not stated		F	10
Ballina (A)	25-34	Method of travel not stated		M	11
Ballina (A)	25-34	Motorbike scooter	1	M	14
Ballina (A)	25-34	(Other)	1	F	5
Ballina (A)	25-34	(Other)	1	M	4
Ballina (A)	25-34	Other two methods	2	F	11
Ballina (A)	25-34	Other two methods	2	M	12
Ballina (A)	25-34	Truck	1	M	16
Ballina (A)	25-34	Walked only	1	F	29
Ballina (A)	25-34	Walked only	1	M	25
Ballina (A)	25-34	Worked at home		F	66
Ballina (A)	25-34	Worked at home		M	21
Ballina (A)	35-44	Bicycle	1	F	17
Ballina (A)	35-44	Bicycle	1	M	31
Ballina (A)	35-44	Bus	1	F	4
Ballina (A)	35-44	Bus	1	M	5
Ballina (A)	35-44	Car as driver	1	F	1108
Ballina (A)	35-44	Car as driver	1	M	1083
Ballina (A)	35-44	Car as passenger	1	F	49
Ballina (A)	35-44	Car as passenger	1	M	41
Ballina (A)	35-44	Did not go to work		F	154
Ballina (A)	35-44	Did not go to work		M	64
Ballina (A)	35-44	Method of travel not stated		F	25
Ballina (A)	35-44	Method of travel not stated		M	20
Ballina (A)	35-44	Motorbike scooter	1	F	3
Ballina (A)	35-44	Motorbike scooter	1	M	3
Ballina (A)	35-44	(Other)	1	F	4
Ballina (A)	35-44	(Other)	1	M	11
Ballina (A)	35-44	Other two methods	2	F	4
Ballina (A)	35-44	Other two methods	2	M	14
Ballina (A)	35-44	Taxi	1	F	3
Ballina (A)	35-44	Truck	1	M	24
Ballina (A)	35-44	Walked only	1	F	42
Ballina (A)	35-44	Walked only	1	M	38
Ballina (A)	35-44	Worked at home		F	159
Ballina (A)	35-44	Worked at home		M	89
Ballina (A)	45-54	Bicycle	1	F	14
Ballina (A)	45-54	Bicycle	1	M	45
Ballina (A)	45-54	Bus	1	F	8
Ballina (A)	45-54	Bus	1	M	4
Ballina (A)	45-54	Car as driver	1	F	1362
Ballina (A)	45-54	Car as driver	1	M	1192
Ballina (A)	45-54	Car as passenger	1	F	66
Ballina (A)	45-54	Car as passenger	1	M	27
Ballina (A)	45-54	Did not go to work		F	200
Ballina (A)	45-54	Did not go to work		M	86
Ballina (A)	45-54	Method of travel not stated		F	13
Ballina (A)	45-54	Method of travel not stated		M	20
Ballina (A)	45-54	Motorbike scooter	1	F	4
Ballina (A)	45-54	Motorbike scooter	1	M	14
Ballina (A)	45-54	(Other)	1	F	10
Ballina (A)	45-54	(Other)	1	M	10
Ballina (A)	45-54	Other three methods	3	M	4
Ballina (A)	45-54	Other two methods	2	F	11
Ballina (A)	45-54	Other two methods	2	M	12
Ballina (A)	45-54	Truck	1	M	32
Ballina (A)	45-54	Walked only	1	F	92
Ballina (A)	45-54	Walked only	1	M	44
Ballina (A)	45-54	Worked at home		F	169
Ballina (A)	45-54	Worked at home		M	117
Ballina (A)	55-64	Bicycle	1	F	12
Ballina (A)	55-64	Bicycle	1	M	29
Ballina (A)	55-64	Car as driver	1	F	1078
Ballina (A)	55-64	Car as driver	1	M	1015
Ballina (A)	55-64	Car as passenger	1	F	60
Ballina (A)	55-64	Car as passenger	1	M	33
Ballina (A)	55-64	Did not go to work		F	197
Ballina (A)	55-64	Did not go to work		M	111
Ballina (A)	55-64	Method of travel not stated		F	17
Ballina (A)	55-64	Method of travel not stated		M	22
Ballina (A)	55-64	Motorbike scooter	1	F	3
Ballina (A)	55-64	Motorbike scooter	1	M	20
Ballina (A)	55-64	(Other)	1	F	8
Ballina (A)	55-64	(Other)	1	M	17
Ballina (A)	55-64	Other two methods	2	F	6
Ballina (A)	55-64	Other two methods	2	M	9
Ballina (A)	55-64	Train	1	M	3
Ballina (A)	55-64	Truck	1	F	3
Ballina (A)	55-64	Truck	1	M	41
Ballina (A)	55-64	Walked only	1	F	60
Ballina (A)	55-64	Walked only	1	M	48
Ballina (A)	55-64	Worked at home		F	185
Ballina (A)	55-64	Worked at home		M	150
Ballina (A)	65-74	Bicycle	1	F	3
Ballina (A)	65-74	Bicycle	1	M	5
Ballina (A)	65-74	Car as driver	1	F	160
Ballina (A)	65-74	Car as driver	1	M	251
Ballina (A)	65-74	Car as passenger	1	F	11
Ballina (A)	65-74	Car as passenger	1	M	5
Ballina (A)	65-74	Did not go to work		F	40
Ballina (A)	65-74	Did not go to work		M	54
Ballina (A)	65-74	Method of travel not stated		F	14
Ballina (A)	65-74	Method of travel not stated		M	9
Ballina (A)	65-74	Motorbike scooter	1	M	3
Ballina (A)	65-74	(Other)	1	F	3
Ballina (A)	65-74	Other two methods	2	M	3
Ballina (A)	65-74	Truck	1	M	26
Ballina (A)	65-74	Walked only	1	F	20
Ballina (A)	65-74	Walked only	1	M	19
Ballina (A)	65-74	Worked at home		F	81
Ballina (A)	65-74	Worked at home		M	120
Ballina (A)	75+	Car as driver	1	F	4
Ballina (A)	75+	Car as driver	1	M	22
Ballina (A)	75+	Did not go to work		F	3
Ballina (A)	75+	Did not go to work		M	4
Ballina (A)	75+	Method of travel not stated		F	6
Ballina (A)	75+	Method of travel not stated		M	6
Ballina (A)	75+	(Other)	1	M	5
Ballina (A)	75+	Truck	1	M	4
Ballina (A)	75+	Walked only	1	F	5
Ballina (A)	75+	Walked only	1	M	10
Ballina (A)	75+	Worked at home		F	26
Ballina (A)	75+	Worked at home		M	43
Balranald (A)	15-24	Car as driver	1	F	18
Balranald (A)	15-24	Car as driver	1	M	33
Balranald (A)	15-24	Car as passenger	1	F	3
Balranald (A)	15-24	Car as passenger	1	M	6
Balranald (A)	15-24	Did not go to work		F	6
Balranald (A)	15-24	Did not go to work		M	4
Balranald (A)	15-24	Walked only	1	F	3
Balranald (A)	15-24	Walked only	1	M	3
Balranald (A)	25-34	Car as driver	1	F	34
Balranald (A)	25-34	Car as driver	1	M	35
Balranald (A)	25-34	Car as passenger	1	F	5
Balranald (A)	25-34	Car as passenger	1	M	6
Balranald (A)	25-34	Did not go to work		F	3
Balranald (A)	25-34	Method of travel not stated		M	3
Balranald (A)	25-34	Walked only	1	F	7
Balranald (A)	25-34	Walked only	1	M	4
Balranald (A)	25-34	Worked at home		F	6
Balranald (A)	25-34	Worked at home		M	3
Balranald (A)	35-44	Car as driver	1	F	46
Balranald (A)	35-44	Car as driver	1	M	55
Balranald (A)	35-44	Car as passenger	1	F	4
Balranald (A)	35-44	Car as passenger	1	M	3
Balranald (A)	35-44	Did not go to work		F	10
Balranald (A)	35-44	Motorbike scooter	1	M	3
Balranald (A)	35-44	(Other)	1	F	4
Balranald (A)	35-44	(Other)	1	M	3
Balranald (A)	35-44	Walked only	1	F	5
Balranald (A)	35-44	Walked only	1	M	16
Balranald (A)	35-44	Worked at home		F	7
Balranald (A)	35-44	Worked at home		M	7
Balranald (A)	45-54	Bicycle	1	F	4
Balranald (A)	45-54	Car as driver	1	F	45
Balranald (A)	45-54	Car as driver	1	M	48
Balranald (A)	45-54	Car as passenger	1	F	7
Balranald (A)	45-54	Car as passenger	1	M	5
Balranald (A)	45-54	Did not go to work		F	10
Balranald (A)	45-54	(Other)	1	M	3
Balranald (A)	45-54	Truck	1	M	5
Balranald (A)	45-54	Walked only	1	F	13
Balranald (A)	45-54	Walked only	1	M	14
Balranald (A)	45-54	Worked at home		F	5
Balranald (A)	45-54	Worked at home		M	10
Balranald (A)	55-64	Bicycle	1	F	3
Balranald (A)	55-64	Car as driver	1	F	54
Balranald (A)	55-64	Car as driver	1	M	71
Balranald (A)	55-64	Car as passenger	1	M	3
Balranald (A)	55-64	Did not go to work		F	6
Balranald (A)	55-64	Did not go to work		M	5
Balranald (A)	55-64	Walked only	1	F	18
Balranald (A)	55-64	Walked only	1	M	5
Balranald (A)	55-64	Worked at home		F	10
Balranald (A)	55-64	Worked at home		M	12
Balranald (A)	65-74	Car as driver	1	F	3
Balranald (A)	65-74	Car as driver	1	M	16
Balranald (A)	65-74	Car as passenger	1	F	4
Balranald (A)	65-74	Did not go to work		F	3
Balranald (A)	65-74	Walked only	1	M	4
Balranald (A)	65-74	Worked at home		F	5
Balranald (A)	65-74	Worked at home		M	9
Bathurst Regional (A)	15-24	Bicycle	1	F	3
Bathurst Regional (A)	15-24	Bicycle	1	M	11
Bathurst Regional (A)	15-24	Bus	1	F	4
Bathurst Regional (A)	15-24	Bus	1	M	10
Bathurst Regional (A)	15-24	Bus and car as passenger	2	F	3
Bathurst Regional (A)	15-24	Car as driver	1	F	915
Bathurst Regional (A)	15-24	Car as driver	1	M	858
Bathurst Regional (A)	15-24	Car as passenger	1	F	188
Bathurst Regional (A)	15-24	Car as passenger	1	M	190
Bathurst Regional (A)	15-24	Did not go to work		F	332
Bathurst Regional (A)	15-24	Did not go to work		M	181
Bathurst Regional (A)	15-24	Method of travel not stated		F	31
Bathurst Regional (A)	15-24	Method of travel not stated		M	26
Bathurst Regional (A)	15-24	Motorbike scooter	1	F	3
Bathurst Regional (A)	15-24	Motorbike scooter	1	M	6
Bathurst Regional (A)	15-24	(Other)	1	F	4
Bathurst Regional (A)	15-24	Other two methods	2	F	3
Bathurst Regional (A)	15-24	Other two methods	2	M	8
Bathurst Regional (A)	15-24	Taxi	1	F	4
Bathurst Regional (A)	15-24	Train	1	M	3
Bathurst Regional (A)	15-24	Truck	1	M	12
Bathurst Regional (A)	15-24	Walked only	1	F	79
Bathurst Regional (A)	15-24	Walked only	1	M	81
Bathurst Regional (A)	15-24	Worked at home		F	18
Bathurst Regional (A)	15-24	Worked at home		M	10
Bathurst Regional (A)	25-34	Bicycle	1	M	13
Bathurst Regional (A)	25-34	Bus	1	F	6
Bathurst Regional (A)	25-34	Bus	1	M	3
Bathurst Regional (A)	25-34	Car as driver	1	F	1185
Bathurst Regional (A)	25-34	Car as driver	1	M	1326
Bathurst Regional (A)	25-34	Car as passenger	1	F	79
Bathurst Regional (A)	25-34	Car as passenger	1	M	71
Bathurst Regional (A)	25-34	Did not go to work		F	248
Bathurst Regional (A)	25-34	Did not go to work		M	101
Bathurst Regional (A)	25-34	Method of travel not stated		F	12
Bathurst Regional (A)	25-34	Method of travel not stated		M	24
Bathurst Regional (A)	25-34	Motorbike scooter	1	M	11
Bathurst Regional (A)	25-34	(Other)	1	F	8
Bathurst Regional (A)	25-34	(Other)	1	M	8
Bathurst Regional (A)	25-34	Other three methods	3	M	5
Bathurst Regional (A)	25-34	Other two methods	2	F	14
Bathurst Regional (A)	25-34	Other two methods	2	M	19
Bathurst Regional (A)	25-34	Taxi	1	F	8
Bathurst Regional (A)	25-34	Taxi	1	M	3
Bathurst Regional (A)	25-34	Train	1	F	3
Bathurst Regional (A)	25-34	Train	1	M	4
Bathurst Regional (A)	25-34	Truck	1	M	22
Bathurst Regional (A)	25-34	Walked only	1	F	78
Bathurst Regional (A)	25-34	Walked only	1	M	85
Bathurst Regional (A)	25-34	Worked at home		F	62
Bathurst Regional (A)	25-34	Worked at home		M	30
Bathurst Regional (A)	35-44	Bicycle	1	F	5
Bathurst Regional (A)	35-44	Bicycle	1	M	13
Bathurst Regional (A)	35-44	Bus	1	F	3
Bathurst Regional (A)	35-44	Bus	1	M	13
Bathurst Regional (A)	35-44	Bus and car as driver	2	M	4
Bathurst Regional (A)	35-44	Car as driver	1	F	1396
