STE_NAME16	Age	LabourForceStatus	NeedsAssistance	workers
South Australia	50-54		1	23
South Australia	50-54	Employed (away from work)		21
South Australia	50-54	Employed (away from work)	0	2514
South Australia	50-54	Employed (away from work)	1	87
South Australia	50-54	Employed (full-time)		661
South Australia	50-54	Employed (full-time)	0	52575
South Australia	50-54	Employed (full-time)	1	299
South Australia	50-54	Employed (part-time)		378
South Australia	50-54	Employed (part-time)	0	24250
South Australia	50-54	Employed (part-time)	1	473
South Australia	55-59			36
South Australia	55-59		0	799
South Australia	55-59		1	17
South Australia	55-59	Employed (away from work)		37
South Australia	55-59	Employed (away from work)	0	2810
South Australia	55-59	Employed (away from work)	1	96
South Australia	55-59	Employed (full-time)		593
South Australia	55-59	Employed (full-time)	0	45120
South Australia	55-59	Employed (full-time)	1	268
South Australia	55-59	Employed (part-time)		308
South Australia	55-59	Employed (part-time)	0	23415
South Australia	55-59	Employed (part-time)	1	439
South Australia	60-64			36
South Australia	60-64		0	610
South Australia	60-64		1	32
South Australia	60-64	Employed (away from work)		29
South Australia	60-64	Employed (away from work)	0	2327
South Australia	60-64	Employed (away from work)	1	74
South Australia	60-64	Employed (full-time)		372
South Australia	60-64	Employed (full-time)	0	27608
South Australia	60-64	Employed (full-time)	1	144
South Australia	60-64	Employed (part-time)		286
South Australia	60-64	Employed (part-time)	0	19003
South Australia	60-64	Employed (part-time)	1	363
South Australia	65-69			27
South Australia	65-69		0	364
South Australia	65-69		1	15
South Australia	65-69	Employed (away from work)		19
South Australia	65-69	Employed (away from work)	0	1178
South Australia	65-69	Employed (away from work)	1	21
South Australia	65-69	Employed (full-time)		154
South Australia	65-69	Employed (full-time)	0	9204
South Australia	65-69	Employed (full-time)	1	92
South Australia	65-69	Employed (part-time)		164
South Australia	65-69	Employed (part-time)	0	10798
South Australia	65-69	Employed (part-time)	1	194
South Australia	70-74			13
South Australia	70-74		0	227
South Australia	70-74		1	16
South Australia	70-74	Employed (away from work)		3
South Australia	70-74	Employed (away from work)	0	379
South Australia	70-74	Employed (away from work)	1	23
South Australia	70-74	Employed (full-time)		32
South Australia	70-74	Employed (full-time)	0	2384
South Australia	70-74	Employed (full-time)	1	33
South Australia	70-74	Employed (part-time)		82
South Australia	70-74	Employed (part-time)	0	4435
South Australia	70-74	Employed (part-time)	1	99
South Australia	75+			30
South Australia	75+		0	310
South Australia	75+		1	43
South Australia	75+	Employed (away from work)		9
South Australia	75+	Employed (away from work)	0	231
South Australia	75+	Employed (away from work)	1	28
South Australia	75+	Employed (full-time)		27
South Australia	75+	Employed (full-time)	0	1177
South Australia	75+	Employed (full-time)	1	42
South Australia	75+	Employed (part-time)		61
South Australia	75+	Employed (part-time)	0	2153
South Australia	75+	Employed (part-time)	1	129
Western Australia	15-19			45
Western Australia	15-19		0	1423
Western Australia	15-19		1	13
Western Australia	15-19	Employed (away from work)		15
Western Australia	15-19	Employed (away from work)	0	1806
Western Australia	15-19	Employed (away from work)	1	13
Western Australia	15-19	Employed (full-time)		125
Western Australia	15-19	Employed (full-time)	0	11852
Western Australia	15-19	Employed (full-time)	1	50
Western Australia	15-19	Employed (part-time)		344
Western Australia	15-19	Employed (part-time)	0	42040
Western Australia	15-19	Employed (part-time)	1	389
Western Australia	20-24			74
Western Australia	20-24		0	2453
Western Australia	20-24		1	17
Western Australia	20-24	Employed (away from work)		24
Western Australia	20-24	Employed (away from work)	0	3253
Western Australia	20-24	Employed (away from work)	1	35
Western Australia	20-24	Employed (full-time)		475
Western Australia	20-24	Employed (full-time)	0	54718
Western Australia	20-24	Employed (full-time)	1	119
Western Australia	20-24	Employed (part-time)		392
Western Australia	20-24	Employed (part-time)	0	43527
Western Australia	20-24	Employed (part-time)	1	605
Western Australia	25-29			81
Western Australia	25-29		0	2398
Western Australia	25-29		1	18
Western Australia	25-29	Employed (away from work)		48
Western Australia	25-29	Employed (away from work)	0	5389
Western Australia	25-29	Employed (away from work)	1	38
Western Australia	25-29	Employed (full-time)		767
Western Australia	25-29	Employed (full-time)	0	91117
Western Australia	25-29	Employed (full-time)	1	191
Western Australia	25-29	Employed (part-time)		311
Western Australia	25-29	Employed (part-time)	0	31272
Western Australia	25-29	Employed (part-time)	1	467
Western Australia	30-34			81
Western Australia	30-34		0	2281
Western Australia	30-34		1	13
Western Australia	30-34	Employed (away from work)		81
Western Australia	30-34	Employed (away from work)	0	7130
Western Australia	30-34	Employed (away from work)	1	56
Western Australia	30-34	Employed (full-time)		936
Western Australia	30-34	Employed (full-time)	0	95089
Western Australia	30-34	Employed (full-time)	1	195
Western Australia	30-34	Employed (part-time)		362
Western Australia	30-34	Employed (part-time)	0	34058
Western Australia	30-34	Employed (part-time)	1	396
Western Australia	35-39			68
Western Australia	35-39		0	1898
Western Australia	35-39		1	15
Western Australia	35-39	Employed (away from work)		53
Western Australia	35-39	Employed (away from work)	0	5212
Western Australia	35-39	Employed (away from work)	1	54
Western Australia	35-39	Employed (full-time)		873
Western Australia	35-39	Employed (full-time)	0	82671
Western Australia	35-39	Employed (full-time)	1	183
Western Australia	35-39	Employed (part-time)		394
Western Australia	35-39	Employed (part-time)	0	34558
Western Australia	35-39	Employed (part-time)	1	346
Western Australia	40-44			71
Western Australia	40-44		0	1894
Western Australia	40-44		1	18
Western Australia	40-44	Employed (away from work)		49
Western Australia	40-44	Employed (away from work)	0	3895
Western Australia	40-44	Employed (away from work)	1	78
Western Australia	40-44	Employed (full-time)		974
Western Australia	40-44	Employed (full-time)	0	84623
Western Australia	40-44	Employed (full-time)	1	314
Western Australia	40-44	Employed (part-time)		454
Western Australia	40-44	Employed (part-time)	0	36069
Western Australia	40-44	Employed (part-time)	1	449
Western Australia	45-49			79
Western Australia	45-49		0	1927
Western Australia	45-49		1	11
Western Australia	45-49	Employed (away from work)		42
Western Australia	45-49	Employed (away from work)	0	4046
Western Australia	45-49	Employed (away from work)	1	96
Western Australia	45-49	Employed (full-time)		976
Western Australia	45-49	Employed (full-time)	0	87966
Western Australia	45-49	Employed (full-time)	1	333
Western Australia	45-49	Employed (part-time)		417
