STE_NAME16	Age	EmploymentStatus	HoursWorked.min	workers
New South Wales	30-34	Employee	25	28530
New South Wales	30-34	Employee	35	78261
New South Wales	30-34	Employee	40	83129
New South Wales	30-34	Employee	41	37198
New South Wales	30-34	Employee	49	47724
New South Wales	30-34	Owner managers of incorporated enterprises		409
New South Wales	30-34	Owner managers of incorporated enterprises	0	408
New South Wales	30-34	Owner managers of incorporated enterprises	1	1084
New South Wales	30-34	Owner managers of incorporated enterprises	16	1176
New South Wales	30-34	Owner managers of incorporated enterprises	25	1591
New South Wales	30-34	Owner managers of incorporated enterprises	35	2085
New South Wales	30-34	Owner managers of incorporated enterprises	40	4950
New South Wales	30-34	Owner managers of incorporated enterprises	41	1702
New South Wales	30-34	Owner managers of incorporated enterprises	49	6967
New South Wales	30-34	Owner managers of unincorporated enterprises		467
New South Wales	30-34	Owner managers of unincorporated enterprises	0	675
New South Wales	30-34	Owner managers of unincorporated enterprises	1	3373
New South Wales	30-34	Owner managers of unincorporated enterprises	16	2643
New South Wales	30-34	Owner managers of unincorporated enterprises	25	3014
New South Wales	30-34	Owner managers of unincorporated enterprises	35	2185
New South Wales	30-34	Owner managers of unincorporated enterprises	40	4447
New South Wales	30-34	Owner managers of unincorporated enterprises	41	1778
New South Wales	30-34	Owner managers of unincorporated enterprises	49	4906
New South Wales	35-39			626
New South Wales	35-39		0	169
New South Wales	35-39		1	221
New South Wales	35-39		16	248
New South Wales	35-39		25	266
New South Wales	35-39		35	397
New South Wales	35-39		40	472
New South Wales	35-39		41	153
New South Wales	35-39		49	401
New South Wales	35-39	Contributing family workers		200
New South Wales	35-39	Contributing family workers	0	136
New South Wales	35-39	Contributing family workers	1	1088
New South Wales	35-39	Contributing family workers	16	510
New South Wales	35-39	Contributing family workers	25	429
New South Wales	35-39	Contributing family workers	35	240
New South Wales	35-39	Contributing family workers	40	416
New South Wales	35-39	Contributing family workers	41	118
New South Wales	35-39	Contributing family workers	49	723
New South Wales	35-39	Employee		4752
New South Wales	35-39	Employee	0	11225
New South Wales	35-39	Employee	1	18421
New South Wales	35-39	Employee	16	29780
New South Wales	35-39	Employee	25	29557
New South Wales	35-39	Employee	35	67100
New South Wales	35-39	Employee	40	71046
New South Wales	35-39	Employee	41	32222
New South Wales	35-39	Employee	49	44794
New South Wales	35-39	Owner managers of incorporated enterprises		434
New South Wales	35-39	Owner managers of incorporated enterprises	0	363
New South Wales	35-39	Owner managers of incorporated enterprises	1	1463
New South Wales	35-39	Owner managers of incorporated enterprises	16	1734
New South Wales	35-39	Owner managers of incorporated enterprises	25	2228
New South Wales	35-39	Owner managers of incorporated enterprises	35	2583
New South Wales	35-39	Owner managers of incorporated enterprises	40	6517
New South Wales	35-39	Owner managers of incorporated enterprises	41	2225
New South Wales	35-39	Owner managers of incorporated enterprises	49	9505
New South Wales	35-39	Owner managers of unincorporated enterprises		507
New South Wales	35-39	Owner managers of unincorporated enterprises	0	645
New South Wales	35-39	Owner managers of unincorporated enterprises	1	4264
New South Wales	35-39	Owner managers of unincorporated enterprises	16	3153
New South Wales	35-39	Owner managers of unincorporated enterprises	25	3831
New South Wales	35-39	Owner managers of unincorporated enterprises	35	2371
New South Wales	35-39	Owner managers of unincorporated enterprises	40	4983
New South Wales	35-39	Owner managers of unincorporated enterprises	41	1971
New South Wales	35-39	Owner managers of unincorporated enterprises	49	6306
New South Wales	40-44			646
New South Wales	40-44		0	151
New South Wales	40-44		1	257
New South Wales	40-44		16	234
New South Wales	40-44		25	304
New South Wales	40-44		35	446
New South Wales	40-44		40	606
New South Wales	40-44		41	167
New South Wales	40-44		49	495
New South Wales	40-44	Contributing family workers		263
New South Wales	40-44	Contributing family workers	0	127
New South Wales	40-44	Contributing family workers	1	1159
New South Wales	40-44	Contributing family workers	16	612
New South Wales	40-44	Contributing family workers	25	520
New South Wales	40-44	Contributing family workers	35	264
New South Wales	40-44	Contributing family workers	40	562
New South Wales	40-44	Contributing family workers	41	161
New South Wales	40-44	Contributing family workers	49	1018
New South Wales	40-44	Employee		4120
New South Wales	40-44	Employee	0	7049
New South Wales	40-44	Employee	1	18143
New South Wales	40-44	Employee	16	28804
New South Wales	40-44	Employee	25	33153
New South Wales	40-44	Employee	35	63855
New South Wales	40-44	Employee	40	68399
New South Wales	40-44	Employee	41	32539
New South Wales	40-44	Employee	49	46559
New South Wales	40-44	Owner managers of incorporated enterprises		502
New South Wales	40-44	Owner managers of incorporated enterprises	0	428
New South Wales	40-44	Owner managers of incorporated enterprises	1	1769
New South Wales	40-44	Owner managers of incorporated enterprises	16	1975
New South Wales	40-44	Owner managers of incorporated enterprises	25	2877
New South Wales	40-44	Owner managers of incorporated enterprises	35	2884
New South Wales	40-44	Owner managers of incorporated enterprises	40	7923
New South Wales	40-44	Owner managers of incorporated enterprises	41	2894
New South Wales	40-44	Owner managers of incorporated enterprises	49	12355
New South Wales	40-44	Owner managers of unincorporated enterprises		591
New South Wales	40-44	Owner managers of unincorporated enterprises	0	646
New South Wales	40-44	Owner managers of unincorporated enterprises	1	4687
New South Wales	40-44	Owner managers of unincorporated enterprises	16	3607
New South Wales	40-44	Owner managers of unincorporated enterprises	25	4565
New South Wales	40-44	Owner managers of unincorporated enterprises	35	2753
New South Wales	40-44	Owner managers of unincorporated enterprises	40	6050
New South Wales	40-44	Owner managers of unincorporated enterprises	41	2489
New South Wales	40-44	Owner managers of unincorporated enterprises	49	7602
New South Wales	45-49			631
New South Wales	45-49		0	145
New South Wales	45-49		1	277
New South Wales	45-49		16	258
New South Wales	45-49		25	334
New South Wales	45-49		35	509
New South Wales	45-49		40	549
New South Wales	45-49		41	217
New South Wales	45-49		49	547
New South Wales	45-49	Contributing family workers		246
New South Wales	45-49	Contributing family workers	0	176
New South Wales	45-49	Contributing family workers	1	1050
New South Wales	45-49	Contributing family workers	16	560
New South Wales	45-49	Contributing family workers	25	571
New South Wales	45-49	Contributing family workers	35	254
New South Wales	45-49	Contributing family workers	40	591
New South Wales	45-49	Contributing family workers	41	233
New South Wales	45-49	Contributing family workers	49	1266
New South Wales	45-49	Employee		4153
New South Wales	45-49	Employee	0	6061
New South Wales	45-49	Employee	1	16698
New South Wales	45-49	Employee	16	25557
New South Wales	45-49	Employee	25	33160
New South Wales	45-49	Employee	35	63499
New South Wales	45-49	Employee	40	61665
New South Wales	45-49	Employee	41	31004
New South Wales	45-49	Employee	49	45448
New South Wales	45-49	Owner managers of incorporated enterprises		512
New South Wales	45-49	Owner managers of incorporated enterprises	0	397
New South Wales	45-49	Owner managers of incorporated enterprises	1	1736
New South Wales	45-49	Owner managers of incorporated enterprises	16	1923
New South Wales	45-49	Owner managers of incorporated enterprises	25	3005
New South Wales	45-49	Owner managers of incorporated enterprises	35	3119
New South Wales	45-49	Owner managers of incorporated enterprises	40	7913
New South Wales	45-49	Owner managers of incorporated enterprises	41	3186
New South Wales	45-49	Owner managers of incorporated enterprises	49	13273
New South Wales	45-49	Owner managers of unincorporated enterprises		580
New South Wales	45-49	Owner managers of unincorporated enterprises	0	690
New South Wales	45-49	Owner managers of unincorporated enterprises	1	4621
New South Wales	45-49	Owner managers of unincorporated enterprises	16	3624
New South Wales	45-49	Owner managers of unincorporated enterprises	25	4692
New South Wales	45-49	Owner managers of unincorporated enterprises	35	2947
New South Wales	45-49	Owner managers of unincorporated enterprises	40	6183
New South Wales	45-49	Owner managers of unincorporated enterprises	41	2666
New South Wales	45-49	Owner managers of unincorporated enterprises	49	8612
New South Wales	50-54			596
New South Wales	50-54		0	184
New South Wales	50-54		1	327
New South Wales	50-54		16	259
New South Wales	50-54		25	339
New South Wales	50-54		35	494
New South Wales	50-54		40	564
New South Wales	50-54		41	201
New South Wales	50-54		49	598
New South Wales	50-54	Contributing family workers		265
New South Wales	50-54	Contributing family workers	0	187
New South Wales	50-54	Contributing family workers	1	1041
New South Wales	50-54	Contributing family workers	16	593
New South Wales	50-54	Contributing family workers	25	555
New South Wales	50-54	Contributing family workers	35	286
New South Wales	50-54	Contributing family workers	40	685
New South Wales	50-54	Contributing family workers	41	229
New South Wales	50-54	Contributing family workers	49	1607
New South Wales	50-54	Employee		3806
New South Wales	50-54	Employee	0	7095
New South Wales	50-54	Employee	1	15601
New South Wales	50-54	Employee	16	24134
New South Wales	50-54	Employee	25	32255
New South Wales	50-54	Employee	35	64018
New South Wales	50-54	Employee	40	54915
New South Wales	50-54	Employee	41	27851
New South Wales	50-54	Employee	49	39911
New South Wales	50-54	Owner managers of incorporated enterprises		492
New South Wales	50-54	Owner managers of incorporated enterprises	0	469
New South Wales	50-54	Owner managers of incorporated enterprises	1	1663
New South Wales	50-54	Owner managers of incorporated enterprises	16	1892
New South Wales	50-54	Owner managers of incorporated enterprises	25	2982
New South Wales	50-54	Owner managers of incorporated enterprises	35	3105
New South Wales	50-54	Owner managers of incorporated enterprises	40	7638
New South Wales	50-54	Owner managers of incorporated enterprises	41	3102
New South Wales	50-54	Owner managers of incorporated enterprises	49	12950
New South Wales	50-54	Owner managers of unincorporated enterprises		580
New South Wales	50-54	Owner managers of unincorporated enterprises	0	767
New South Wales	50-54	Owner managers of unincorporated enterprises	1	4443
New South Wales	50-54	Owner managers of unincorporated enterprises	16	3572
New South Wales	50-54	Owner managers of unincorporated enterprises	25	4754
New South Wales	50-54	Owner managers of unincorporated enterprises	35	3054
New South Wales	50-54	Owner managers of unincorporated enterprises	40	6370
New South Wales	50-54	Owner managers of unincorporated enterprises	41	2784
New South Wales	50-54	Owner managers of unincorporated enterprises	49	9110
New South Wales	55-59			582
New South Wales	55-59		0	225
New South Wales	55-59		1	304
New South Wales	55-59		16	285
New South Wales	55-59		25	294
New South Wales	55-59		35	456
New South Wales	55-59		40	466
New South Wales	55-59		41	167
New South Wales	55-59		49	518
New South Wales	55-59	Contributing family workers		270
New South Wales	55-59	Contributing family workers	0	233
New South Wales	55-59	Contributing family workers	1	1149
New South Wales	55-59	Contributing family workers	16	606
New South Wales	55-59	Contributing family workers	25	593
New South Wales	55-59	Contributing family workers	35	279
New South Wales	55-59	Contributing family workers	40	720
New South Wales	55-59	Contributing family workers	41	221
New South Wales	55-59	Contributing family workers	49	1552
New South Wales	55-59	Employee		2908
New South Wales	55-59	Employee	0	8202
New South Wales	55-59	Employee	1	15850
New South Wales	55-59	Employee	16	22926
New South Wales	55-59	Employee	25	28919
New South Wales	55-59	Employee	35	55329
New South Wales	55-59	Employee	40	45010
New South Wales	55-59	Employee	41	22651
New South Wales	55-59	Employee	49	31184
New South Wales	55-59	Owner managers of incorporated enterprises		359
New South Wales	55-59	Owner managers of incorporated enterprises	0	573
New South Wales	55-59	Owner managers of incorporated enterprises	1	1832
New South Wales	55-59	Owner managers of incorporated enterprises	16	1943
New South Wales	55-59	Owner managers of incorporated enterprises	25	2639
New South Wales	55-59	Owner managers of incorporated enterprises	35	2433
New South Wales	55-59	Owner managers of incorporated enterprises	40	6000
New South Wales	55-59	Owner managers of incorporated enterprises	41	2530
New South Wales	55-59	Owner managers of incorporated enterprises	49	10255
New South Wales	55-59	Owner managers of unincorporated enterprises		521
New South Wales	55-59	Owner managers of unincorporated enterprises	0	871
New South Wales	55-59	Owner managers of unincorporated enterprises	1	4694
New South Wales	55-59	Owner managers of unincorporated enterprises	16	3517
New South Wales	55-59	Owner managers of unincorporated enterprises	25	4434
New South Wales	55-59	Owner managers of unincorporated enterprises	35	2658
New South Wales	55-59	Owner managers of unincorporated enterprises	40	5303
New South Wales	55-59	Owner managers of unincorporated enterprises	41	2422
New South Wales	55-59	Owner managers of unincorporated enterprises	49	8427
New South Wales	60-64			552
New South Wales	60-64		0	207
New South Wales	60-64		1	286
New South Wales	60-64		16	242
New South Wales	60-64		25	258
New South Wales	60-64		35	270
New South Wales	60-64		40	315
New South Wales	60-64		41	125
New South Wales	60-64		49	358
New South Wales	60-64	Contributing family workers		248
New South Wales	60-64	Contributing family workers	0	263
New South Wales	60-64	Contributing family workers	1	1321
New South Wales	60-64	Contributing family workers	16	716
New South Wales	60-64	Contributing family workers	25	547
New South Wales	60-64	Contributing family workers	35	238
New South Wales	60-64	Contributing family workers	40	557
New South Wales	60-64	Contributing family workers	41	197
New South Wales	60-64	Contributing family workers	49	1394
New South Wales	60-64	Employee		1891
New South Wales	60-64	Employee	0	6317
New South Wales	60-64	Employee	1	15021
New South Wales	60-64	Employee	16	18987
New South Wales	60-64	Employee	25	18800
New South Wales	60-64	Employee	35	32417
New South Wales	60-64	Employee	40	25003
New South Wales	60-64	Employee	41	11160
New South Wales	60-64	Employee	49	15496
New South Wales	60-64	Owner managers of incorporated enterprises		270
New South Wales	60-64	Owner managers of incorporated enterprises	0	541
New South Wales	60-64	Owner managers of incorporated enterprises	1	2117
New South Wales	60-64	Owner managers of incorporated enterprises	16	2235
New South Wales	60-64	Owner managers of incorporated enterprises	25	2093
New South Wales	60-64	Owner managers of incorporated enterprises	35	1623
New South Wales	60-64	Owner managers of incorporated enterprises	40	3817
New South Wales	60-64	Owner managers of incorporated enterprises	41	1634
New South Wales	60-64	Owner managers of incorporated enterprises	49	6423
New South Wales	60-64	Owner managers of unincorporated enterprises		399
New South Wales	60-64	Owner managers of unincorporated enterprises	0	828
New South Wales	60-64	Owner managers of unincorporated enterprises	1	5018
New South Wales	60-64	Owner managers of unincorporated enterprises	16	3617
New South Wales	60-64	Owner managers of unincorporated enterprises	25	3377
New South Wales	60-64	Owner managers of unincorporated enterprises	35	1842
New South Wales	60-64	Owner managers of unincorporated enterprises	40	3677
New South Wales	60-64	Owner managers of unincorporated enterprises	41	1567
New South Wales	60-64	Owner managers of unincorporated enterprises	49	5999
New South Wales	65-69			423
New South Wales	65-69		0	139
New South Wales	65-69		1	296
New South Wales	65-69		16	215
New South Wales	65-69		25	135
New South Wales	65-69		35	136
New South Wales	65-69		40	154
New South Wales	65-69		41	51
New South Wales	65-69		49	217
New South Wales	65-69	Contributing family workers		234
New South Wales	65-69	Contributing family workers	0	252
New South Wales	65-69	Contributing family workers	1	1411
New South Wales	65-69	Contributing family workers	16	692
New South Wales	65-69	Contributing family workers	25	535
New South Wales	65-69	Contributing family workers	35	204
New South Wales	65-69	Contributing family workers	40	454
New South Wales	65-69	Contributing family workers	41	187
New South Wales	65-69	Contributing family workers	49	1071
New South Wales	65-69	Employee		830
New South Wales	65-69	Employee	0	2825
New South Wales	65-69	Employee	1	10988
New South Wales	65-69	Employee	16	9519
New South Wales	65-69	Employee	25	6726
New South Wales	65-69	Employee	35	10081
New South Wales	65-69	Employee	40	8003
New South Wales	65-69	Employee	41	3247
New South Wales	65-69	Employee	49	4772
New South Wales	65-69	Owner managers of incorporated enterprises		176
New South Wales	65-69	Owner managers of incorporated enterprises	0	432
New South Wales	65-69	Owner managers of incorporated enterprises	1	1907
New South Wales	65-69	Owner managers of incorporated enterprises	16	1838
New South Wales	65-69	Owner managers of incorporated enterprises	25	1583
New South Wales	65-69	Owner managers of incorporated enterprises	35	971
New South Wales	65-69	Owner managers of incorporated enterprises	40	2074
New South Wales	65-69	Owner managers of incorporated enterprises	41	801
New South Wales	65-69	Owner managers of incorporated enterprises	49	3338
New South Wales	65-69	Owner managers of unincorporated enterprises		212
New South Wales	65-69	Owner managers of unincorporated enterprises	0	584
New South Wales	65-69	Owner managers of unincorporated enterprises	1	3906
New South Wales	65-69	Owner managers of unincorporated enterprises	16	2343
New South Wales	65-69	Owner managers of unincorporated enterprises	25	2027
New South Wales	65-69	Owner managers of unincorporated enterprises	35	888
New South Wales	65-69	Owner managers of unincorporated enterprises	40	1901
New South Wales	65-69	Owner managers of unincorporated enterprises	41	839
New South Wales	65-69	Owner managers of unincorporated enterprises	49	3100
New South Wales	70-74			371
New South Wales	70-74		0	72
New South Wales	70-74		1	181
New South Wales	70-74		16	90
New South Wales	70-74		25	82
New South Wales	70-74		35	54
New South Wales	70-74		40	53
New South Wales	70-74		41	34
New South Wales	70-74		49	84
New South Wales	70-74	Contributing family workers		237
New South Wales	70-74	Contributing family workers	0	175
New South Wales	70-74	Contributing family workers	1	983
New South Wales	70-74	Contributing family workers	16	508
New South Wales	70-74	Contributing family workers	25	410
New South Wales	70-74	Contributing family workers	35	136
New South Wales	70-74	Contributing family workers	40	314
New South Wales	70-74	Contributing family workers	41	130
New South Wales	70-74	Contributing family workers	49	676
New South Wales	70-74	Employee		260
New South Wales	70-74	Employee	0	819
New South Wales	70-74	Employee	1	5229
New South Wales	70-74	Employee	16	3223
New South Wales	70-74	Employee	25	1855
New South Wales	70-74	Employee	35	1925
New South Wales	70-74	Employee	40	1698
New South Wales	70-74	Employee	41	635
New South Wales	70-74	Employee	49	957
New South Wales	70-74	Owner managers of incorporated enterprises		74
New South Wales	70-74	Owner managers of incorporated enterprises	0	199
New South Wales	70-74	Owner managers of incorporated enterprises	1	1071
New South Wales	70-74	Owner managers of incorporated enterprises	16	930
New South Wales	70-74	Owner managers of incorporated enterprises	25	797
New South Wales	70-74	Owner managers of incorporated enterprises	35	431
New South Wales	70-74	Owner managers of incorporated enterprises	40	882
New South Wales	70-74	Owner managers of incorporated enterprises	41	317
New South Wales	70-74	Owner managers of incorporated enterprises	49	1107
New South Wales	70-74	Owner managers of unincorporated enterprises		132
New South Wales	70-74	Owner managers of unincorporated enterprises	0	323
New South Wales	70-74	Owner managers of unincorporated enterprises	1	2047
New South Wales	70-74	Owner managers of unincorporated enterprises	16	1095
New South Wales	70-74	Owner managers of unincorporated enterprises	25	991
New South Wales	70-74	Owner managers of unincorporated enterprises	35	366
New South Wales	70-74	Owner managers of unincorporated enterprises	40	745
New South Wales	70-74	Owner managers of unincorporated enterprises	41	324
New South Wales	70-74	Owner managers of unincorporated enterprises	49	1325
New South Wales	75+			723
New South Wales	75+		0	99
New South Wales	75+		1	133
New South Wales	75+		16	72
New South Wales	75+		25	64
New South Wales	75+		35	29
New South Wales	75+		40	58
New South Wales	75+		41	18
New South Wales	75+		49	85
New South Wales	75+	Contributing family workers		402
New South Wales	75+	Contributing family workers	0	253
New South Wales	75+	Contributing family workers	1	961
New South Wales	75+	Contributing family workers	16	493
New South Wales	75+	Contributing family workers	25	405
New South Wales	75+	Contributing family workers	35	141
New South Wales	75+	Contributing family workers	40	316
New South Wales	75+	Contributing family workers	41	127
New South Wales	75+	Contributing family workers	49	559
New South Wales	75+	Employee		217
New South Wales	75+	Employee	0	319
New South Wales	75+	Employee	1	2352
New South Wales	75+	Employee	16	1079
New South Wales	75+	Employee	25	600
New South Wales	75+	Employee	35	570
New South Wales	75+	Employee	40	553
New South Wales	75+	Employee	41	213
New South Wales	75+	Employee	49	343
New South Wales	75+	Owner managers of incorporated enterprises		77
New South Wales	75+	Owner managers of incorporated enterprises	0	141
New South Wales	75+	Owner managers of incorporated enterprises	1	671
New South Wales	75+	Owner managers of incorporated enterprises	16	523
New South Wales	75+	Owner managers of incorporated enterprises	25	447
New South Wales	75+	Owner managers of incorporated enterprises	35	219
New South Wales	75+	Owner managers of incorporated enterprises	40	397
New South Wales	75+	Owner managers of incorporated enterprises	41	141
New South Wales	75+	Owner managers of incorporated enterprises	49	469
New South Wales	75+	Owner managers of unincorporated enterprises		150
New South Wales	75+	Owner managers of unincorporated enterprises	0	185
New South Wales	75+	Owner managers of unincorporated enterprises	1	1316
New South Wales	75+	Owner managers of unincorporated enterprises	16	674
New South Wales	75+	Owner managers of unincorporated enterprises	25	614
New South Wales	75+	Owner managers of unincorporated enterprises	35	228
New South Wales	75+	Owner managers of unincorporated enterprises	40	475
New South Wales	75+	Owner managers of unincorporated enterprises	41	190
New South Wales	75+	Owner managers of unincorporated enterprises	49	811
Victoria	15-19			371
Victoria	15-19		0	86
Victoria	15-19		1	701
Victoria	15-19		16	120
Victoria	15-19		25	67
Victoria	15-19		35	100
Victoria	15-19		40	61
Victoria	15-19		41	31
Victoria	15-19		49	21
Victoria	15-19	Contributing family workers		167
Victoria	15-19	Contributing family workers	0	82
Victoria	15-19	Contributing family workers	1	675
Victoria	15-19	Contributing family workers	16	95
Victoria	15-19	Contributing family workers	25	52
Victoria	15-19	Contributing family workers	35	23
Victoria	15-19	Contributing family workers	40	19
Victoria	15-19	Contributing family workers	41	5
Victoria	15-19	Contributing family workers	49	18
Victoria	15-19	Employee		3149
Victoria	15-19	Employee	0	4052
Victoria	15-19	Employee	1	73889
Victoria	15-19	Employee	16	13316
Victoria	15-19	Employee	25	6697
Victoria	15-19	Employee	35	8374
Victoria	15-19	Employee	40	7071
Victoria	15-19	Employee	41	2440
Victoria	15-19	Employee	49	1543
Victoria	15-19	Owner managers of incorporated enterprises		22
Victoria	15-19	Owner managers of incorporated enterprises	0	15
Victoria	15-19	Owner managers of incorporated enterprises	1	193
Victoria	15-19	Owner managers of incorporated enterprises	16	58
Victoria	15-19	Owner managers of incorporated enterprises	25	24
Victoria	15-19	Owner managers of incorporated enterprises	35	18
