STE_NAME16	Age	EmploymentStatus	Sex	workers
New South Wales	45-49	Contributing family workers	M	2221
New South Wales	45-49	Employee	F	149387
New South Wales	45-49	Employee	M	137858
New South Wales	45-49	Owner managers of incorporated enterprises	F	10574
New South Wales	45-49	Owner managers of incorporated enterprises	M	24481
New South Wales	45-49	Owner managers of unincorporated enterprises	F	13916
New South Wales	45-49	Owner managers of unincorporated enterprises	M	20704
New South Wales	50-54		F	1491
New South Wales	50-54		M	2089
New South Wales	50-54	Contributing family workers	F	2855
New South Wales	50-54	Contributing family workers	M	2608
New South Wales	50-54	Employee	F	140585
New South Wales	50-54	Employee	M	128997
New South Wales	50-54	Owner managers of incorporated enterprises	F	10141
New South Wales	50-54	Owner managers of incorporated enterprises	M	24158
New South Wales	50-54	Owner managers of unincorporated enterprises	F	12946
New South Wales	50-54	Owner managers of unincorporated enterprises	M	22485
New South Wales	55-59		F	1471
New South Wales	55-59		M	1833
New South Wales	55-59	Contributing family workers	F	2773
New South Wales	55-59	Contributing family workers	M	2853
New South Wales	55-59	Employee	F	120947
New South Wales	55-59	Employee	M	112029
New South Wales	55-59	Owner managers of incorporated enterprises	F	8158
New South Wales	55-59	Owner managers of incorporated enterprises	M	20399
New South Wales	55-59	Owner managers of unincorporated enterprises	F	11187
New South Wales	55-59	Owner managers of unincorporated enterprises	M	21673
New South Wales	60-64		F	1126
New South Wales	60-64		M	1500
New South Wales	60-64	Contributing family workers	F	2591
New South Wales	60-64	Contributing family workers	M	2898
New South Wales	60-64	Employee	F	73364
New South Wales	60-64	Employee	M	71735
New South Wales	60-64	Owner managers of incorporated enterprises	F	5626
New South Wales	60-64	Owner managers of incorporated enterprises	M	15122
New South Wales	60-64	Owner managers of unincorporated enterprises	F	8347
New South Wales	60-64	Owner managers of unincorporated enterprises	M	17978
New South Wales	65-69		F	746
New South Wales	65-69		M	1010
New South Wales	65-69	Contributing family workers	F	2193
New South Wales	65-69	Contributing family workers	M	2848
New South Wales	65-69	Employee	F	27471
New South Wales	65-69	Employee	M	29523
New South Wales	65-69	Owner managers of incorporated enterprises	F	3433
New South Wales	65-69	Owner managers of incorporated enterprises	M	9693
New South Wales	65-69	Owner managers of unincorporated enterprises	F	4703
New South Wales	65-69	Owner managers of unincorporated enterprises	M	11099
New South Wales	70-74		F	441
New South Wales	70-74		M	587
New South Wales	70-74	Contributing family workers	F	1446
New South Wales	70-74	Contributing family workers	M	2124
New South Wales	70-74	Employee	F	7436
New South Wales	70-74	Employee	M	9161
New South Wales	70-74	Owner managers of incorporated enterprises	F	1446
New South Wales	70-74	Owner managers of incorporated enterprises	M	4369
New South Wales	70-74	Owner managers of unincorporated enterprises	F	2143
New South Wales	70-74	Owner managers of unincorporated enterprises	M	5194
New South Wales	75+		F	595
New South Wales	75+		M	681
New South Wales	75+	Contributing family workers	F	1233
New South Wales	75+	Contributing family workers	M	2427
New South Wales	75+	Employee	F	2479
New South Wales	75+	Employee	M	3761
New South Wales	75+	Owner managers of incorporated enterprises	F	664
New South Wales	75+	Owner managers of incorporated enterprises	M	2425
New South Wales	75+	Owner managers of unincorporated enterprises	F	1242
New South Wales	75+	Owner managers of unincorporated enterprises	M	3383
Victoria	15-19		F	793
Victoria	15-19		M	768
Victoria	15-19	Contributing family workers	F	442
Victoria	15-19	Contributing family workers	M	690
Victoria	15-19	Employee	F	63398
Victoria	15-19	Employee	M	57136
Victoria	15-19	Owner managers of incorporated enterprises	F	160
Victoria	15-19	Owner managers of incorporated enterprises	M	226
Victoria	15-19	Owner managers of unincorporated enterprises	F	411
Victoria	15-19	Owner managers of unincorporated enterprises	M	527
Victoria	20-24		F	1037
Victoria	20-24		M	1442
Victoria	20-24	Contributing family workers	F	524
Victoria	20-24	Contributing family workers	M	761
Victoria	20-24	Employee	F	121072
Victoria	20-24	Employee	M	122848
Victoria	20-24	Owner managers of incorporated enterprises	F	570
Victoria	20-24	Owner managers of incorporated enterprises	M	1481
Victoria	20-24	Owner managers of unincorporated enterprises	F	1977
Victoria	20-24	Owner managers of unincorporated enterprises	M	4371
Victoria	25-29		F	1053
Victoria	25-29		M	1599
Victoria	25-29	Contributing family workers	F	879
Victoria	25-29	Contributing family workers	M	946
Victoria	25-29	Employee	F	144928
Victoria	25-29	Employee	M	146786
Victoria	25-29	Owner managers of incorporated enterprises	F	1875
Victoria	25-29	Owner managers of incorporated enterprises	M	6243
Victoria	25-29	Owner managers of unincorporated enterprises	F	4700
Victoria	25-29	Owner managers of unincorporated enterprises	M	9848
Victoria	30-34		F	1053
Victoria	30-34		M	1545
Victoria	30-34	Contributing family workers	F	1672
Victoria	30-34	Contributing family workers	M	1204
Victoria	30-34	Employee	F	139262
Victoria	30-34	Employee	M	149653
Victoria	30-34	Owner managers of incorporated enterprises	F	4343
Victoria	30-34	Owner managers of incorporated enterprises	M	12725
Victoria	30-34	Owner managers of unincorporated enterprises	F	7743
Victoria	30-34	Owner managers of unincorporated enterprises	M	12629
Victoria	35-39		F	1012
Victoria	35-39		M	1545
Victoria	35-39	Contributing family workers	F	2256
Victoria	35-39	Contributing family workers	M	1422
Victoria	35-39	Employee	F	119644
Victoria	35-39	Employee	M	131149
Victoria	35-39	Owner managers of incorporated enterprises	F	6009
Victoria	35-39	Owner managers of incorporated enterprises	M	16030
Victoria	35-39	Owner managers of unincorporated enterprises	F	9090
Victoria	35-39	Owner managers of unincorporated enterprises	M	13007
Victoria	40-44		F	1135
Victoria	40-44		M	1627
Victoria	40-44	Contributing family workers	F	2497
Victoria	40-44	Contributing family workers	M	1673
Victoria	40-44	Employee	F	122173
Victoria	40-44	Employee	M	121404
Victoria	40-44	Owner managers of incorporated enterprises	F	8123
Victoria	40-44	Owner managers of incorporated enterprises	M	19127
Victoria	40-44	Owner managers of unincorporated enterprises	F	10469
Victoria	40-44	Owner managers of unincorporated enterprises	M	14732
Victoria	45-49		F	1205
Victoria	45-49		M	1721
Victoria	45-49	Contributing family workers	F	2496
Victoria	45-49	Contributing family workers	M	2045
Victoria	45-49	Employee	F	125280
Victoria	45-49	Employee	M	114005
Victoria	45-49	Owner managers of incorporated enterprises	F	9120
Victoria	45-49	Owner managers of incorporated enterprises	M	21323
Victoria	45-49	Owner managers of unincorporated enterprises	F	10455
Victoria	45-49	Owner managers of unincorporated enterprises	M	15985
Victoria	50-54		F	1211
Victoria	50-54		M	1697
Victoria	50-54	Contributing family workers	F	2340
Victoria	50-54	Contributing family workers	M	2188
Victoria	50-54	Employee	F	113911
Victoria	50-54	Employee	M	102534
Victoria	50-54	Owner managers of incorporated enterprises	F	8145
Victoria	50-54	Owner managers of incorporated enterprises	M	20446
Victoria	50-54	Owner managers of unincorporated enterprises	F	9314
Victoria	50-54	Owner managers of unincorporated enterprises	M	15918
Victoria	55-59		F	1159
Victoria	55-59		M	1489
Victoria	55-59	Contributing family workers	F	2353
Victoria	55-59	Contributing family workers	M	2274
Victoria	55-59	Employee	F	95597
Victoria	55-59	Employee	M	87312
Victoria	55-59	Owner managers of incorporated enterprises	F	6579
Victoria	55-59	Owner managers of incorporated enterprises	M	17935
Victoria	55-59	Owner managers of unincorporated enterprises	F	8002
Victoria	55-59	Owner managers of unincorporated enterprises	M	15856
Victoria	60-64		F	895
Victoria	60-64		M	1298
Victoria	60-64	Contributing family workers	F	1997
Victoria	60-64	Contributing family workers	M	2333
Victoria	60-64	Employee	F	59713
Victoria	60-64	Employee	M	58382
Victoria	60-64	Owner managers of incorporated enterprises	F	4542
Victoria	60-64	Owner managers of incorporated enterprises	M	13216
Victoria	60-64	Owner managers of unincorporated enterprises	F	5884
Victoria	60-64	Owner managers of unincorporated enterprises	M	13163
Victoria	65-69		F	578
Victoria	65-69		M	831
Victoria	65-69	Contributing family workers	F	1715
Victoria	65-69	Contributing family workers	M	2154
Victoria	65-69	Employee	F	21387
Victoria	65-69	Employee	M	23819
Victoria	65-69	Owner managers of incorporated enterprises	F	2844
Victoria	65-69	Owner managers of incorporated enterprises	M	8093
Victoria	65-69	Owner managers of unincorporated enterprises	F	3601
Victoria	65-69	Owner managers of unincorporated enterprises	M	8204
Victoria	70-74		F	337
Victoria	70-74		M	486
Victoria	70-74	Contributing family workers	F	975
Victoria	70-74	Contributing family workers	M	1632
Victoria	70-74	Employee	F	5352
Victoria	70-74	Employee	M	7156
Victoria	70-74	Owner managers of incorporated enterprises	F	1081
Victoria	70-74	Owner managers of incorporated enterprises	M	3654
Victoria	70-74	Owner managers of unincorporated enterprises	F	1582
Victoria	70-74	Owner managers of unincorporated enterprises	M	3745
Victoria	75+		F	430
Victoria	75+		M	523
Victoria	75+	Contributing family workers	F	812
Victoria	75+	Contributing family workers	M	1690
Victoria	75+	Employee	F	1896
Victoria	75+	Employee	M	3131
Victoria	75+	Owner managers of incorporated enterprises	F	512
Victoria	75+	Owner managers of incorporated enterprises	M	1875
Victoria	75+	Owner managers of unincorporated enterprises	F	868
Victoria	75+	Owner managers of unincorporated enterprises	M	2567
Queensland	15-19		F	633
Queensland	15-19		M	624
Queensland	15-19	Contributing family workers	F	368
Queensland	15-19	Contributing family workers	M	644
Queensland	15-19	Employee	F	65089
Queensland	15-19	Employee	M	57066
Queensland	15-19	Owner managers of incorporated enterprises	F	132
Queensland	15-19	Owner managers of incorporated enterprises	M	163
Queensland	15-19	Owner managers of unincorporated enterprises	F	481
Queensland	15-19	Owner managers of unincorporated enterprises	M	607
Queensland	20-24		F	612
Queensland	20-24		M	903
Queensland	20-24	Contributing family workers	F	368
Queensland	20-24	Contributing family workers	M	497
Queensland	20-24	Employee	F	97858
Queensland	20-24	Employee	M	99947
Queensland	20-24	Owner managers of incorporated enterprises	F	437
Queensland	20-24	Owner managers of incorporated enterprises	M	1098
Queensland	20-24	Owner managers of unincorporated enterprises	F	1735
Queensland	20-24	Owner managers of unincorporated enterprises	M	3025
Queensland	25-29		F	597
Queensland	25-29		M	836
Queensland	25-29	Contributing family workers	F	780
Queensland	25-29	Contributing family workers	M	522
Queensland	25-29	Employee	F	102469
Queensland	25-29	Employee	M	106679
Queensland	25-29	Owner managers of incorporated enterprises	F	1510
Queensland	25-29	Owner managers of incorporated enterprises	M	4099
Queensland	25-29	Owner managers of unincorporated enterprises	F	3746
Queensland	25-29	Owner managers of unincorporated enterprises	M	6412
Queensland	30-34		F	679
Queensland	30-34		M	924
Queensland	30-34	Contributing family workers	F	1556
Queensland	30-34	Contributing family workers	M	823
Queensland	30-34	Employee	F	99724
Queensland	30-34	Employee	M	106838
Queensland	30-34	Owner managers of incorporated enterprises	F	3464
Queensland	30-34	Owner managers of incorporated enterprises	M	8282
Queensland	30-34	Owner managers of unincorporated enterprises	F	6124
Queensland	30-34	Owner managers of unincorporated enterprises	M	8372
Queensland	35-39		F	657
Queensland	35-39		M	976
Queensland	35-39	Contributing family workers	F	1859
Queensland	35-39	Contributing family workers	M	1078
Queensland	35-39	Employee	F	91971
Queensland	35-39	Employee	M	96584
Queensland	35-39	Owner managers of incorporated enterprises	F	4944
Queensland	35-39	Owner managers of incorporated enterprises	M	10611
Queensland	35-39	Owner managers of unincorporated enterprises	F	7373
Queensland	35-39	Owner managers of unincorporated enterprises	M	9281
Queensland	40-44		F	804
Queensland	40-44		M	1121
Queensland	40-44	Contributing family workers	F	2189
Queensland	40-44	Contributing family workers	M	1403
Queensland	40-44	Employee	F	99828
Queensland	40-44	Employee	M	96660
Queensland	40-44	Owner managers of incorporated enterprises	F	6825
Queensland	40-44	Owner managers of incorporated enterprises	M	13584
Queensland	40-44	Owner managers of unincorporated enterprises	F	8523
Queensland	40-44	Owner managers of unincorporated enterprises	M	11346
Queensland	45-49		F	914
Queensland	45-49		M	1107
Queensland	45-49	Contributing family workers	F	2257
Queensland	45-49	Contributing family workers	M	1711
Queensland	45-49	Employee	F	100575
Queensland	45-49	Employee	M	91937
Queensland	45-49	Owner managers of incorporated enterprises	F	7183
Queensland	45-49	Owner managers of incorporated enterprises	M	14753
Queensland	45-49	Owner managers of unincorporated enterprises	F	8927
Queensland	45-49	Owner managers of unincorporated enterprises	M	12568
Queensland	50-54		F	921
Queensland	50-54		M	1110
Queensland	50-54	Contributing family workers	F	2186
Queensland	50-54	Contributing family workers	M	1946
Queensland	50-54	Employee	F	92269
Queensland	50-54	Employee	M	83004
Queensland	50-54	Owner managers of incorporated enterprises	F	6585
Queensland	50-54	Owner managers of incorporated enterprises	M	13859
Queensland	50-54	Owner managers of unincorporated enterprises	F	8150
Queensland	50-54	Owner managers of unincorporated enterprises	M	13151
Queensland	55-59		F	850
Queensland	55-59		M	1073
Queensland	55-59	Contributing family workers	F	2177
Queensland	55-59	Contributing family workers	M	2109
Queensland	55-59	Employee	F	75855
Queensland	55-59	Employee	M	69524
Queensland	55-59	Owner managers of incorporated enterprises	F	5469
Queensland	55-59	Owner managers of incorporated enterprises	M	12334
Queensland	55-59	Owner managers of unincorporated enterprises	F	7298
Queensland	55-59	Owner managers of unincorporated enterprises	M	12981
Queensland	60-64		F	735
Queensland	60-64		M	890
Queensland	60-64	Contributing family workers	F	2021
Queensland	60-64	Contributing family workers	M	2086
Queensland	60-64	Employee	F	45670
Queensland	60-64	Employee	M	45524
Queensland	60-64	Owner managers of incorporated enterprises	F	3813
Queensland	60-64	Owner managers of incorporated enterprises	M	9050
Queensland	60-64	Owner managers of unincorporated enterprises	F	5503
Queensland	60-64	Owner managers of unincorporated enterprises	M	11038
Queensland	65-69		F	441
Queensland	65-69		M	563
Queensland	65-69	Contributing family workers	F	1612
Queensland	65-69	Contributing family workers	M	2059
Queensland	65-69	Employee	F	16071
Queensland	65-69	Employee	M	17720
Queensland	65-69	Owner managers of incorporated enterprises	F	2140
Queensland	65-69	Owner managers of incorporated enterprises	M	5365
Queensland	65-69	Owner managers of unincorporated enterprises	F	3025
Queensland	65-69	Owner managers of unincorporated enterprises	M	6771
Queensland	70-74		F	287
Queensland	70-74		M	326
Queensland	70-74	Contributing family workers	F	990
Queensland	70-74	Contributing family workers	M	1493
Queensland	70-74	Employee	F	3985
Queensland	70-74	Employee	M	5112
Queensland	70-74	Owner managers of incorporated enterprises	F	850
Queensland	70-74	Owner managers of incorporated enterprises	M	2263
Queensland	70-74	Owner managers of unincorporated enterprises	F	1307
Queensland	70-74	Owner managers of unincorporated enterprises	M	3023
Queensland	75+		F	373
Queensland	75+		M	406
Queensland	75+	Contributing family workers	F	706
Queensland	75+	Contributing family workers	M	1425
Queensland	75+	Employee	F	1172
Queensland	75+	Employee	M	1992
Queensland	75+	Owner managers of incorporated enterprises	F	343
Queensland	75+	Owner managers of incorporated enterprises	M	1112
Queensland	75+	Owner managers of unincorporated enterprises	F	700
Queensland	75+	Owner managers of unincorporated enterprises	M	1750
South Australia	15-19		F	239
South Australia	15-19		M	218
South Australia	15-19	Contributing family workers	F	111
South Australia	15-19	Contributing family workers	M	207
South Australia	15-19	Employee	F	19414
South Australia	15-19	Employee	M	16352
South Australia	15-19	Owner managers of incorporated enterprises	F	46
South Australia	15-19	Owner managers of incorporated enterprises	M	51
South Australia	15-19	Owner managers of unincorporated enterprises	F	128
South Australia	15-19	Owner managers of unincorporated enterprises	M	199
South Australia	20-24		F	274
South Australia	20-24		M	347
South Australia	20-24	Contributing family workers	F	134
South Australia	20-24	Contributing family workers	M	217
South Australia	20-24	Employee	F	32035
South Australia	20-24	Employee	M	32452
South Australia	20-24	Owner managers of incorporated enterprises	F	100
South Australia	20-24	Owner managers of incorporated enterprises	M	361
South Australia	20-24	Owner managers of unincorporated enterprises	F	532
South Australia	20-24	Owner managers of unincorporated enterprises	M	1235
South Australia	25-29		F	259
South Australia	25-29		M	374
South Australia	25-29	Contributing family workers	F	226
South Australia	25-29	Contributing family workers	M	229
South Australia	25-29	Employee	F	34068
South Australia	25-29	Employee	M	35071
South Australia	25-29	Owner managers of incorporated enterprises	F	424
South Australia	25-29	Owner managers of incorporated enterprises	M	1208
South Australia	25-29	Owner managers of unincorporated enterprises	F	1156
South Australia	25-29	Owner managers of unincorporated enterprises	M	2668
South Australia	30-34		F	223
South Australia	30-34		M	367
South Australia	30-34	Contributing family workers	F	472
South Australia	30-34	Contributing family workers	M	303
South Australia	30-34	Employee	F	34439
South Australia	30-34	Employee	M	36225
South Australia	30-34	Owner managers of incorporated enterprises	F	820
South Australia	30-34	Owner managers of incorporated enterprises	M	2321
South Australia	30-34	Owner managers of unincorporated enterprises	F	1871
South Australia	30-34	Owner managers of unincorporated enterprises	M	3446
South Australia	35-39		F	281
South Australia	35-39		M	347
South Australia	35-39	Contributing family workers	F	540
South Australia	35-39	Contributing family workers	M	407
South Australia	35-39	Employee	F	31100
South Australia	35-39	Employee	M	32332
South Australia	35-39	Owner managers of incorporated enterprises	F	1196
South Australia	35-39	Owner managers of incorporated enterprises	M	3083
South Australia	35-39	Owner managers of unincorporated enterprises	F	2235
South Australia	35-39	Owner managers of unincorporated enterprises	M	3795
South Australia	40-44		F	290
South Australia	40-44		M	421
South Australia	40-44	Contributing family workers	F	649
South Australia	40-44	Contributing family workers	M	540
South Australia	40-44	Employee	F	33421
South Australia	40-44	Employee	M	32420
South Australia	40-44	Owner managers of incorporated enterprises	F	1605
South Australia	40-44	Owner managers of incorporated enterprises	M	3686
South Australia	40-44	Owner managers of unincorporated enterprises	F	2733
South Australia	40-44	Owner managers of unincorporated enterprises	M	4397
South Australia	45-49		F	337
South Australia	45-49		M	515
South Australia	45-49	Contributing family workers	F	691
South Australia	45-49	Contributing family workers	M	616
South Australia	45-49	Employee	F	36219
South Australia	45-49	Employee	M	32319
South Australia	45-49	Owner managers of incorporated enterprises	F	1815
South Australia	45-49	Owner managers of incorporated enterprises	M	4327
South Australia	45-49	Owner managers of unincorporated enterprises	F	3056
South Australia	45-49	Owner managers of unincorporated enterprises	M	5347
South Australia	50-54		F	365
South Australia	50-54		M	437
South Australia	50-54	Contributing family workers	F	712
South Australia	50-54	Contributing family workers	M	733
South Australia	50-54	Employee	F	35008
South Australia	50-54	Employee	M	30395
South Australia	50-54	Owner managers of incorporated enterprises	F	1662
South Australia	50-54	Owner managers of incorporated enterprises	M	4240
South Australia	50-54	Owner managers of unincorporated enterprises	F	3011
South Australia	50-54	Owner managers of unincorporated enterprises	M	5749
South Australia	55-59		F	325
South Australia	55-59		M	445
South Australia	55-59	Contributing family workers	F	724
South Australia	55-59	Contributing family workers	M	739
South Australia	55-59	Employee	F	30749
South Australia	55-59	Employee	M	26862
South Australia	55-59	Owner managers of incorporated enterprises	F	1574
South Australia	55-59	Owner managers of incorporated enterprises	M	3810
South Australia	55-59	Owner managers of unincorporated enterprises	F	2850
South Australia	55-59	Owner managers of unincorporated enterprises	M	5859
South Australia	60-64		F	304
South Australia	60-64		M	405
South Australia	60-64	Contributing family workers	F	696
South Australia	60-64	Contributing family workers	M	800
South Australia	60-64	Employee	F	19501
South Australia	60-64	Employee	M	17989
South Australia	60-64	Owner managers of incorporated enterprises	F	1130
South Australia	60-64	Owner managers of incorporated enterprises	M	2983
South Australia	60-64	Owner managers of unincorporated enterprises	F	2182
South Australia	60-64	Owner managers of unincorporated enterprises	M	4889
South Australia	65-69		F	159
South Australia	65-69		M	217
South Australia	65-69	Contributing family workers	F	600
South Australia	65-69	Contributing family workers	M	813
South Australia	65-69	Employee	F	6642
South Australia	65-69	Employee	M	6636
South Australia	65-69	Owner managers of incorporated enterprises	F	715
South Australia	65-69	Owner managers of incorporated enterprises	M	1929
South Australia	65-69	Owner managers of unincorporated enterprises	F	1367
South Australia	65-69	Owner managers of unincorporated enterprises	M	3140
South Australia	70-74		F	110
South Australia	70-74		M	133
South Australia	70-74	Contributing family workers	F	369
South Australia	70-74	Contributing family workers	M	587
South Australia	70-74	Employee	F	1550
South Australia	70-74	Employee	M	1873
South Australia	70-74	Owner managers of incorporated enterprises	F	311
South Australia	70-74	Owner managers of incorporated enterprises	M	784
South Australia	70-74	Owner managers of unincorporated enterprises	F	604
South Australia	70-74	Owner managers of unincorporated enterprises	M	1410
South Australia	75+		F	161
South Australia	75+		M	159
South Australia	75+	Contributing family workers	F	290
South Australia	75+	Contributing family workers	M	603
South Australia	75+	Employee	F	531
South Australia	75+	Employee	M	817
South Australia	75+	Owner managers of incorporated enterprises	F	128
South Australia	75+	Owner managers of incorporated enterprises	M	452
South Australia	75+	Owner managers of unincorporated enterprises	F	306
South Australia	75+	Owner managers of unincorporated enterprises	M	776
Western Australia	15-19		F	291
Western Australia	15-19		M	300
Western Australia	15-19	Contributing family workers	F	163
Western Australia	15-19	Contributing family workers	M	315
Western Australia	15-19	Employee	F	29757
Western Australia	15-19	Employee	M	26666
Western Australia	15-19	Owner managers of incorporated enterprises	F	56
Western Australia	15-19	Owner managers of incorporated enterprises	M	76
Western Australia	15-19	Owner managers of unincorporated enterprises	F	201
Western Australia	15-19	Owner managers of unincorporated enterprises	M	300
Western Australia	20-24		F	349
Western Australia	20-24		M	481
Western Australia	20-24	Contributing family workers	F	168
Western Australia	20-24	Contributing family workers	M	297
Western Australia	20-24	Employee	F	49536
Western Australia	20-24	Employee	M	51383
Western Australia	20-24	Owner managers of incorporated enterprises	F	206
Western Australia	20-24	Owner managers of incorporated enterprises	M	554
Western Australia	20-24	Owner managers of unincorporated enterprises	F	846
Western Australia	20-24	Owner managers of unincorporated enterprises	M	1875
Western Australia	25-29		F	341
Western Australia	25-29		M	508
Western Australia	25-29	Contributing family workers	F	378
Western Australia	25-29	Contributing family workers	M	303
Western Australia	25-29	Employee	F	57859
Western Australia	25-29	Employee	M	63606
Western Australia	25-29	Owner managers of incorporated enterprises	F	771
Western Australia	25-29	Owner managers of incorporated enterprises	M	2129
Western Australia	25-29	Owner managers of unincorporated enterprises	F	2148
Western Australia	25-29	Owner managers of unincorporated enterprises	M	4062
Western Australia	30-34		F	319
Western Australia	30-34		M	555
Western Australia	30-34	Contributing family workers	F	875
Western Australia	30-34	Contributing family workers	M	465
Western Australia	30-34	Employee	F	55837
Western Australia	30-34	Employee	M	67845
Western Australia	30-34	Owner managers of incorporated enterprises	F	1688
Western Australia	30-34	Owner managers of incorporated enterprises	M	4321
Western Australia	30-34	Owner managers of unincorporated enterprises	F	3338
Western Australia	30-34	Owner managers of unincorporated enterprises	M	5444
Western Australia	35-39		F	357
Western Australia	35-39		M	530
Western Australia	35-39	Contributing family workers	F	957
Western Australia	35-39	Contributing family workers	M	511
Western Australia	35-39	Employee	F	48222
Western Australia	35-39	Employee	M	58495
Western Australia	35-39	Owner managers of incorporated enterprises	F	2375
Western Australia	35-39	Owner managers of incorporated enterprises	M	5422
Western Australia	35-39	Owner managers of unincorporated enterprises	F	3856
Western Australia	35-39	Owner managers of unincorporated enterprises	M	5590
Western Australia	40-44		F	375
Western Australia	40-44		M	527
Western Australia	40-44	Contributing family workers	F	1085
Western Australia	40-44	Contributing family workers	M	669
Western Australia	40-44	Employee	F	50344
Western Australia	40-44	Employee	M	55548
Western Australia	40-44	Owner managers of incorporated enterprises	F	2980
Western Australia	40-44	Owner managers of incorporated enterprises	M	6464
Western Australia	40-44	Owner managers of unincorporated enterprises	F	4512
Western Australia	40-44	Owner managers of unincorporated enterprises	M	6385
Western Australia	45-49		F	434
Western Australia	45-49		M	641
Western Australia	45-49	Contributing family workers	F	1105
Western Australia	45-49	Contributing family workers	M	856
Western Australia	45-49	Employee	F	52546
Western Australia	45-49	Employee	M	53268
Western Australia	45-49	Owner managers of incorporated enterprises	F	3244
Western Australia	45-49	Owner managers of incorporated enterprises	M	7357
Western Australia	45-49	Owner managers of unincorporated enterprises	F	4701
Western Australia	45-49	Owner managers of unincorporated enterprises	M	7378
Western Australia	50-54		F	428
Western Australia	50-54		M	617
Western Australia	50-54	Contributing family workers	F	1123
Western Australia	50-54	Contributing family workers	M	876
Western Australia	50-54	Employee	F	48263
Western Australia	50-54	Employee	M	47651
Western Australia	50-54	Owner managers of incorporated enterprises	F	2989
Western Australia	50-54	Owner managers of incorporated enterprises	M	7083
Western Australia	50-54	Owner managers of unincorporated enterprises	F	4291
Western Australia	50-54	Owner managers of unincorporated enterprises	M	7805
Western Australia	55-59		F	433
Western Australia	55-59		M	551
Western Australia	55-59	Contributing family workers	F	992
Western Australia	55-59	Contributing family workers	M	997
Western Australia	55-59	Employee	F	40742
Western Australia	55-59	Employee	M	39293
Western Australia	55-59	Owner managers of incorporated enterprises	F	2502
Western Australia	55-59	Owner managers of incorporated enterprises	M	6217
Western Australia	55-59	Owner managers of unincorporated enterprises	F	3691
Western Australia	55-59	Owner managers of unincorporated enterprises	M	7380
Western Australia	60-64		F	358
Western Australia	60-64		M	470
Western Australia	60-64	Contributing family workers	F	924
Western Australia	60-64	Contributing family workers	M	1028
Western Australia	60-64	Employee	F	26094
Western Australia	60-64	Employee	M	26324
Western Australia	60-64	Owner managers of incorporated enterprises	F	1779
Western Australia	60-64	Owner managers of incorporated enterprises	M	4606
