STE_NAME16	Age	ModeTravelToWork	NumberModes	Sex	workers
New South Wales	35-44	Train and ferry	2	M	252
New South Wales	35-44	Train and other	2	F	245
New South Wales	35-44	Train and other	2	M	717
New South Wales	35-44	Train and tram includes light rail	2	F	140
New South Wales	35-44	Train and tram includes light rail	2	M	195
New South Wales	35-44	Train and two other methods	3	F	1367
New South Wales	35-44	Train and two other methods	3	M	1920
New South Wales	35-44	Tram includes light rail	1	F	357
New South Wales	35-44	Tram includes light rail	1	M	384
New South Wales	35-44	Truck	1	F	121
New South Wales	35-44	Truck	1	M	6955
New South Wales	35-44	Walked only	1	F	11814
New South Wales	35-44	Walked only	1	M	12342
New South Wales	35-44	Worked at home		F	25559
New South Wales	35-44	Worked at home		M	13447
New South Wales	45-54	Bicycle	1	F	1135
New South Wales	45-54	Bicycle	1	M	4253
New South Wales	45-54	Bus	1	F	11250
New South Wales	45-54	Bus	1	M	9747
New South Wales	45-54	Bus and car as driver	2	F	682
New South Wales	45-54	Bus and car as driver	2	M	609
New South Wales	45-54	Bus and car as passenger	2	F	355
New South Wales	45-54	Bus and car as passenger	2	M	120
New South Wales	45-54	Bus and ferry	2	F	118
New South Wales	45-54	Bus and ferry	2	M	176
New South Wales	45-54	Bus and other	2	F	123
New South Wales	45-54	Bus and other	2	M	140
New South Wales	45-54	Bus and tram includes light rail	2	F	28
New South Wales	45-54	Bus and tram includes light rail	2	M	23
New South Wales	45-54	Bus and two other methods excludes train	3	F	98
New South Wales	45-54	Bus and two other methods excludes train	3	M	120
New South Wales	45-54	Car as driver	1	F	219524
New South Wales	45-54	Car as driver	1	M	246700
New South Wales	45-54	Car as passenger	1	F	14177
New South Wales	45-54	Car as passenger	1	M	6770
New South Wales	45-54	Did not go to work		F	27762
New South Wales	45-54	Did not go to work		M	17814
New South Wales	45-54	Ferry	1	F	571
New South Wales	45-54	Ferry	1	M	969
New South Wales	45-54	Method of travel not stated		F	2864
New South Wales	45-54	Method of travel not stated		M	3251
New South Wales	45-54	Motorbike scooter	1	F	450
New South Wales	45-54	Motorbike scooter	1	M	3962
New South Wales	45-54	(Other)	1	F	1477
New South Wales	45-54	(Other)	1	M	2713
New South Wales	45-54	Other three methods	3	F	61
New South Wales	45-54	Other three methods	3	M	169
New South Wales	45-54	Other two methods	2	F	1486
New South Wales	45-54	Other two methods	2	M	2603
New South Wales	45-54	Taxi	1	F	557
New South Wales	45-54	Taxi	1	M	964
New South Wales	45-54	Train	1	F	17669
New South Wales	45-54	Train	1	M	19760
New South Wales	45-54	Train and bus	2	F	4281
New South Wales	45-54	Train and bus	2	M	4172
New South Wales	45-54	Train and car as driver	2	F	3159
New South Wales	45-54	Train and car as driver	2	M	4301
New South Wales	45-54	Train and car as passenger	2	F	1027
New South Wales	45-54	Train and car as passenger	2	M	553
New South Wales	45-54	Train and ferry	2	F	106
New South Wales	45-54	Train and ferry	2	M	145
New South Wales	45-54	Train and other	2	F	202
New South Wales	45-54	Train and other	2	M	482
New South Wales	45-54	Train and tram includes light rail	2	F	76
New South Wales	45-54	Train and tram includes light rail	2	M	89
New South Wales	45-54	Train and two other methods	3	F	1172
New South Wales	45-54	Train and two other methods	3	M	1205
New South Wales	45-54	Tram includes light rail	1	F	211
New South Wales	45-54	Tram includes light rail	1	M	236
New South Wales	45-54	Truck	1	F	199
New South Wales	45-54	Truck	1	M	8436
New South Wales	45-54	Walked only	1	F	11670
New South Wales	45-54	Walked only	1	M	10423
New South Wales	45-54	Worked at home		F	23599
New South Wales	45-54	Worked at home		M	16691
New South Wales	55-64	Bicycle	1	F	498
New South Wales	55-64	Bicycle	1	M	2125
New South Wales	55-64	Bus	1	F	6941
New South Wales	55-64	Bus	1	M	5399
New South Wales	55-64	Bus and car as driver	2	F	294
New South Wales	55-64	Bus and car as driver	2	M	335
New South Wales	55-64	Bus and car as passenger	2	F	252
New South Wales	55-64	Bus and car as passenger	2	M	87
New South Wales	55-64	Bus and ferry	2	F	67
New South Wales	55-64	Bus and ferry	2	M	93
New South Wales	55-64	Bus and other	2	F	80
New South Wales	55-64	Bus and other	2	M	77
New South Wales	55-64	Bus and tram includes light rail	2	F	18
New South Wales	55-64	Bus and tram includes light rail	2	M	16
New South Wales	55-64	Bus and two other methods excludes train	3	F	59
New South Wales	55-64	Bus and two other methods excludes train	3	M	47
New South Wales	55-64	Car as driver	1	F	141395
New South Wales	55-64	Car as driver	1	M	176506
New South Wales	55-64	Car as passenger	1	F	11623
New South Wales	55-64	Car as passenger	1	M	4536
New South Wales	55-64	Did not go to work		F	26237
New South Wales	55-64	Did not go to work		M	18424
New South Wales	55-64	Ferry	1	F	245
New South Wales	55-64	Ferry	1	M	484
New South Wales	55-64	Method of travel not stated		F	2200
New South Wales	55-64	Method of travel not stated		M	2449
New South Wales	55-64	Motorbike scooter	1	F	214
New South Wales	55-64	Motorbike scooter	1	M	2543
New South Wales	55-64	(Other)	1	F	1108
New South Wales	55-64	(Other)	1	M	2213
New South Wales	55-64	Other three methods	3	F	33
New South Wales	55-64	Other three methods	3	M	98
New South Wales	55-64	Other two methods	2	F	858
New South Wales	55-64	Other two methods	2	M	1582
New South Wales	55-64	Taxi	1	F	347
New South Wales	55-64	Taxi	1	M	624
New South Wales	55-64	Train	1	F	9719
New South Wales	55-64	Train	1	M	11236
New South Wales	55-64	Train and bus	2	F	2908
New South Wales	55-64	Train and bus	2	M	2599
New South Wales	55-64	Train and car as driver	2	F	1681
New South Wales	55-64	Train and car as driver	2	M	2464
New South Wales	55-64	Train and car as passenger	2	F	765
New South Wales	55-64	Train and car as passenger	2	M	347
New South Wales	55-64	Train and ferry	2	F	71
New South Wales	55-64	Train and ferry	2	M	107
New South Wales	55-64	Train and other	2	F	112
New South Wales	55-64	Train and other	2	M	248
New South Wales	55-64	Train and tram includes light rail	2	F	61
New South Wales	55-64	Train and tram includes light rail	2	M	56
New South Wales	55-64	Train and two other methods	3	F	784
New South Wales	55-64	Train and two other methods	3	M	764
New South Wales	55-64	Tram includes light rail	1	F	96
New South Wales	55-64	Tram includes light rail	1	M	117
New South Wales	55-64	Truck	1	F	171
New South Wales	55-64	Truck	1	M	6976
New South Wales	55-64	Walked only	1	F	9071
New South Wales	55-64	Walked only	1	M	8611
New South Wales	55-64	Worked at home		F	17664
New South Wales	55-64	Worked at home		M	16854
New South Wales	65-74	Bicycle	1	F	46
New South Wales	65-74	Bicycle	1	M	258
New South Wales	65-74	Bus	1	F	1549
New South Wales	65-74	Bus	1	M	1307
New South Wales	65-74	Bus and car as driver	2	F	61
New South Wales	65-74	Bus and car as driver	2	M	71
New South Wales	65-74	Bus and car as passenger	2	F	38
New South Wales	65-74	Bus and car as passenger	2	M	14
New South Wales	65-74	Bus and ferry	2	F	22
New South Wales	65-74	Bus and ferry	2	M	35
New South Wales	65-74	Bus and other	2	F	21
New South Wales	65-74	Bus and other	2	M	10
New South Wales	65-74	Bus and tram includes light rail	2	M	3
New South Wales	65-74	Bus and two other methods excludes train	3	F	5
New South Wales	65-74	Bus and two other methods excludes train	3	M	17
New South Wales	65-74	Car as driver	1	F	24064
New South Wales	65-74	Car as driver	1	M	41886
New South Wales	65-74	Car as passenger	1	F	2644
New South Wales	65-74	Car as passenger	1	M	1155
New South Wales	65-74	Did not go to work		F	7782
New South Wales	65-74	Did not go to work		M	7399
New South Wales	65-74	Ferry	1	F	64
New South Wales	65-74	Ferry	1	M	143
New South Wales	65-74	Method of travel not stated		F	1067
New South Wales	65-74	Method of travel not stated		M	1122
New South Wales	65-74	Motorbike scooter	1	F	33
New South Wales	65-74	Motorbike scooter	1	M	391
New South Wales	65-74	(Other)	1	F	418
New South Wales	65-74	(Other)	1	M	925
New South Wales	65-74	Other three methods	3	F	11
New South Wales	65-74	Other three methods	3	M	37
New South Wales	65-74	Other two methods	2	F	143
New South Wales	65-74	Other two methods	2	M	396
New South Wales	65-74	Taxi	1	F	92
New South Wales	65-74	Taxi	1	M	210
New South Wales	65-74	Train	1	F	1481
New South Wales	65-74	Train	1	M	2274
New South Wales	65-74	Train and bus	2	F	648
New South Wales	65-74	Train and bus	2	M	741
New South Wales	65-74	Train and car as driver	2	F	234
New South Wales	65-74	Train and car as driver	2	M	480
New South Wales	65-74	Train and car as passenger	2	F	110
New South Wales	65-74	Train and car as passenger	2	M	59
New South Wales	65-74	Train and ferry	2	F	18
New South Wales	65-74	Train and ferry	2	M	35
New South Wales	65-74	Train and other	2	F	11
New South Wales	65-74	Train and other	2	M	38
New South Wales	65-74	Train and tram includes light rail	2	F	4
New South Wales	65-74	Train and tram includes light rail	2	M	14
New South Wales	65-74	Train and two other methods	3	F	142
New South Wales	65-74	Train and two other methods	3	M	173
New South Wales	65-74	Tram includes light rail	1	F	18
New South Wales	65-74	Tram includes light rail	1	M	19
New South Wales	65-74	Truck	1	F	99
New South Wales	65-74	Truck	1	M	2367
New South Wales	65-74	Walked only	1	F	2220
New South Wales	65-74	Walked only	1	M	3049
New South Wales	65-74	Worked at home		F	8407
New South Wales	65-74	Worked at home		M	10975
New South Wales	75+	Bicycle	1	F	8
New South Wales	75+	Bicycle	1	M	29
New South Wales	75+	Bus	1	F	109
New South Wales	75+	Bus	1	M	154
New South Wales	75+	Bus and car as driver	2	F	4
New South Wales	75+	Bus and car as driver	2	M	9
New South Wales	75+	Bus and car as passenger	2	F	7
New South Wales	75+	Bus and ferry	2	M	8
New South Wales	75+	Bus and other	2	F	4
New South Wales	75+	Bus and two other methods excludes train	3	F	3
New South Wales	75+	Car as driver	1	F	1749
New South Wales	75+	Car as driver	1	M	4798
New South Wales	75+	Car as passenger	1	F	306
New South Wales	75+	Car as passenger	1	M	244
New South Wales	75+	Did not go to work		F	819
New South Wales	75+	Did not go to work		M	1320
New South Wales	75+	Ferry	1	M	23
New South Wales	75+	Method of travel not stated		F	654
New South Wales	75+	Method of travel not stated		M	646
New South Wales	75+	Motorbike scooter	1	F	16
New South Wales	75+	Motorbike scooter	1	M	62
New South Wales	75+	(Other)	1	F	84
New South Wales	75+	(Other)	1	M	220
New South Wales	75+	Other three methods	3	M	3
New South Wales	75+	Other two methods	2	F	22
New South Wales	75+	Other two methods	2	M	80
New South Wales	75+	Taxi	1	F	12
New South Wales	75+	Taxi	1	M	41
New South Wales	75+	Train	1	F	114
New South Wales	75+	Train	1	M	220
New South Wales	75+	Train and bus	2	F	47
New South Wales	75+	Train and bus	2	M	74
New South Wales	75+	Train and car as driver	2	F	7
New South Wales	75+	Train and car as driver	2	M	33
New South Wales	75+	Train and car as passenger	2	F	7
New South Wales	75+	Train and car as passenger	2	M	9
New South Wales	75+	Train and ferry	2	F	3
New South Wales	75+	Train and other	2	F	4
New South Wales	75+	Train and other	2	M	3
New South Wales	75+	Train and tram includes light rail	2	F	3
New South Wales	75+	Train and tram includes light rail	2	M	4
New South Wales	75+	Train and two other methods	3	F	8
New South Wales	75+	Train and two other methods	3	M	23
New South Wales	75+	Tram includes light rail	1	F	3
New South Wales	75+	Truck	1	F	38
New South Wales	75+	Truck	1	M	415
New South Wales	75+	Walked only	1	F	311
New South Wales	75+	Walked only	1	M	699
New South Wales	75+	Worked at home		F	1873
New South Wales	75+	Worked at home		M	3555
Victoria	15-24	Bicycle	1	F	1128
Victoria	15-24	Bicycle	1	M	2575
Victoria	15-24	Bus	1	F	4738
Victoria	15-24	Bus	1	M	3802
Victoria	15-24	Bus and car as driver	2	F	167
Victoria	15-24	Bus and car as driver	2	M	127
Victoria	15-24	Bus and car as passenger	2	F	733
Victoria	15-24	Bus and car as passenger	2	M	472
Victoria	15-24	Bus and ferry	2	F	3
Victoria	15-24	Bus and other	2	F	54
Victoria	15-24	Bus and other	2	M	65
Victoria	15-24	Bus and tram includes light rail	2	F	324
Victoria	15-24	Bus and tram includes light rail	2	M	208
Victoria	15-24	Bus and two other methods excludes train	3	F	105
Victoria	15-24	Bus and two other methods excludes train	3	M	90
Victoria	15-24	Car as driver	1	F	83866
Victoria	15-24	Car as driver	1	M	96484
Victoria	15-24	Car as passenger	1	F	24843
Victoria	15-24	Car as passenger	1	M	23558
Victoria	15-24	Did not go to work		F	35779
Victoria	15-24	Did not go to work		M	24256
Victoria	15-24	Ferry	1	F	26
Victoria	15-24	Ferry	1	M	71
Victoria	15-24	Method of travel not stated		F	2364
Victoria	15-24	Method of travel not stated		M	2801
Victoria	15-24	Motorbike scooter	1	F	117
Victoria	15-24	Motorbike scooter	1	M	952
Victoria	15-24	(Other)	1	F	405
Victoria	15-24	(Other)	1	M	819
Victoria	15-24	Other three methods	3	F	51
Victoria	15-24	Other three methods	3	M	78
Victoria	15-24	Other two methods	2	F	1226
Victoria	15-24	Other two methods	2	M	1782
Victoria	15-24	Taxi	1	F	246
Victoria	15-24	Taxi	1	M	252
Victoria	15-24	Train	1	F	10470
Victoria	15-24	Train	1	M	10063
Victoria	15-24	Train and bus	2	F	2055
Victoria	15-24	Train and bus	2	M	1950
Victoria	15-24	Train and car as driver	2	F	1400
Victoria	15-24	Train and car as driver	2	M	1364
Victoria	15-24	Train and car as passenger	2	F	717
Victoria	15-24	Train and car as passenger	2	M	513
Victoria	15-24	Train and ferry	2	M	3
Victoria	15-24	Train and other	2	F	123
Victoria	15-24	Train and other	2	M	213
Victoria	15-24	Train and tram includes light rail	2	F	1410
Victoria	15-24	Train and tram includes light rail	2	M	1183
Victoria	15-24	Train and two other methods	3	F	1779
Victoria	15-24	Train and two other methods	3	M	1498
Victoria	15-24	Tram includes light rail	1	F	5222
Victoria	15-24	Tram includes light rail	1	M	3417
Victoria	15-24	Truck	1	F	32
Victoria	15-24	Truck	1	M	685
Victoria	15-24	Walked only	1	F	9319
Victoria	15-24	Walked only	1	M	9190
Victoria	15-24	Worked at home		F	1695
Victoria	15-24	Worked at home		M	1783
Victoria	25-34	Bicycle	1	F	3740
Victoria	25-34	Bicycle	1	M	6839
Victoria	25-34	Bus	1	F	4167
Victoria	25-34	Bus	1	M	3208
Victoria	25-34	Bus and car as driver	2	F	188
Victoria	25-34	Bus and car as driver	2	M	207
Victoria	25-34	Bus and car as passenger	2	F	215
Victoria	25-34	Bus and car as passenger	2	M	82
Victoria	25-34	Bus and other	2	F	80
Victoria	25-34	Bus and other	2	M	82
Victoria	25-34	Bus and tram includes light rail	2	F	578
Victoria	25-34	Bus and tram includes light rail	2	M	354
Victoria	25-34	Bus and two other methods excludes train	3	F	110
Victoria	25-34	Bus and two other methods excludes train	3	M	90
Victoria	25-34	Car as driver	1	F	161906
Victoria	25-34	Car as driver	1	M	219939
Victoria	25-34	Car as passenger	1	F	12184
Victoria	25-34	Car as passenger	1	M	9437
Victoria	25-34	Did not go to work		F	38638
Victoria	25-34	Did not go to work		M	16851
Victoria	25-34	Ferry	1	F	47
Victoria	25-34	Ferry	1	M	147
Victoria	25-34	Method of travel not stated		F	2289
Victoria	25-34	Method of travel not stated		M	3109
Victoria	25-34	Motorbike scooter	1	F	264
Victoria	25-34	Motorbike scooter	1	M	2229
Victoria	25-34	(Other)	1	F	1003
Victoria	25-34	(Other)	1	M	1854
Victoria	25-34	Other three methods	3	F	104
Victoria	25-34	Other three methods	3	M	183
Victoria	25-34	Other two methods	2	F	1875
Victoria	25-34	Other two methods	2	M	2966
Victoria	25-34	Taxi	1	F	516
Victoria	25-34	Taxi	1	M	991
Victoria	25-34	Train	1	F	28051
Victoria	25-34	Train	1	M	27319
Victoria	25-34	Train and bus	2	F	3460
Victoria	25-34	Train and bus	2	M	3379
Victoria	25-34	Train and car as driver	2	F	3317
Victoria	25-34	Train and car as driver	2	M	4309
Victoria	25-34	Train and car as passenger	2	F	1390
Victoria	25-34	Train and car as passenger	2	M	683
Victoria	25-34	Train and ferry	2	F	3
Victoria	25-34	Train and ferry	2	M	6
Victoria	25-34	Train and other	2	F	348
Victoria	25-34	Train and other	2	M	674
Victoria	25-34	Train and tram includes light rail	2	F	3675
Victoria	25-34	Train and tram includes light rail	2	M	3232
Victoria	25-34	Train and two other methods	3	F	3411
Victoria	25-34	Train and two other methods	3	M	3051
Victoria	25-34	Tram includes light rail	1	F	12483
Victoria	25-34	Tram includes light rail	1	M	10382
Victoria	25-34	Truck	1	F	51
Victoria	25-34	Truck	1	M	2656
Victoria	25-34	Walked only	1	F	12763
Victoria	25-34	Walked only	1	M	12809
Victoria	25-34	Worked at home		F	10672
Victoria	25-34	Worked at home		M	6081
Victoria	35-44	Bicycle	1	F	2308
Victoria	35-44	Bicycle	1	M	6825
Victoria	35-44	Bus	1	F	2228
Victoria	35-44	Bus	1	M	2278
Victoria	35-44	Bus and car as driver	2	F	139
Victoria	35-44	Bus and car as driver	2	M	196
Victoria	35-44	Bus and car as passenger	2	F	116
Victoria	35-44	Bus and car as passenger	2	M	71
Victoria	35-44	Bus and other	2	F	33
Victoria	35-44	Bus and other	2	M	56
Victoria	35-44	Bus and tram includes light rail	2	F	302
Victoria	35-44	Bus and tram includes light rail	2	M	233
Victoria	35-44	Bus and two other methods excludes train	3	F	69
Victoria	35-44	Bus and two other methods excludes train	3	M	72
Victoria	35-44	Car as driver	1	F	172261
Victoria	35-44	Car as driver	1	M	218662
Victoria	35-44	Car as passenger	1	F	7816
Victoria	35-44	Car as passenger	1	M	5514
Victoria	35-44	Did not go to work		F	33453
Victoria	35-44	Did not go to work		M	14706
Victoria	35-44	Ferry	1	F	31
Victoria	35-44	Ferry	1	M	81
Victoria	35-44	Method of travel not stated		F	2014
Victoria	35-44	Method of travel not stated		M	2489
Victoria	35-44	Motorbike scooter	1	F	274
Victoria	35-44	Motorbike scooter	1	M	2137
Victoria	35-44	(Other)	1	F	1086
Victoria	35-44	(Other)	1	M	1996
Victoria	35-44	Other three methods	3	F	76
Victoria	35-44	Other three methods	3	M	127
Victoria	35-44	Other two methods	2	F	1443
Victoria	35-44	Other two methods	2	M	2307
Victoria	35-44	Taxi	1	F	352
Victoria	35-44	Taxi	1	M	789
Victoria	35-44	Train	1	F	17023
Victoria	35-44	Train	1	M	23087
Victoria	35-44	Train and bus	2	F	1828
Victoria	35-44	Train and bus	2	M	2909
Victoria	35-44	Train and car as driver	2	F	3381
Victoria	35-44	Train and car as driver	2	M	4966
Victoria	35-44	Train and car as passenger	2	F	774
Victoria	35-44	Train and car as passenger	2	M	441
Victoria	35-44	Train and ferry	2	M	4
Victoria	35-44	Train and other	2	F	263
Victoria	35-44	Train and other	2	M	666
Victoria	35-44	Train and tram includes light rail	2	F	1511
Victoria	35-44	Train and tram includes light rail	2	M	1894
Victoria	35-44	Train and two other methods	3	F	1997
Victoria	35-44	Train and two other methods	3	M	2519
Victoria	35-44	Tram includes light rail	1	F	4942
Victoria	35-44	Tram includes light rail	1	M	4800
Victoria	35-44	Truck	1	F	50
Victoria	35-44	Truck	1	M	3441
Victoria	35-44	Walked only	1	F	6739
Victoria	35-44	Walked only	1	M	7467
Victoria	35-44	Worked at home		F	19889
Victoria	35-44	Worked at home		M	10992
Victoria	45-54	Bicycle	1	F	1678
Victoria	45-54	Bicycle	1	M	4987
Victoria	45-54	Bus	1	F	2210
Victoria	45-54	Bus	1	M	1760
Victoria	45-54	Bus and car as driver	2	F	203
Victoria	45-54	Bus and car as driver	2	M	169
Victoria	45-54	Bus and car as passenger	2	F	128
Victoria	45-54	Bus and car as passenger	2	M	29
Victoria	45-54	Bus and ferry	2	M	3
Victoria	45-54	Bus and other	2	F	32
Victoria	45-54	Bus and other	2	M	33
Victoria	45-54	Bus and tram includes light rail	2	F	211
Victoria	45-54	Bus and tram includes light rail	2	M	180
Victoria	45-54	Bus and two other methods excludes train	3	F	59
Victoria	45-54	Bus and two other methods excludes train	3	M	44
Victoria	45-54	Car as driver	1	F	192420
Victoria	45-54	Car as driver	1	M	214497
Victoria	45-54	Car as passenger	1	F	9153
Victoria	45-54	Car as passenger	1	M	4421
Victoria	45-54	Did not go to work		F	24810
Victoria	45-54	Did not go to work		M	13801
Victoria	45-54	Ferry	1	F	37
Victoria	45-54	Ferry	1	M	85
Victoria	45-54	Method of travel not stated		F	2317
