STE_NAME16	CountryOfBirth	EmploymentStatus	Sex	workers
New South Wales	PHL	Owner managers of incorporated enterprises	M	555
New South Wales	PHL	Owner managers of unincorporated enterprises	F	702
New South Wales	PHL	Owner managers of unincorporated enterprises	M	643
New South Wales	PHL	Status in employment not stated	F	257
New South Wales	PHL	Status in employment not stated	M	154
New South Wales	POL	Contributing family workers	F	53
New South Wales	POL	Contributing family workers	M	43
New South Wales	POL	Employee	F	3099
New South Wales	POL	Employee	M	2353
New South Wales	POL	Owner managers of incorporated enterprises	F	172
New South Wales	POL	Owner managers of incorporated enterprises	M	423
New South Wales	POL	Owner managers of unincorporated enterprises	F	306
New South Wales	POL	Owner managers of unincorporated enterprises	M	509
New South Wales	POL	Status in employment not stated	F	28
New South Wales	POL	Status in employment not stated	M	38
New South Wales	SGP	Contributing family workers	F	36
New South Wales	SGP	Contributing family workers	M	31
New South Wales	SGP	Employee	F	3037
New South Wales	SGP	Employee	M	2581
New South Wales	SGP	Owner managers of incorporated enterprises	F	149
New South Wales	SGP	Owner managers of incorporated enterprises	M	298
New South Wales	SGP	Owner managers of unincorporated enterprises	F	195
New South Wales	SGP	Owner managers of unincorporated enterprises	M	239
New South Wales	SGP	Status in employment not stated	F	23
New South Wales	SGP	Status in employment not stated	M	16
New South Wales	ZAF	Contributing family workers	F	168
New South Wales	ZAF	Contributing family workers	M	153
New South Wales	ZAF	Employee	F	11411
New South Wales	ZAF	Employee	M	11630
New South Wales	ZAF	Owner managers of incorporated enterprises	F	837
New South Wales	ZAF	Owner managers of incorporated enterprises	M	2351
New South Wales	ZAF	Owner managers of unincorporated enterprises	F	1143
New South Wales	ZAF	Owner managers of unincorporated enterprises	M	1290
New South Wales	ZAF	Status in employment not stated	F	76
New South Wales	ZAF	Status in employment not stated	M	101
New South Wales	KOR	Contributing family workers	F	390
New South Wales	KOR	Contributing family workers	M	339
New South Wales	KOR	Employee	F	10086
New South Wales	KOR	Employee	M	10172
New South Wales	KOR	Owner managers of incorporated enterprises	F	1079
New South Wales	KOR	Owner managers of incorporated enterprises	M	2369
New South Wales	KOR	Owner managers of unincorporated enterprises	F	1461
New South Wales	KOR	Owner managers of unincorporated enterprises	M	1987
New South Wales	KOR	Status in employment not stated	F	120
New South Wales	KOR	Status in employment not stated	M	139
New South Wales	LKA	Contributing family workers	F	69
New South Wales	LKA	Contributing family workers	M	66
New South Wales	LKA	Employee	F	6540
New South Wales	LKA	Employee	M	8996
New South Wales	LKA	Owner managers of incorporated enterprises	F	292
New South Wales	LKA	Owner managers of incorporated enterprises	M	667
New South Wales	LKA	Owner managers of unincorporated enterprises	F	333
New South Wales	LKA	Owner managers of unincorporated enterprises	M	430
New South Wales	LKA	Status in employment not stated	F	55
New South Wales	LKA	Status in employment not stated	M	84
New South Wales	THA	Contributing family workers	F	188
New South Wales	THA	Contributing family workers	M	78
New South Wales	THA	Employee	F	9407
New South Wales	THA	Employee	M	5375
New South Wales	THA	Owner managers of incorporated enterprises	F	403
New South Wales	THA	Owner managers of incorporated enterprises	M	264
New South Wales	THA	Owner managers of unincorporated enterprises	F	679
New South Wales	THA	Owner managers of unincorporated enterprises	M	318
New South Wales	THA	Status in employment not stated	F	127
New South Wales	THA	Status in employment not stated	M	81
New South Wales	TUR	Contributing family workers	F	48
New South Wales	TUR	Contributing family workers	M	86
New South Wales	TUR	Employee	F	1702
New South Wales	TUR	Employee	M	2393
New South Wales	TUR	Owner managers of incorporated enterprises	F	146
New South Wales	TUR	Owner managers of incorporated enterprises	M	514
New South Wales	TUR	Owner managers of unincorporated enterprises	F	182
New South Wales	TUR	Owner managers of unincorporated enterprises	M	598
New South Wales	TUR	Status in employment not stated	F	33
New South Wales	TUR	Status in employment not stated	M	62
New South Wales	GBR	Contributing family workers	F	953
New South Wales	GBR	Contributing family workers	M	1000
New South Wales	GBR	Employee	F	53662
New South Wales	GBR	Employee	M	60829
New South Wales	GBR	Owner managers of incorporated enterprises	F	3272
New South Wales	GBR	Owner managers of incorporated enterprises	M	8740
New South Wales	GBR	Owner managers of unincorporated enterprises	F	4789
New South Wales	GBR	Owner managers of unincorporated enterprises	M	7796
New South Wales	GBR	Status in employment not stated	F	455
New South Wales	GBR	Status in employment not stated	M	587
New South Wales	USA	Contributing family workers	F	141
New South Wales	USA	Contributing family workers	M	80
New South Wales	USA	Employee	F	7133
New South Wales	USA	Employee	M	6951
New South Wales	USA	Owner managers of incorporated enterprises	F	395
New South Wales	USA	Owner managers of incorporated enterprises	M	685
New South Wales	USA	Owner managers of unincorporated enterprises	F	667
New South Wales	USA	Owner managers of unincorporated enterprises	M	703
New South Wales	USA	Status in employment not stated	F	55
New South Wales	USA	Status in employment not stated	M	60
New South Wales	VNM	Contributing family workers	F	474
New South Wales	VNM	Contributing family workers	M	407
New South Wales	VNM	Employee	F	17165
New South Wales	VNM	Employee	M	17599
New South Wales	VNM	Owner managers of incorporated enterprises	F	1200
New South Wales	VNM	Owner managers of incorporated enterprises	M	2107
New South Wales	VNM	Owner managers of unincorporated enterprises	F	1716
New South Wales	VNM	Owner managers of unincorporated enterprises	M	2346
New South Wales	VNM	Status in employment not stated	F	229
New South Wales	VNM	Status in employment not stated	M	280
New South Wales	ZWE	Contributing family workers	F	19
New South Wales	ZWE	Contributing family workers	M	20
New South Wales	ZWE	Employee	F	2082
New South Wales	ZWE	Employee	M	2053
New South Wales	ZWE	Owner managers of incorporated enterprises	F	60
New South Wales	ZWE	Owner managers of incorporated enterprises	M	200
New South Wales	ZWE	Owner managers of unincorporated enterprises	F	109
New South Wales	ZWE	Owner managers of unincorporated enterprises	M	126
New South Wales	ZWE	Status in employment not stated	F	18
New South Wales	ZWE	Status in employment not stated	M	9
Victoria		Contributing family workers	F	1413
Victoria		Contributing family workers	M	1517
Victoria		Employee	F	70076
Victoria		Employee	M	79260
Victoria		Owner managers of incorporated enterprises	F	3611
Victoria		Owner managers of incorporated enterprises	M	9228
Victoria		Owner managers of unincorporated enterprises	F	5433
Victoria		Owner managers of unincorporated enterprises	M	9459
Victoria		Status in employment not stated	F	1740
Victoria		Status in employment not stated	M	2440
Victoria	AUS	Contributing family workers	F	13841
Victoria	AUS	Contributing family workers	M	13563
Victoria	AUS	Employee	F	789815
Victoria	AUS	Employee	M	743744
Victoria	AUS	Owner managers of incorporated enterprises	F	34954
Victoria	AUS	Owner managers of incorporated enterprises	M	95872
Victoria	AUS	Owner managers of unincorporated enterprises	F	50477
Victoria	AUS	Owner managers of unincorporated enterprises	M	90058
Victoria	AUS	Status in employment not stated	F	7415
Victoria	AUS	Status in employment not stated	M	10328
Victoria	CAN	Contributing family workers	F	45
Victoria	CAN	Contributing family workers	M	18
Victoria	CAN	Employee	F	2838
Victoria	CAN	Employee	M	2311
Victoria	CAN	Owner managers of incorporated enterprises	F	123
Victoria	CAN	Owner managers of incorporated enterprises	M	252
Victoria	CAN	Owner managers of unincorporated enterprises	F	197
Victoria	CAN	Owner managers of unincorporated enterprises	M	215
Victoria	CAN	Status in employment not stated	F	26
Victoria	CAN	Status in employment not stated	M	9
Victoria	CHN	Contributing family workers	F	1704
Victoria	CHN	Contributing family workers	M	1534
Victoria	CHN	Employee	F	27150
Victoria	CHN	Employee	M	22018
Victoria	CHN	Owner managers of incorporated enterprises	F	3760
Victoria	CHN	Owner managers of incorporated enterprises	M	5163
Victoria	CHN	Owner managers of unincorporated enterprises	F	2305
Victoria	CHN	Owner managers of unincorporated enterprises	M	3272
Victoria	CHN	Status in employment not stated	F	196
Victoria	CHN	Status in employment not stated	M	222
Victoria	HRV	Contributing family workers	F	38
Victoria	HRV	Contributing family workers	M	63
Victoria	HRV	Employee	F	2139
Victoria	HRV	Employee	M	2122
Victoria	HRV	Owner managers of incorporated enterprises	F	145
Victoria	HRV	Owner managers of incorporated enterprises	M	449
Victoria	HRV	Owner managers of unincorporated enterprises	F	139
Victoria	HRV	Owner managers of unincorporated enterprises	M	394
Victoria	HRV	Status in employment not stated	F	31
Victoria	HRV	Status in employment not stated	M	50
Victoria	EGY	Contributing family workers	F	44
Victoria	EGY	Contributing family workers	M	48
Victoria	EGY	Employee	F	1697
Victoria	EGY	Employee	M	2101
Victoria	EGY	Owner managers of incorporated enterprises	F	164
Victoria	EGY	Owner managers of incorporated enterprises	M	536
Victoria	EGY	Owner managers of unincorporated enterprises	F	128
Victoria	EGY	Owner managers of unincorporated enterprises	M	365
Victoria	EGY	Status in employment not stated	F	21
Victoria	EGY	Status in employment not stated	M	36
Victoria	FJI	Contributing family workers	F	37
Victoria	FJI	Contributing family workers	M	47
Victoria	FJI	Employee	F	3197
Victoria	FJI	Employee	M	2945
Victoria	FJI	Owner managers of incorporated enterprises	F	92
Victoria	FJI	Owner managers of incorporated enterprises	M	237
Victoria	FJI	Owner managers of unincorporated enterprises	F	69
Victoria	FJI	Owner managers of unincorporated enterprises	M	193
Victoria	FJI	Status in employment not stated	F	35
Victoria	FJI	Status in employment not stated	M	38
Victoria	MKD	Contributing family workers	F	45
Victoria	MKD	Contributing family workers	M	64
Victoria	MKD	Employee	F	2796
Victoria	MKD	Employee	M	3152
Victoria	MKD	Owner managers of incorporated enterprises	F	152
Victoria	MKD	Owner managers of incorporated enterprises	M	549
Victoria	MKD	Owner managers of unincorporated enterprises	F	129
Victoria	MKD	Owner managers of unincorporated enterprises	M	352
Victoria	MKD	Status in employment not stated	F	53
Victoria	MKD	Status in employment not stated	M	81
Victoria	DEU	Contributing family workers	F	93
Victoria	DEU	Contributing family workers	M	124
Victoria	DEU	Employee	F	3902
Victoria	DEU	Employee	M	3854
Victoria	DEU	Owner managers of incorporated enterprises	F	278
Victoria	DEU	Owner managers of incorporated enterprises	M	627
Victoria	DEU	Owner managers of unincorporated enterprises	F	433
Victoria	DEU	Owner managers of unincorporated enterprises	M	603
Victoria	DEU	Status in employment not stated	F	68
Victoria	DEU	Status in employment not stated	M	59
Victoria	GRC	Contributing family workers	F	102
Victoria	GRC	Contributing family workers	M	172
Victoria	GRC	Employee	F	3390
Victoria	GRC	Employee	M	4119
Victoria	GRC	Owner managers of incorporated enterprises	F	290
Victoria	GRC	Owner managers of incorporated enterprises	M	1087
Victoria	GRC	Owner managers of unincorporated enterprises	F	344
Victoria	GRC	Owner managers of unincorporated enterprises	M	934
Victoria	GRC	Status in employment not stated	F	77
Victoria	GRC	Status in employment not stated	M	116
Victoria	HKG	Contributing family workers	F	72
Victoria	HKG	Contributing family workers	M	78
Victoria	HKG	Employee	F	5398
Victoria	HKG	Employee	M	5120
Victoria	HKG	Owner managers of incorporated enterprises	F	270
Victoria	HKG	Owner managers of incorporated enterprises	M	587
Victoria	HKG	Owner managers of unincorporated enterprises	F	313
Victoria	HKG	Owner managers of unincorporated enterprises	M	476
Victoria	HKG	Status in employment not stated	F	26
Victoria	HKG	Status in employment not stated	M	25
Victoria	IND	Contributing family workers	F	431
Victoria	IND	Contributing family workers	M	547
Victoria	IND	Employee	F	38055
Victoria	IND	Employee	M	59322
Victoria	IND	Owner managers of incorporated enterprises	F	1257
Victoria	IND	Owner managers of incorporated enterprises	M	5164
Victoria	IND	Owner managers of unincorporated enterprises	F	1191
Victoria	IND	Owner managers of unincorporated enterprises	M	3427
Victoria	IND	Status in employment not stated	F	309
Victoria	IND	Status in employment not stated	M	700
Victoria	IDN	Contributing family workers	F	73
Victoria	IDN	Contributing family workers	M	58
Victoria	IDN	Employee	F	4554
Victoria	IDN	Employee	M	3988
Victoria	IDN	Owner managers of incorporated enterprises	F	158
Victoria	IDN	Owner managers of incorporated enterprises	M	296
Victoria	IDN	Owner managers of unincorporated enterprises	F	241
Victoria	IDN	Owner managers of unincorporated enterprises	M	217
Victoria	IDN	Status in employment not stated	F	34
Victoria	IDN	Status in employment not stated	M	27
Victoria	IRN	Contributing family workers	F	48
Victoria	IRN	Contributing family workers	M	64
Victoria	IRN	Employee	F	2282
Victoria	IRN	Employee	M	3325
Victoria	IRN	Owner managers of incorporated enterprises	F	128
Victoria	IRN	Owner managers of incorporated enterprises	M	457
Victoria	IRN	Owner managers of unincorporated enterprises	F	163
Victoria	IRN	Owner managers of unincorporated enterprises	M	470
Victoria	IRN	Status in employment not stated	F	28
Victoria	IRN	Status in employment not stated	M	59
Victoria	IRQ	Contributing family workers	F	43
Victoria	IRQ	Contributing family workers	M	71
Victoria	IRQ	Employee	F	1314
Victoria	IRQ	Employee	M	2331
Victoria	IRQ	Owner managers of incorporated enterprises	F	113
Victoria	IRQ	Owner managers of incorporated enterprises	M	466
Victoria	IRQ	Owner managers of unincorporated enterprises	F	206
Victoria	IRQ	Owner managers of unincorporated enterprises	M	517
Victoria	IRQ	Status in employment not stated	F	23
Victoria	IRQ	Status in employment not stated	M	64
Victoria	IRL	Contributing family workers	F	38
Victoria	IRL	Contributing family workers	M	38
Victoria	IRL	Employee	F	4061
Victoria	IRL	Employee	M	4502
Victoria	IRL	Owner managers of incorporated enterprises	F	132
Victoria	IRL	Owner managers of incorporated enterprises	M	513
Victoria	IRL	Owner managers of unincorporated enterprises	F	165
Victoria	IRL	Owner managers of unincorporated enterprises	M	387
Victoria	IRL	Status in employment not stated	F	33
Victoria	IRL	Status in employment not stated	M	45
Victoria	ITA	Contributing family workers	F	209
Victoria	ITA	Contributing family workers	M	442
Victoria	ITA	Employee	F	5557
Victoria	ITA	Employee	M	7562
Victoria	ITA	Owner managers of incorporated enterprises	F	466
Victoria	ITA	Owner managers of incorporated enterprises	M	1970
Victoria	ITA	Owner managers of unincorporated enterprises	F	500
Victoria	ITA	Owner managers of unincorporated enterprises	M	1549
Victoria	ITA	Status in employment not stated	F	144
Victoria	ITA	Status in employment not stated	M	237
Victoria	JPN	Contributing family workers	F	35
Victoria	JPN	Contributing family workers	M	19
Victoria	JPN	Employee	F	2622
Victoria	JPN	Employee	M	1279
Victoria	JPN	Owner managers of incorporated enterprises	F	115
Victoria	JPN	Owner managers of incorporated enterprises	M	122
Victoria	JPN	Owner managers of unincorporated enterprises	F	229
Victoria	JPN	Owner managers of unincorporated enterprises	M	121
Victoria	JPN	Status in employment not stated	F	23
Victoria	JPN	Status in employment not stated	M	17
Victoria	LBN	Contributing family workers	F	84
Victoria	LBN	Contributing family workers	M	113
Victoria	LBN	Employee	F	1443
Victoria	LBN	Employee	M	2261
Victoria	LBN	Owner managers of incorporated enterprises	F	191
Victoria	LBN	Owner managers of incorporated enterprises	M	821
Victoria	LBN	Owner managers of unincorporated enterprises	F	311
Victoria	LBN	Owner managers of unincorporated enterprises	M	989
Victoria	LBN	Status in employment not stated	F	38
Victoria	LBN	Status in employment not stated	M	111
Victoria	MYS	Contributing family workers	F	160
Victoria	MYS	Contributing family workers	M	156
Victoria	MYS	Employee	F	12674
Victoria	MYS	Employee	M	11325
Victoria	MYS	Owner managers of incorporated enterprises	F	645
Victoria	MYS	Owner managers of incorporated enterprises	M	1276
Victoria	MYS	Owner managers of unincorporated enterprises	F	658
Victoria	MYS	Owner managers of unincorporated enterprises	M	870
Victoria	MYS	Status in employment not stated	F	84
Victoria	MYS	Status in employment not stated	M	75
Victoria	MLT	Contributing family workers	F	50
Victoria	MLT	Contributing family workers	M	35
Victoria	MLT	Employee	F	1546
Victoria	MLT	Employee	M	1999
Victoria	MLT	Owner managers of incorporated enterprises	F	107
Victoria	MLT	Owner managers of incorporated enterprises	M	318
Victoria	MLT	Owner managers of unincorporated enterprises	F	106
Victoria	MLT	Owner managers of unincorporated enterprises	M	306
Victoria	MLT	Status in employment not stated	F	31
Victoria	MLT	Status in employment not stated	M	47
Victoria	NLD	Contributing family workers	F	86
Victoria	NLD	Contributing family workers	M	107
Victoria	NLD	Employee	F	2100
Victoria	NLD	Employee	M	2416
Victoria	NLD	Owner managers of incorporated enterprises	F	177
