STE_NAME16	Age	EmploymentStatus	LabourForceStatus	Sex	workers
New South Wales	75+	Contributing family workers		M	383
New South Wales	75+	Contributing family workers	Employed (full-time)	F	328
New South Wales	75+	Contributing family workers	Employed (full-time)	M	812
New South Wales	75+	Contributing family workers	Employed (part-time)	F	633
New South Wales	75+	Contributing family workers	Employed (part-time)	M	1232
New South Wales	75+	Employee		F	244
New South Wales	75+	Employee		M	290
New South Wales	75+	Employee	Employed (full-time)	F	559
New South Wales	75+	Employee	Employed (full-time)	M	1119
New South Wales	75+	Employee	Employed (part-time)	F	1676
New South Wales	75+	Employee	Employed (part-time)	M	2352
New South Wales	75+	Owner managers of incorporated enterprises		F	57
New South Wales	75+	Owner managers of incorporated enterprises		M	166
New South Wales	75+	Owner managers of incorporated enterprises	Employed (full-time)	F	159
New South Wales	75+	Owner managers of incorporated enterprises	Employed (full-time)	M	1066
New South Wales	75+	Owner managers of incorporated enterprises	Employed (part-time)	F	448
New South Wales	75+	Owner managers of incorporated enterprises	Employed (part-time)	M	1193
New South Wales	75+	Owner managers of unincorporated enterprises		F	111
New South Wales	75+	Owner managers of unincorporated enterprises		M	215
New South Wales	75+	Owner managers of unincorporated enterprises	Employed (full-time)	F	331
New South Wales	75+	Owner managers of unincorporated enterprises	Employed (full-time)	M	1369
New South Wales	75+	Owner managers of unincorporated enterprises	Employed (part-time)	F	800
New South Wales	75+	Owner managers of unincorporated enterprises	Employed (part-time)	M	1799
Victoria	15-19			F	224
Victoria	15-19			M	227
Victoria	15-19		Employed (part-time)	F	54
Victoria	15-19		Employed (part-time)	F	515
Victoria	15-19		Employed (part-time)	M	163
Victoria	15-19		Employed (part-time)	M	378
Victoria	15-19	Contributing family workers		F	96
Victoria	15-19	Contributing family workers		M	145
Victoria	15-19	Contributing family workers	Employed (part-time)	F	14
Victoria	15-19	Contributing family workers	Employed (part-time)	F	332
Victoria	15-19	Contributing family workers	Employed (part-time)	M	52
Victoria	15-19	Contributing family workers	Employed (part-time)	M	493
Victoria	15-19	Employee		F	3916
Victoria	15-19	Employee		M	3288
Victoria	15-19	Employee	Employed (part-time)	F	5229
Victoria	15-19	Employee	Employed (part-time)	F	54253
Victoria	15-19	Employee	Employed (part-time)	M	14194
Victoria	15-19	Employee	Employed (part-time)	M	39654
Victoria	15-19	Owner managers of incorporated enterprises		F	11
Victoria	15-19	Owner managers of incorporated enterprises		M	22
Victoria	15-19	Owner managers of incorporated enterprises	Employed (part-time)	F	18
Victoria	15-19	Owner managers of incorporated enterprises	Employed (part-time)	F	131
Victoria	15-19	Owner managers of incorporated enterprises	Employed (part-time)	M	60
Victoria	15-19	Owner managers of incorporated enterprises	Employed (part-time)	M	144
Victoria	15-19	Owner managers of unincorporated enterprises		F	27
Victoria	15-19	Owner managers of unincorporated enterprises		M	37
Victoria	15-19	Owner managers of unincorporated enterprises	Employed (part-time)	F	50
Victoria	15-19	Owner managers of unincorporated enterprises	Employed (part-time)	F	334
Victoria	15-19	Owner managers of unincorporated enterprises	Employed (part-time)	M	128
Victoria	15-19	Owner managers of unincorporated enterprises	Employed (part-time)	M	362
Victoria	20-24			F	310
Victoria	20-24			M	422
Victoria	20-24		Employed (part-time)	F	272
Victoria	20-24		Employed (part-time)	F	455
Victoria	20-24		Employed (part-time)	M	605
Victoria	20-24		Employed (part-time)	M	415
Victoria	20-24	Contributing family workers		F	88
Victoria	20-24	Contributing family workers		M	87
Victoria	20-24	Contributing family workers	Employed (part-time)	F	76
Victoria	20-24	Contributing family workers	Employed (part-time)	F	360
Victoria	20-24	Contributing family workers	Employed (part-time)	M	181
Victoria	20-24	Contributing family workers	Employed (part-time)	M	493
Victoria	20-24	Employee		F	6557
Victoria	20-24	Employee		M	5975
Victoria	20-24	Employee	Employed (part-time)	F	48384
Victoria	20-24	Employee	Employed (part-time)	F	66131
Victoria	20-24	Employee	Employed (part-time)	M	65412
Victoria	20-24	Employee	Employed (part-time)	M	51461
Victoria	20-24	Owner managers of incorporated enterprises		F	36
Victoria	20-24	Owner managers of incorporated enterprises		M	71
Victoria	20-24	Owner managers of incorporated enterprises	Employed (part-time)	F	275
Victoria	20-24	Owner managers of incorporated enterprises	Employed (part-time)	F	259
Victoria	20-24	Owner managers of incorporated enterprises	Employed (part-time)	M	988
Victoria	20-24	Owner managers of incorporated enterprises	Employed (part-time)	M	422
Victoria	20-24	Owner managers of unincorporated enterprises		F	106
Victoria	20-24	Owner managers of unincorporated enterprises		M	218
Victoria	20-24	Owner managers of unincorporated enterprises	Employed (part-time)	F	666
Victoria	20-24	Owner managers of unincorporated enterprises	Employed (part-time)	F	1205
Victoria	20-24	Owner managers of unincorporated enterprises	Employed (part-time)	M	2461
Victoria	20-24	Owner managers of unincorporated enterprises	Employed (part-time)	M	1692
Victoria	25-29			F	339
Victoria	25-29			M	422
Victoria	25-29		Employed (part-time)	F	382
Victoria	25-29		Employed (part-time)	F	332
Victoria	25-29		Employed (part-time)	M	860
Victoria	25-29		Employed (part-time)	M	317
Victoria	25-29	Contributing family workers		F	106
Victoria	25-29	Contributing family workers		M	90
Victoria	25-29	Contributing family workers	Employed (part-time)	F	224
Victoria	25-29	Contributing family workers	Employed (part-time)	F	549
Victoria	25-29	Contributing family workers	Employed (part-time)	M	455
Victoria	25-29	Contributing family workers	Employed (part-time)	M	401
Victoria	25-29	Employee		F	8630
Victoria	25-29	Employee		M	6080
Victoria	25-29	Employee	Employed (part-time)	F	91868
Victoria	25-29	Employee	Employed (part-time)	F	44430
Victoria	25-29	Employee	Employed (part-time)	M	112052
Victoria	25-29	Employee	Employed (part-time)	M	28654
Victoria	25-29	Owner managers of incorporated enterprises		F	113
Victoria	25-29	Owner managers of incorporated enterprises		M	227
Victoria	25-29	Owner managers of incorporated enterprises	Employed (part-time)	F	1105
Victoria	25-29	Owner managers of incorporated enterprises	Employed (part-time)	F	657
Victoria	25-29	Owner managers of incorporated enterprises	Employed (part-time)	M	5193
Victoria	25-29	Owner managers of incorporated enterprises	Employed (part-time)	M	823
Victoria	25-29	Owner managers of unincorporated enterprises		F	267
Victoria	25-29	Owner managers of unincorporated enterprises		M	412
Victoria	25-29	Owner managers of unincorporated enterprises	Employed (part-time)	F	1988
Victoria	25-29	Owner managers of unincorporated enterprises	Employed (part-time)	F	2445
Victoria	25-29	Owner managers of unincorporated enterprises	Employed (part-time)	M	6757
Victoria	25-29	Owner managers of unincorporated enterprises	Employed (part-time)	M	2679
Victoria	30-34			F	359
Victoria	30-34			M	359
Victoria	30-34		Employed (part-time)	F	345
Victoria	30-34		Employed (part-time)	F	349
Victoria	30-34		Employed (part-time)	M	918
