STE_NAME16	Age	IncomeTotPersonal.max	Occupation	workers
New South Wales	20-24	65625	Sales workers	1954
New South Wales	20-24	65625	Technicians and trades workers	6719
New South Wales	20-24	78750		190
New South Wales	20-24	78750	Clerical and administrative workers	1519
New South Wales	20-24	78750	Community and personal service workers	1103
New South Wales	20-24	78750	Labourers	862
New South Wales	20-24	78750	Machinery operators and drivers	672
New South Wales	20-24	78750	Managers	1149
New South Wales	20-24	78750	Professionals	6039
New South Wales	20-24	78750	Sales workers	635
New South Wales	20-24	78750	Technicians and trades workers	2933
New South Wales	20-24	91875		89
New South Wales	20-24	91875	Clerical and administrative workers	478
New South Wales	20-24	91875	Community and personal service workers	450
New South Wales	20-24	91875	Labourers	383
New South Wales	20-24	91875	Machinery operators and drivers	391
New South Wales	20-24	91875	Managers	588
New South Wales	20-24	91875	Professionals	2049
New South Wales	20-24	91875	Sales workers	268
New South Wales	20-24	91875	Technicians and trades workers	1402
New South Wales	20-24	105000		38
New South Wales	20-24	105000	Clerical and administrative workers	133
New South Wales	20-24	105000	Community and personal service workers	138
New South Wales	20-24	105000	Labourers	160
New South Wales	20-24	105000	Machinery operators and drivers	164
New South Wales	20-24	105000	Managers	221
New South Wales	20-24	105000	Professionals	659
New South Wales	20-24	105000	Sales workers	122
New South Wales	20-24	105000	Technicians and trades workers	693
New South Wales	20-24	157500		28
New South Wales	20-24	157500	Clerical and administrative workers	108
New South Wales	20-24	157500	Community and personal service workers	130
New South Wales	20-24	157500	Labourers	107
New South Wales	20-24	157500	Machinery operators and drivers	139
New South Wales	20-24	157500	Managers	164
New South Wales	20-24	157500	Professionals	506
New South Wales	20-24	157500	Sales workers	85
New South Wales	20-24	157500	Technicians and trades workers	525
New South Wales	20-24	Inf		36
New South Wales	20-24	Inf	Clerical and administrative workers	62
New South Wales	20-24	Inf	Community and personal service workers	137
New South Wales	20-24	Inf	Labourers	50
New South Wales	20-24	Inf	Machinery operators and drivers	55
New South Wales	20-24	Inf	Managers	76
New South Wales	20-24	Inf	Professionals	161
New South Wales	20-24	Inf	Sales workers	70
New South Wales	20-24	Inf	Technicians and trades workers	122
New South Wales	25-34			1990
New South Wales	25-34		Clerical and administrative workers	1049
New South Wales	25-34		Community and personal service workers	997
New South Wales	25-34		Labourers	826
New South Wales	25-34		Machinery operators and drivers	554
New South Wales	25-34		Managers	959
New South Wales	25-34		Professionals	2097
New South Wales	25-34		Sales workers	765
New South Wales	25-34		Technicians and trades workers	1508
New South Wales	25-34	0		412
New South Wales	25-34	0	Clerical and administrative workers	501
New South Wales	25-34	0	Community and personal service workers	386
New South Wales	25-34	0	Labourers	375
New South Wales	25-34	0	Machinery operators and drivers	153
New South Wales	25-34	0	Managers	702
New South Wales	25-34	0	Professionals	615
New South Wales	25-34	0	Sales workers	382
New South Wales	25-34	0	Technicians and trades workers	440
New South Wales	25-34	7875		210
New South Wales	25-34	7875	Clerical and administrative workers	772
New South Wales	25-34	7875	Community and personal service workers	1301
New South Wales	25-34	7875	Labourers	996
New South Wales	25-34	7875	Machinery operators and drivers	174
New South Wales	25-34	7875	Managers	389
New South Wales	25-34	7875	Professionals	1250
New South Wales	25-34	7875	Sales workers	845
New South Wales	25-34	7875	Technicians and trades workers	559
New South Wales	25-34	15750		412
New South Wales	25-34	15750	Clerical and administrative workers	2045
New South Wales	25-34	15750	Community and personal service workers	4099
New South Wales	25-34	15750	Labourers	2745
New South Wales	25-34	15750	Machinery operators and drivers	598
New South Wales	25-34	15750	Managers	738
New South Wales	25-34	15750	Professionals	2319
New South Wales	25-34	15750	Sales workers	2944
New South Wales	25-34	15750	Technicians and trades workers	1585
New South Wales	25-34	21000		503
New South Wales	25-34	21000	Clerical and administrative workers	2934
New South Wales	25-34	21000	Community and personal service workers	5960
New South Wales	25-34	21000	Labourers	4328
New South Wales	25-34	21000	Machinery operators and drivers	1039
New South Wales	25-34	21000	Managers	1099
New South Wales	25-34	21000	Professionals	2964
New South Wales	25-34	21000	Sales workers	4126
New South Wales	25-34	21000	Technicians and trades workers	2636
New South Wales	25-34	26250		698
New South Wales	25-34	26250	Clerical and administrative workers	3887
New South Wales	25-34	26250	Community and personal service workers	7114
New South Wales	25-34	26250	Labourers	5839
New South Wales	25-34	26250	Machinery operators and drivers	1529
New South Wales	25-34	26250	Managers	1421
New South Wales	25-34	26250	Professionals	3775
New South Wales	25-34	26250	Sales workers	5430
New South Wales	25-34	26250	Technicians and trades workers	3697
New South Wales	25-34	34125		1034
New South Wales	25-34	34125	Clerical and administrative workers	7308
New South Wales	25-34	34125	Community and personal service workers	11088
New South Wales	25-34	34125	Labourers	7849
New South Wales	25-34	34125	Machinery operators and drivers	2739
New South Wales	25-34	34125	Managers	2883
New South Wales	25-34	34125	Professionals	7442
New South Wales	25-34	34125	Sales workers	8064
New South Wales	25-34	34125	Technicians and trades workers	6856
New South Wales	25-34	42000		1485
New South Wales	25-34	42000	Clerical and administrative workers	12252
New South Wales	25-34	42000	Community and personal service workers	13204
New South Wales	25-34	42000	Labourers	10347
New South Wales	25-34	42000	Machinery operators and drivers	5939
New South Wales	25-34	42000	Managers	5440
New South Wales	25-34	42000	Professionals	11141
New South Wales	25-34	42000	Sales workers	9961
New South Wales	25-34	42000	Technicians and trades workers	12283
New South Wales	25-34	52500		1948
New South Wales	25-34	52500	Clerical and administrative workers	18804
New South Wales	25-34	52500	Community and personal service workers	12803
New South Wales	25-34	52500	Labourers	10252
New South Wales	25-34	52500	Machinery operators and drivers	8041
New South Wales	25-34	52500	Managers	10486
New South Wales	25-34	52500	Professionals	19770
New South Wales	25-34	52500	Sales workers	9518
New South Wales	25-34	52500	Technicians and trades workers	19527
New South Wales	25-34	65625		2116
New South Wales	25-34	65625	Clerical and administrative workers	20697
New South Wales	25-34	65625	Community and personal service workers	9874
New South Wales	25-34	65625	Labourers	6941
New South Wales	25-34	65625	Machinery operators and drivers	6842
New South Wales	25-34	65625	Managers	14925
New South Wales	25-34	65625	Professionals	36800
New South Wales	25-34	65625	Sales workers	7464
New South Wales	25-34	65625	Technicians and trades workers	22869
New South Wales	25-34	78750		1401
New South Wales	25-34	78750	Clerical and administrative workers	12023
New South Wales	25-34	78750	Community and personal service workers	5177
New South Wales	25-34	78750	Labourers	3206
New South Wales	25-34	78750	Machinery operators and drivers	4029
New South Wales	25-34	78750	Managers	11007
New South Wales	25-34	78750	Professionals	39763
New South Wales	25-34	78750	Sales workers	4202
New South Wales	25-34	78750	Technicians and trades workers	14327
New South Wales	25-34	91875		1009
New South Wales	25-34	91875	Clerical and administrative workers	7123
New South Wales	25-34	91875	Community and personal service workers	3703
New South Wales	25-34	91875	Labourers	1944
New South Wales	25-34	91875	Machinery operators and drivers	2797
New South Wales	25-34	91875	Managers	10090
New South Wales	25-34	91875	Professionals	36095
New South Wales	25-34	91875	Sales workers	2892
New South Wales	25-34	91875	Technicians and trades workers	9966
New South Wales	25-34	105000		549
New South Wales	25-34	105000	Clerical and administrative workers	3357
New South Wales	25-34	105000	Community and personal service workers	2203
New South Wales	25-34	105000	Labourers	973
New South Wales	25-34	105000	Machinery operators and drivers	1810
New South Wales	25-34	105000	Managers	7103
New South Wales	25-34	105000	Professionals	23311
New South Wales	25-34	105000	Sales workers	1676
New South Wales	25-34	105000	Technicians and trades workers	5725
New South Wales	25-34	157500		692
New South Wales	25-34	157500	Clerical and administrative workers	3857
New South Wales	25-34	157500	Community and personal service workers	1575
New South Wales	25-34	157500	Labourers	817
New South Wales	25-34	157500	Machinery operators and drivers	2326
New South Wales	25-34	157500	Managers	13983
New South Wales	25-34	157500	Professionals	31037
New South Wales	25-34	157500	Sales workers	2318
New South Wales	25-34	157500	Technicians and trades workers	6302
New South Wales	25-34	Inf		357
New South Wales	25-34	Inf	Clerical and administrative workers	1190
New South Wales	25-34	Inf	Community and personal service workers	393
New South Wales	25-34	Inf	Labourers	221
New South Wales	25-34	Inf	Machinery operators and drivers	397
New South Wales	25-34	Inf	Managers	5919
New South Wales	25-34	Inf	Professionals	9694
New South Wales	25-34	Inf	Sales workers	1086
New South Wales	25-34	Inf	Technicians and trades workers	1261
New South Wales	35-44			1612
New South Wales	35-44		Clerical and administrative workers	1226
New South Wales	35-44		Community and personal service workers	760
New South Wales	35-44		Labourers	767
New South Wales	35-44		Machinery operators and drivers	646
New South Wales	35-44		Managers	1373
New South Wales	35-44		Professionals	1965
New South Wales	35-44		Sales workers	628
New South Wales	35-44		Technicians and trades workers	1443
New South Wales	35-44	0		460
New South Wales	35-44	0	Clerical and administrative workers	556
New South Wales	35-44	0	Community and personal service workers	354
New South Wales	35-44	0	Labourers	329
New South Wales	35-44	0	Machinery operators and drivers	162
New South Wales	35-44	0	Managers	1083
New South Wales	35-44	0	Professionals	756
New South Wales	35-44	0	Sales workers	330
New South Wales	35-44	0	Technicians and trades workers	490
New South Wales	35-44	7875		219
New South Wales	35-44	7875	Clerical and administrative workers	1021
New South Wales	35-44	7875	Community and personal service workers	1235
New South Wales	35-44	7875	Labourers	943
New South Wales	35-44	7875	Machinery operators and drivers	165
New South Wales	35-44	7875	Managers	551
New South Wales	35-44	7875	Professionals	1361
New South Wales	35-44	7875	Sales workers	678
New South Wales	35-44	7875	Technicians and trades workers	602
New South Wales	35-44	15750		356
New South Wales	35-44	15750	Clerical and administrative workers	2501
New South Wales	35-44	15750	Community and personal service workers	3188
New South Wales	35-44	15750	Labourers	2423
New South Wales	35-44	15750	Machinery operators and drivers	522
New South Wales	35-44	15750	Managers	1031
New South Wales	35-44	15750	Professionals	2323
New South Wales	35-44	15750	Sales workers	2068
New South Wales	35-44	15750	Technicians and trades workers	1602
New South Wales	35-44	21000		433
New South Wales	35-44	21000	Clerical and administrative workers	3683
New South Wales	35-44	21000	Community and personal service workers	4019
New South Wales	35-44	21000	Labourers	3382
New South Wales	35-44	21000	Machinery operators and drivers	902
New South Wales	35-44	21000	Managers	1448
New South Wales	35-44	21000	Professionals	2899
New South Wales	35-44	21000	Sales workers	2806
New South Wales	35-44	21000	Technicians and trades workers	2418
New South Wales	35-44	26250		488
New South Wales	35-44	26250	Clerical and administrative workers	4630
New South Wales	35-44	26250	Community and personal service workers	5080
New South Wales	35-44	26250	Labourers	4221
New South Wales	35-44	26250	Machinery operators and drivers	1404
New South Wales	35-44	26250	Managers	1770
New South Wales	35-44	26250	Professionals	3376
New South Wales	35-44	26250	Sales workers	3486
New South Wales	35-44	26250	Technicians and trades workers	3116
New South Wales	35-44	34125		794
New South Wales	35-44	34125	Clerical and administrative workers	8529
New South Wales	35-44	34125	Community and personal service workers	8310
New South Wales	35-44	34125	Labourers	6476
New South Wales	35-44	34125	Machinery operators and drivers	2629
New South Wales	35-44	34125	Managers	3358
New South Wales	35-44	34125	Professionals	6496
New South Wales	35-44	34125	Sales workers	5771
New South Wales	35-44	34125	Technicians and trades workers	5605
New South Wales	35-44	42000		1077
New South Wales	35-44	42000	Clerical and administrative workers	11663
New South Wales	35-44	42000	Community and personal service workers	9293
New South Wales	35-44	42000	Labourers	8612
New South Wales	35-44	42000	Machinery operators and drivers	5505
New South Wales	35-44	42000	Managers	5068
New South Wales	35-44	42000	Professionals	9116
New South Wales	35-44	42000	Sales workers	6539
New South Wales	35-44	42000	Technicians and trades workers	8549
New South Wales	35-44	52500		1385
New South Wales	35-44	52500	Clerical and administrative workers	15719
New South Wales	35-44	52500	Community and personal service workers	9418
New South Wales	35-44	52500	Labourers	8485
New South Wales	35-44	52500	Machinery operators and drivers	8235
New South Wales	35-44	52500	Managers	8242
New South Wales	35-44	52500	Professionals	12919
New South Wales	35-44	52500	Sales workers	6322
New South Wales	35-44	52500	Technicians and trades workers	12940
New South Wales	35-44	65625		1556
New South Wales	35-44	65625	Clerical and administrative workers	18378
New South Wales	35-44	65625	Community and personal service workers	7736
New South Wales	35-44	65625	Labourers	6416
New South Wales	35-44	65625	Machinery operators and drivers	7958
New South Wales	35-44	65625	Managers	11778
New South Wales	35-44	65625	Professionals	20179
New South Wales	35-44	65625	Sales workers	5586
New South Wales	35-44	65625	Technicians and trades workers	16346
New South Wales	35-44	78750		1191
New South Wales	35-44	78750	Clerical and administrative workers	12676
New South Wales	35-44	78750	Community and personal service workers	4392
New South Wales	35-44	78750	Labourers	3275
New South Wales	35-44	78750	Machinery operators and drivers	5117
New South Wales	35-44	78750	Managers	11001
New South Wales	35-44	78750	Professionals	21595
New South Wales	35-44	78750	Sales workers	3704
New South Wales	35-44	78750	Technicians and trades workers	11984
New South Wales	35-44	91875		1023
New South Wales	35-44	91875	Clerical and administrative workers	9050
New South Wales	35-44	91875	Community and personal service workers	3808
New South Wales	35-44	91875	Labourers	2076
New South Wales	35-44	91875	Machinery operators and drivers	3743
New South Wales	35-44	91875	Managers	12440
New South Wales	35-44	91875	Professionals	26720
New South Wales	35-44	91875	Sales workers	2878
New South Wales	35-44	91875	Technicians and trades workers	9783
New South Wales	35-44	105000		766
New South Wales	35-44	105000	Clerical and administrative workers	4962
New South Wales	35-44	105000	Community and personal service workers	3185
New South Wales	35-44	105000	Labourers	1228
New South Wales	35-44	105000	Machinery operators and drivers	2706
New South Wales	35-44	105000	Managers	10731
New South Wales	35-44	105000	Professionals	25712
New South Wales	35-44	105000	Sales workers	1950
New South Wales	35-44	105000	Technicians and trades workers	6255
New South Wales	35-44	157500		1053
New South Wales	35-44	157500	Clerical and administrative workers	6842
New South Wales	35-44	157500	Community and personal service workers	3544
New South Wales	35-44	157500	Labourers	1108
New South Wales	35-44	157500	Machinery operators and drivers	3603
New South Wales	35-44	157500	Managers	28314
New South Wales	35-44	157500	Professionals	43570
New South Wales	35-44	157500	Sales workers	3173
New South Wales	35-44	157500	Technicians and trades workers	7989
New South Wales	35-44	Inf		824
New South Wales	35-44	Inf	Clerical and administrative workers	4022
New South Wales	35-44	Inf	Community and personal service workers	463
New South Wales	35-44	Inf	Labourers	340
New South Wales	35-44	Inf	Machinery operators and drivers	621
New South Wales	35-44	Inf	Managers	25832
New South Wales	35-44	Inf	Professionals	27662
New South Wales	35-44	Inf	Sales workers	2461
New South Wales	35-44	Inf	Technicians and trades workers	2294
New South Wales	45-54			1497
New South Wales	45-54		Clerical and administrative workers	1361
New South Wales	45-54		Community and personal service workers	879
New South Wales	45-54		Labourers	1092
New South Wales	45-54		Machinery operators and drivers	879
New South Wales	45-54		Managers	1573
New South Wales	45-54		Professionals	1716
New South Wales	45-54		Sales workers	672
New South Wales	45-54		Technicians and trades workers	1377
New South Wales	45-54	0		333
New South Wales	45-54	0	Clerical and administrative workers	528
New South Wales	45-54	0	Community and personal service workers	275
New South Wales	45-54	0	Labourers	398
New South Wales	45-54	0	Machinery operators and drivers	229
New South Wales	45-54	0	Managers	1380
New South Wales	45-54	0	Professionals	602
New South Wales	45-54	0	Sales workers	309
New South Wales	45-54	0	Technicians and trades workers	489
New South Wales	45-54	7875		186
New South Wales	45-54	7875	Clerical and administrative workers	851
New South Wales	45-54	7875	Community and personal service workers	901
New South Wales	45-54	7875	Labourers	1203
New South Wales	45-54	7875	Machinery operators and drivers	224
New South Wales	45-54	7875	Managers	689
New South Wales	45-54	7875	Professionals	948
New South Wales	45-54	7875	Sales workers	616
New South Wales	45-54	7875	Technicians and trades workers	548
New South Wales	45-54	15750		335
New South Wales	45-54	15750	Clerical and administrative workers	2134
New South Wales	45-54	15750	Community and personal service workers	2615
New South Wales	45-54	15750	Labourers	3239
New South Wales	45-54	15750	Machinery operators and drivers	751
New South Wales	45-54	15750	Managers	1276
New South Wales	45-54	15750	Professionals	1687
New South Wales	45-54	15750	Sales workers	2073
New South Wales	45-54	15750	Technicians and trades workers	1678
New South Wales	45-54	21000		454
New South Wales	45-54	21000	Clerical and administrative workers	3227
New South Wales	45-54	21000	Community and personal service workers	3910
New South Wales	45-54	21000	Labourers	4284
New South Wales	45-54	21000	Machinery operators and drivers	1260
New South Wales	45-54	21000	Managers	1802
New South Wales	45-54	21000	Professionals	2198
New South Wales	45-54	21000	Sales workers	3176
New South Wales	45-54	21000	Technicians and trades workers	2499
New South Wales	45-54	26250		503
New South Wales	45-54	26250	Clerical and administrative workers	4648
New South Wales	45-54	26250	Community and personal service workers	5313
New South Wales	45-54	26250	Labourers	5441
New South Wales	45-54	26250	Machinery operators and drivers	1789
New South Wales	45-54	26250	Managers	2225
New South Wales	45-54	26250	Professionals	2823
New South Wales	45-54	26250	Sales workers	4008
New South Wales	45-54	26250	Technicians and trades workers	3304
New South Wales	45-54	34125		832
New South Wales	45-54	34125	Clerical and administrative workers	9174
New South Wales	45-54	34125	Community and personal service workers	8991
New South Wales	45-54	34125	Labourers	8522
New South Wales	45-54	34125	Machinery operators and drivers	3526
New South Wales	45-54	34125	Managers	3927
New South Wales	45-54	34125	Professionals	5157
New South Wales	45-54	34125	Sales workers	6361
New South Wales	45-54	34125	Technicians and trades workers	5690
New South Wales	45-54	42000		1015
New South Wales	45-54	42000	Clerical and administrative workers	12583
New South Wales	45-54	42000	Community and personal service workers	10308
New South Wales	45-54	42000	Labourers	10748
New South Wales	45-54	42000	Machinery operators and drivers	6613
New South Wales	45-54	42000	Managers	5476
New South Wales	45-54	42000	Professionals	6978
New South Wales	45-54	42000	Sales workers	7136
New South Wales	45-54	42000	Technicians and trades workers	8232
New South Wales	45-54	52500		1350
New South Wales	45-54	52500	Clerical and administrative workers	17673
New South Wales	45-54	52500	Community and personal service workers	10495
New South Wales	45-54	52500	Labourers	10343
New South Wales	45-54	52500	Machinery operators and drivers	10085
New South Wales	45-54	52500	Managers	7929
New South Wales	45-54	52500	Professionals	10026
New South Wales	45-54	52500	Sales workers	6514
New South Wales	45-54	52500	Technicians and trades workers	11972
New South Wales	45-54	65625		1448
New South Wales	45-54	65625	Clerical and administrative workers	20888
New South Wales	45-54	65625	Community and personal service workers	8081
New South Wales	45-54	65625	Labourers	7057
New South Wales	45-54	65625	Machinery operators and drivers	9790
New South Wales	45-54	65625	Managers	10633
New South Wales	45-54	65625	Professionals	14781
New South Wales	45-54	65625	Sales workers	5164
