STE_NAME16	Age	EmploymentStatus	workers
Western Australia	55-59	Status in employment not stated	992
Western Australia	60-64	Contributing family workers	1952
Western Australia	60-64	Employee	52411
Western Australia	60-64	Owner managers of incorporated enterprises	6388
Western Australia	60-64	Owner managers of unincorporated enterprises	9154
Western Australia	60-64	Status in employment not stated	820
Western Australia	65-69	Contributing family workers	1784
Western Australia	65-69	Employee	20329
Western Australia	65-69	Owner managers of incorporated enterprises	3859
Western Australia	65-69	Owner managers of unincorporated enterprises	5320
Western Australia	65-69	Status in employment not stated	544
Western Australia	70-74	Contributing family workers	1210
Western Australia	70-74	Employee	5551
Western Australia	70-74	Owner managers of incorporated enterprises	1596
Western Australia	70-74	Owner managers of unincorporated enterprises	2236
Western Australia	70-74	Status in employment not stated	294
Western Australia	75+	Contributing family workers	972
Western Australia	75+	Employee	2120
Western Australia	75+	Owner managers of incorporated enterprises	817
Western Australia	75+	Owner managers of unincorporated enterprises	1313
Western Australia	75+	Status in employment not stated	303
Tasmania	15-19	Contributing family workers	84
Tasmania	15-19	Employee	11572
Tasmania	15-19	Owner managers of incorporated enterprises	25
Tasmania	15-19	Owner managers of unincorporated enterprises	71
Tasmania	15-19	Status in employment not stated	164
Tasmania	20-24	Contributing family workers	65
Tasmania	20-24	Employee	17986
Tasmania	20-24	Owner managers of incorporated enterprises	82
Tasmania	20-24	Owner managers of unincorporated enterprises	389
Tasmania	20-24	Status in employment not stated	194
Tasmania	25-29	Contributing family workers	95
Tasmania	25-29	Employee	18084
Tasmania	25-29	Owner managers of incorporated enterprises	334
Tasmania	25-29	Owner managers of unincorporated enterprises	951
Tasmania	25-29	Status in employment not stated	167
Tasmania	30-34	Contributing family workers	217
Tasmania	30-34	Employee	18381
Tasmania	30-34	Owner managers of incorporated enterprises	696
Tasmania	30-34	Owner managers of unincorporated enterprises	1504
Tasmania	30-34	Status in employment not stated	181
Tasmania	35-39	Contributing family workers	241
Tasmania	35-39	Employee	17447
Tasmania	35-39	Owner managers of incorporated enterprises	933
Tasmania	35-39	Owner managers of unincorporated enterprises	1706
Tasmania	35-39	Status in employment not stated	169
Tasmania	40-44	Contributing family workers	286
Tasmania	40-44	Employee	19326
Tasmania	40-44	Owner managers of incorporated enterprises	1292
Tasmania	40-44	Owner managers of unincorporated enterprises	2188
Tasmania	40-44	Status in employment not stated	224
Tasmania	45-49	Contributing family workers	344
Tasmania	45-49	Employee	20740
Tasmania	45-49	Owner managers of incorporated enterprises	1588
Tasmania	45-49	Owner managers of unincorporated enterprises	2477
Tasmania	45-49	Status in employment not stated	291
Tasmania	50-54	Contributing family workers	416
Tasmania	50-54	Employee	20442
Tasmania	50-54	Owner managers of incorporated enterprises	1599
Tasmania	50-54	Owner managers of unincorporated enterprises	2572
Tasmania	50-54	Status in employment not stated	293
Tasmania	55-59	Contributing family workers	520
Tasmania	55-59	Employee	18581
Tasmania	55-59	Owner managers of incorporated enterprises	1516
Tasmania	55-59	Owner managers of unincorporated enterprises	2740
Tasmania	55-59	Status in employment not stated	287
Tasmania	60-64	Contributing family workers	488
Tasmania	60-64	Employee	11579
Tasmania	60-64	Owner managers of incorporated enterprises	1156
Tasmania	60-64	Owner managers of unincorporated enterprises	2280
Tasmania	60-64	Status in employment not stated	238
Tasmania	65-69	Contributing family workers	427
Tasmania	65-69	Employee	3867
Tasmania	65-69	Owner managers of incorporated enterprises	743
Tasmania	65-69	Owner managers of unincorporated enterprises	1357
Tasmania	65-69	Status in employment not stated	142
Tasmania	70-74	Contributing family workers	306
Tasmania	70-74	Employee	1046
Tasmania	70-74	Owner managers of incorporated enterprises	283
Tasmania	70-74	Owner managers of unincorporated enterprises	577
Tasmania	70-74	Status in employment not stated	76
Tasmania	75+	Contributing family workers	252
Tasmania	75+	Employee	406
Tasmania	75+	Owner managers of incorporated enterprises	181
Tasmania	75+	Owner managers of unincorporated enterprises	386
Tasmania	75+	Status in employment not stated	113
Northern Territory	15-19	Contributing family workers	39
Northern Territory	15-19	Employee	4500
Northern Territory	15-19	Owner managers of incorporated enterprises	13
Northern Territory	15-19	Owner managers of unincorporated enterprises	28
Northern Territory	15-19	Status in employment not stated	69
Northern Territory	20-24	Contributing family workers	27
Northern Territory	20-24	Employee	9353
Northern Territory	20-24	Owner managers of incorporated enterprises	54
Northern Territory	20-24	Owner managers of unincorporated enterprises	125
Northern Territory	20-24	Status in employment not stated	93
Northern Territory	25-29	Contributing family workers	43
Northern Territory	25-29	Employee	13644
Northern Territory	25-29	Owner managers of incorporated enterprises	190
Northern Territory	25-29	Owner managers of unincorporated enterprises	326
Northern Territory	25-29	Status in employment not stated	109
Northern Territory	30-34	Contributing family workers	54
Northern Territory	30-34	Employee	13611
Northern Territory	30-34	Owner managers of incorporated enterprises	387
Northern Territory	30-34	Owner managers of unincorporated enterprises	486
Northern Territory	30-34	Status in employment not stated	122
Northern Territory	35-39	Contributing family workers	81
Northern Territory	35-39	Employee	11344
Northern Territory	35-39	Owner managers of incorporated enterprises	529
Northern Territory	35-39	Owner managers of unincorporated enterprises	539
Northern Territory	35-39	Status in employment not stated	117
Northern Territory	40-44	Contributing family workers	80
Northern Territory	40-44	Employee	10529
Northern Territory	40-44	Owner managers of incorporated enterprises	680
Northern Territory	40-44	Owner managers of unincorporated enterprises	589
Northern Territory	40-44	Status in employment not stated	118
Northern Territory	45-49	Contributing family workers	87
Northern Territory	45-49	Employee	10324
Northern Territory	45-49	Owner managers of incorporated enterprises	723
Northern Territory	45-49	Owner managers of unincorporated enterprises	668
Northern Territory	45-49	Status in employment not stated	114
Northern Territory	50-54	Contributing family workers	117
Northern Territory	50-54	Employee	9255
Northern Territory	50-54	Owner managers of incorporated enterprises	717
Northern Territory	50-54	Owner managers of unincorporated enterprises	680
Northern Territory	50-54	Status in employment not stated	120
Northern Territory	55-59	Contributing family workers	93
Northern Territory	55-59	Employee	7829
Northern Territory	55-59	Owner managers of incorporated enterprises	610
Northern Territory	55-59	Owner managers of unincorporated enterprises	572
Northern Territory	55-59	Status in employment not stated	90
Northern Territory	60-64	Contributing family workers	105
Northern Territory	60-64	Employee	5001
Northern Territory	60-64	Owner managers of incorporated enterprises	441
Northern Territory	60-64	Owner managers of unincorporated enterprises	474
Northern Territory	60-64	Status in employment not stated	84
Northern Territory	65-69	Contributing family workers	81
Northern Territory	65-69	Employee	2016
Northern Territory	65-69	Owner managers of incorporated enterprises	245
Northern Territory	65-69	Owner managers of unincorporated enterprises	268
Northern Territory	65-69	Status in employment not stated	44
Northern Territory	70-74	Contributing family workers	60
Northern Territory	70-74	Employee	484
Northern Territory	70-74	Owner managers of incorporated enterprises	101
Northern Territory	70-74	Owner managers of unincorporated enterprises	112
Northern Territory	70-74	Status in employment not stated	28
Northern Territory	75+	Contributing family workers	42
Northern Territory	75+	Employee	182
Northern Territory	75+	Owner managers of incorporated enterprises	44
Northern Territory	75+	Owner managers of unincorporated enterprises	59
Northern Territory	75+	Status in employment not stated	22
Australian Capital Territory	15-19	Contributing family workers	49
Australian Capital Territory	15-19	Employee	11325
Australian Capital Territory	15-19	Owner managers of incorporated enterprises	35
Australian Capital Territory	15-19	Owner managers of unincorporated enterprises	103
Australian Capital Territory	15-19	Status in employment not stated	81
Australian Capital Territory	20-24	Contributing family workers	49
Australian Capital Territory	20-24	Employee	21742
Australian Capital Territory	20-24	Owner managers of incorporated enterprises	139
Australian Capital Territory	20-24	Owner managers of unincorporated enterprises	374
Australian Capital Territory	20-24	Status in employment not stated	108
Australian Capital Territory	25-29	Contributing family workers	71
Australian Capital Territory	25-29	Employee	25862
Australian Capital Territory	25-29	Owner managers of incorporated enterprises	520
Australian Capital Territory	25-29	Owner managers of unincorporated enterprises	617
Australian Capital Territory	25-29	Status in employment not stated	106
Australian Capital Territory	30-34	Contributing family workers	106
Australian Capital Territory	30-34	Employee	27284
Australian Capital Territory	30-34	Owner managers of incorporated enterprises	988
Australian Capital Territory	30-34	Owner managers of unincorporated enterprises	898
Australian Capital Territory	30-34	Status in employment not stated	111
Australian Capital Territory	35-39	Contributing family workers	120
Australian Capital Territory	35-39	Employee	24648
Australian Capital Territory	35-39	Owner managers of incorporated enterprises	1224
Australian Capital Territory	35-39	Owner managers of unincorporated enterprises	990
Australian Capital Territory	35-39	Status in employment not stated	109
Australian Capital Territory	40-44	Contributing family workers	123
Australian Capital Territory	40-44	Employee	23557
Australian Capital Territory	40-44	Owner managers of incorporated enterprises	1423
Australian Capital Territory	40-44	Owner managers of unincorporated enterprises	1057
Australian Capital Territory	40-44	Status in employment not stated	133
Australian Capital Territory	45-49	Contributing family workers	155
Australian Capital Territory	45-49	Employee	22469
Australian Capital Territory	45-49	Owner managers of incorporated enterprises	1560
Australian Capital Territory	45-49	Owner managers of unincorporated enterprises	1139
Australian Capital Territory	45-49	Status in employment not stated	129
Australian Capital Territory	50-54	Contributing family workers	140
Australian Capital Territory	50-54	Employee	19882
Australian Capital Territory	50-54	Owner managers of incorporated enterprises	1333
Australian Capital Territory	50-54	Owner managers of unincorporated enterprises	1147
Australian Capital Territory	50-54	Status in employment not stated	114
Australian Capital Territory	55-59	Contributing family workers	137
Australian Capital Territory	55-59	Employee	15267
Australian Capital Territory	55-59	Owner managers of incorporated enterprises	1114
Australian Capital Territory	55-59	Owner managers of unincorporated enterprises	1052
Australian Capital Territory	55-59	Status in employment not stated	100
Australian Capital Territory	60-64	Contributing family workers	122
Australian Capital Territory	60-64	Employee	8802
Australian Capital Territory	60-64	Owner managers of incorporated enterprises	814
Australian Capital Territory	60-64	Owner managers of unincorporated enterprises	890
Australian Capital Territory	60-64	Status in employment not stated	95
Australian Capital Territory	65-69	Contributing family workers	127
Australian Capital Territory	65-69	Employee	3534
Australian Capital Territory	65-69	Owner managers of incorporated enterprises	526
Australian Capital Territory	65-69	Owner managers of unincorporated enterprises	615
Australian Capital Territory	65-69	Status in employment not stated	68
Australian Capital Territory	70-74	Contributing family workers	77
Australian Capital Territory	70-74	Employee	910
Australian Capital Territory	70-74	Owner managers of incorporated enterprises	214
Australian Capital Territory	70-74	Owner managers of unincorporated enterprises	252
Australian Capital Territory	70-74	Status in employment not stated	38
Australian Capital Territory	75+	Contributing family workers	84
Australian Capital Territory	75+	Employee	339
Australian Capital Territory	75+	Owner managers of incorporated enterprises	104
Australian Capital Territory	75+	Owner managers of unincorporated enterprises	128
Australian Capital Territory	75+	Status in employment not stated	42
Other Territories	15-19	Employee	70
Other Territories	20-24	Employee	163
Other Territories	25-29	Contributing family workers	3
Other Territories	25-29	Employee	210
Other Territories	25-29	Owner managers of incorporated enterprises	3
Other Territories	25-29	Owner managers of unincorporated enterprises	10
Other Territories	25-29	Status in employment not stated	3
Other Territories	30-34	Employee	233
Other Territories	30-34	Owner managers of incorporated enterprises	3
Other Territories	30-34	Owner managers of unincorporated enterprises	22
Other Territories	30-34	Status in employment not stated	7
Other Territories	35-39	Contributing family workers	3
Other Territories	35-39	Employee	261
Other Territories	35-39	Owner managers of incorporated enterprises	8
Other Territories	35-39	Owner managers of unincorporated enterprises	17
Other Territories	35-39	Status in employment not stated	8
Other Territories	40-44	Employee	246
Other Territories	40-44	Owner managers of incorporated enterprises	14
Other Territories	40-44	Owner managers of unincorporated enterprises	21
Other Territories	40-44	Status in employment not stated	11
Other Territories	45-49	Contributing family workers	7
Other Territories	45-49	Employee	243
Other Territories	45-49	Owner managers of incorporated enterprises	15
Other Territories	45-49	Owner managers of unincorporated enterprises	36
Other Territories	45-49	Status in employment not stated	8
Other Territories	50-54	Contributing family workers	3
Other Territories	50-54	Employee	279
Other Territories	50-54	Owner managers of incorporated enterprises	11
Other Territories	50-54	Owner managers of unincorporated enterprises	39
Other Territories	50-54	Status in employment not stated	11
Other Territories	55-59	Contributing family workers	8
Other Territories	55-59	Employee	249
Other Territories	55-59	Owner managers of incorporated enterprises	21
Other Territories	55-59	Owner managers of unincorporated enterprises	43
Other Territories	55-59	Status in employment not stated	5
Other Territories	60-64	Contributing family workers	10
Other Territories	60-64	Employee	184
Other Territories	60-64	Owner managers of incorporated enterprises	6
Other Territories	60-64	Owner managers of unincorporated enterprises	31
Other Territories	60-64	Status in employment not stated	3
Other Territories	65-69	Contributing family workers	7
Other Territories	65-69	Employee	127
Other Territories	65-69	Owner managers of incorporated enterprises	12
Other Territories	65-69	Owner managers of unincorporated enterprises	24
Other Territories	65-69	Status in employment not stated	5
Other Territories	70-74	Contributing family workers	3
Other Territories	70-74	Employee	33
Other Territories	70-74	Owner managers of incorporated enterprises	3
Other Territories	70-74	Owner managers of unincorporated enterprises	17
Other Territories	70-74	Status in employment not stated	3
Other Territories	75+	Contributing family workers	3
Other Territories	75+	Employee	10
Other Territories	75+	Owner managers of incorporated enterprises	3
Other Territories	75+	Owner managers of unincorporated enterprises	15
Other Territories	75+	Status in employment not stated	3
