SA3_NAME16	Age	ModeTravelToWork	NumberModes	Sex	workers
Queanbeyan	45-54	Truck	1	F	3
Queanbeyan	45-54	Truck	1	M	47
Queanbeyan	45-54	Walked only	1	F	72
Queanbeyan	45-54	Walked only	1	M	52
Queanbeyan	45-54	Worked at home		F	167
Queanbeyan	45-54	Worked at home		M	87
Queanbeyan	55-64	Bicycle	1	F	3
Queanbeyan	55-64	Bicycle	1	M	7
Queanbeyan	55-64	Bus	1	M	6
Queanbeyan	55-64	Bus and car as driver	2	F	4
Queanbeyan	55-64	Car as driver	1	F	658
Queanbeyan	55-64	Car as driver	1	M	898
Queanbeyan	55-64	Car as passenger	1	F	37
Queanbeyan	55-64	Car as passenger	1	M	25
Queanbeyan	55-64	Did not go to work		F	115
Queanbeyan	55-64	Did not go to work		M	88
Queanbeyan	55-64	Method of travel not stated		F	10
Queanbeyan	55-64	Method of travel not stated		M	13
Queanbeyan	55-64	Motorbike scooter	1	M	8
Queanbeyan	55-64	(Other)	1	F	8
Queanbeyan	55-64	(Other)	1	M	14
Queanbeyan	55-64	Other two methods	2	F	4
Queanbeyan	55-64	Other two methods	2	M	6
Queanbeyan	55-64	Taxi	1	F	3
Queanbeyan	55-64	Taxi	1	M	5
Queanbeyan	55-64	Truck	1	M	44
Queanbeyan	55-64	Walked only	1	F	69
Queanbeyan	55-64	Walked only	1	M	53
Queanbeyan	55-64	Worked at home		F	144
Queanbeyan	55-64	Worked at home		M	98
Queanbeyan	65-74	Bus	1	M	7
Queanbeyan	65-74	Car as driver	1	F	115
Queanbeyan	65-74	Car as driver	1	M	232
Queanbeyan	65-74	Car as passenger	1	F	16
Queanbeyan	65-74	Car as passenger	1	M	5
Queanbeyan	65-74	Did not go to work		F	36
Queanbeyan	65-74	Did not go to work		M	45
Queanbeyan	65-74	Method of travel not stated		M	3
Queanbeyan	65-74	(Other)	1	F	3
Queanbeyan	65-74	(Other)	1	M	6
Queanbeyan	65-74	Truck	1	F	3
Queanbeyan	65-74	Truck	1	M	17
Queanbeyan	65-74	Walked only	1	F	14
Queanbeyan	65-74	Walked only	1	M	18
Queanbeyan	65-74	Worked at home		F	79
Queanbeyan	65-74	Worked at home		M	102
Queanbeyan	75+	Car as driver	1	F	4
Queanbeyan	75+	Car as driver	1	M	37
Queanbeyan	75+	Car as passenger	1	F	6
Queanbeyan	75+	Did not go to work		F	4
Queanbeyan	75+	Did not go to work		M	10
Queanbeyan	75+	Method of travel not stated		F	3
Queanbeyan	75+	Method of travel not stated		M	3
Queanbeyan	75+	(Other)	1	M	3
Queanbeyan	75+	Truck	1	M	3
Queanbeyan	75+	Walked only	1	M	9
Queanbeyan	75+	Worked at home		F	13
Queanbeyan	75+	Worked at home		M	37
Snowy Mountains	15-24	Bicycle	1	F	3
Snowy Mountains	15-24	Bicycle	1	M	7
Snowy Mountains	15-24	Bus	1	F	7
Snowy Mountains	15-24	Bus	1	M	7
Snowy Mountains	15-24	Car as driver	1	F	353
Snowy Mountains	15-24	Car as driver	1	M	397
Snowy Mountains	15-24	Car as passenger	1	F	132
Snowy Mountains	15-24	Car as passenger	1	M	157
Snowy Mountains	15-24	Did not go to work		F	110
Snowy Mountains	15-24	Did not go to work		M	84
Snowy Mountains	15-24	Method of travel not stated		F	8
Snowy Mountains	15-24	Method of travel not stated		M	21
Snowy Mountains	15-24	Motorbike scooter	1	M	3
Snowy Mountains	15-24	(Other)	1	F	13
Snowy Mountains	15-24	(Other)	1	M	12
Snowy Mountains	15-24	Other three methods	3	F	3
Snowy Mountains	15-24	Other two methods	2	F	11
Snowy Mountains	15-24	Other two methods	2	M	8
Snowy Mountains	15-24	Taxi	1	F	4
Snowy Mountains	15-24	Train	1	F	4
Snowy Mountains	15-24	Train	1	M	6
Snowy Mountains	15-24	Train and bus	2	M	3
Snowy Mountains	15-24	Train and car as driver	2	F	22
Snowy Mountains	15-24	Train and car as driver	2	M	26
Snowy Mountains	15-24	Train and car as passenger	2	F	19
Snowy Mountains	15-24	Train and car as passenger	2	M	17
Snowy Mountains	15-24	Train and two other methods	3	F	10
Snowy Mountains	15-24	Train and two other methods	3	M	8
Snowy Mountains	15-24	Walked only	1	F	135
Snowy Mountains	15-24	Walked only	1	M	137
Snowy Mountains	15-24	Worked at home		F	10
Snowy Mountains	15-24	Worked at home		M	21
Snowy Mountains	25-34	Bicycle	1	F	3
Snowy Mountains	25-34	Bicycle	1	M	8
Snowy Mountains	25-34	Bus	1	M	6
Snowy Mountains	25-34	Car as driver	1	F	448
Snowy Mountains	25-34	Car as driver	1	M	514
Snowy Mountains	25-34	Car as passenger	1	F	66
Snowy Mountains	25-34	Car as passenger	1	M	69
Snowy Mountains	25-34	Did not go to work		F	128
Snowy Mountains	25-34	Did not go to work		M	65
Snowy Mountains	25-34	Method of travel not stated		M	3
Snowy Mountains	25-34	Motorbike scooter	1	M	3
Snowy Mountains	25-34	(Other)	1	F	12
Snowy Mountains	25-34	(Other)	1	M	20
Snowy Mountains	25-34	Other three methods	3	M	3
Snowy Mountains	25-34	Other two methods	2	F	3
Snowy Mountains	25-34	Other two methods	2	M	7
Snowy Mountains	25-34	Train	1	F	3
Snowy Mountains	25-34	Train	1	M	6
Snowy Mountains	25-34	Train and car as driver	2	F	10
Snowy Mountains	25-34	Train and car as driver	2	M	16
Snowy Mountains	25-34	Train and car as passenger	2	M	4
Snowy Mountains	25-34	Train and two other methods	3	F	7
Snowy Mountains	25-34	Train and two other methods	3	M	8
Snowy Mountains	25-34	Truck	1	M	11
Snowy Mountains	25-34	Walked only	1	F	144
Snowy Mountains	25-34	Walked only	1	M	176
Snowy Mountains	25-34	Worked at home		F	37
Snowy Mountains	25-34	Worked at home		M	34
Snowy Mountains	35-44	Bicycle	1	M	12
Snowy Mountains	35-44	Bus	1	F	3
Snowy Mountains	35-44	Car as driver	1	F	538
Snowy Mountains	35-44	Car as driver	1	M	517
Snowy Mountains	35-44	Car as passenger	1	F	26
Snowy Mountains	35-44	Car as passenger	1	M	27
Snowy Mountains	35-44	Did not go to work		F	86
Snowy Mountains	35-44	Did not go to work		M	52
Snowy Mountains	35-44	Method of travel not stated		F	20
Snowy Mountains	35-44	Method of travel not stated		M	13
Snowy Mountains	35-44	Motorbike scooter	1	M	3
Snowy Mountains	35-44	(Other)	1	F	6
Snowy Mountains	35-44	(Other)	1	M	25
Snowy Mountains	35-44	Other two methods	2	F	7
Snowy Mountains	35-44	Other two methods	2	M	7
Snowy Mountains	35-44	Taxi	1	F	3
Snowy Mountains	35-44	Train and car as driver	2	F	4
Snowy Mountains	35-44	Train and car as driver	2	M	9
Snowy Mountains	35-44	Truck	1	M	10
Snowy Mountains	35-44	Walked only	1	F	55
Snowy Mountains	35-44	Walked only	1	M	90
Snowy Mountains	35-44	Worked at home		F	76
Snowy Mountains	35-44	Worked at home		M	48
Snowy Mountains	45-54	Bicycle	1	F	4
Snowy Mountains	45-54	Bicycle	1	M	7
Snowy Mountains	45-54	Bus	1	M	3
Snowy Mountains	45-54	Car as driver	1	F	707
Snowy Mountains	45-54	Car as driver	1	M	651
Snowy Mountains	45-54	Car as passenger	1	F	47
Snowy Mountains	45-54	Car as passenger	1	M	19
Snowy Mountains	45-54	Did not go to work		F	89
Snowy Mountains	45-54	Did not go to work		M	64
Snowy Mountains	45-54	Method of travel not stated		F	3
Snowy Mountains	45-54	Method of travel not stated		M	17
Snowy Mountains	45-54	Motorbike scooter	1	M	7
Snowy Mountains	45-54	(Other)	1	F	7
Snowy Mountains	45-54	(Other)	1	M	18
Snowy Mountains	45-54	Other two methods	2	F	3
Snowy Mountains	45-54	Other two methods	2	M	4
Snowy Mountains	45-54	Train	1	F	5
Snowy Mountains	45-54	Train	1	M	3
Snowy Mountains	45-54	Train and car as driver	2	F	6
Snowy Mountains	45-54	Train and car as driver	2	M	9
Snowy Mountains	45-54	Truck	1	M	27
Snowy Mountains	45-54	Walked only	1	F	103
Snowy Mountains	45-54	Walked only	1	M	79
Snowy Mountains	45-54	Worked at home		F	106
Snowy Mountains	45-54	Worked at home		M	88
Snowy Mountains	55-64	Bicycle	1	M	6
Snowy Mountains	55-64	Bus	1	F	5
Snowy Mountains	55-64	Bus	1	M	4
Snowy Mountains	55-64	Car as driver	1	F	413
Snowy Mountains	55-64	Car as driver	1	M	525
Snowy Mountains	55-64	Car as passenger	1	F	37
Snowy Mountains	55-64	Car as passenger	1	M	15
Snowy Mountains	55-64	Did not go to work		F	115
Snowy Mountains	55-64	Did not go to work		M	78
Snowy Mountains	55-64	Method of travel not stated		F	12
Snowy Mountains	55-64	Method of travel not stated		M	13
Snowy Mountains	55-64	Motorbike scooter	1	M	4
Snowy Mountains	55-64	(Other)	1	F	14
Snowy Mountains	55-64	(Other)	1	M	22
Snowy Mountains	55-64	Other two methods	2	M	11
Snowy Mountains	55-64	Train	1	F	4
Snowy Mountains	55-64	Train and car as driver	2	F	3
Snowy Mountains	55-64	Train and car as driver	2	M	8
Snowy Mountains	55-64	Train and two other methods	3	M	3
Snowy Mountains	55-64	Truck	1	M	31
Snowy Mountains	55-64	Walked only	1	F	59
Snowy Mountains	55-64	Walked only	1	M	71
Snowy Mountains	55-64	Worked at home		F	86
Snowy Mountains	55-64	Worked at home		M	113
Snowy Mountains	65-74	Bus	1	M	3
Snowy Mountains	65-74	Car as driver	1	F	115
Snowy Mountains	65-74	Car as driver	1	M	139
Snowy Mountains	65-74	Car as passenger	1	F	9
Snowy Mountains	65-74	Car as passenger	1	M	5
Snowy Mountains	65-74	Did not go to work		F	32
Snowy Mountains	65-74	Did not go to work		M	30
Snowy Mountains	65-74	Method of travel not stated		F	9
Snowy Mountains	65-74	Method of travel not stated		M	6
Snowy Mountains	65-74	Motorbike scooter	1	M	3
Snowy Mountains	65-74	(Other)	1	F	12
Snowy Mountains	65-74	(Other)	1	M	15
Snowy Mountains	65-74	Other two methods	2	M	3
Snowy Mountains	65-74	Truck	1	M	14
Snowy Mountains	65-74	Walked only	1	F	21
Snowy Mountains	65-74	Walked only	1	M	20
Snowy Mountains	65-74	Worked at home		F	65
Snowy Mountains	65-74	Worked at home		M	79
Snowy Mountains	75+	Car as driver	1	F	7
Snowy Mountains	75+	Car as driver	1	M	15
Snowy Mountains	75+	Did not go to work		F	3
Snowy Mountains	75+	Did not go to work		M	10
Snowy Mountains	75+	Method of travel not stated		F	5
Snowy Mountains	75+	Method of travel not stated		M	3
Snowy Mountains	75+	Truck	1	M	8
Snowy Mountains	75+	Walked only	1	F	3
Snowy Mountains	75+	Walked only	1	M	14
Snowy Mountains	75+	Worked at home		F	19
Snowy Mountains	75+	Worked at home		M	41
South Coast	15-24	Bicycle	1	F	5
South Coast	15-24	Bicycle	1	M	13
South Coast	15-24	Bus	1	F	19
South Coast	15-24	Bus	1	M	15
South Coast	15-24	Bus and car as passenger	2	F	4
South Coast	15-24	Bus and car as passenger	2	M	7
South Coast	15-24	Car as driver	1	F	812
South Coast	15-24	Car as driver	1	M	809
South Coast	15-24	Car as passenger	1	F	251
South Coast	15-24	Car as passenger	1	M	213
South Coast	15-24	Did not go to work		F	307
South Coast	15-24	Did not go to work		M	211
South Coast	15-24	Method of travel not stated		F	40
South Coast	15-24	Method of travel not stated		M	33
South Coast	15-24	Motorbike scooter	1	F	3
South Coast	15-24	Motorbike scooter	1	M	18
South Coast	15-24	(Other)	1	F	3
South Coast	15-24	(Other)	1	M	4
South Coast	15-24	Other two methods	2	F	4
South Coast	15-24	Other two methods	2	M	10
South Coast	15-24	Taxi	1	M	3
South Coast	15-24	Truck	1	M	8
South Coast	15-24	Walked only	1	F	85
South Coast	15-24	Walked only	1	M	82
South Coast	15-24	Worked at home		F	11
South Coast	15-24	Worked at home		M	9
South Coast	25-34	Bicycle	1	F	5
South Coast	25-34	Bicycle	1	M	11
South Coast	25-34	Bus	1	F	3
South Coast	25-34	Bus	1	M	11
South Coast	25-34	Car as driver	1	F	1121
South Coast	25-34	Car as driver	1	M	1170
South Coast	25-34	Car as passenger	1	F	67
South Coast	25-34	Car as passenger	1	M	82
South Coast	25-34	Did not go to work		F	256
South Coast	25-34	Did not go to work		M	134
South Coast	25-34	Method of travel not stated		F	25
South Coast	25-34	Method of travel not stated		M	17
South Coast	25-34	Motorbike scooter	1	M	15
South Coast	25-34	(Other)	1	F	8
South Coast	25-34	(Other)	1	M	8
South Coast	25-34	Other two methods	2	F	13
South Coast	25-34	Other two methods	2	M	13
South Coast	25-34	Truck	1	M	26
South Coast	25-34	Walked only	1	F	63
South Coast	25-34	Walked only	1	M	71
South Coast	25-34	Worked at home		F	73
South Coast	25-34	Worked at home		M	30
South Coast	35-44	Bicycle	1	F	13
South Coast	35-44	Bicycle	1	M	18
South Coast	35-44	Bus	1	F	13
South Coast	35-44	Bus	1	M	5
South Coast	35-44	Car as driver	1	F	1660
South Coast	35-44	Car as driver	1	M	1479
South Coast	35-44	Car as passenger	1	F	77
South Coast	35-44	Car as passenger	1	M	72
South Coast	35-44	Did not go to work		F	267
South Coast	35-44	Did not go to work		M	155
South Coast	35-44	Method of travel not stated		F	23
South Coast	35-44	Method of travel not stated		M	30
South Coast	35-44	Motorbike scooter	1	F	4
South Coast	35-44	Motorbike scooter	1	M	14
South Coast	35-44	(Other)	1	F	8
South Coast	35-44	(Other)	1	M	17
South Coast	35-44	Other two methods	2	F	4
South Coast	35-44	Other two methods	2	M	16
South Coast	35-44	Taxi	1	M	3
South Coast	35-44	Truck	1	M	27
South Coast	35-44	Walked only	1	F	81
South Coast	35-44	Walked only	1	M	80
South Coast	35-44	Worked at home		F	170
South Coast	35-44	Worked at home		M	102
South Coast	45-54	Bicycle	1	F	9
South Coast	45-54	Bicycle	1	M	27
South Coast	45-54	Bus	1	F	5
South Coast	45-54	Bus	1	M	7
South Coast	45-54	Car as driver	1	F	2356
South Coast	45-54	Car as driver	1	M	1985
South Coast	45-54	Car as passenger	1	F	122
South Coast	45-54	Car as passenger	1	M	51
South Coast	45-54	Did not go to work		F	376
South Coast	45-54	Did not go to work		M	213
South Coast	45-54	Method of travel not stated		F	29
South Coast	45-54	Method of travel not stated		M	22
South Coast	45-54	Motorbike scooter	1	F	4
South Coast	45-54	Motorbike scooter	1	M	25
South Coast	45-54	(Other)	1	F	17
South Coast	45-54	(Other)	1	M	22
South Coast	45-54	Other two methods	2	F	14
South Coast	45-54	Other two methods	2	M	18
South Coast	45-54	Truck	1	F	8
South Coast	45-54	Truck	1	M	94
South Coast	45-54	Walked only	1	F	142
South Coast	45-54	Walked only	1	M	93
South Coast	45-54	Worked at home		F	215
South Coast	45-54	Worked at home		M	167
South Coast	55-64	Bicycle	1	F	5
South Coast	55-64	Bicycle	1	M	26
South Coast	55-64	Bus	1	F	4
South Coast	55-64	Car as driver	1	F	1919
South Coast	55-64	Car as driver	1	M	1871
South Coast	55-64	Car as passenger	1	F	91
South Coast	55-64	Car as passenger	1	M	43
South Coast	55-64	Did not go to work		F	466
South Coast	55-64	Did not go to work		M	278
South Coast	55-64	Method of travel not stated		F	41
South Coast	55-64	Method of travel not stated		M	22
South Coast	55-64	Motorbike scooter	1	M	29
South Coast	55-64	(Other)	1	F	20
South Coast	55-64	(Other)	1	M	28
South Coast	55-64	Other three methods	3	M	3
South Coast	55-64	Other two methods	2	F	4
South Coast	55-64	Other two methods	2	M	13
South Coast	55-64	Taxi	1	F	3
South Coast	55-64	Taxi	1	M	4
South Coast	55-64	Truck	1	F	3
South Coast	55-64	Truck	1	M	82
South Coast	55-64	Walked only	1	F	136
South Coast	55-64	Walked only	1	M	125
South Coast	55-64	Worked at home		F	287
South Coast	55-64	Worked at home		M	246
South Coast	65-74	Bicycle	1	M	6
South Coast	65-74	Car as driver	1	F	263
South Coast	65-74	Car as driver	1	M	410
South Coast	65-74	Car as passenger	1	F	22
South Coast	65-74	Car as passenger	1	M	3
South Coast	65-74	Did not go to work		F	122
South Coast	65-74	Did not go to work		M	93
South Coast	65-74	Method of travel not stated		F	14
South Coast	65-74	Method of travel not stated		M	17
South Coast	65-74	Motorbike scooter	1	M	3
South Coast	65-74	(Other)	1	F	4
South Coast	65-74	(Other)	1	M	7
South Coast	65-74	Other two methods	2	M	3
South Coast	65-74	Truck	1	M	28
South Coast	65-74	Walked only	1	F	29
South Coast	65-74	Walked only	1	M	56
South Coast	65-74	Worked at home		F	151
South Coast	65-74	Worked at home		M	169
South Coast	75+	Car as driver	1	F	22
South Coast	75+	Car as driver	1	M	39
South Coast	75+	Did not go to work		F	3
South Coast	75+	Did not go to work		M	15
South Coast	75+	Method of travel not stated		F	10
South Coast	75+	Method of travel not stated		M	8
South Coast	75+	(Other)	1	M	7
South Coast	75+	Truck	1	M	4
South Coast	75+	Walked only	1	F	3
South Coast	75+	Walked only	1	M	12
South Coast	75+	Worked at home		F	21
South Coast	75+	Worked at home		M	64
Goulburn - Mulwaree	15-24	Bus	1	F	6
Goulburn - Mulwaree	15-24	Bus	1	M	4
Goulburn - Mulwaree	15-24	Car as driver	1	F	531
Goulburn - Mulwaree	15-24	Car as driver	1	M	590
Goulburn - Mulwaree	15-24	Car as passenger	1	F	175
Goulburn - Mulwaree	15-24	Car as passenger	1	M	184
Goulburn - Mulwaree	15-24	Did not go to work		F	165
Goulburn - Mulwaree	15-24	Did not go to work		M	130
Goulburn - Mulwaree	15-24	Method of travel not stated		F	14
Goulburn - Mulwaree	15-24	Method of travel not stated		M	27
Goulburn - Mulwaree	15-24	Motorbike scooter	1	M	6
Goulburn - Mulwaree	15-24	(Other)	1	M	3
Goulburn - Mulwaree	15-24	Other two methods	2	F	4
Goulburn - Mulwaree	15-24	Other two methods	2	M	7
Goulburn - Mulwaree	15-24	Taxi	1	F	3
Goulburn - Mulwaree	15-24	Truck	1	M	10
Goulburn - Mulwaree	15-24	Walked only	1	F	21
Goulburn - Mulwaree	15-24	Walked only	1	M	30
Goulburn - Mulwaree	15-24	Worked at home		F	10
Goulburn - Mulwaree	15-24	Worked at home		M	13
Goulburn - Mulwaree	25-34	Bicycle	1	M	3
Goulburn - Mulwaree	25-34	Bus	1	M	3
Goulburn - Mulwaree	25-34	Car as driver	1	F	808
Goulburn - Mulwaree	25-34	Car as driver	1	M	883
Goulburn - Mulwaree	25-34	Car as passenger	1	F	65
Goulburn - Mulwaree	25-34	Car as passenger	1	M	72
Goulburn - Mulwaree	25-34	Did not go to work		F	205
Goulburn - Mulwaree	25-34	Did not go to work		M	74
Goulburn - Mulwaree	25-34	Method of travel not stated		F	6
Goulburn - Mulwaree	25-34	Method of travel not stated		M	18
Goulburn - Mulwaree	25-34	Motorbike scooter	1	M	3
Goulburn - Mulwaree	25-34	(Other)	1	F	3
Goulburn - Mulwaree	25-34	(Other)	1	M	9
Goulburn - Mulwaree	25-34	Other two methods	2	F	8
Goulburn - Mulwaree	25-34	Other two methods	2	M	15
Goulburn - Mulwaree	25-34	Taxi	1	F	3
Goulburn - Mulwaree	25-34	Taxi	1	M	3
Goulburn - Mulwaree	25-34	Train	1	F	3
Goulburn - Mulwaree	25-34	Train	1	M	5
Goulburn - Mulwaree	25-34	Truck	1	M	18
Goulburn - Mulwaree	25-34	Walked only	1	F	51
Goulburn - Mulwaree	25-34	Walked only	1	M	51
Goulburn - Mulwaree	25-34	Worked at home		F	56
Goulburn - Mulwaree	25-34	Worked at home		M	26
Goulburn - Mulwaree	35-44	Bicycle	1	F	4
Goulburn - Mulwaree	35-44	Bicycle	1	M	5
Goulburn - Mulwaree	35-44	Bus	1	F	5
Goulburn - Mulwaree	35-44	Bus	1	M	12
Goulburn - Mulwaree	35-44	Car as driver	1	F	950
Goulburn - Mulwaree	35-44	Car as driver	1	M	906
Goulburn - Mulwaree	35-44	Car as passenger	1	F	28
Goulburn - Mulwaree	35-44	Car as passenger	1	M	52
Goulburn - Mulwaree	35-44	Did not go to work		F	143
Goulburn - Mulwaree	35-44	Did not go to work		M	98
Goulburn - Mulwaree	35-44	Method of travel not stated		F	12
Goulburn - Mulwaree	35-44	Method of travel not stated		M	13
Goulburn - Mulwaree	35-44	Motorbike scooter	1	F	3
Goulburn - Mulwaree	35-44	Motorbike scooter	1	M	16
Goulburn - Mulwaree	35-44	(Other)	1	F	4
Goulburn - Mulwaree	35-44	(Other)	1	M	10
Goulburn - Mulwaree	35-44	Other two methods	2	F	4
Goulburn - Mulwaree	35-44	Other two methods	2	M	8
Goulburn - Mulwaree	35-44	Taxi	1	F	3
Goulburn - Mulwaree	35-44	Train	1	F	3
Goulburn - Mulwaree	35-44	Train and car as driver	2	M	3
Goulburn - Mulwaree	35-44	Truck	1	M	32
Goulburn - Mulwaree	35-44	Walked only	1	F	40
Goulburn - Mulwaree	35-44	Walked only	1	M	44
Goulburn - Mulwaree	35-44	Worked at home		F	81
Goulburn - Mulwaree	35-44	Worked at home		M	51
Goulburn - Mulwaree	45-54	Bicycle	1	F	3
Goulburn - Mulwaree	45-54	Bicycle	1	M	8
Goulburn - Mulwaree	45-54	Bus	1	F	3
Goulburn - Mulwaree	45-54	Bus	1	M	11
Goulburn - Mulwaree	45-54	Car as driver	1	F	1166
Goulburn - Mulwaree	45-54	Car as driver	1	M	1073
Goulburn - Mulwaree	45-54	Car as passenger	1	F	72
Goulburn - Mulwaree	45-54	Car as passenger	1	M	41
Goulburn - Mulwaree	45-54	Did not go to work		F	163
Goulburn - Mulwaree	45-54	Did not go to work		M	113
Goulburn - Mulwaree	45-54	Method of travel not stated		F	20
Goulburn - Mulwaree	45-54	Method of travel not stated		M	17
Goulburn - Mulwaree	45-54	Motorbike scooter	1	M	16
Goulburn - Mulwaree	45-54	(Other)	1	M	15
Goulburn - Mulwaree	45-54	Other three methods	3	M	3
Goulburn - Mulwaree	45-54	Other two methods	2	F	4
Goulburn - Mulwaree	45-54	Other two methods	2	M	8
Goulburn - Mulwaree	45-54	Taxi	1	M	3
Goulburn - Mulwaree	45-54	Train	1	M	3
Goulburn - Mulwaree	45-54	Truck	1	F	7
Goulburn - Mulwaree	45-54	Truck	1	M	38
Goulburn - Mulwaree	45-54	Walked only	1	F	52
Goulburn - Mulwaree	45-54	Walked only	1	M	45
Goulburn - Mulwaree	45-54	Worked at home		F	98
Goulburn - Mulwaree	45-54	Worked at home		M	77
Goulburn - Mulwaree	55-64	Bicycle	1	M	8
Goulburn - Mulwaree	55-64	Bus	1	M	7
Goulburn - Mulwaree	55-64	Car as driver	1	F	774
Goulburn - Mulwaree	55-64	Car as driver	1	M	828
Goulburn - Mulwaree	55-64	Car as passenger	1	F	50
Goulburn - Mulwaree	55-64	Car as passenger	1	M	25
Goulburn - Mulwaree	55-64	Did not go to work		F	151
Goulburn - Mulwaree	55-64	Did not go to work		M	96
Goulburn - Mulwaree	55-64	Method of travel not stated		F	12
Goulburn - Mulwaree	55-64	Method of travel not stated		M	16
Goulburn - Mulwaree	55-64	Motorbike scooter	1	F	3
Goulburn - Mulwaree	55-64	Motorbike scooter	1	M	19
Goulburn - Mulwaree	55-64	(Other)	1	F	13
Goulburn - Mulwaree	55-64	(Other)	1	M	9
Goulburn - Mulwaree	55-64	Other two methods	2	F	4
Goulburn - Mulwaree	55-64	Other two methods	2	M	5
Goulburn - Mulwaree	55-64	Taxi	1	M	4
Goulburn - Mulwaree	55-64	Truck	1	M	41
Goulburn - Mulwaree	55-64	Walked only	1	F	70
Goulburn - Mulwaree	55-64	Walked only	1	M	71
Goulburn - Mulwaree	55-64	Worked at home		F	115
Goulburn - Mulwaree	55-64	Worked at home		M	134
Goulburn - Mulwaree	65-74	Car as driver	1	F	129
