SA3_NAME16	Age	ModeTravelToWork	NumberModes	workers
Snowy Mountains	15-24	Train and car as driver	2	50
Snowy Mountains	15-24	Train and car as passenger	2	38
Snowy Mountains	15-24	Train and two other methods	3	16
Snowy Mountains	15-24	Walked only	1	276
Snowy Mountains	15-24	Worked at home		32
Snowy Mountains	25-34	Bicycle	1	10
Snowy Mountains	25-34	Bus	1	6
Snowy Mountains	25-34	Car as driver	1	962
Snowy Mountains	25-34	Car as passenger	1	135
Snowy Mountains	25-34	Did not go to work		189
Snowy Mountains	25-34	Method of travel not stated		4
Snowy Mountains	25-34	Motorbike scooter	1	3
Snowy Mountains	25-34	(Other)	1	34
Snowy Mountains	25-34	Other three methods	3	3
Snowy Mountains	25-34	Other two methods	2	11
Snowy Mountains	25-34	Train	1	14
Snowy Mountains	25-34	Train and car as driver	2	19
Snowy Mountains	25-34	Train and car as passenger	2	7
Snowy Mountains	25-34	Train and two other methods	3	9
Snowy Mountains	25-34	Truck	1	11
Snowy Mountains	25-34	Walked only	1	316
Snowy Mountains	25-34	Worked at home		65
Snowy Mountains	35-44	Bicycle	1	15
Snowy Mountains	35-44	Bus	1	7
Snowy Mountains	35-44	Car as driver	1	1058
Snowy Mountains	35-44	Car as passenger	1	50
Snowy Mountains	35-44	Did not go to work		136
Snowy Mountains	35-44	Method of travel not stated		31
Snowy Mountains	35-44	Motorbike scooter	1	3
Snowy Mountains	35-44	(Other)	1	33
Snowy Mountains	35-44	Other two methods	2	13
Snowy Mountains	35-44	Taxi	1	3
Snowy Mountains	35-44	Train and car as driver	2	11
Snowy Mountains	35-44	Truck	1	10
Snowy Mountains	35-44	Walked only	1	146
Snowy Mountains	35-44	Worked at home		126
Snowy Mountains	45-54	Bicycle	1	9
Snowy Mountains	45-54	Bus	1	3
Snowy Mountains	45-54	Car as driver	1	1355
Snowy Mountains	45-54	Car as passenger	1	69
Snowy Mountains	45-54	Did not go to work		150
Snowy Mountains	45-54	Method of travel not stated		17
Snowy Mountains	45-54	Motorbike scooter	1	3
Snowy Mountains	45-54	(Other)	1	23
Snowy Mountains	45-54	Other two methods	2	8
Snowy Mountains	45-54	Train	1	7
Snowy Mountains	45-54	Train and car as driver	2	13
Snowy Mountains	45-54	Truck	1	27
Snowy Mountains	45-54	Walked only	1	182
Snowy Mountains	45-54	Worked at home		187
Snowy Mountains	55-64	Bicycle	1	10
Snowy Mountains	55-64	Bus	1	7
Snowy Mountains	55-64	Car as driver	1	943
Snowy Mountains	55-64	Car as passenger	1	49
Snowy Mountains	55-64	Did not go to work		195
Snowy Mountains	55-64	Method of travel not stated		21
Snowy Mountains	55-64	Motorbike scooter	1	7
Snowy Mountains	55-64	(Other)	1	33
Snowy Mountains	55-64	Other three methods	3	3
Snowy Mountains	55-64	Other two methods	2	12
Snowy Mountains	55-64	Train	1	7
Snowy Mountains	55-64	Train and car as driver	2	6
Snowy Mountains	55-64	Train and two other methods	3	3
Snowy Mountains	55-64	Truck	1	31
Snowy Mountains	55-64	Walked only	1	130
Snowy Mountains	55-64	Worked at home		197
Snowy Mountains	65-74	Bus	1	3
Snowy Mountains	65-74	Car as driver	1	255
Snowy Mountains	65-74	Car as passenger	1	10
Snowy Mountains	65-74	Did not go to work		61
Snowy Mountains	65-74	Method of travel not stated		11
Snowy Mountains	65-74	Motorbike scooter	1	3
Snowy Mountains	65-74	(Other)	1	22
Snowy Mountains	65-74	Other two methods	2	3
Snowy Mountains	65-74	Truck	1	14
Snowy Mountains	65-74	Walked only	1	40
Snowy Mountains	65-74	Worked at home		140
Snowy Mountains	75+	Car as driver	1	22
Snowy Mountains	75+	Car as passenger	1	3
Snowy Mountains	75+	Did not go to work		12
Snowy Mountains	75+	Method of travel not stated		9
Snowy Mountains	75+	Truck	1	8
Snowy Mountains	75+	Walked only	1	15
Snowy Mountains	75+	Worked at home		58
South Coast	15-24	Bicycle	1	21
South Coast	15-24	Bus	1	36
South Coast	15-24	Bus and car as passenger	2	9
South Coast	15-24	Car as driver	1	1621
South Coast	15-24	Car as passenger	1	466
South Coast	15-24	Did not go to work		520
South Coast	15-24	Method of travel not stated		73
South Coast	15-24	Motorbike scooter	1	21
South Coast	15-24	(Other)	1	3
South Coast	15-24	Other two methods	2	14
South Coast	15-24	Taxi	1	3
South Coast	15-24	Train	1	3
South Coast	15-24	Truck	1	8
South Coast	15-24	Walked only	1	162
South Coast	15-24	Worked at home		22
South Coast	25-34	Bicycle	1	15
South Coast	25-34	Bus	1	11
South Coast	25-34	Car as driver	1	2297
South Coast	25-34	Car as passenger	1	142
South Coast	25-34	Did not go to work		392
South Coast	25-34	Method of travel not stated		39
South Coast	25-34	Motorbike scooter	1	15
South Coast	25-34	(Other)	1	17
South Coast	25-34	Other two methods	2	26
South Coast	25-34	Truck	1	24
South Coast	25-34	Walked only	1	126
South Coast	25-34	Worked at home		104
South Coast	35-44	Bicycle	1	25
South Coast	35-44	Bus	1	16
South Coast	35-44	Bus and car as passenger	2	3
South Coast	35-44	Car as driver	1	3133
South Coast	35-44	Car as passenger	1	145
South Coast	35-44	Did not go to work		419
South Coast	35-44	Method of travel not stated		49
South Coast	35-44	Motorbike scooter	1	12
South Coast	35-44	(Other)	1	27
South Coast	35-44	Other two methods	2	19
South Coast	35-44	Taxi	1	3
South Coast	35-44	Truck	1	30
South Coast	35-44	Walked only	1	161
South Coast	35-44	Worked at home		274
South Coast	45-54	Bicycle	1	34
South Coast	45-54	Bus	1	14
South Coast	45-54	Bus and car as passenger	2	3
South Coast	45-54	Car as driver	1	4341
South Coast	45-54	Car as passenger	1	175
South Coast	45-54	Did not go to work		587
South Coast	45-54	Method of travel not stated		49
South Coast	45-54	Motorbike scooter	1	33
South Coast	45-54	(Other)	1	36
South Coast	45-54	Other three methods	3	4
South Coast	45-54	Other two methods	2	25
South Coast	45-54	Truck	1	104
South Coast	45-54	Walked only	1	233
South Coast	45-54	Worked at home		380
South Coast	55-64	Bicycle	1	33
South Coast	55-64	Bus	1	5
South Coast	55-64	Bus and car as passenger	2	3
South Coast	55-64	Car as driver	1	3786
South Coast	55-64	Car as passenger	1	135
South Coast	55-64	Did not go to work		746
South Coast	55-64	Method of travel not stated		62
South Coast	55-64	Motorbike scooter	1	33
South Coast	55-64	(Other)	1	51
South Coast	55-64	Other three methods	3	6
South Coast	55-64	Other two methods	2	24
South Coast	55-64	Taxi	1	3
South Coast	55-64	Truck	1	83
South Coast	55-64	Walked only	1	259
South Coast	55-64	Worked at home		535
South Coast	65-74	Bicycle	1	6
South Coast	65-74	Car as driver	1	675
South Coast	65-74	Car as passenger	1	26
South Coast	65-74	Did not go to work		213
South Coast	65-74	Method of travel not stated		32
South Coast	65-74	Motorbike scooter	1	3
South Coast	65-74	(Other)	1	18
South Coast	65-74	Other two methods	2	3
South Coast	65-74	Truck	1	32
South Coast	65-74	Walked only	1	84
South Coast	65-74	Worked at home		325
South Coast	75+	Car as driver	1	62
South Coast	75+	Car as passenger	1	3
South Coast	75+	Did not go to work		19
South Coast	75+	Method of travel not stated		17
South Coast	75+	(Other)	1	7
South Coast	75+	Truck	1	5
South Coast	75+	Walked only	1	11
South Coast	75+	Worked at home		84
Goulburn - Mulwaree	15-24	Bicycle	1	3
Goulburn - Mulwaree	15-24	Bus	1	6
Goulburn - Mulwaree	15-24	Car as driver	1	1122
Goulburn - Mulwaree	15-24	Car as passenger	1	362
Goulburn - Mulwaree	15-24	Did not go to work		296
Goulburn - Mulwaree	15-24	Method of travel not stated		38
Goulburn - Mulwaree	15-24	Motorbike scooter	1	6
Goulburn - Mulwaree	15-24	(Other)	1	3
Goulburn - Mulwaree	15-24	Other two methods	2	15
Goulburn - Mulwaree	15-24	Taxi	1	8
Goulburn - Mulwaree	15-24	Truck	1	10
Goulburn - Mulwaree	15-24	Walked only	1	58
Goulburn - Mulwaree	15-24	Worked at home		27
Goulburn - Mulwaree	25-34	Bicycle	1	5
Goulburn - Mulwaree	25-34	Bus	1	3
Goulburn - Mulwaree	25-34	Car as driver	1	1694
Goulburn - Mulwaree	25-34	Car as passenger	1	138
Goulburn - Mulwaree	25-34	Did not go to work		275
Goulburn - Mulwaree	25-34	Method of travel not stated		24
Goulburn - Mulwaree	25-34	Motorbike scooter	1	3
Goulburn - Mulwaree	25-34	(Other)	1	6
Goulburn - Mulwaree	25-34	Other two methods	2	20
Goulburn - Mulwaree	25-34	Taxi	1	9
Goulburn - Mulwaree	25-34	Train	1	9
Goulburn - Mulwaree	25-34	Truck	1	18
Goulburn - Mulwaree	25-34	Walked only	1	101
Goulburn - Mulwaree	25-34	Worked at home		89
Goulburn - Mulwaree	35-44	Bicycle	1	7
Goulburn - Mulwaree	35-44	Bus	1	11
Goulburn - Mulwaree	35-44	Car as driver	1	1854
Goulburn - Mulwaree	35-44	Car as passenger	1	77
Goulburn - Mulwaree	35-44	Did not go to work		238
Goulburn - Mulwaree	35-44	Method of travel not stated		20
Goulburn - Mulwaree	35-44	Motorbike scooter	1	13
Goulburn - Mulwaree	35-44	(Other)	1	16
Goulburn - Mulwaree	35-44	Other two methods	2	14
Goulburn - Mulwaree	35-44	Taxi	1	5
Goulburn - Mulwaree	35-44	Train	1	4
Goulburn - Mulwaree	35-44	Truck	1	32
Goulburn - Mulwaree	35-44	Walked only	1	87
Goulburn - Mulwaree	35-44	Worked at home		129
Goulburn - Mulwaree	45-54	Bicycle	1	5
Goulburn - Mulwaree	45-54	Bus	1	9
Goulburn - Mulwaree	45-54	Bus and car as driver	2	3
Goulburn - Mulwaree	45-54	Car as driver	1	2238
Goulburn - Mulwaree	45-54	Car as passenger	1	108
Goulburn - Mulwaree	45-54	Did not go to work		277
Goulburn - Mulwaree	45-54	Ferry	1	3
Goulburn - Mulwaree	45-54	Method of travel not stated		37
Goulburn - Mulwaree	45-54	Motorbike scooter	1	18
Goulburn - Mulwaree	45-54	(Other)	1	16
Goulburn - Mulwaree	45-54	Other three methods	3	3
Goulburn - Mulwaree	45-54	Other two methods	2	17
Goulburn - Mulwaree	45-54	Taxi	1	6
Goulburn - Mulwaree	45-54	Train	1	3
Goulburn - Mulwaree	45-54	Train and car as driver	2	3
Goulburn - Mulwaree	45-54	Truck	1	47
Goulburn - Mulwaree	45-54	Walked only	1	101
Goulburn - Mulwaree	45-54	Worked at home		183
Goulburn - Mulwaree	55-64	Bicycle	1	8
Goulburn - Mulwaree	55-64	Bus	1	6
Goulburn - Mulwaree	55-64	Car as driver	1	1608
Goulburn - Mulwaree	55-64	Car as passenger	1	72
Goulburn - Mulwaree	55-64	Did not go to work		244
Goulburn - Mulwaree	55-64	Method of travel not stated		29
Goulburn - Mulwaree	55-64	Motorbike scooter	1	18
Goulburn - Mulwaree	55-64	(Other)	1	27
Goulburn - Mulwaree	55-64	Other two methods	2	13
Goulburn - Mulwaree	55-64	Taxi	1	4
Goulburn - Mulwaree	55-64	Truck	1	39
Goulburn - Mulwaree	55-64	Walked only	1	141
Goulburn - Mulwaree	55-64	Worked at home		247
Goulburn - Mulwaree	65-74	Car as driver	1	345
Goulburn - Mulwaree	65-74	Car as passenger	1	11
Goulburn - Mulwaree	65-74	Did not go to work		95
Goulburn - Mulwaree	65-74	Method of travel not stated		14
Goulburn - Mulwaree	65-74	Motorbike scooter	1	8
Goulburn - Mulwaree	65-74	(Other)	1	14
Goulburn - Mulwaree	65-74	Other two methods	2	3
Goulburn - Mulwaree	65-74	Taxi	1	4
Goulburn - Mulwaree	65-74	Truck	1	32
Goulburn - Mulwaree	65-74	Walked only	1	45
Goulburn - Mulwaree	65-74	Worked at home		211
Goulburn - Mulwaree	75+	Car as driver	1	42
Goulburn - Mulwaree	75+	Car as passenger	1	3
Goulburn - Mulwaree	75+	Did not go to work		14
Goulburn - Mulwaree	75+	Method of travel not stated		9
Goulburn - Mulwaree	75+	(Other)	1	8
Goulburn - Mulwaree	75+	Other two methods	2	4
Goulburn - Mulwaree	75+	Truck	1	10
Goulburn - Mulwaree	75+	Walked only	1	9
Goulburn - Mulwaree	75+	Worked at home		77
Young - Yass	15-24	Bicycle	1	8
Young - Yass	15-24	Bus	1	17
Young - Yass	15-24	Car as driver	1	914
Young - Yass	15-24	Car as passenger	1	228
Young - Yass	15-24	Did not go to work		267
Young - Yass	15-24	Method of travel not stated		28
Young - Yass	15-24	Motorbike scooter	1	9
Young - Yass	15-24	(Other)	1	8
Young - Yass	15-24	Other two methods	2	9
Young - Yass	15-24	Taxi	1	3
Young - Yass	15-24	Train	1	13
Young - Yass	15-24	Train and bus	2	9
Young - Yass	15-24	Truck	1	15
Young - Yass	15-24	Walked only	1	108
Young - Yass	15-24	Worked at home		31
Young - Yass	25-34	Bicycle	1	4
Young - Yass	25-34	Bus	1	12
Young - Yass	25-34	Car as driver	1	1166
Young - Yass	25-34	Car as passenger	1	75
Young - Yass	25-34	Did not go to work		181
Young - Yass	25-34	Method of travel not stated		23
Young - Yass	25-34	Motorbike scooter	1	10
Young - Yass	25-34	(Other)	1	9
Young - Yass	25-34	Other two methods	2	13
Young - Yass	25-34	Train	1	13
Young - Yass	25-34	Train and bus	2	6
Young - Yass	25-34	Train and car as driver	2	5
Young - Yass	25-34	Truck	1	27
Young - Yass	25-34	Walked only	1	93
Young - Yass	25-34	Worked at home		90
Young - Yass	35-44	Car as driver	1	1443
Young - Yass	35-44	Car as passenger	1	59
Young - Yass	35-44	Did not go to work		179
Young - Yass	35-44	Method of travel not stated		29
Young - Yass	35-44	Motorbike scooter	1	7
Young - Yass	35-44	(Other)	1	20
Young - Yass	35-44	Other two methods	2	10
Young - Yass	35-44	Taxi	1	3
Young - Yass	35-44	Train	1	7
Young - Yass	35-44	Truck	1	47
Young - Yass	35-44	Walked only	1	97
Young - Yass	35-44	Worked at home		194
Young - Yass	45-54	Bicycle	1	4
Young - Yass	45-54	Bus	1	8
Young - Yass	45-54	Car as driver	1	1646
Young - Yass	45-54	Car as passenger	1	58
Young - Yass	45-54	Did not go to work		196
Young - Yass	45-54	Ferry	1	3
Young - Yass	45-54	Method of travel not stated		32
Young - Yass	45-54	Motorbike scooter	1	14
Young - Yass	45-54	(Other)	1	21
Young - Yass	45-54	Other two methods	2	18
Young - Yass	45-54	Taxi	1	3
Young - Yass	45-54	Train	1	7
Young - Yass	45-54	Truck	1	74
Young - Yass	45-54	Walked only	1	138
Young - Yass	45-54	Worked at home		273
Young - Yass	55-64	Bicycle	1	3
Young - Yass	55-64	Bus	1	5
Young - Yass	55-64	Car as driver	1	1233
Young - Yass	55-64	Car as passenger	1	52
Young - Yass	55-64	Did not go to work		210
Young - Yass	55-64	Method of travel not stated		20
Young - Yass	55-64	Motorbike scooter	1	14
Young - Yass	55-64	(Other)	1	18
Young - Yass	55-64	Other three methods	3	6
Young - Yass	55-64	Other two methods	2	19
Young - Yass	55-64	Taxi	1	3
Young - Yass	55-64	Train	1	3
Young - Yass	55-64	Truck	1	38
Young - Yass	55-64	Walked only	1	161
Young - Yass	55-64	Worked at home		345
Young - Yass	65-74	Bus	1	3
Young - Yass	65-74	Car as driver	1	327
Young - Yass	65-74	Car as passenger	1	20
Young - Yass	65-74	Did not go to work		100
Young - Yass	65-74	Method of travel not stated		13
Young - Yass	65-74	Motorbike scooter	1	10
Young - Yass	65-74	(Other)	1	17
Young - Yass	65-74	Train	1	3
Young - Yass	65-74	Truck	1	44
Young - Yass	65-74	Walked only	1	69
Young - Yass	65-74	Worked at home		310
Young - Yass	75+	Bicycle	1	3
Young - Yass	75+	Car as driver	1	50
Young - Yass	75+	Car as passenger	1	3
Young - Yass	75+	Did not go to work		13
Young - Yass	75+	Method of travel not stated		9
Young - Yass	75+	Motorbike scooter	1	3
Young - Yass	75+	(Other)	1	12
Young - Yass	75+	Truck	1	16
Young - Yass	75+	Walked only	1	16
Young - Yass	75+	Worked at home		123
Gosford	15-24	Bicycle	1	30
Gosford	15-24	Bus	1	250
Gosford	15-24	Bus and car as driver	2	3
Gosford	15-24	Bus and car as passenger	2	34
Gosford	15-24	Bus and two other methods excludes train	3	3
Gosford	15-24	Car as driver	1	5415
Gosford	15-24	Car as passenger	1	1266
Gosford	15-24	Did not go to work		1648
Gosford	15-24	Ferry	1	3
Gosford	15-24	Method of travel not stated		114
Gosford	15-24	Motorbike scooter	1	25
Gosford	15-24	(Other)	1	13
Gosford	15-24	Other two methods	2	58
Gosford	15-24	Taxi	1	11
Gosford	15-24	Train	1	100
Gosford	15-24	Train and bus	2	48
Gosford	15-24	Train and car as driver	2	22
Gosford	15-24	Train and car as passenger	2	13
Gosford	15-24	Train and other	2	3
Gosford	15-24	Train and two other methods	3	20
Gosford	15-24	Truck	1	19
Gosford	15-24	Walked only	1	266
Gosford	15-24	Worked at home		101
Gosford	25-34	Bicycle	1	30
Gosford	25-34	Bus	1	117
Gosford	25-34	Bus and car as driver	2	3
Gosford	25-34	Bus and car as passenger	2	18
Gosford	25-34	Bus and two other methods excludes train	3	3
Gosford	25-34	Car as driver	1	7508
Gosford	25-34	Car as passenger	1	391
Gosford	25-34	Did not go to work		1238
Gosford	25-34	Method of travel not stated		90
Gosford	25-34	Motorbike scooter	1	57
Gosford	25-34	(Other)	1	23
Gosford	25-34	Other two methods	2	61
Gosford	25-34	Taxi	1	8
Gosford	25-34	Train	1	126
Gosford	25-34	Train and bus	2	43
Gosford	25-34	Train and car as driver	2	39
Gosford	25-34	Train and car as passenger	2	6
Gosford	25-34	Train and other	2	3
Gosford	25-34	Train and two other methods	3	21
Gosford	25-34	Truck	1	61
Gosford	25-34	Walked only	1	259
Gosford	25-34	Worked at home		431
Gosford	35-44	Bicycle	1	44
Gosford	35-44	Bus	1	107
Gosford	35-44	Bus and car as driver	2	4
Gosford	35-44	Bus and car as passenger	2	5
Gosford	35-44	Bus and other	2	3
Gosford	35-44	Car as driver	1	8664
Gosford	35-44	Car as passenger	1	274
Gosford	35-44	Did not go to work		1092
Gosford	35-44	Ferry	1	3
Gosford	35-44	Method of travel not stated		105
Gosford	35-44	Motorbike scooter	1	47
Gosford	35-44	(Other)	1	46
Gosford	35-44	Other three methods	3	3
Gosford	35-44	Other two methods	2	45
Gosford	35-44	Taxi	1	9
Gosford	35-44	Train	1	103
Gosford	35-44	Train and bus	2	30
Gosford	35-44	Train and car as driver	2	40
Gosford	35-44	Train and car as passenger	2	4
Gosford	35-44	Train and other	2	3
Gosford	35-44	Train and two other methods	3	12
Gosford	35-44	Truck	1	94
Gosford	35-44	Walked only	1	187
Gosford	35-44	Worked at home		1020
Gosford	45-54	Bicycle	1	60
Gosford	45-54	Bus	1	132
Gosford	45-54	Bus and car as driver	2	3
Gosford	45-54	Bus and car as passenger	2	4
Gosford	45-54	Bus and two other methods excludes train	3	3
Gosford	45-54	Car as driver	1	10053
Gosford	45-54	Car as passenger	1	372
Gosford	45-54	Did not go to work		1109
Gosford	45-54	Ferry	1	3
Gosford	45-54	Method of travel not stated		135
Gosford	45-54	Motorbike scooter	1	62
Gosford	45-54	(Other)	1	56
Gosford	45-54	Other three methods	3	3
Gosford	45-54	Other two methods	2	77
Gosford	45-54	Taxi	1	4
Gosford	45-54	Train	1	82
Gosford	45-54	Train and bus	2	34
Gosford	45-54	Train and car as driver	2	48
Gosford	45-54	Train and car as passenger	2	5
Gosford	45-54	Train and other	2	4
Gosford	45-54	Train and two other methods	3	14
Gosford	45-54	Truck	1	112
Gosford	45-54	Walked only	1	269
Gosford	45-54	Worked at home		1028
Gosford	55-64	Bicycle	1	32
Gosford	55-64	Bus	1	108
Gosford	55-64	Bus and car as driver	2	3
Gosford	55-64	Bus and car as passenger	2	3
Gosford	55-64	Bus and two other methods excludes train	3	3
Gosford	55-64	Car as driver	1	7245
Gosford	55-64	Car as passenger	1	294
Gosford	55-64	Did not go to work		1141
Gosford	55-64	Method of travel not stated		83
Gosford	55-64	Motorbike scooter	1	62
Gosford	55-64	(Other)	1	74
Gosford	55-64	Other two methods	2	56
Gosford	55-64	Taxi	1	7
Gosford	55-64	Train	1	87
Gosford	55-64	Train and bus	2	21
Gosford	55-64	Train and car as driver	2	33
Gosford	55-64	Train and car as passenger	2	6
Gosford	55-64	Train and two other methods	3	14
Gosford	55-64	Truck	1	103
Gosford	55-64	Walked only	1	231
Gosford	55-64	Worked at home		846
Gosford	65-74	Bicycle	1	4
Gosford	65-74	Bus	1	19
Gosford	65-74	Car as driver	1	1308
Gosford	65-74	Car as passenger	1	61
Gosford	65-74	Did not go to work		339
Gosford	65-74	Method of travel not stated		51
Gosford	65-74	Motorbike scooter	1	9
Gosford	65-74	(Other)	1	17
Gosford	65-74	Other two methods	2	11
Gosford	65-74	Taxi	1	3
Gosford	65-74	Train	1	15
Gosford	65-74	Train and bus	2	9
Gosford	65-74	Train and car as driver	2	8
Gosford	65-74	Train and car as passenger	2	3
Gosford	65-74	Train and two other methods	3	3
Gosford	65-74	Truck	1	27
Gosford	65-74	Walked only	1	69
Gosford	65-74	Worked at home		455
Gosford	75+	Car as driver	1	101
Gosford	75+	Car as passenger	1	10
Gosford	75+	Did not go to work		40
Gosford	75+	Method of travel not stated		28
Gosford	75+	Motorbike scooter	1	3
Gosford	75+	(Other)	1	3
Gosford	75+	Truck	1	4
Gosford	75+	Walked only	1	12
Gosford	75+	Worked at home		78
Wyong	15-24	Bicycle	1	27
Wyong	15-24	Bus	1	232
Wyong	15-24	Bus and car as passenger	2	49
Wyong	15-24	Bus and other	2	3
Wyong	15-24	Bus and two other methods excludes train	3	8
Wyong	15-24	Car as driver	1	4615
Wyong	15-24	Car as passenger	1	1188
Wyong	15-24	Did not go to work		1341
Wyong	15-24	Method of travel not stated		124
Wyong	15-24	Motorbike scooter	1	25
Wyong	15-24	(Other)	1	10
Wyong	15-24	Other three methods	3	4
Wyong	15-24	Other two methods	2	45
Wyong	15-24	Taxi	1	5
Wyong	15-24	Train	1	56
Wyong	15-24	Train and bus	2	24
Wyong	15-24	Train and car as driver	2	12
Wyong	15-24	Train and car as passenger	2	6
Wyong	15-24	Train and other	2	5
Wyong	15-24	Train and two other methods	3	15
Wyong	15-24	Truck	1	18
Wyong	15-24	Walked only	1	192
Wyong	15-24	Worked at home		68
Wyong	25-34	Bicycle	1	28
Wyong	25-34	Bus	1	73
Wyong	25-34	Bus and car as driver	2	3
Wyong	25-34	Bus and car as passenger	2	10
Wyong	25-34	Bus and two other methods excludes train	3	3
Wyong	25-34	Car as driver	1	6407
Wyong	25-34	Car as passenger	1	334
Wyong	25-34	Did not go to work		952
Wyong	25-34	Ferry	1	3
Wyong	25-34	Method of travel not stated		82
Wyong	25-34	Motorbike scooter	1	39
Wyong	25-34	(Other)	1	21
Wyong	25-34	Other three methods	3	3
Wyong	25-34	Other two methods	2	48
Wyong	25-34	Taxi	1	3
Wyong	25-34	Train	1	41
Wyong	25-34	Train and bus	2	16
Wyong	25-34	Train and car as driver	2	13
Wyong	25-34	Train and car as passenger	2	4
Wyong	25-34	Train and other	2	3
Wyong	25-34	Train and two other methods	3	14
Wyong	25-34	Truck	1	59
Wyong	25-34	Walked only	1	119
Wyong	25-34	Worked at home		297
Wyong	35-44	Bicycle	1	29
