SA3_NAME16	Age	EmploymentStatus	workers
Snowy Mountains	60-64	Status in employment not stated	19
Snowy Mountains	65-69	Contributing family workers	40
Snowy Mountains	65-69	Employee	174
Snowy Mountains	65-69	Owner managers of incorporated enterprises	49
Snowy Mountains	65-69	Owner managers of unincorporated enterprises	87
Snowy Mountains	65-69	Status in employment not stated	16
Snowy Mountains	70-74	Contributing family workers	59
Snowy Mountains	70-74	Employee	56
Snowy Mountains	70-74	Owner managers of incorporated enterprises	23
Snowy Mountains	70-74	Owner managers of unincorporated enterprises	61
Snowy Mountains	70-74	Status in employment not stated	9
Snowy Mountains	75+	Contributing family workers	45
Snowy Mountains	75+	Employee	21
Snowy Mountains	75+	Owner managers of incorporated enterprises	8
Snowy Mountains	75+	Owner managers of unincorporated enterprises	39
Snowy Mountains	75+	Status in employment not stated	12
South Coast	15-19	Contributing family workers	11
South Coast	15-19	Employee	1472
South Coast	15-19	Owner managers of incorporated enterprises	3
South Coast	15-19	Owner managers of unincorporated enterprises	5
South Coast	15-19	Status in employment not stated	33
South Coast	20-24	Contributing family workers	3
South Coast	20-24	Employee	1373
South Coast	20-24	Owner managers of incorporated enterprises	9
South Coast	20-24	Owner managers of unincorporated enterprises	61
South Coast	20-24	Status in employment not stated	19
South Coast	25-29	Contributing family workers	11
South Coast	25-29	Employee	1315
South Coast	25-29	Owner managers of incorporated enterprises	27
South Coast	25-29	Owner managers of unincorporated enterprises	92
South Coast	25-29	Status in employment not stated	15
South Coast	30-34	Contributing family workers	19
South Coast	30-34	Employee	1477
South Coast	30-34	Owner managers of incorporated enterprises	82
South Coast	30-34	Owner managers of unincorporated enterprises	154
South Coast	30-34	Status in employment not stated	19
South Coast	35-39	Contributing family workers	38
South Coast	35-39	Employee	1502
South Coast	35-39	Owner managers of incorporated enterprises	134
South Coast	35-39	Owner managers of unincorporated enterprises	237
South Coast	35-39	Status in employment not stated	18
South Coast	40-44	Contributing family workers	50
South Coast	40-44	Employee	1796
South Coast	40-44	Owner managers of incorporated enterprises	199
South Coast	40-44	Owner managers of unincorporated enterprises	330
South Coast	40-44	Status in employment not stated	35
South Coast	45-49	Contributing family workers	54
South Coast	45-49	Employee	2118
South Coast	45-49	Owner managers of incorporated enterprises	237
South Coast	45-49	Owner managers of unincorporated enterprises	379
South Coast	45-49	Status in employment not stated	37
South Coast	50-54	Contributing family workers	76
South Coast	50-54	Employee	2369
South Coast	50-54	Owner managers of incorporated enterprises	277
South Coast	50-54	Owner managers of unincorporated enterprises	442
South Coast	50-54	Status in employment not stated	37
South Coast	55-59	Contributing family workers	80
South Coast	55-59	Employee	2420
South Coast	55-59	Owner managers of incorporated enterprises	276
South Coast	55-59	Owner managers of unincorporated enterprises	495
South Coast	55-59	Status in employment not stated	52
South Coast	60-64	Contributing family workers	111
South Coast	60-64	Employee	1617
South Coast	60-64	Owner managers of incorporated enterprises	233
South Coast	60-64	Owner managers of unincorporated enterprises	436
South Coast	60-64	Status in employment not stated	41
South Coast	65-69	Contributing family workers	81
South Coast	65-69	Employee	517
South Coast	65-69	Owner managers of incorporated enterprises	156
South Coast	65-69	Owner managers of unincorporated enterprises	258
South Coast	65-69	Status in employment not stated	25
South Coast	70-74	Contributing family workers	61
South Coast	70-74	Employee	129
South Coast	70-74	Owner managers of incorporated enterprises	60
South Coast	70-74	Owner managers of unincorporated enterprises	111
South Coast	70-74	Status in employment not stated	14
South Coast	75+	Contributing family workers	29
South Coast	75+	Employee	57
South Coast	75+	Owner managers of incorporated enterprises	25
South Coast	75+	Owner managers of unincorporated enterprises	71
South Coast	75+	Status in employment not stated	16
Goulburn - Mulwaree	15-19	Contributing family workers	9
Goulburn - Mulwaree	15-19	Employee	843
Goulburn - Mulwaree	15-19	Status in employment not stated	23
Goulburn - Mulwaree	20-24	Contributing family workers	3
Goulburn - Mulwaree	20-24	Employee	1037
Goulburn - Mulwaree	20-24	Owner managers of incorporated enterprises	9
Goulburn - Mulwaree	20-24	Owner managers of unincorporated enterprises	25
Goulburn - Mulwaree	20-24	Status in employment not stated	4
Goulburn - Mulwaree	25-29	Contributing family workers	14
Goulburn - Mulwaree	25-29	Employee	1044
Goulburn - Mulwaree	25-29	Owner managers of incorporated enterprises	37
Goulburn - Mulwaree	25-29	Owner managers of unincorporated enterprises	60
Goulburn - Mulwaree	25-29	Status in employment not stated	7
Goulburn - Mulwaree	30-34	Contributing family workers	17
Goulburn - Mulwaree	30-34	Employee	1050
Goulburn - Mulwaree	30-34	Owner managers of incorporated enterprises	53
Goulburn - Mulwaree	30-34	Owner managers of unincorporated enterprises	88
Goulburn - Mulwaree	30-34	Status in employment not stated	9
Goulburn - Mulwaree	35-39	Contributing family workers	18
Goulburn - Mulwaree	35-39	Employee	987
Goulburn - Mulwaree	35-39	Owner managers of incorporated enterprises	63
Goulburn - Mulwaree	35-39	Owner managers of unincorporated enterprises	93
Goulburn - Mulwaree	35-39	Status in employment not stated	4
Goulburn - Mulwaree	40-44	Contributing family workers	34
Goulburn - Mulwaree	40-44	Employee	1096
Goulburn - Mulwaree	40-44	Owner managers of incorporated enterprises	84
Goulburn - Mulwaree	40-44	Owner managers of unincorporated enterprises	136
Goulburn - Mulwaree	40-44	Status in employment not stated	10
Goulburn - Mulwaree	45-49	Contributing family workers	17
Goulburn - Mulwaree	45-49	Employee	1202
Goulburn - Mulwaree	45-49	Owner managers of incorporated enterprises	90
Goulburn - Mulwaree	45-49	Owner managers of unincorporated enterprises	145
Goulburn - Mulwaree	45-49	Status in employment not stated	13
Goulburn - Mulwaree	50-54	Contributing family workers	54
Goulburn - Mulwaree	50-54	Employee	1237
Goulburn - Mulwaree	50-54	Owner managers of incorporated enterprises	115
Goulburn - Mulwaree	50-54	Owner managers of unincorporated enterprises	180
Goulburn - Mulwaree	50-54	Status in employment not stated	17
Goulburn - Mulwaree	55-59	Contributing family workers	80
Goulburn - Mulwaree	55-59	Employee	1085
Goulburn - Mulwaree	55-59	Owner managers of incorporated enterprises	101
Goulburn - Mulwaree	55-59	Owner managers of unincorporated enterprises	160
Goulburn - Mulwaree	55-59	Status in employment not stated	22
Goulburn - Mulwaree	60-64	Contributing family workers	62
Goulburn - Mulwaree	60-64	Employee	719
Goulburn - Mulwaree	60-64	Owner managers of incorporated enterprises	82
Goulburn - Mulwaree	60-64	Owner managers of unincorporated enterprises	138
Goulburn - Mulwaree	60-64	Status in employment not stated	21
Goulburn - Mulwaree	65-69	Contributing family workers	83
Goulburn - Mulwaree	65-69	Employee	266
Goulburn - Mulwaree	65-69	Owner managers of incorporated enterprises	54
Goulburn - Mulwaree	65-69	Owner managers of unincorporated enterprises	128
Goulburn - Mulwaree	65-69	Status in employment not stated	8
Goulburn - Mulwaree	70-74	Contributing family workers	58
Goulburn - Mulwaree	70-74	Employee	78
Goulburn - Mulwaree	70-74	Owner managers of incorporated enterprises	33
Goulburn - Mulwaree	70-74	Owner managers of unincorporated enterprises	67
Goulburn - Mulwaree	70-74	Status in employment not stated	12
Goulburn - Mulwaree	75+	Contributing family workers	47
Goulburn - Mulwaree	75+	Employee	39
Goulburn - Mulwaree	75+	Owner managers of incorporated enterprises	17
Goulburn - Mulwaree	75+	Owner managers of unincorporated enterprises	63
Goulburn - Mulwaree	75+	Status in employment not stated	12
Young - Yass	15-19	Contributing family workers	21
Young - Yass	15-19	Employee	715
Young - Yass	15-19	Owner managers of unincorporated enterprises	3
Young - Yass	15-19	Status in employment not stated	14
Young - Yass	20-24	Contributing family workers	15
Young - Yass	20-24	Employee	846
Young - Yass	20-24	Owner managers of incorporated enterprises	10
Young - Yass	20-24	Owner managers of unincorporated enterprises	44
Young - Yass	20-24	Status in employment not stated	8
Young - Yass	25-29	Contributing family workers	15
Young - Yass	25-29	Employee	740
Young - Yass	25-29	Owner managers of incorporated enterprises	27
Young - Yass	25-29	Owner managers of unincorporated enterprises	53
Young - Yass	25-29	Status in employment not stated	9
Young - Yass	30-34	Contributing family workers	22
Young - Yass	30-34	Employee	707
Young - Yass	30-34	Owner managers of incorporated enterprises	70
Young - Yass	30-34	Owner managers of unincorporated enterprises	80
Young - Yass	30-34	Status in employment not stated	4
Young - Yass	35-39	Contributing family workers	40
Young - Yass	35-39	Employee	705
Young - Yass	35-39	Owner managers of incorporated enterprises	103
Young - Yass	35-39	Owner managers of unincorporated enterprises	115
Young - Yass	35-39	Status in employment not stated	12
Young - Yass	40-44	Contributing family workers	49
Young - Yass	40-44	Employee	783
Young - Yass	40-44	Owner managers of incorporated enterprises	113
Young - Yass	40-44	Owner managers of unincorporated enterprises	166
Young - Yass	40-44	Status in employment not stated	19
Young - Yass	45-49	Contributing family workers	51
Young - Yass	45-49	Employee	814
Young - Yass	45-49	Owner managers of incorporated enterprises	111
Young - Yass	45-49	Owner managers of unincorporated enterprises	196
Young - Yass	45-49	Status in employment not stated	25
Young - Yass	50-54	Contributing family workers	74
Young - Yass	50-54	Employee	872
Young - Yass	50-54	Owner managers of incorporated enterprises	124
Young - Yass	50-54	Owner managers of unincorporated enterprises	203
Young - Yass	50-54	Status in employment not stated	26
Young - Yass	55-59	Contributing family workers	72
Young - Yass	55-59	Employee	794
Young - Yass	55-59	Owner managers of incorporated enterprises	114
Young - Yass	55-59	Owner managers of unincorporated enterprises	201
Young - Yass	55-59	Status in employment not stated	20
Young - Yass	60-64	Contributing family workers	104
Young - Yass	60-64	Employee	513
Young - Yass	60-64	Owner managers of incorporated enterprises	104
Young - Yass	60-64	Owner managers of unincorporated enterprises	209
Young - Yass	60-64	Status in employment not stated	10
Young - Yass	65-69	Contributing family workers	113
Young - Yass	65-69	Employee	245
Young - Yass	65-69	Owner managers of incorporated enterprises	82
Young - Yass	65-69	Owner managers of unincorporated enterprises	158
Young - Yass	65-69	Status in employment not stated	17
Young - Yass	70-74	Contributing family workers	101
Young - Yass	70-74	Employee	55
Young - Yass	70-74	Owner managers of incorporated enterprises	19
Young - Yass	70-74	Owner managers of unincorporated enterprises	115
Young - Yass	70-74	Status in employment not stated	8
Young - Yass	75+	Contributing family workers	105
Young - Yass	75+	Employee	29
Young - Yass	75+	Owner managers of incorporated enterprises	16
Young - Yass	75+	Owner managers of unincorporated enterprises	83
Young - Yass	75+	Status in employment not stated	17
Gosford	15-19	Contributing family workers	10
Gosford	15-19	Employee	3992
Gosford	15-19	Owner managers of incorporated enterprises	9
Gosford	15-19	Owner managers of unincorporated enterprises	32
Gosford	15-19	Status in employment not stated	50
Gosford	20-24	Contributing family workers	16
Gosford	20-24	Employee	5141
Gosford	20-24	Owner managers of incorporated enterprises	26
Gosford	20-24	Owner managers of unincorporated enterprises	133
Gosford	20-24	Status in employment not stated	45
Gosford	25-29	Contributing family workers	30
Gosford	25-29	Employee	4704
Gosford	25-29	Owner managers of incorporated enterprises	126
Gosford	25-29	Owner managers of unincorporated enterprises	289
Gosford	25-29	Status in employment not stated	45
Gosford	30-34	Contributing family workers	49
Gosford	30-34	Employee	4538
Gosford	30-34	Owner managers of incorporated enterprises	288
Gosford	30-34	Owner managers of unincorporated enterprises	426
Gosford	30-34	Status in employment not stated	40
Gosford	35-39	Contributing family workers	84
Gosford	35-39	Employee	4390
Gosford	35-39	Owner managers of incorporated enterprises	452
Gosford	35-39	Owner managers of unincorporated enterprises	565
Gosford	35-39	Status in employment not stated	51
Gosford	40-44	Contributing family workers	97
Gosford	40-44	Employee	4971
Gosford	40-44	Owner managers of incorporated enterprises	596
Gosford	40-44	Owner managers of unincorporated enterprises	682
Gosford	40-44	Status in employment not stated	59
Gosford	45-49	Contributing family workers	106
Gosford	45-49	Employee	5301
Gosford	45-49	Owner managers of incorporated enterprises	681
Gosford	45-49	Owner managers of unincorporated enterprises	774
Gosford	45-49	Status in employment not stated	74
Gosford	50-54	Contributing family workers	102
Gosford	50-54	Employee	5230
Gosford	50-54	Owner managers of incorporated enterprises	674
Gosford	50-54	Owner managers of unincorporated enterprises	662
Gosford	50-54	Status in employment not stated	75
Gosford	55-59	Contributing family workers	108
Gosford	55-59	Employee	4941
Gosford	55-59	Owner managers of incorporated enterprises	558
Gosford	55-59	Owner managers of unincorporated enterprises	700
Gosford	55-59	Status in employment not stated	64
Gosford	60-64	Contributing family workers	92
Gosford	60-64	Employee	3040
Gosford	60-64	Owner managers of incorporated enterprises	430
Gosford	60-64	Owner managers of unincorporated enterprises	487
Gosford	60-64	Status in employment not stated	54
Gosford	65-69	Contributing family workers	68
Gosford	65-69	Employee	1092
Gosford	65-69	Owner managers of incorporated enterprises	281
Gosford	65-69	Owner managers of unincorporated enterprises	302
Gosford	65-69	Status in employment not stated	35
Gosford	70-74	Contributing family workers	59
Gosford	70-74	Employee	301
Gosford	70-74	Owner managers of incorporated enterprises	122
Gosford	70-74	Owner managers of unincorporated enterprises	147
Gosford	70-74	Status in employment not stated	14
Gosford	75+	Contributing family workers	40
Gosford	75+	Employee	96
Gosford	75+	Owner managers of incorporated enterprises	56
Gosford	75+	Owner managers of unincorporated enterprises	64
Gosford	75+	Status in employment not stated	21
Wyong	15-19	Contributing family workers	18
Wyong	15-19	Employee	3523
Wyong	15-19	Owner managers of incorporated enterprises	6
Wyong	15-19	Owner managers of unincorporated enterprises	14
Wyong	15-19	Status in employment not stated	37
Wyong	20-24	Contributing family workers	29
Wyong	20-24	Employee	4266
Wyong	20-24	Owner managers of incorporated enterprises	31
Wyong	20-24	Owner managers of unincorporated enterprises	99
Wyong	20-24	Status in employment not stated	45
Wyong	25-29	Contributing family workers	24
Wyong	25-29	Employee	3766
Wyong	25-29	Owner managers of incorporated enterprises	100
Wyong	25-29	Owner managers of unincorporated enterprises	248
Wyong	25-29	Status in employment not stated	33
Wyong	30-34	Contributing family workers	52
Wyong	30-34	Employee	3754
Wyong	30-34	Owner managers of incorporated enterprises	287
Wyong	30-34	Owner managers of unincorporated enterprises	292
Wyong	30-34	Status in employment not stated	35
Wyong	35-39	Contributing family workers	52
Wyong	35-39	Employee	3594
Wyong	35-39	Owner managers of incorporated enterprises	321
Wyong	35-39	Owner managers of unincorporated enterprises	377
Wyong	35-39	Status in employment not stated	42
Wyong	40-44	Contributing family workers	62
Wyong	40-44	Employee	4085
Wyong	40-44	Owner managers of incorporated enterprises	436
Wyong	40-44	Owner managers of unincorporated enterprises	468
Wyong	40-44	Status in employment not stated	46
Wyong	45-49	Contributing family workers	69
Wyong	45-49	Employee	4190
Wyong	45-49	Owner managers of incorporated enterprises	472
Wyong	45-49	Owner managers of unincorporated enterprises	461
Wyong	45-49	Status in employment not stated	57
Wyong	50-54	Contributing family workers	73
Wyong	50-54	Employee	4171
Wyong	50-54	Owner managers of incorporated enterprises	419
Wyong	50-54	Owner managers of unincorporated enterprises	477
Wyong	50-54	Status in employment not stated	58
Wyong	55-59	Contributing family workers	89
Wyong	55-59	Employee	3650
Wyong	55-59	Owner managers of incorporated enterprises	377
Wyong	55-59	Owner managers of unincorporated enterprises	433
Wyong	55-59	Status in employment not stated	57
Wyong	60-64	Contributing family workers	68
Wyong	60-64	Employee	2269
Wyong	60-64	Owner managers of incorporated enterprises	263
Wyong	60-64	Owner managers of unincorporated enterprises	374
Wyong	60-64	Status in employment not stated	39
Wyong	65-69	Contributing family workers	44
Wyong	65-69	Employee	732
Wyong	65-69	Owner managers of incorporated enterprises	180
Wyong	65-69	Owner managers of unincorporated enterprises	200
Wyong	65-69	Status in employment not stated	24
Wyong	70-74	Contributing family workers	41
Wyong	70-74	Employee	210
Wyong	70-74	Owner managers of incorporated enterprises	91
Wyong	70-74	Owner managers of unincorporated enterprises	60
Wyong	70-74	Status in employment not stated	15
Wyong	75+	Contributing family workers	18
Wyong	75+	Employee	59
Wyong	75+	Owner managers of incorporated enterprises	28
Wyong	75+	Owner managers of unincorporated enterprises	40
Wyong	75+	Status in employment not stated	18
Bathurst	15-19	Contributing family workers	19
Bathurst	15-19	Employee	1219
Bathurst	15-19	Owner managers of incorporated enterprises	3
Bathurst	15-19	Owner managers of unincorporated enterprises	4
Bathurst	15-19	Status in employment not stated	16
Bathurst	20-24	Contributing family workers	8
Bathurst	20-24	Employee	1904
Bathurst	20-24	Owner managers of incorporated enterprises	12
Bathurst	20-24	Owner managers of unincorporated enterprises	40
Bathurst	20-24	Status in employment not stated	26
Bathurst	25-29	Contributing family workers	13
Bathurst	25-29	Employee	1778
Bathurst	25-29	Owner managers of incorporated enterprises	46
Bathurst	25-29	Owner managers of unincorporated enterprises	82
Bathurst	25-29	Status in employment not stated	19
Bathurst	30-34	Contributing family workers	13
Bathurst	30-34	Employee	1587
Bathurst	30-34	Owner managers of incorporated enterprises	122
Bathurst	30-34	Owner managers of unincorporated enterprises	95
Bathurst	30-34	Status in employment not stated	15
Bathurst	35-39	Contributing family workers	27
Bathurst	35-39	Employee	1482
Bathurst	35-39	Owner managers of incorporated enterprises	110
Bathurst	35-39	Owner managers of unincorporated enterprises	164
Bathurst	35-39	Status in employment not stated	9
Bathurst	40-44	Contributing family workers	41
Bathurst	40-44	Employee	1696
Bathurst	40-44	Owner managers of incorporated enterprises	127
Bathurst	40-44	Owner managers of unincorporated enterprises	164
Bathurst	40-44	Status in employment not stated	24
Bathurst	45-49	Contributing family workers	30
Bathurst	45-49	Employee	1753
Bathurst	45-49	Owner managers of incorporated enterprises	164
Bathurst	45-49	Owner managers of unincorporated enterprises	175
Bathurst	45-49	Status in employment not stated	22
Bathurst	50-54	Contributing family workers	49
Bathurst	50-54	Employee	1667
Bathurst	50-54	Owner managers of incorporated enterprises	143
Bathurst	50-54	Owner managers of unincorporated enterprises	175
Bathurst	50-54	Status in employment not stated	25
Bathurst	55-59	Contributing family workers	55
Bathurst	55-59	Employee	1535
Bathurst	55-59	Owner managers of incorporated enterprises	134
Bathurst	55-59	Owner managers of unincorporated enterprises	194
Bathurst	55-59	Status in employment not stated	25
Bathurst	60-64	Contributing family workers	57
Bathurst	60-64	Employee	1050
Bathurst	60-64	Owner managers of incorporated enterprises	113
Bathurst	60-64	Owner managers of unincorporated enterprises	174
Bathurst	60-64	Status in employment not stated	21
Bathurst	65-69	Contributing family workers	76
Bathurst	65-69	Employee	371
Bathurst	65-69	Owner managers of incorporated enterprises	78
Bathurst	65-69	Owner managers of unincorporated enterprises	157
Bathurst	65-69	Status in employment not stated	13
Bathurst	70-74	Contributing family workers	61
Bathurst	70-74	Employee	116
Bathurst	70-74	Owner managers of incorporated enterprises	27
Bathurst	70-74	Owner managers of unincorporated enterprises	94
Bathurst	70-74	Status in employment not stated	9
Bathurst	75+	Contributing family workers	41
Bathurst	75+	Employee	43
Bathurst	75+	Owner managers of incorporated enterprises	15
Bathurst	75+	Owner managers of unincorporated enterprises	58
Bathurst	75+	Status in employment not stated	10
Lachlan Valley	15-19	Contributing family workers	31
Lachlan Valley	15-19	Employee	1117
Lachlan Valley	15-19	Owner managers of incorporated enterprises	3
Lachlan Valley	15-19	Owner managers of unincorporated enterprises	9
Lachlan Valley	15-19	Status in employment not stated	30
Lachlan Valley	20-24	Contributing family workers	17
Lachlan Valley	20-24	Employee	1601
Lachlan Valley	20-24	Owner managers of incorporated enterprises	13
Lachlan Valley	20-24	Owner managers of unincorporated enterprises	59
Lachlan Valley	20-24	Status in employment not stated	30
Lachlan Valley	25-29	Contributing family workers	35
Lachlan Valley	25-29	Employee	1510
Lachlan Valley	25-29	Owner managers of incorporated enterprises	42
Lachlan Valley	25-29	Owner managers of unincorporated enterprises	101
Lachlan Valley	25-29	Status in employment not stated	23
Lachlan Valley	30-34	Contributing family workers	58
Lachlan Valley	30-34	Employee	1496
Lachlan Valley	30-34	Owner managers of incorporated enterprises	99
Lachlan Valley	30-34	Owner managers of unincorporated enterprises	188
Lachlan Valley	30-34	Status in employment not stated	35
Lachlan Valley	35-39	Contributing family workers	58
Lachlan Valley	35-39	Employee	1409
Lachlan Valley	35-39	Owner managers of incorporated enterprises	119
Lachlan Valley	35-39	Owner managers of unincorporated enterprises	252
Lachlan Valley	35-39	Status in employment not stated	32
Lachlan Valley	40-44	Contributing family workers	91
Lachlan Valley	40-44	Employee	1512
Lachlan Valley	40-44	Owner managers of incorporated enterprises	147
Lachlan Valley	40-44	Owner managers of unincorporated enterprises	298
Lachlan Valley	40-44	Status in employment not stated	35
Lachlan Valley	45-49	Contributing family workers	107
Lachlan Valley	45-49	Employee	1600
Lachlan Valley	45-49	Owner managers of incorporated enterprises	160
Lachlan Valley	45-49	Owner managers of unincorporated enterprises	345
Lachlan Valley	45-49	Status in employment not stated	32
Lachlan Valley	50-54	Contributing family workers	126
Lachlan Valley	50-54	Employee	1680
Lachlan Valley	50-54	Owner managers of incorporated enterprises	182
Lachlan Valley	50-54	Owner managers of unincorporated enterprises	413
Lachlan Valley	50-54	Status in employment not stated	37
Lachlan Valley	55-59	Contributing family workers	126
Lachlan Valley	55-59	Employee	1520
Lachlan Valley	55-59	Owner managers of incorporated enterprises	139
Lachlan Valley	55-59	Owner managers of unincorporated enterprises	473
Lachlan Valley	55-59	Status in employment not stated	36
Lachlan Valley	60-64	Contributing family workers	176
Lachlan Valley	60-64	Employee	1019
Lachlan Valley	60-64	Owner managers of incorporated enterprises	138
Lachlan Valley	60-64	Owner managers of unincorporated enterprises	450
Lachlan Valley	60-64	Status in employment not stated	41
Lachlan Valley	65-69	Contributing family workers	157
Lachlan Valley	65-69	Employee	399
Lachlan Valley	65-69	Owner managers of incorporated enterprises	86
Lachlan Valley	65-69	Owner managers of unincorporated enterprises	286
Lachlan Valley	65-69	Status in employment not stated	28
Lachlan Valley	70-74	Contributing family workers	107
Lachlan Valley	70-74	Employee	133
Lachlan Valley	70-74	Owner managers of incorporated enterprises	43
Lachlan Valley	70-74	Owner managers of unincorporated enterprises	164
Lachlan Valley	70-74	Status in employment not stated	25
Lachlan Valley	75+	Contributing family workers	159
Lachlan Valley	75+	Employee	59
Lachlan Valley	75+	Owner managers of incorporated enterprises	32
Lachlan Valley	75+	Owner managers of unincorporated enterprises	175
Lachlan Valley	75+	Status in employment not stated	27
Lithgow - Mudgee	15-19	Contributing family workers	11
Lithgow - Mudgee	15-19	Employee	913
