SA4_NAME16	CountryOfBirth	EmploymentStatus	Sex	workers
Capital Region	NZL	Employee	F	431
Capital Region	NZL	Employee	M	438
Capital Region	NZL	Owner managers of incorporated enterprises	F	24
Capital Region	NZL	Owner managers of incorporated enterprises	M	55
Capital Region	NZL	Owner managers of unincorporated enterprises	F	46
Capital Region	NZL	Owner managers of unincorporated enterprises	M	68
Capital Region	NZL	Status in employment not stated	F	4
Capital Region	NZL	Status in employment not stated	M	4
Capital Region	PAK	Employee	F	19
Capital Region	PAK	Employee	M	52
Capital Region	PAK	Owner managers of incorporated enterprises	M	6
Capital Region	PAK	Owner managers of unincorporated enterprises	F	7
Capital Region	PAK	Owner managers of unincorporated enterprises	M	3
Capital Region	PHL	Contributing family workers	F	9
Capital Region	PHL	Employee	F	227
Capital Region	PHL	Employee	M	116
Capital Region	PHL	Owner managers of incorporated enterprises	F	5
Capital Region	PHL	Owner managers of incorporated enterprises	M	4
Capital Region	PHL	Owner managers of unincorporated enterprises	F	16
Capital Region	PHL	Owner managers of unincorporated enterprises	M	4
Capital Region	PHL	Status in employment not stated	F	6
Capital Region	PHL	Status in employment not stated	M	3
Capital Region	POL	Employee	F	31
Capital Region	POL	Employee	M	22
Capital Region	POL	Owner managers of incorporated enterprises	F	3
Capital Region	POL	Owner managers of incorporated enterprises	M	4
Capital Region	POL	Owner managers of unincorporated enterprises	F	3
Capital Region	POL	Owner managers of unincorporated enterprises	M	5
Capital Region	POL	Status in employment not stated	F	3
Capital Region	SGP	Contributing family workers	F	3
Capital Region	SGP	Employee	F	12
Capital Region	SGP	Employee	M	24
Capital Region	SGP	Owner managers of incorporated enterprises	M	7
Capital Region	SGP	Owner managers of unincorporated enterprises	F	3
Capital Region	ZAF	Contributing family workers	F	4
Capital Region	ZAF	Contributing family workers	M	3
Capital Region	ZAF	Employee	F	79
Capital Region	ZAF	Employee	M	96
Capital Region	ZAF	Owner managers of incorporated enterprises	F	13
Capital Region	ZAF	Owner managers of incorporated enterprises	M	23
Capital Region	ZAF	Owner managers of unincorporated enterprises	F	12
Capital Region	ZAF	Owner managers of unincorporated enterprises	M	13
Capital Region	ZAF	Status in employment not stated	M	3
Capital Region	KOR	Employee	F	38
Capital Region	KOR	Employee	M	64
Capital Region	KOR	Owner managers of incorporated enterprises	F	6
Capital Region	KOR	Owner managers of incorporated enterprises	M	12
Capital Region	KOR	Owner managers of unincorporated enterprises	F	4
Capital Region	KOR	Owner managers of unincorporated enterprises	M	3
Capital Region	LKA	Employee	F	35
Capital Region	LKA	Employee	M	68
Capital Region	LKA	Owner managers of incorporated enterprises	M	3
Capital Region	LKA	Owner managers of unincorporated enterprises	M	6
Capital Region	THA	Contributing family workers	F	3
Capital Region	THA	Employee	F	71
Capital Region	THA	Employee	M	31
Capital Region	THA	Owner managers of incorporated enterprises	F	11
Capital Region	THA	Owner managers of unincorporated enterprises	F	13
Capital Region	THA	Owner managers of unincorporated enterprises	M	3
Capital Region	THA	Status in employment not stated	F	3
Capital Region	TUR	Contributing family workers	F	4
Capital Region	TUR	Employee	F	9
Capital Region	TUR	Employee	M	8
Capital Region	GBR	Contributing family workers	F	60
Capital Region	GBR	Contributing family workers	M	55
Capital Region	GBR	Employee	F	882
Capital Region	GBR	Employee	M	892
Capital Region	GBR	Owner managers of incorporated enterprises	F	64
Capital Region	GBR	Owner managers of incorporated enterprises	M	133
Capital Region	GBR	Owner managers of unincorporated enterprises	F	170
Capital Region	GBR	Owner managers of unincorporated enterprises	M	223
Capital Region	GBR	Status in employment not stated	F	12
Capital Region	GBR	Status in employment not stated	M	15
Capital Region	USA	Contributing family workers	F	5
Capital Region	USA	Contributing family workers	M	10
Capital Region	USA	Employee	F	100
Capital Region	USA	Employee	M	100
Capital Region	USA	Owner managers of incorporated enterprises	F	13
Capital Region	USA	Owner managers of incorporated enterprises	M	7
Capital Region	USA	Owner managers of unincorporated enterprises	F	19
Capital Region	USA	Owner managers of unincorporated enterprises	M	19
Capital Region	VNM	Contributing family workers	F	4
Capital Region	VNM	Contributing family workers	M	3
Capital Region	VNM	Employee	F	37
Capital Region	VNM	Employee	M	33
Capital Region	VNM	Owner managers of incorporated enterprises	F	5
Capital Region	VNM	Owner managers of incorporated enterprises	M	6
Capital Region	VNM	Owner managers of unincorporated enterprises	F	18
Capital Region	VNM	Owner managers of unincorporated enterprises	M	11
Capital Region	ZWE	Employee	F	32
Capital Region	ZWE	Employee	M	33
Capital Region	ZWE	Owner managers of unincorporated enterprises	M	8
Central Coast		Contributing family workers	F	58
Central Coast		Contributing family workers	M	41
Central Coast		Employee	F	1520
Central Coast		Employee	M	1247
Central Coast		Owner managers of incorporated enterprises	F	105
Central Coast		Owner managers of incorporated enterprises	M	215
Central Coast		Owner managers of unincorporated enterprises	F	158
Central Coast		Owner managers of unincorporated enterprises	M	223
Central Coast		Status in employment not stated	F	43
Central Coast		Status in employment not stated	M	49
Central Coast	AUS	Contributing family workers	F	631
Central Coast	AUS	Contributing family workers	M	452
Central Coast	AUS	Employee	F	41270
Central Coast	AUS	Employee	M	30885
Central Coast	AUS	Owner managers of incorporated enterprises	F	1827
Central Coast	AUS	Owner managers of incorporated enterprises	M	3662
Central Coast	AUS	Owner managers of unincorporated enterprises	F	2817
Central Coast	AUS	Owner managers of unincorporated enterprises	M	3961
Central Coast	AUS	Status in employment not stated	F	419
Central Coast	AUS	Status in employment not stated	M	437
Central Coast	CAN	Employee	F	110
Central Coast	CAN	Employee	M	81
Central Coast	CAN	Owner managers of incorporated enterprises	F	10
Central Coast	CAN	Owner managers of incorporated enterprises	M	18
Central Coast	CAN	Owner managers of unincorporated enterprises	F	6
Central Coast	CAN	Owner managers of unincorporated enterprises	M	18
Central Coast	CAN	Status in employment not stated	F	3
Central Coast	CHN	Contributing family workers	F	8
Central Coast	CHN	Contributing family workers	M	14
Central Coast	CHN	Employee	F	237
Central Coast	CHN	Employee	M	133
Central Coast	CHN	Owner managers of incorporated enterprises	F	51
Central Coast	CHN	Owner managers of incorporated enterprises	M	63
Central Coast	CHN	Owner managers of unincorporated enterprises	F	57
Central Coast	CHN	Owner managers of unincorporated enterprises	M	51
Central Coast	CHN	Status in employment not stated	F	3
Central Coast	HRV	Contributing family workers	M	3
Central Coast	HRV	Employee	F	25
Central Coast	HRV	Employee	M	22
Central Coast	HRV	Owner managers of incorporated enterprises	F	3
Central Coast	HRV	Owner managers of incorporated enterprises	M	8
Central Coast	HRV	Owner managers of unincorporated enterprises	M	4
Central Coast	EGY	Contributing family workers	M	4
Central Coast	EGY	Employee	F	26
Central Coast	EGY	Employee	M	40
Central Coast	EGY	Owner managers of incorporated enterprises	F	3
Central Coast	EGY	Owner managers of incorporated enterprises	M	18
Central Coast	EGY	Owner managers of unincorporated enterprises	F	3
Central Coast	EGY	Owner managers of unincorporated enterprises	M	9
Central Coast	FJI	Contributing family workers	F	3
Central Coast	FJI	Employee	F	75
Central Coast	FJI	Employee	M	70
Central Coast	FJI	Owner managers of incorporated enterprises	F	3
Central Coast	FJI	Owner managers of incorporated enterprises	M	11
Central Coast	FJI	Owner managers of unincorporated enterprises	M	6
Central Coast	MKD	Contributing family workers	M	3
Central Coast	MKD	Employee	F	7
Central Coast	MKD	Employee	M	3
Central Coast	DEU	Contributing family workers	F	8
Central Coast	DEU	Contributing family workers	M	6
Central Coast	DEU	Employee	F	103
Central Coast	DEU	Employee	M	69
Central Coast	DEU	Owner managers of incorporated enterprises	F	10
Central Coast	DEU	Owner managers of incorporated enterprises	M	17
Central Coast	DEU	Owner managers of unincorporated enterprises	F	27
Central Coast	DEU	Owner managers of unincorporated enterprises	M	21
Central Coast	GRC	Employee	F	15
Central Coast	GRC	Employee	M	18
Central Coast	GRC	Owner managers of unincorporated enterprises	F	3
Central Coast	GRC	Owner managers of unincorporated enterprises	M	6
Central Coast	HKG	Contributing family workers	F	3
Central Coast	HKG	Contributing family workers	M	3
Central Coast	HKG	Employee	F	48
Central Coast	HKG	Employee	M	55
Central Coast	HKG	Owner managers of incorporated enterprises	F	7
Central Coast	HKG	Owner managers of incorporated enterprises	M	5
Central Coast	HKG	Owner managers of unincorporated enterprises	F	5
Central Coast	HKG	Owner managers of unincorporated enterprises	M	8
Central Coast	IND	Contributing family workers	F	5
Central Coast	IND	Contributing family workers	M	7
Central Coast	IND	Employee	F	270
Central Coast	IND	Employee	M	411
Central Coast	IND	Owner managers of incorporated enterprises	F	25
Central Coast	IND	Owner managers of incorporated enterprises	M	68
Central Coast	IND	Owner managers of unincorporated enterprises	F	20
Central Coast	IND	Owner managers of unincorporated enterprises	M	26
Central Coast	IND	Status in employment not stated	F	9
Central Coast	IND	Status in employment not stated	M	9
Central Coast	IDN	Contributing family workers	F	3
Central Coast	IDN	Employee	F	69
Central Coast	IDN	Employee	M	58
Central Coast	IDN	Owner managers of incorporated enterprises	F	4
Central Coast	IDN	Owner managers of incorporated enterprises	M	3
Central Coast	IDN	Owner managers of unincorporated enterprises	F	3
Central Coast	IDN	Owner managers of unincorporated enterprises	M	9
Central Coast	IRN	Employee	F	16
Central Coast	IRN	Employee	M	36
Central Coast	IRN	Owner managers of incorporated enterprises	F	3
Central Coast	IRN	Owner managers of incorporated enterprises	M	8
Central Coast	IRN	Owner managers of unincorporated enterprises	F	3
Central Coast	IRN	Owner managers of unincorporated enterprises	M	9
Central Coast	IRQ	Employee	F	9
Central Coast	IRQ	Employee	M	12
Central Coast	IRQ	Owner managers of incorporated enterprises	M	6
Central Coast	IRQ	Owner managers of unincorporated enterprises	M	3
Central Coast	IRL	Contributing family workers	F	3
Central Coast	IRL	Contributing family workers	M	4
Central Coast	IRL	Employee	F	140
Central Coast	IRL	Employee	M	102
Central Coast	IRL	Owner managers of incorporated enterprises	F	3
Central Coast	IRL	Owner managers of incorporated enterprises	M	28
Central Coast	IRL	Owner managers of unincorporated enterprises	F	8
Central Coast	IRL	Owner managers of unincorporated enterprises	M	29
Central Coast	IRL	Status in employment not stated	F	4
Central Coast	ITA	Contributing family workers	F	7
Central Coast	ITA	Contributing family workers	M	6
Central Coast	ITA	Employee	F	37
Central Coast	ITA	Employee	M	56
Central Coast	ITA	Owner managers of incorporated enterprises	F	7
Central Coast	ITA	Owner managers of incorporated enterprises	M	19
Central Coast	ITA	Owner managers of unincorporated enterprises	F	5
Central Coast	ITA	Owner managers of unincorporated enterprises	M	21
Central Coast	ITA	Status in employment not stated	M	3
Central Coast	JPN	Employee	F	66
Central Coast	JPN	Employee	M	19
Central Coast	JPN	Owner managers of incorporated enterprises	F	3
Central Coast	JPN	Owner managers of incorporated enterprises	M	4
Central Coast	JPN	Owner managers of unincorporated enterprises	F	10
Central Coast	JPN	Owner managers of unincorporated enterprises	M	9
Central Coast	LBN	Employee	F	24
Central Coast	LBN	Employee	M	20
Central Coast	LBN	Owner managers of incorporated enterprises	F	3
Central Coast	LBN	Owner managers of incorporated enterprises	M	20
Central Coast	LBN	Owner managers of unincorporated enterprises	F	3
Central Coast	LBN	Owner managers of unincorporated enterprises	M	13
Central Coast	MYS	Employee	F	90
Central Coast	MYS	Employee	M	92
Central Coast	MYS	Owner managers of incorporated enterprises	F	7
Central Coast	MYS	Owner managers of incorporated enterprises	M	15
Central Coast	MYS	Owner managers of unincorporated enterprises	F	14
Central Coast	MYS	Owner managers of unincorporated enterprises	M	17
Central Coast	MYS	Status in employment not stated	F	3
Central Coast	MLT	Contributing family workers	F	5
Central Coast	MLT	Contributing family workers	M	3
Central Coast	MLT	Employee	F	23
Central Coast	MLT	Employee	M	38
Central Coast	MLT	Owner managers of incorporated enterprises	F	3
Central Coast	MLT	Owner managers of incorporated enterprises	M	11
Central Coast	MLT	Owner managers of unincorporated enterprises	F	7
Central Coast	MLT	Owner managers of unincorporated enterprises	M	7
Central Coast	NLD	Contributing family workers	F	3
Central Coast	NLD	Contributing family workers	M	3
Central Coast	NLD	Employee	F	74
Central Coast	NLD	Employee	M	48
Central Coast	NLD	Owner managers of incorporated enterprises	F	7
Central Coast	NLD	Owner managers of incorporated enterprises	M	12
Central Coast	NLD	Owner managers of unincorporated enterprises	F	11
Central Coast	NLD	Owner managers of unincorporated enterprises	M	16
Central Coast	NZL	Contributing family workers	F	23
Central Coast	NZL	Contributing family workers	M	24
Central Coast	NZL	Employee	F	1036
Central Coast	NZL	Employee	M	789
Central Coast	NZL	Owner managers of incorporated enterprises	F	80
Central Coast	NZL	Owner managers of incorporated enterprises	M	142
Central Coast	NZL	Owner managers of unincorporated enterprises	F	95
Central Coast	NZL	Owner managers of unincorporated enterprises	M	119
Central Coast	NZL	Status in employment not stated	F	7
Central Coast	NZL	Status in employment not stated	M	7
Central Coast	PAK	Contributing family workers	F	3
Central Coast	PAK	Employee	F	20
Central Coast	PAK	Employee	M	43
Central Coast	PAK	Owner managers of unincorporated enterprises	M	4
Central Coast	PAK	Status in employment not stated	M	3
Central Coast	PHL	Contributing family workers	F	6
Central Coast	PHL	Contributing family workers	M	4
Central Coast	PHL	Employee	F	462
Central Coast	PHL	Employee	M	180
Central Coast	PHL	Owner managers of incorporated enterprises	F	20
Central Coast	PHL	Owner managers of incorporated enterprises	M	14
Central Coast	PHL	Owner managers of unincorporated enterprises	F	17
Central Coast	PHL	Owner managers of unincorporated enterprises	M	3
Central Coast	PHL	Status in employment not stated	F	9
Central Coast	POL	Employee	F	41
Central Coast	POL	Employee	M	30
Central Coast	POL	Owner managers of incorporated enterprises	F	3
Central Coast	POL	Owner managers of incorporated enterprises	M	4
Central Coast	POL	Owner managers of unincorporated enterprises	F	5
Central Coast	POL	Owner managers of unincorporated enterprises	M	11
Central Coast	SGP	Employee	F	27
Central Coast	SGP	Employee	M	16
Central Coast	SGP	Owner managers of incorporated enterprises	F	3
Central Coast	SGP	Owner managers of incorporated enterprises	M	3
Central Coast	SGP	Owner managers of unincorporated enterprises	F	3
Central Coast	SGP	Owner managers of unincorporated enterprises	M	7
Central Coast	SGP	Status in employment not stated	M	3
Central Coast	ZAF	Contributing family workers	F	8
Central Coast	ZAF	Contributing family workers	M	3
Central Coast	ZAF	Employee	F	255
Central Coast	ZAF	Employee	M	199
Central Coast	ZAF	Owner managers of incorporated enterprises	F	18
Central Coast	ZAF	Owner managers of incorporated enterprises	M	51
Central Coast	ZAF	Owner managers of unincorporated enterprises	F	57
Central Coast	ZAF	Owner managers of unincorporated enterprises	M	48
Central Coast	ZAF	Status in employment not stated	M	5
Central Coast	KOR	Contributing family workers	F	4
Central Coast	KOR	Contributing family workers	M	5
Central Coast	KOR	Employee	F	94
Central Coast	KOR	Employee	M	83
Central Coast	KOR	Owner managers of incorporated enterprises	F	14
Central Coast	KOR	Owner managers of incorporated enterprises	M	15
Central Coast	KOR	Owner managers of unincorporated enterprises	F	16
Central Coast	KOR	Owner managers of unincorporated enterprises	M	19
Central Coast	KOR	Status in employment not stated	M	3
Central Coast	LKA	Employee	F	42
Central Coast	LKA	Employee	M	61
Central Coast	LKA	Owner managers of incorporated enterprises	F	9
Central Coast	LKA	Owner managers of incorporated enterprises	M	8
Central Coast	LKA	Owner managers of unincorporated enterprises	F	3
Central Coast	LKA	Owner managers of unincorporated enterprises	M	8
Central Coast	THA	Contributing family workers	F	8
Central Coast	THA	Contributing family workers	M	4
Central Coast	THA	Employee	F	181
Central Coast	THA	Employee	M	56
Central Coast	THA	Owner managers of incorporated enterprises	F	10
Central Coast	THA	Owner managers of incorporated enterprises	M	10
Central Coast	THA	Owner managers of unincorporated enterprises	F	27
Central Coast	THA	Owner managers of unincorporated enterprises	M	4
Central Coast	THA	Status in employment not stated	F	3
Central Coast	TUR	Employee	F	3
Central Coast	TUR	Employee	M	10
Central Coast	TUR	Owner managers of incorporated enterprises	M	3
Central Coast	TUR	Owner managers of unincorporated enterprises	F	4
Central Coast	TUR	Owner managers of unincorporated enterprises	M	10
Central Coast	GBR	Contributing family workers	F	51
Central Coast	GBR	Contributing family workers	M	39
Central Coast	GBR	Employee	F	2386
Central Coast	GBR	Employee	M	1707
Central Coast	GBR	Owner managers of incorporated enterprises	F	154
Central Coast	GBR	Owner managers of incorporated enterprises	M	363
Central Coast	GBR	Owner managers of unincorporated enterprises	F	247
Central Coast	GBR	Owner managers of unincorporated enterprises	M	379
Central Coast	GBR	Status in employment not stated	F	29
Central Coast	GBR	Status in employment not stated	M	28
Central Coast	USA	Contributing family workers	M	4
Central Coast	USA	Employee	F	165
Central Coast	USA	Employee	M	136
Central Coast	USA	Owner managers of incorporated enterprises	F	10
Central Coast	USA	Owner managers of incorporated enterprises	M	26
Central Coast	USA	Owner managers of unincorporated enterprises	F	18
Central Coast	USA	Owner managers of unincorporated enterprises	M	18
Central Coast	USA	Status in employment not stated	F	3
Central Coast	VNM	Contributing family workers	F	3
Central Coast	VNM	Contributing family workers	M	3
Central Coast	VNM	Employee	F	80
Central Coast	VNM	Employee	M	47
Central Coast	VNM	Owner managers of incorporated enterprises	F	8
Central Coast	VNM	Owner managers of incorporated enterprises	M	8
Central Coast	VNM	Owner managers of unincorporated enterprises	F	16
Central Coast	VNM	Owner managers of unincorporated enterprises	M	16
Central Coast	ZWE	Employee	F	67
Central Coast	ZWE	Employee	M	47
Central Coast	ZWE	Owner managers of incorporated enterprises	M	9
Central Coast	ZWE	Owner managers of unincorporated enterprises	M	3
Central West		Contributing family workers	F	57
Central West		Contributing family workers	M	75
Central West		Employee	F	968
Central West		Employee	M	985
Central West		Owner managers of incorporated enterprises	F	69
Central West		Owner managers of incorporated enterprises	M	107
Central West		Owner managers of unincorporated enterprises	F	138
Central West		Owner managers of unincorporated enterprises	M	176
Central West		Status in employment not stated	F	53
Central West		Status in employment not stated	M	59
Central West	AUS	Contributing family workers	F	1196
Central West	AUS	Contributing family workers	M	1441
Central West	AUS	Employee	F	29990
Central West	AUS	Employee	M	28969
Central West	AUS	Owner managers of incorporated enterprises	F	1289
Central West	AUS	Owner managers of incorporated enterprises	M	2747
Central West	AUS	Owner managers of unincorporated enterprises	F	2770
Central West	AUS	Owner managers of unincorporated enterprises	M	4687
Central West	AUS	Status in employment not stated	F	429
Central West	AUS	Status in employment not stated	M	589
Central West	CAN	Employee	F	59
Central West	CAN	Employee	M	46
Central West	CAN	Owner managers of incorporated enterprises	F	3
Central West	CAN	Owner managers of incorporated enterprises	M	4
Central West	CAN	Owner managers of unincorporated enterprises	F	7
Central West	CHN	Contributing family workers	F	10
Central West	CHN	Contributing family workers	M	11
Central West	CHN	Employee	F	76
Central West	CHN	Employee	M	81
Central West	CHN	Owner managers of incorporated enterprises	F	5
Central West	CHN	Owner managers of incorporated enterprises	M	13
Central West	CHN	Owner managers of unincorporated enterprises	F	26
Central West	CHN	Owner managers of unincorporated enterprises	M	37
Central West	CHN	Status in employment not stated	M	3
Central West	HRV	Employee	F	13
Central West	HRV	Employee	M	8
Central West	HRV	Owner managers of unincorporated enterprises	M	3
Central West	EGY	Employee	F	3
Central West	EGY	Employee	M	16
Central West	EGY	Owner managers of incorporated enterprises	M	3
Central West	EGY	Owner managers of unincorporated enterprises	M	6
Central West	FJI	Employee	F	36
Central West	FJI	Employee	M	46
Central West	FJI	Owner managers of incorporated enterprises	M	3
Central West	FJI	Owner managers of unincorporated enterprises	F	6
Central West	FJI	Owner managers of unincorporated enterprises	M	4
Central West	FJI	Status in employment not stated	F	3
Central West	FJI	Status in employment not stated	M	3
Central West	MKD	Employee	F	3
Central West	MKD	Employee	M	9
Central West	DEU	Contributing family workers	F	3
Central West	DEU	Contributing family workers	M	8
Central West	DEU	Employee	F	57
Central West	DEU	Employee	M	44
Central West	DEU	Owner managers of incorporated enterprises	F	4
Central West	DEU	Owner managers of incorporated enterprises	M	3
Central West	DEU	Owner managers of unincorporated enterprises	F	13
Central West	DEU	Owner managers of unincorporated enterprises	M	10
Central West	DEU	Status in employment not stated	F	3
Central West	DEU	Status in employment not stated	M	3
Central West	GRC	Contributing family workers	F	3
Central West	GRC	Employee	F	3
Central West	GRC	Employee	M	3
Central West	GRC	Owner managers of unincorporated enterprises	F	3
Central West	GRC	Owner managers of unincorporated enterprises	M	10
Central West	HKG	Employee	F	20
Central West	HKG	Employee	M	21
Central West	HKG	Owner managers of incorporated enterprises	M	3
Central West	HKG	Owner managers of unincorporated enterprises	F	12
Central West	HKG	Owner managers of unincorporated enterprises	M	10
Central West	IND	Contributing family workers	F	3
Central West	IND	Contributing family workers	M	3
Central West	IND	Employee	F	192
Central West	IND	Employee	M	278
Central West	IND	Owner managers of incorporated enterprises	F	10
Central West	IND	Owner managers of incorporated enterprises	M	37
Central West	IND	Owner managers of unincorporated enterprises	F	7
Central West	IND	Owner managers of unincorporated enterprises	M	12
