SA4_NAME16	Age	EmploymentStatus	HoursWorked.min	workers
Capital Region	30-34	Employee	40	884
Capital Region	30-34	Employee	41	557
Capital Region	30-34	Employee	49	732
Capital Region	30-34	Owner managers of incorporated enterprises		3
Capital Region	30-34	Owner managers of incorporated enterprises	0	4
Capital Region	30-34	Owner managers of incorporated enterprises	1	24
Capital Region	30-34	Owner managers of incorporated enterprises	16	12
Capital Region	30-34	Owner managers of incorporated enterprises	25	40
Capital Region	30-34	Owner managers of incorporated enterprises	35	35
Capital Region	30-34	Owner managers of incorporated enterprises	40	65
Capital Region	30-34	Owner managers of incorporated enterprises	41	25
Capital Region	30-34	Owner managers of incorporated enterprises	49	137
Capital Region	30-34	Owner managers of unincorporated enterprises		7
Capital Region	30-34	Owner managers of unincorporated enterprises	0	22
Capital Region	30-34	Owner managers of unincorporated enterprises	1	54
Capital Region	30-34	Owner managers of unincorporated enterprises	16	23
Capital Region	30-34	Owner managers of unincorporated enterprises	25	59
Capital Region	30-34	Owner managers of unincorporated enterprises	35	49
Capital Region	30-34	Owner managers of unincorporated enterprises	40	82
Capital Region	30-34	Owner managers of unincorporated enterprises	41	46
Capital Region	30-34	Owner managers of unincorporated enterprises	49	136
Capital Region	35-39			9
Capital Region	35-39		0	3
Capital Region	35-39		25	6
Capital Region	35-39		35	11
Capital Region	35-39		40	3
Capital Region	35-39		41	5
Capital Region	35-39		49	11
Capital Region	35-39	Contributing family workers		3
Capital Region	35-39	Contributing family workers	0	4
Capital Region	35-39	Contributing family workers	1	47
Capital Region	35-39	Contributing family workers	16	12
Capital Region	35-39	Contributing family workers	25	16
Capital Region	35-39	Contributing family workers	35	5
Capital Region	35-39	Contributing family workers	40	16
Capital Region	35-39	Contributing family workers	41	8
Capital Region	35-39	Contributing family workers	49	40
Capital Region	35-39	Employee		79
Capital Region	35-39	Employee	0	145
Capital Region	35-39	Employee	1	358
Capital Region	35-39	Employee	16	556
Capital Region	35-39	Employee	25	671
Capital Region	35-39	Employee	35	1087
Capital Region	35-39	Employee	40	788
Capital Region	35-39	Employee	41	523
Capital Region	35-39	Employee	49	650
Capital Region	35-39	Owner managers of incorporated enterprises		4
Capital Region	35-39	Owner managers of incorporated enterprises	0	9
Capital Region	35-39	Owner managers of incorporated enterprises	1	25
Capital Region	35-39	Owner managers of incorporated enterprises	16	29
Capital Region	35-39	Owner managers of incorporated enterprises	25	41
Capital Region	35-39	Owner managers of incorporated enterprises	35	43
Capital Region	35-39	Owner managers of incorporated enterprises	40	98
Capital Region	35-39	Owner managers of incorporated enterprises	41	43
Capital Region	35-39	Owner managers of incorporated enterprises	49	208
Capital Region	35-39	Owner managers of unincorporated enterprises		11
Capital Region	35-39	Owner managers of unincorporated enterprises	0	15
Capital Region	35-39	Owner managers of unincorporated enterprises	1	83
Capital Region	35-39	Owner managers of unincorporated enterprises	16	49
Capital Region	35-39	Owner managers of unincorporated enterprises	25	93
Capital Region	35-39	Owner managers of unincorporated enterprises	35	48
Capital Region	35-39	Owner managers of unincorporated enterprises	40	108
Capital Region	35-39	Owner managers of unincorporated enterprises	41	42
Capital Region	35-39	Owner managers of unincorporated enterprises	49	178
Capital Region	40-44			6
Capital Region	40-44		0	3
Capital Region	40-44		1	13
Capital Region	40-44		16	3
Capital Region	40-44		25	9
Capital Region	40-44		35	13
Capital Region	40-44		40	10
Capital Region	40-44		41	6
Capital Region	40-44		49	15
Capital Region	40-44	Contributing family workers		15
Capital Region	40-44	Contributing family workers	0	3
Capital Region	40-44	Contributing family workers	1	53
Capital Region	40-44	Contributing family workers	16	17
Capital Region	40-44	Contributing family workers	25	13
Capital Region	40-44	Contributing family workers	35	5
Capital Region	40-44	Contributing family workers	40	18
Capital Region	40-44	Contributing family workers	41	5
Capital Region	40-44	Contributing family workers	49	45
Capital Region	40-44	Employee		91
Capital Region	40-44	Employee	0	144
Capital Region	40-44	Employee	1	461
Capital Region	40-44	Employee	16	572
Capital Region	40-44	Employee	25	779
Capital Region	40-44	Employee	35	1243
Capital Region	40-44	Employee	40	967
Capital Region	40-44	Employee	41	548
Capital Region	40-44	Employee	49	808
Capital Region	40-44	Owner managers of incorporated enterprises		4
Capital Region	40-44	Owner managers of incorporated enterprises	0	11
Capital Region	40-44	Owner managers of incorporated enterprises	1	34
Capital Region	40-44	Owner managers of incorporated enterprises	16	36
Capital Region	40-44	Owner managers of incorporated enterprises	25	56
Capital Region	40-44	Owner managers of incorporated enterprises	35	66
Capital Region	40-44	Owner managers of incorporated enterprises	40	143
Capital Region	40-44	Owner managers of incorporated enterprises	41	55
Capital Region	40-44	Owner managers of incorporated enterprises	49	292
Capital Region	40-44	Owner managers of unincorporated enterprises		18
Capital Region	40-44	Owner managers of unincorporated enterprises	0	15
Capital Region	40-44	Owner managers of unincorporated enterprises	1	94
Capital Region	40-44	Owner managers of unincorporated enterprises	16	84
Capital Region	40-44	Owner managers of unincorporated enterprises	25	118
Capital Region	40-44	Owner managers of unincorporated enterprises	35	64
Capital Region	40-44	Owner managers of unincorporated enterprises	40	134
Capital Region	40-44	Owner managers of unincorporated enterprises	41	65
Capital Region	40-44	Owner managers of unincorporated enterprises	49	263
Capital Region	45-49			15
Capital Region	45-49		0	3
Capital Region	45-49		1	13
Capital Region	45-49		16	6
Capital Region	45-49		25	14
Capital Region	45-49		35	18
Capital Region	45-49		40	17
Capital Region	45-49		41	5
Capital Region	45-49		49	15
Capital Region	45-49	Contributing family workers		7
Capital Region	45-49	Contributing family workers	0	10
Capital Region	45-49	Contributing family workers	1	42
Capital Region	45-49	Contributing family workers	16	19
Capital Region	45-49	Contributing family workers	25	29
Capital Region	45-49	Contributing family workers	35	5
Capital Region	45-49	Contributing family workers	40	21
Capital Region	45-49	Contributing family workers	41	11
Capital Region	45-49	Contributing family workers	49	47
Capital Region	45-49	Employee		87
Capital Region	45-49	Employee	0	166
Capital Region	45-49	Employee	1	435
Capital Region	45-49	Employee	16	617
Capital Region	45-49	Employee	25	869
Capital Region	45-49	Employee	35	1419
Capital Region	45-49	Employee	40	1035
Capital Region	45-49	Employee	41	633
Capital Region	45-49	Employee	49	824
Capital Region	45-49	Owner managers of incorporated enterprises		16
Capital Region	45-49	Owner managers of incorporated enterprises	0	7
Capital Region	45-49	Owner managers of incorporated enterprises	1	28
Capital Region	45-49	Owner managers of incorporated enterprises	16	42
Capital Region	45-49	Owner managers of incorporated enterprises	25	67
Capital Region	45-49	Owner managers of incorporated enterprises	35	48
Capital Region	45-49	Owner managers of incorporated enterprises	40	154
Capital Region	45-49	Owner managers of incorporated enterprises	41	59
Capital Region	45-49	Owner managers of incorporated enterprises	49	336
Capital Region	45-49	Owner managers of unincorporated enterprises		25
Capital Region	45-49	Owner managers of unincorporated enterprises	0	29
Capital Region	45-49	Owner managers of unincorporated enterprises	1	101
Capital Region	45-49	Owner managers of unincorporated enterprises	16	86
Capital Region	45-49	Owner managers of unincorporated enterprises	25	114
Capital Region	45-49	Owner managers of unincorporated enterprises	35	90
Capital Region	45-49	Owner managers of unincorporated enterprises	40	185
Capital Region	45-49	Owner managers of unincorporated enterprises	41	98
Capital Region	45-49	Owner managers of unincorporated enterprises	49	340
Capital Region	50-54			10
Capital Region	50-54		0	3
Capital Region	50-54		1	16
Capital Region	50-54		16	9
Capital Region	50-54		25	5
Capital Region	50-54		35	17
Capital Region	50-54		40	21
Capital Region	50-54		49	25
Capital Region	50-54	Contributing family workers		9
Capital Region	50-54	Contributing family workers	0	4
Capital Region	50-54	Contributing family workers	1	41
Capital Region	50-54	Contributing family workers	16	25
Capital Region	50-54	Contributing family workers	25	23
Capital Region	50-54	Contributing family workers	35	11
Capital Region	50-54	Contributing family workers	40	26
Capital Region	50-54	Contributing family workers	41	17
Capital Region	50-54	Contributing family workers	49	102
Capital Region	50-54	Employee		91
Capital Region	50-54	Employee	0	200
Capital Region	50-54	Employee	1	435
Capital Region	50-54	Employee	16	718
Capital Region	50-54	Employee	25	1020
Capital Region	50-54	Employee	35	1519
Capital Region	50-54	Employee	40	989
Capital Region	50-54	Employee	41	595
Capital Region	50-54	Employee	49	820
Capital Region	50-54	Owner managers of incorporated enterprises		12
Capital Region	50-54	Owner managers of incorporated enterprises	0	19
Capital Region	50-54	Owner managers of incorporated enterprises	1	35
Capital Region	50-54	Owner managers of incorporated enterprises	16	40
Capital Region	50-54	Owner managers of incorporated enterprises	25	72
Capital Region	50-54	Owner managers of incorporated enterprises	35	65
Capital Region	50-54	Owner managers of incorporated enterprises	40	164
Capital Region	50-54	Owner managers of incorporated enterprises	41	69
Capital Region	50-54	Owner managers of incorporated enterprises	49	338
Capital Region	50-54	Owner managers of unincorporated enterprises		16
Capital Region	50-54	Owner managers of unincorporated enterprises	0	31
Capital Region	50-54	Owner managers of unincorporated enterprises	1	138
Capital Region	50-54	Owner managers of unincorporated enterprises	16	74
Capital Region	50-54	Owner managers of unincorporated enterprises	25	117
Capital Region	50-54	Owner managers of unincorporated enterprises	35	86
Capital Region	50-54	Owner managers of unincorporated enterprises	40	203
Capital Region	50-54	Owner managers of unincorporated enterprises	41	92
Capital Region	50-54	Owner managers of unincorporated enterprises	49	370
Capital Region	55-59			22
Capital Region	55-59		0	9
Capital Region	55-59		1	13
Capital Region	55-59		16	10
Capital Region	55-59		25	10
Capital Region	55-59		35	15
Capital Region	55-59		40	13
Capital Region	55-59		41	5
Capital Region	55-59		49	28
Capital Region	55-59	Contributing family workers		14
Capital Region	55-59	Contributing family workers	0	12
Capital Region	55-59	Contributing family workers	1	47
Capital Region	55-59	Contributing family workers	16	32
Capital Region	55-59	Contributing family workers	25	30
Capital Region	55-59	Contributing family workers	35	20
Capital Region	55-59	Contributing family workers	40	41
Capital Region	55-59	Contributing family workers	41	13
Capital Region	55-59	Contributing family workers	49	113
Capital Region	55-59	Employee		65
Capital Region	55-59	Employee	0	284
Capital Region	55-59	Employee	1	582
Capital Region	55-59	Employee	16	675
Capital Region	55-59	Employee	25	1004
Capital Region	55-59	Employee	35	1321
Capital Region	55-59	Employee	40	850
Capital Region	55-59	Employee	41	462
Capital Region	55-59	Employee	49	684
Capital Region	55-59	Owner managers of incorporated enterprises		12
Capital Region	55-59	Owner managers of incorporated enterprises	0	24
Capital Region	55-59	Owner managers of incorporated enterprises	1	55
Capital Region	55-59	Owner managers of incorporated enterprises	16	53
Capital Region	55-59	Owner managers of incorporated enterprises	25	70
Capital Region	55-59	Owner managers of incorporated enterprises	35	40
Capital Region	55-59	Owner managers of incorporated enterprises	40	127
Capital Region	55-59	Owner managers of incorporated enterprises	41	81
Capital Region	55-59	Owner managers of incorporated enterprises	49	311
Capital Region	55-59	Owner managers of unincorporated enterprises		10
Capital Region	55-59	Owner managers of unincorporated enterprises	0	39
Capital Region	55-59	Owner managers of unincorporated enterprises	1	138
Capital Region	55-59	Owner managers of unincorporated enterprises	16	108
Capital Region	55-59	Owner managers of unincorporated enterprises	25	144
Capital Region	55-59	Owner managers of unincorporated enterprises	35	69
Capital Region	55-59	Owner managers of unincorporated enterprises	40	183
Capital Region	55-59	Owner managers of unincorporated enterprises	41	89
Capital Region	55-59	Owner managers of unincorporated enterprises	49	378
Capital Region	60-64			16
Capital Region	60-64		0	13
Capital Region	60-64		1	13
Capital Region	60-64		16	15
Capital Region	60-64		25	8
Capital Region	60-64		35	9
Capital Region	60-64		40	14
Capital Region	60-64		41	3
Capital Region	60-64		49	23
Capital Region	60-64	Contributing family workers		13
Capital Region	60-64	Contributing family workers	0	14
Capital Region	60-64	Contributing family workers	1	75
Capital Region	60-64	Contributing family workers	16	44
Capital Region	60-64	Contributing family workers	25	36
Capital Region	60-64	Contributing family workers	35	12
Capital Region	60-64	Contributing family workers	40	42
Capital Region	60-64	Contributing family workers	41	16
Capital Region	60-64	Contributing family workers	49	114
Capital Region	60-64	Employee		37
Capital Region	60-64	Employee	0	229
Capital Region	60-64	Employee	1	515
Capital Region	60-64	Employee	16	620
Capital Region	60-64	Employee	25	622
Capital Region	60-64	Employee	35	733
Capital Region	60-64	Employee	40	533
Capital Region	60-64	Employee	41	248
Capital Region	60-64	Employee	49	361
Capital Region	60-64	Owner managers of incorporated enterprises		15
Capital Region	60-64	Owner managers of incorporated enterprises	0	24
Capital Region	60-64	Owner managers of incorporated enterprises	1	66
Capital Region	60-64	Owner managers of incorporated enterprises	16	59
Capital Region	60-64	Owner managers of incorporated enterprises	25	51
Capital Region	60-64	Owner managers of incorporated enterprises	35	31
Capital Region	60-64	Owner managers of incorporated enterprises	40	105
Capital Region	60-64	Owner managers of incorporated enterprises	41	44
Capital Region	60-64	Owner managers of incorporated enterprises	49	218
Capital Region	60-64	Owner managers of unincorporated enterprises		15
Capital Region	60-64	Owner managers of unincorporated enterprises	0	48
Capital Region	60-64	Owner managers of unincorporated enterprises	1	175
Capital Region	60-64	Owner managers of unincorporated enterprises	16	121
Capital Region	60-64	Owner managers of unincorporated enterprises	25	130
Capital Region	60-64	Owner managers of unincorporated enterprises	35	66
Capital Region	60-64	Owner managers of unincorporated enterprises	40	149
Capital Region	60-64	Owner managers of unincorporated enterprises	41	62
Capital Region	60-64	Owner managers of unincorporated enterprises	49	307
Capital Region	65-69			9
Capital Region	65-69		0	4
Capital Region	65-69		1	9
Capital Region	65-69		16	3
Capital Region	65-69		25	3
Capital Region	65-69		35	6
Capital Region	65-69		40	9
Capital Region	65-69		41	3
Capital Region	65-69		49	21
Capital Region	65-69	Contributing family workers		11
Capital Region	65-69	Contributing family workers	0	20
Capital Region	65-69	Contributing family workers	1	73
Capital Region	65-69	Contributing family workers	16	46
Capital Region	65-69	Contributing family workers	25	49
Capital Region	65-69	Contributing family workers	35	14
Capital Region	65-69	Contributing family workers	40	35
Capital Region	65-69	Contributing family workers	41	11
Capital Region	65-69	Contributing family workers	49	113
Capital Region	65-69	Employee		19
Capital Region	65-69	Employee	0	81
Capital Region	65-69	Employee	1	363
Capital Region	65-69	Employee	16	264
Capital Region	65-69	Employee	25	172
Capital Region	65-69	Employee	35	231
Capital Region	65-69	Employee	40	151
Capital Region	65-69	Employee	41	65
Capital Region	65-69	Employee	49	119
Capital Region	65-69	Owner managers of incorporated enterprises		7
Capital Region	65-69	Owner managers of incorporated enterprises	0	19
Capital Region	65-69	Owner managers of incorporated enterprises	1	57
Capital Region	65-69	Owner managers of incorporated enterprises	16	46
Capital Region	65-69	Owner managers of incorporated enterprises	25	48
Capital Region	65-69	Owner managers of incorporated enterprises	35	27
Capital Region	65-69	Owner managers of incorporated enterprises	40	61
Capital Region	65-69	Owner managers of incorporated enterprises	41	30
Capital Region	65-69	Owner managers of incorporated enterprises	49	109
Capital Region	65-69	Owner managers of unincorporated enterprises		18
Capital Region	65-69	Owner managers of unincorporated enterprises	0	32
Capital Region	65-69	Owner managers of unincorporated enterprises	1	175
Capital Region	65-69	Owner managers of unincorporated enterprises	16	67
Capital Region	65-69	Owner managers of unincorporated enterprises	25	89
Capital Region	65-69	Owner managers of unincorporated enterprises	35	33
Capital Region	65-69	Owner managers of unincorporated enterprises	40	96
Capital Region	65-69	Owner managers of unincorporated enterprises	41	28
Capital Region	65-69	Owner managers of unincorporated enterprises	49	203
Capital Region	70-74			16
Capital Region	70-74		0	6
Capital Region	70-74		1	3
Capital Region	70-74		16	3
Capital Region	70-74		25	4
Capital Region	70-74		35	4
Capital Region	70-74		40	8
Capital Region	70-74		49	6
Capital Region	70-74	Contributing family workers		15
Capital Region	70-74	Contributing family workers	0	12
Capital Region	70-74	Contributing family workers	1	67
Capital Region	70-74	Contributing family workers	16	50
Capital Region	70-74	Contributing family workers	25	36
Capital Region	70-74	Contributing family workers	35	13
Capital Region	70-74	Contributing family workers	40	34
Capital Region	70-74	Contributing family workers	41	19
Capital Region	70-74	Contributing family workers	49	72
Capital Region	70-74	Employee		4
Capital Region	70-74	Employee	0	29
Capital Region	70-74	Employee	1	144
Capital Region	70-74	Employee	16	73
Capital Region	70-74	Employee	25	35
Capital Region	70-74	Employee	35	33
Capital Region	70-74	Employee	40	33
Capital Region	70-74	Employee	41	8
Capital Region	70-74	Employee	49	27
Capital Region	70-74	Owner managers of incorporated enterprises	0	13
Capital Region	70-74	Owner managers of incorporated enterprises	1	33
Capital Region	70-74	Owner managers of incorporated enterprises	16	24
Capital Region	70-74	Owner managers of incorporated enterprises	25	24
Capital Region	70-74	Owner managers of incorporated enterprises	35	7
Capital Region	70-74	Owner managers of incorporated enterprises	40	22
Capital Region	70-74	Owner managers of incorporated enterprises	41	8
Capital Region	70-74	Owner managers of incorporated enterprises	49	44
Capital Region	70-74	Owner managers of unincorporated enterprises		4
Capital Region	70-74	Owner managers of unincorporated enterprises	0	16
Capital Region	70-74	Owner managers of unincorporated enterprises	1	83
Capital Region	70-74	Owner managers of unincorporated enterprises	16	47
Capital Region	70-74	Owner managers of unincorporated enterprises	25	67
Capital Region	70-74	Owner managers of unincorporated enterprises	35	18
Capital Region	70-74	Owner managers of unincorporated enterprises	40	52
Capital Region	70-74	Owner managers of unincorporated enterprises	41	22
Capital Region	70-74	Owner managers of unincorporated enterprises	49	102
Capital Region	75+			33
Capital Region	75+		0	3
Capital Region	75+		1	8
Capital Region	75+		16	7
Capital Region	75+		25	3
Capital Region	75+		40	7
Capital Region	75+		49	3
Capital Region	75+	Contributing family workers		18
Capital Region	75+	Contributing family workers	0	10
Capital Region	75+	Contributing family workers	1	49
Capital Region	75+	Contributing family workers	16	31
Capital Region	75+	Contributing family workers	25	46
Capital Region	75+	Contributing family workers	35	16
Capital Region	75+	Contributing family workers	40	41
Capital Region	75+	Contributing family workers	41	5
Capital Region	75+	Contributing family workers	49	55
Capital Region	75+	Employee		7
Capital Region	75+	Employee	0	9
Capital Region	75+	Employee	1	66
Capital Region	75+	Employee	16	25
Capital Region	75+	Employee	25	19
Capital Region	75+	Employee	35	20
Capital Region	75+	Employee	40	12
Capital Region	75+	Employee	41	6
Capital Region	75+	Employee	49	18
Capital Region	75+	Owner managers of incorporated enterprises	0	3
Capital Region	75+	Owner managers of incorporated enterprises	1	17
Capital Region	75+	Owner managers of incorporated enterprises	16	9
Capital Region	75+	Owner managers of incorporated enterprises	25	13
Capital Region	75+	Owner managers of incorporated enterprises	35	6
Capital Region	75+	Owner managers of incorporated enterprises	40	6
Capital Region	75+	Owner managers of incorporated enterprises	41	3
Capital Region	75+	Owner managers of incorporated enterprises	49	20
Capital Region	75+	Owner managers of unincorporated enterprises		15
Capital Region	75+	Owner managers of unincorporated enterprises	0	18
Capital Region	75+	Owner managers of unincorporated enterprises	1	59
Capital Region	75+	Owner managers of unincorporated enterprises	16	48
Capital Region	75+	Owner managers of unincorporated enterprises	25	33
Capital Region	75+	Owner managers of unincorporated enterprises	35	17
Capital Region	75+	Owner managers of unincorporated enterprises	40	35
Capital Region	75+	Owner managers of unincorporated enterprises	41	14
Capital Region	75+	Owner managers of unincorporated enterprises	49	81
Central Coast	15-19			6
Central Coast	15-19		0	3
Central Coast	15-19		1	40
Central Coast	15-19		16	14
Central Coast	15-19		25	12
Central Coast	15-19		35	10
Central Coast	15-19		40	4
Central Coast	15-19	Contributing family workers		3
Central Coast	15-19	Contributing family workers	1	18
Central Coast	15-19	Contributing family workers	16	3
Central Coast	15-19	Contributing family workers	35	3
Central Coast	15-19	Employee		150
Central Coast	15-19	Employee	0	293
Central Coast	15-19	Employee	1	4077
Central Coast	15-19	Employee	16	1006
Central Coast	15-19	Employee	25	593
Central Coast	15-19	Employee	35	697
Central Coast	15-19	Employee	40	476
Central Coast	15-19	Employee	41	129
Central Coast	15-19	Employee	49	103
Central Coast	15-19	Owner managers of incorporated enterprises	1	10
Central Coast	15-19	Owner managers of incorporated enterprises	16	3
Central Coast	15-19	Owner managers of incorporated enterprises	25	3
Central Coast	15-19	Owner managers of incorporated enterprises	35	3
Central Coast	15-19	Owner managers of incorporated enterprises	49	3
Central Coast	15-19	Owner managers of unincorporated enterprises		3
Central Coast	15-19	Owner managers of unincorporated enterprises	0	3
Central Coast	15-19	Owner managers of unincorporated enterprises	1	31
Central Coast	15-19	Owner managers of unincorporated enterprises	16	3
Central Coast	15-19	Owner managers of unincorporated enterprises	25	3
Central Coast	15-19	Owner managers of unincorporated enterprises	40	6
Central Coast	20-24			18
Central Coast	20-24		0	8
Central Coast	20-24		1	13
Central Coast	20-24		16	7
Central Coast	20-24		25	5
Central Coast	20-24		35	18
Central Coast	20-24		40	10
Central Coast	20-24		49	3
Central Coast	20-24	Contributing family workers		3
Central Coast	20-24	Contributing family workers	1	18
Central Coast	20-24	Contributing family workers	16	7
Central Coast	20-24	Contributing family workers	25	4
Central Coast	20-24	Contributing family workers	49	3
Central Coast	20-24	Employee		212
Central Coast	20-24	Employee	0	311
Central Coast	20-24	Employee	1	1604
Central Coast	20-24	Employee	16	1307
Central Coast	20-24	Employee	25	1340
Central Coast	20-24	Employee	35	2090
Central Coast	20-24	Employee	40	1471
Central Coast	20-24	Employee	41	604
Central Coast	20-24	Employee	49	477
Central Coast	20-24	Owner managers of incorporated enterprises		3
Central Coast	20-24	Owner managers of incorporated enterprises	1	3
Central Coast	20-24	Owner managers of incorporated enterprises	16	5
Central Coast	20-24	Owner managers of incorporated enterprises	25	9
Central Coast	20-24	Owner managers of incorporated enterprises	35	6
Central Coast	20-24	Owner managers of incorporated enterprises	40	17
Central Coast	20-24	Owner managers of incorporated enterprises	41	4
Central Coast	20-24	Owner managers of incorporated enterprises	49	12
Central Coast	20-24	Owner managers of unincorporated enterprises		5
Central Coast	20-24	Owner managers of unincorporated enterprises	0	3
Central Coast	20-24	Owner managers of unincorporated enterprises	1	42
Central Coast	20-24	Owner managers of unincorporated enterprises	16	30
Central Coast	20-24	Owner managers of unincorporated enterprises	25	35
Central Coast	20-24	Owner managers of unincorporated enterprises	35	25
Central Coast	20-24	Owner managers of unincorporated enterprises	40	41
Central Coast	20-24	Owner managers of unincorporated enterprises	41	22
Central Coast	20-24	Owner managers of unincorporated enterprises	49	33
Central Coast	25-29			7
Central Coast	25-29		0	3
Central Coast	25-29		1	10
Central Coast	25-29		16	16
Central Coast	25-29		25	7
Central Coast	25-29		35	14
Central Coast	25-29		40	9
Central Coast	25-29		41	3
Central Coast	25-29		49	3
Central Coast	25-29	Contributing family workers		6
Central Coast	25-29	Contributing family workers	0	7
Central Coast	25-29	Contributing family workers	1	23
Central Coast	25-29	Contributing family workers	16	4
Central Coast	25-29	Contributing family workers	25	6
Central Coast	25-29	Contributing family workers	40	4
Central Coast	25-29	Contributing family workers	41	3
Central Coast	25-29	Contributing family workers	49	5
Central Coast	25-29	Employee		138
