SA4_NAME16	Age	LabourForceStatus	workers
Central Coast	20-24	Employed (part-time)	4427
Central Coast	25-29		166
Central Coast	25-29	Employed (away from work)	390
Central Coast	25-29	Employed (full-time)	6028
Central Coast	25-29	Employed (part-time)	2775
Central Coast	30-34		180
Central Coast	30-34	Employed (away from work)	489
Central Coast	30-34	Employed (full-time)	5829
Central Coast	30-34	Employed (part-time)	3267
Central Coast	35-39		182
Central Coast	35-39	Employed (away from work)	370
Central Coast	35-39	Employed (full-time)	5753
Central Coast	35-39	Employed (part-time)	3627
Central Coast	40-44		203
Central Coast	40-44	Employed (away from work)	270
Central Coast	40-44	Employed (full-time)	6977
Central Coast	40-44	Employed (part-time)	4044
Central Coast	45-49		197
Central Coast	45-49	Employed (away from work)	286
Central Coast	45-49	Employed (full-time)	7553
Central Coast	45-49	Employed (part-time)	4135
Central Coast	50-54		183
Central Coast	50-54	Employed (away from work)	345
Central Coast	50-54	Employed (full-time)	7408
Central Coast	50-54	Employed (part-time)	4008
Central Coast	55-59		148
Central Coast	55-59	Employed (away from work)	425
Central Coast	55-59	Employed (full-time)	6414
Central Coast	55-59	Employed (part-time)	3991
Central Coast	60-64		120
Central Coast	60-64	Employed (away from work)	330
Central Coast	60-64	Employed (full-time)	3589
Central Coast	60-64	Employed (part-time)	3074
Central Coast	65-69		63
Central Coast	65-69	Employed (away from work)	138
Central Coast	65-69	Employed (full-time)	1124
Central Coast	65-69	Employed (part-time)	1635
Central Coast	70-74		33
Central Coast	70-74	Employed (away from work)	45
Central Coast	70-74	Employed (full-time)	281
Central Coast	70-74	Employed (part-time)	688
Central Coast	75+		43
Central Coast	75+	Employed (away from work)	23
Central Coast	75+	Employed (full-time)	118
Central Coast	75+	Employed (part-time)	260
Central West	15-19		184
Central West	15-19	Employed (away from work)	230
Central West	15-19	Employed (full-time)	1363
Central West	15-19	Employed (part-time)	3092
Central West	20-24		196
Central West	20-24	Employed (away from work)	254
Central West	20-24	Employed (full-time)	4248
Central West	20-24	Employed (part-time)	2308
Central West	25-29		152
Central West	25-29	Employed (away from work)	353
Central West	25-29	Employed (full-time)	5269
Central West	25-29	Employed (part-time)	1873
Central West	30-34		157
Central West	30-34	Employed (away from work)	401
Central West	30-34	Employed (full-time)	5130
Central West	30-34	Employed (part-time)	2331
Central West	35-39		160
Central West	35-39	Employed (away from work)	266
Central West	35-39	Employed (full-time)	5149
Central West	35-39	Employed (part-time)	2226
Central West	40-44		153
Central West	40-44	Employed (away from work)	215
Central West	40-44	Employed (full-time)	5987
Central West	40-44	Employed (part-time)	2500
Central West	45-49		146
Central West	45-49	Employed (away from work)	243
Central West	45-49	Employed (full-time)	6390
Central West	45-49	Employed (part-time)	2487
Central West	50-54		151
Central West	50-54	Employed (away from work)	269
Central West	50-54	Employed (full-time)	6288
Central West	50-54	Employed (part-time)	2542
Central West	55-59		123
Central West	55-59	Employed (away from work)	348
Central West	55-59	Employed (full-time)	5721
Central West	55-59	Employed (part-time)	2533
Central West	60-64		98
Central West	60-64	Employed (away from work)	298
Central West	60-64	Employed (full-time)	3540
Central West	60-64	Employed (part-time)	2147
Central West	65-69		77
Central West	65-69	Employed (away from work)	157
Central West	65-69	Employed (full-time)	1558
Central West	65-69	Employed (part-time)	1297
Central West	70-74		58
Central West	70-74	Employed (away from work)	87
Central West	70-74	Employed (full-time)	604
Central West	70-74	Employed (part-time)	746
Central West	75+		107
Central West	75+	Employed (away from work)	56
Central West	75+	Employed (full-time)	441
Central West	75+	Employed (part-time)	496
Coffs Harbour - Grafton	15-19		98
Coffs Harbour - Grafton	15-19	Employed (away from work)	140
Coffs Harbour - Grafton	15-19	Employed (full-time)	556
Coffs Harbour - Grafton	15-19	Employed (part-time)	2324
Coffs Harbour - Grafton	20-24		101
Coffs Harbour - Grafton	20-24	Employed (away from work)	129
Coffs Harbour - Grafton	20-24	Employed (full-time)	1879
Coffs Harbour - Grafton	20-24	Employed (part-time)	1524
Coffs Harbour - Grafton	25-29		89
Coffs Harbour - Grafton	25-29	Employed (away from work)	166
Coffs Harbour - Grafton	25-29	Employed (full-time)	2324
Coffs Harbour - Grafton	25-29	Employed (part-time)	1273
Coffs Harbour - Grafton	30-34		67
Coffs Harbour - Grafton	30-34	Employed (away from work)	183
Coffs Harbour - Grafton	30-34	Employed (full-time)	2402
Coffs Harbour - Grafton	30-34	Employed (part-time)	1431
Coffs Harbour - Grafton	35-39		68
Coffs Harbour - Grafton	35-39	Employed (away from work)	141
Coffs Harbour - Grafton	35-39	Employed (full-time)	2522
Coffs Harbour - Grafton	35-39	Employed (part-time)	1591
Coffs Harbour - Grafton	40-44		84
Coffs Harbour - Grafton	40-44	Employed (away from work)	126
Coffs Harbour - Grafton	40-44	Employed (full-time)	3281
Coffs Harbour - Grafton	40-44	Employed (part-time)	1886
Coffs Harbour - Grafton	45-49		89
Coffs Harbour - Grafton	45-49	Employed (away from work)	130
Coffs Harbour - Grafton	45-49	Employed (full-time)	3548
Coffs Harbour - Grafton	45-49	Employed (part-time)	1992
Coffs Harbour - Grafton	50-54		104
Coffs Harbour - Grafton	50-54	Employed (away from work)	198
Coffs Harbour - Grafton	50-54	Employed (full-time)	3537
Coffs Harbour - Grafton	50-54	Employed (part-time)	2126
Coffs Harbour - Grafton	55-59		78
Coffs Harbour - Grafton	55-59	Employed (away from work)	249
Coffs Harbour - Grafton	55-59	Employed (full-time)	3287
Coffs Harbour - Grafton	55-59	Employed (part-time)	2321
Coffs Harbour - Grafton	60-64		73
Coffs Harbour - Grafton	60-64	Employed (away from work)	200
Coffs Harbour - Grafton	60-64	Employed (full-time)	1997
Coffs Harbour - Grafton	60-64	Employed (part-time)	1898
Coffs Harbour - Grafton	65-69		39
Coffs Harbour - Grafton	65-69	Employed (away from work)	84
Coffs Harbour - Grafton	65-69	Employed (full-time)	659
Coffs Harbour - Grafton	65-69	Employed (part-time)	887
Coffs Harbour - Grafton	70-74		20
Coffs Harbour - Grafton	70-74	Employed (away from work)	36
Coffs Harbour - Grafton	70-74	Employed (full-time)	179
Coffs Harbour - Grafton	70-74	Employed (part-time)	340
Coffs Harbour - Grafton	75+		49
Coffs Harbour - Grafton	75+	Employed (away from work)	13
Coffs Harbour - Grafton	75+	Employed (full-time)	113
Coffs Harbour - Grafton	75+	Employed (part-time)	191
Far West and Orana	15-19		92
Far West and Orana	15-19	Employed (away from work)	91
Far West and Orana	15-19	Employed (full-time)	693
Far West and Orana	15-19	Employed (part-time)	1444
Far West and Orana	20-24		107
Far West and Orana	20-24	Employed (away from work)	133
Far West and Orana	20-24	Employed (full-time)	2455
Far West and Orana	20-24	Employed (part-time)	1055
Far West and Orana	25-29		103
Far West and Orana	25-29	Employed (away from work)	202
Far West and Orana	25-29	Employed (full-time)	3425
Far West and Orana	25-29	Employed (part-time)	1031
Far West and Orana	30-34		91
Far West and Orana	30-34	Employed (away from work)	260
Far West and Orana	30-34	Employed (full-time)	2987
Far West and Orana	30-34	Employed (part-time)	1211
Far West and Orana	35-39		86
Far West and Orana	35-39	Employed (away from work)	133
Far West and Orana	35-39	Employed (full-time)	2768
Far West and Orana	35-39	Employed (part-time)	1154
Far West and Orana	40-44		97
Far West and Orana	40-44	Employed (away from work)	109
Far West and Orana	40-44	Employed (full-time)	3170
Far West and Orana	40-44	Employed (part-time)	1112
Far West and Orana	45-49		101
Far West and Orana	45-49	Employed (away from work)	102
Far West and Orana	45-49	Employed (full-time)	3486
Far West and Orana	45-49	Employed (part-time)	1205
Far West and Orana	50-54		94
Far West and Orana	50-54	Employed (away from work)	151
Far West and Orana	50-54	Employed (full-time)	3728
Far West and Orana	50-54	Employed (part-time)	1199
Far West and Orana	55-59		89
Far West and Orana	55-59	Employed (away from work)	208
Far West and Orana	55-59	Employed (full-time)	3472
Far West and Orana	55-59	Employed (part-time)	1270
Far West and Orana	60-64		83
Far West and Orana	60-64	Employed (away from work)	173
Far West and Orana	60-64	Employed (full-time)	2223
Far West and Orana	60-64	Employed (part-time)	1062
Far West and Orana	65-69		55
Far West and Orana	65-69	Employed (away from work)	89
Far West and Orana	65-69	Employed (full-time)	994
Far West and Orana	65-69	Employed (part-time)	655
Far West and Orana	70-74		38
Far West and Orana	70-74	Employed (away from work)	30
Far West and Orana	70-74	Employed (full-time)	397
Far West and Orana	70-74	Employed (part-time)	337
Far West and Orana	75+		61
Far West and Orana	75+	Employed (away from work)	34
Far West and Orana	75+	Employed (full-time)	301
Far West and Orana	75+	Employed (part-time)	271
Hunter Valley exc Newcastle	15-19		160
Hunter Valley exc Newcastle	15-19	Employed (away from work)	257
Hunter Valley exc Newcastle	15-19	Employed (full-time)	1566
Hunter Valley exc Newcastle	15-19	Employed (part-time)	4647
Hunter Valley exc Newcastle	20-24		219
Hunter Valley exc Newcastle	20-24	Employed (away from work)	301
Hunter Valley exc Newcastle	20-24	Employed (full-time)	5298
Hunter Valley exc Newcastle	20-24	Employed (part-time)	3371
Hunter Valley exc Newcastle	25-29		187
Hunter Valley exc Newcastle	25-29	Employed (away from work)	436
Hunter Valley exc Newcastle	25-29	Employed (full-time)	7157
Hunter Valley exc Newcastle	25-29	Employed (part-time)	2560
Hunter Valley exc Newcastle	30-34		168
Hunter Valley exc Newcastle	30-34	Employed (away from work)	527
Hunter Valley exc Newcastle	30-34	Employed (full-time)	7099
Hunter Valley exc Newcastle	30-34	Employed (part-time)	2885
Hunter Valley exc Newcastle	35-39		189
Hunter Valley exc Newcastle	35-39	Employed (away from work)	317
Hunter Valley exc Newcastle	35-39	Employed (full-time)	6749
Hunter Valley exc Newcastle	35-39	Employed (part-time)	2990
Hunter Valley exc Newcastle	40-44		192
Hunter Valley exc Newcastle	40-44	Employed (away from work)	322
Hunter Valley exc Newcastle	40-44	Employed (full-time)	7503
Hunter Valley exc Newcastle	40-44	Employed (part-time)	3312
Hunter Valley exc Newcastle	45-49		198
Hunter Valley exc Newcastle	45-49	Employed (away from work)	308
Hunter Valley exc Newcastle	45-49	Employed (full-time)	7664
Hunter Valley exc Newcastle	45-49	Employed (part-time)	3123
Hunter Valley exc Newcastle	50-54		161
Hunter Valley exc Newcastle	50-54	Employed (away from work)	341
Hunter Valley exc Newcastle	50-54	Employed (full-time)	7221
Hunter Valley exc Newcastle	50-54	Employed (part-time)	3075
Hunter Valley exc Newcastle	55-59		138
Hunter Valley exc Newcastle	55-59	Employed (away from work)	401
Hunter Valley exc Newcastle	55-59	Employed (full-time)	6065
Hunter Valley exc Newcastle	55-59	Employed (part-time)	2928
Hunter Valley exc Newcastle	60-64		104
Hunter Valley exc Newcastle	60-64	Employed (away from work)	256
Hunter Valley exc Newcastle	60-64	Employed (full-time)	3248
Hunter Valley exc Newcastle	60-64	Employed (part-time)	2321
Hunter Valley exc Newcastle	65-69		49
Hunter Valley exc Newcastle	65-69	Employed (away from work)	123
Hunter Valley exc Newcastle	65-69	Employed (full-time)	1103
Hunter Valley exc Newcastle	65-69	Employed (part-time)	1264
Hunter Valley exc Newcastle	70-74		35
Hunter Valley exc Newcastle	70-74	Employed (away from work)	45
Hunter Valley exc Newcastle	70-74	Employed (full-time)	344
Hunter Valley exc Newcastle	70-74	Employed (part-time)	548
Hunter Valley exc Newcastle	75+		60
Hunter Valley exc Newcastle	75+	Employed (away from work)	25
Hunter Valley exc Newcastle	75+	Employed (full-time)	214
Hunter Valley exc Newcastle	75+	Employed (part-time)	329
Illawarra	15-19		154
Illawarra	15-19	Employed (away from work)	248
Illawarra	15-19	Employed (full-time)	1291
Illawarra	15-19	Employed (part-time)	4994
Illawarra	20-24		266
Illawarra	20-24	Employed (away from work)	303
Illawarra	20-24	Employed (full-time)	4906
Illawarra	20-24	Employed (part-time)	5450
Illawarra	25-29		167
Illawarra	25-29	Employed (away from work)	425
Illawarra	25-29	Employed (full-time)	6130
Illawarra	25-29	Employed (part-time)	3065
Illawarra	30-34		169
Illawarra	30-34	Employed (away from work)	516
Illawarra	30-34	Employed (full-time)	6216
Illawarra	30-34	Employed (part-time)	3267
Illawarra	35-39		125
Illawarra	35-39	Employed (away from work)	398
Illawarra	35-39	Employed (full-time)	6123
Illawarra	35-39	Employed (part-time)	3583
Illawarra	40-44		140
Illawarra	40-44	Employed (away from work)	279
Illawarra	40-44	Employed (full-time)	7227
Illawarra	40-44	Employed (part-time)	3990
Illawarra	45-49		167
Illawarra	45-49	Employed (away from work)	277
Illawarra	45-49	Employed (full-time)	7449
Illawarra	45-49	Employed (part-time)	3613
Illawarra	50-54		145
Illawarra	50-54	Employed (away from work)	356
Illawarra	50-54	Employed (full-time)	7478
Illawarra	50-54	Employed (part-time)	3681
Illawarra	55-59		114
Illawarra	55-59	Employed (away from work)	411
Illawarra	55-59	Employed (full-time)	6257
Illawarra	55-59	Employed (part-time)	3309
Illawarra	60-64		88
Illawarra	60-64	Employed (away from work)	325
Illawarra	60-64	Employed (full-time)	3032
Illawarra	60-64	Employed (part-time)	2531
Illawarra	65-69		53
Illawarra	65-69	Employed (away from work)	114
Illawarra	65-69	Employed (full-time)	874
Illawarra	65-69	Employed (part-time)	1230
Illawarra	70-74		39
Illawarra	70-74	Employed (away from work)	35
Illawarra	70-74	Employed (full-time)	217
Illawarra	70-74	Employed (part-time)	445
Illawarra	75+		55
Illawarra	75+	Employed (away from work)	23
Illawarra	75+	Employed (full-time)	103
Illawarra	75+	Employed (part-time)	200
Mid North Coast	15-19		164
Mid North Coast	15-19	Employed (away from work)	250
Mid North Coast	15-19	Employed (full-time)	788
Mid North Coast	15-19	Employed (part-time)	3171
Mid North Coast	20-24		155
Mid North Coast	20-24	Employed (away from work)	207
Mid North Coast	20-24	Employed (full-time)	2497
Mid North Coast	20-24	Employed (part-time)	1896
Mid North Coast	25-29		105
Mid North Coast	25-29	Employed (away from work)	217
Mid North Coast	25-29	Employed (full-time)	3075
Mid North Coast	25-29	Employed (part-time)	1723
Mid North Coast	30-34		102
Mid North Coast	30-34	Employed (away from work)	294
Mid North Coast	30-34	Employed (full-time)	3069
Mid North Coast	30-34	Employed (part-time)	1890
Mid North Coast	35-39		128
Mid North Coast	35-39	Employed (away from work)	203
Mid North Coast	35-39	Employed (full-time)	3329
Mid North Coast	35-39	Employed (part-time)	2185
Mid North Coast	40-44		138
Mid North Coast	40-44	Employed (away from work)	191
Mid North Coast	40-44	Employed (full-time)	4535
Mid North Coast	40-44	Employed (part-time)	2501
Mid North Coast	45-49		164
Mid North Coast	45-49	Employed (away from work)	220
Mid North Coast	45-49	Employed (full-time)	4942
Mid North Coast	45-49	Employed (part-time)	2780
Mid North Coast	50-54		153
Mid North Coast	50-54	Employed (away from work)	287
Mid North Coast	50-54	Employed (full-time)	5091
Mid North Coast	50-54	Employed (part-time)	3130
Mid North Coast	55-59		151
Mid North Coast	55-59	Employed (away from work)	398
Mid North Coast	55-59	Employed (full-time)	4767
Mid North Coast	55-59	Employed (part-time)	3288
Mid North Coast	60-64		111
Mid North Coast	60-64	Employed (away from work)	303
Mid North Coast	60-64	Employed (full-time)	2782
Mid North Coast	60-64	Employed (part-time)	2678
Mid North Coast	65-69		66
Mid North Coast	65-69	Employed (away from work)	133
Mid North Coast	65-69	Employed (full-time)	1031
Mid North Coast	65-69	Employed (part-time)	1408
Mid North Coast	70-74		61
Mid North Coast	70-74	Employed (away from work)	55
Mid North Coast	70-74	Employed (full-time)	329
Mid North Coast	70-74	Employed (part-time)	588
Mid North Coast	75+		81
Mid North Coast	75+	Employed (away from work)	44
Mid North Coast	75+	Employed (full-time)	214
Mid North Coast	75+	Employed (part-time)	295
Murray	15-19		102
Murray	15-19	Employed (away from work)	127
Murray	15-19	Employed (full-time)	749
Murray	15-19	Employed (part-time)	2046
Murray	20-24		127
Murray	20-24	Employed (away from work)	120
Murray	20-24	Employed (full-time)	2399
Murray	20-24	Employed (part-time)	1554
Murray	25-29		69
Murray	25-29	Employed (away from work)	200
Murray	25-29	Employed (full-time)	2861
Murray	25-29	Employed (part-time)	1207
Murray	30-34		84
Murray	30-34	Employed (away from work)	239
Murray	30-34	Employed (full-time)	2778
Murray	30-34	Employed (part-time)	1406
Murray	35-39		72
Murray	35-39	Employed (away from work)	144
Murray	35-39	Employed (full-time)	2724
Murray	35-39	Employed (part-time)	1420
Murray	40-44		92
Murray	40-44	Employed (away from work)	126
Murray	40-44	Employed (full-time)	3236
Murray	40-44	Employed (part-time)	1515
Murray	45-49		90
Murray	45-49	Employed (away from work)	131
Murray	45-49	Employed (full-time)	3633
Murray	45-49	Employed (part-time)	1553
Murray	50-54		86
Murray	50-54	Employed (away from work)	203
Murray	50-54	Employed (full-time)	3738
Murray	50-54	Employed (part-time)	1600
Murray	55-59		94
Murray	55-59	Employed (away from work)	279
Murray	55-59	Employed (full-time)	3494
Murray	55-59	Employed (part-time)	1668
Murray	60-64		75
Murray	60-64	Employed (away from work)	237
Murray	60-64	Employed (full-time)	2220
Murray	60-64	Employed (part-time)	1498
Murray	65-69		70
Murray	65-69	Employed (away from work)	111
Murray	65-69	Employed (full-time)	841
Murray	65-69	Employed (part-time)	870
Murray	70-74		29
Murray	70-74	Employed (away from work)	63
Murray	70-74	Employed (full-time)	298
Murray	70-74	Employed (part-time)	358
Murray	75+		41
Murray	75+	Employed (away from work)	48
Murray	75+	Employed (full-time)	188
Murray	75+	Employed (part-time)	245
New England and North West	15-19		175
New England and North West	15-19	Employed (away from work)	213
New England and North West	15-19	Employed (full-time)	1146
New England and North West	15-19	Employed (part-time)	2838
New England and North West	20-24		186
New England and North West	20-24	Employed (away from work)	227
New England and North West	20-24	Employed (full-time)	3619
New England and North West	20-24	Employed (part-time)	1996
New England and North West	25-29		133
New England and North West	25-29	Employed (away from work)	294
New England and North West	25-29	Employed (full-time)	4641
New England and North West	25-29	Employed (part-time)	1672
New England and North West	30-34		123
New England and North West	30-34	Employed (away from work)	314
New England and North West	30-34	Employed (full-time)	4470
New England and North West	30-34	Employed (part-time)	1936
New England and North West	35-39		128
New England and North West	35-39	Employed (away from work)	239
New England and North West	35-39	Employed (full-time)	4343
New England and North West	35-39	Employed (part-time)	1935
New England and North West	40-44		134
New England and North West	40-44	Employed (away from work)	176
New England and North West	40-44	Employed (full-time)	5016
New England and North West	40-44	Employed (part-time)	2144
New England and North West	45-49		143
New England and North West	45-49	Employed (away from work)	201
New England and North West	45-49	Employed (full-time)	5481
New England and North West	45-49	Employed (part-time)	2149
New England and North West	50-54		141
New England and North West	50-54	Employed (away from work)	218
New England and North West	50-54	Employed (full-time)	5674
New England and North West	50-54	Employed (part-time)	2288
New England and North West	55-59		159
New England and North West	55-59	Employed (away from work)	304
New England and North West	55-59	Employed (full-time)	5199
New England and North West	55-59	Employed (part-time)	2319
New England and North West	60-64		107
New England and North West	60-64	Employed (away from work)	268
New England and North West	60-64	Employed (full-time)	3504
New England and North West	60-64	Employed (part-time)	1926
New England and North West	65-69		75
New England and North West	65-69	Employed (away from work)	147
New England and North West	65-69	Employed (full-time)	1567
New England and North West	65-69	Employed (part-time)	1195
New England and North West	70-74		69
New England and North West	70-74	Employed (away from work)	53
New England and North West	70-74	Employed (full-time)	655
New England and North West	70-74	Employed (part-time)	668
New England and North West	75+		91
New England and North West	75+	Employed (away from work)	75
New England and North West	75+	Employed (full-time)	471
New England and North West	75+	Employed (part-time)	428
Newcastle and Lake Macquarie	15-19		207
Newcastle and Lake Macquarie	15-19	Employed (away from work)	332
Newcastle and Lake Macquarie	15-19	Employed (full-time)	1810
Newcastle and Lake Macquarie	15-19	Employed (part-time)	6765
Newcastle and Lake Macquarie	20-24		368
Newcastle and Lake Macquarie	20-24	Employed (away from work)	564
Newcastle and Lake Macquarie	20-24	Employed (full-time)	7702
Newcastle and Lake Macquarie	20-24	Employed (part-time)	7458
Newcastle and Lake Macquarie	25-29		287
Newcastle and Lake Macquarie	25-29	Employed (away from work)	727
Newcastle and Lake Macquarie	25-29	Employed (full-time)	10983
Newcastle and Lake Macquarie	25-29	Employed (part-time)	4538
Newcastle and Lake Macquarie	30-34		239
Newcastle and Lake Macquarie	30-34	Employed (away from work)	925
Newcastle and Lake Macquarie	30-34	Employed (full-time)	10591
Newcastle and Lake Macquarie	30-34	Employed (part-time)	4938
Newcastle and Lake Macquarie	35-39		220
Newcastle and Lake Macquarie	35-39	Employed (away from work)	591
Newcastle and Lake Macquarie	35-39	Employed (full-time)	9971
Newcastle and Lake Macquarie	35-39	Employed (part-time)	5194
Newcastle and Lake Macquarie	40-44		229
Newcastle and Lake Macquarie	40-44	Employed (away from work)	430
Newcastle and Lake Macquarie	40-44	Employed (full-time)	11190
Newcastle and Lake Macquarie	40-44	Employed (part-time)	5436
Newcastle and Lake Macquarie	45-49		213
Newcastle and Lake Macquarie	45-49	Employed (away from work)	406
Newcastle and Lake Macquarie	45-49	Employed (full-time)	11699
Newcastle and Lake Macquarie	45-49	Employed (part-time)	5231
Newcastle and Lake Macquarie	50-54		216
Newcastle and Lake Macquarie	50-54	Employed (away from work)	504
Newcastle and Lake Macquarie	50-54	Employed (full-time)	11206
Newcastle and Lake Macquarie	50-54	Employed (part-time)	4983
Newcastle and Lake Macquarie	55-59		157
Newcastle and Lake Macquarie	55-59	Employed (away from work)	612
Newcastle and Lake Macquarie	55-59	Employed (full-time)	9661
Newcastle and Lake Macquarie	55-59	Employed (part-time)	4638
Newcastle and Lake Macquarie	60-64		118
Newcastle and Lake Macquarie	60-64	Employed (away from work)	421
Newcastle and Lake Macquarie	60-64	Employed (full-time)	5002
Newcastle and Lake Macquarie	60-64	Employed (part-time)	3688
Newcastle and Lake Macquarie	65-69		64
Newcastle and Lake Macquarie	65-69	Employed (away from work)	178
Newcastle and Lake Macquarie	65-69	Employed (full-time)	1362
Newcastle and Lake Macquarie	65-69	Employed (part-time)	1823
Newcastle and Lake Macquarie	70-74		38
Newcastle and Lake Macquarie	70-74	Employed (away from work)	59
Newcastle and Lake Macquarie	70-74	Employed (full-time)	301
Newcastle and Lake Macquarie	70-74	Employed (part-time)	738
Newcastle and Lake Macquarie	75+		57
Newcastle and Lake Macquarie	75+	Employed (away from work)	26
Newcastle and Lake Macquarie	75+	Employed (full-time)	130
Newcastle and Lake Macquarie	75+	Employed (part-time)	354
Richmond - Tweed	15-19		185
Richmond - Tweed	15-19	Employed (away from work)	192
Richmond - Tweed	15-19	Employed (full-time)	944
Richmond - Tweed	15-19	Employed (part-time)	3963
Richmond - Tweed	20-24		167
Richmond - Tweed	20-24	Employed (away from work)	181
Richmond - Tweed	20-24	Employed (full-time)	2937
Richmond - Tweed	20-24	Employed (part-time)	2850
Richmond - Tweed	25-29		138
Richmond - Tweed	25-29	Employed (away from work)	240
Richmond - Tweed	25-29	Employed (full-time)	3703
Richmond - Tweed	25-29	Employed (part-time)	2302
Richmond - Tweed	30-34		156
Richmond - Tweed	30-34	Employed (away from work)	312
Richmond - Tweed	30-34	Employed (full-time)	4028
Richmond - Tweed	30-34	Employed (part-time)	2693
Richmond - Tweed	35-39		151
Richmond - Tweed	35-39	Employed (away from work)	225
Richmond - Tweed	35-39	Employed (full-time)	4434
Richmond - Tweed	35-39	Employed (part-time)	3115
Richmond - Tweed	40-44		197
Richmond - Tweed	40-44	Employed (away from work)	221
Richmond - Tweed	40-44	Employed (full-time)	5334
Richmond - Tweed	40-44	Employed (part-time)	3614
Richmond - Tweed	45-49		163
Richmond - Tweed	45-49	Employed (away from work)	212
Richmond - Tweed	45-49	Employed (full-time)	6009
Richmond - Tweed	45-49	Employed (part-time)	3652
Richmond - Tweed	50-54		166
Richmond - Tweed	50-54	Employed (away from work)	268
Richmond - Tweed	50-54	Employed (full-time)	6158
Richmond - Tweed	50-54	Employed (part-time)	3792
Richmond - Tweed	55-59		163
Richmond - Tweed	55-59	Employed (away from work)	374
Richmond - Tweed	55-59	Employed (full-time)	5744
Richmond - Tweed	55-59	Employed (part-time)	4102
Richmond - Tweed	60-64		125
Richmond - Tweed	60-64	Employed (away from work)	350
Richmond - Tweed	60-64	Employed (full-time)	3560
Richmond - Tweed	60-64	Employed (part-time)	3429
Richmond - Tweed	65-69		68
Richmond - Tweed	65-69	Employed (away from work)	163
Richmond - Tweed	65-69	Employed (full-time)	1249
Richmond - Tweed	65-69	Employed (part-time)	1801
Richmond - Tweed	70-74		40
Richmond - Tweed	70-74	Employed (away from work)	43
Richmond - Tweed	70-74	Employed (full-time)	393
Richmond - Tweed	70-74	Employed (part-time)	677
Richmond - Tweed	75+		99
Richmond - Tweed	75+	Employed (away from work)	30
Richmond - Tweed	75+	Employed (full-time)	276
Richmond - Tweed	75+	Employed (part-time)	379
Riverina	15-19		161
Riverina	15-19	Employed (away from work)	163
Riverina	15-19	Employed (full-time)	1541
Riverina	15-19	Employed (part-time)	2530
Riverina	20-24		199
Riverina	20-24	Employed (away from work)	184
Riverina	20-24	Employed (full-time)	4213
Riverina	20-24	Employed (part-time)	2052
Riverina	25-29		150
Riverina	25-29	Employed (away from work)	286
Riverina	25-29	Employed (full-time)	4844
Riverina	25-29	Employed (part-time)	1575
Riverina	30-34		143
Riverina	30-34	Employed (away from work)	334
Riverina	30-34	Employed (full-time)	4377
Riverina	30-34	Employed (part-time)	1774
Riverina	35-39		105
Riverina	35-39	Employed (away from work)	210
Riverina	35-39	Employed (full-time)	4103
Riverina	35-39	Employed (part-time)	1832
Riverina	40-44		102
Riverina	40-44	Employed (away from work)	164
Riverina	40-44	Employed (full-time)	4737
Riverina	40-44	Employed (part-time)	1925
Riverina	45-49		118
Riverina	45-49	Employed (away from work)	152
