SA4_NAME16	ModeTravelToWork	NumberModes	Occupation	workers
Capital Region	Method of travel not stated			273
Capital Region	Method of travel not stated		Clerical and administrative workers	59
Capital Region	Method of travel not stated		Community and personal service workers	81
Capital Region	Method of travel not stated		Labourers	121
Capital Region	Method of travel not stated		Machinery operators and drivers	45
Capital Region	Method of travel not stated		Managers	113
Capital Region	Method of travel not stated		Professionals	65
Capital Region	Method of travel not stated		Sales workers	87
Capital Region	Method of travel not stated		Technicians and trades workers	94
Capital Region	Motorbike scooter	1	Clerical and administrative workers	19
Capital Region	Motorbike scooter	1	Community and personal service workers	31
Capital Region	Motorbike scooter	1	Labourers	56
Capital Region	Motorbike scooter	1	Machinery operators and drivers	30
Capital Region	Motorbike scooter	1	Managers	106
Capital Region	Motorbike scooter	1	Professionals	29
Capital Region	Motorbike scooter	1	Sales workers	23
Capital Region	Motorbike scooter	1	Technicians and trades workers	65
Capital Region	(Other)	1		9
Capital Region	(Other)	1	Clerical and administrative workers	46
Capital Region	(Other)	1	Community and personal service workers	54
Capital Region	(Other)	1	Labourers	88
Capital Region	(Other)	1	Machinery operators and drivers	30
Capital Region	(Other)	1	Managers	247
Capital Region	(Other)	1	Professionals	43
Capital Region	(Other)	1	Sales workers	26
Capital Region	(Other)	1	Technicians and trades workers	70
Capital Region	Other three methods	3	Clerical and administrative workers	3
Capital Region	Other three methods	3	Community and personal service workers	3
Capital Region	Other three methods	3	Labourers	3
Capital Region	Other three methods	3	Managers	13
Capital Region	Other three methods	3	Professionals	6
Capital Region	Other three methods	3	Technicians and trades workers	4
Capital Region	Other two methods	2	Clerical and administrative workers	31
Capital Region	Other two methods	2	Community and personal service workers	45
Capital Region	Other two methods	2	Labourers	70
Capital Region	Other two methods	2	Machinery operators and drivers	50
Capital Region	Other two methods	2	Managers	84
Capital Region	Other two methods	2	Professionals	49
Capital Region	Other two methods	2	Sales workers	33
Capital Region	Other two methods	2	Technicians and trades workers	50
Capital Region	Taxi	1		3
Capital Region	Taxi	1	Clerical and administrative workers	6
Capital Region	Taxi	1	Community and personal service workers	23
Capital Region	Taxi	1	Labourers	14
Capital Region	Taxi	1	Machinery operators and drivers	18
Capital Region	Taxi	1	Managers	7
Capital Region	Taxi	1	Professionals	5
Capital Region	Taxi	1	Sales workers	13
Capital Region	Taxi	1	Technicians and trades workers	11
Capital Region	Train	1		7
Capital Region	Train	1	Clerical and administrative workers	7
Capital Region	Train	1	Community and personal service workers	18
Capital Region	Train	1	Labourers	9
Capital Region	Train	1	Machinery operators and drivers	15
Capital Region	Train	1	Managers	12
Capital Region	Train	1	Professionals	9
Capital Region	Train	1	Sales workers	20
Capital Region	Train	1	Technicians and trades workers	7
Capital Region	Train and bus	2	Clerical and administrative workers	4
Capital Region	Train and bus	2	Labourers	3
Capital Region	Train and bus	2	Machinery operators and drivers	4
Capital Region	Train and bus	2	Professionals	3
Capital Region	Train and bus	2	Sales workers	3
Capital Region	Train and bus	2	Technicians and trades workers	3
Capital Region	Train and car as driver	2	Clerical and administrative workers	8
Capital Region	Train and car as driver	2	Community and personal service workers	31
Capital Region	Train and car as driver	2	Labourers	6
Capital Region	Train and car as driver	2	Machinery operators and drivers	32
Capital Region	Train and car as driver	2	Managers	10
Capital Region	Train and car as driver	2	Professionals	14
Capital Region	Train and car as driver	2	Sales workers	11
Capital Region	Train and car as driver	2	Technicians and trades workers	13
Capital Region	Train and car as passenger	2	Community and personal service workers	8
Capital Region	Train and car as passenger	2	Labourers	5
Capital Region	Train and car as passenger	2	Machinery operators and drivers	24
Capital Region	Train and car as passenger	2	Sales workers	7
Capital Region	Train and two other methods	3	Community and personal service workers	10
Capital Region	Train and two other methods	3	Machinery operators and drivers	11
Capital Region	Train and two other methods	3	Professionals	3
Capital Region	Train and two other methods	3	Technicians and trades workers	5
Capital Region	Truck	1		20
Capital Region	Truck	1	Clerical and administrative workers	16
Capital Region	Truck	1	Community and personal service workers	8
Capital Region	Truck	1	Labourers	145
Capital Region	Truck	1	Machinery operators and drivers	352
Capital Region	Truck	1	Managers	262
Capital Region	Truck	1	Professionals	6
Capital Region	Truck	1	Sales workers	22
Capital Region	Truck	1	Technicians and trades workers	207
Capital Region	Walked only	1		53
Capital Region	Walked only	1	Clerical and administrative workers	302
Capital Region	Walked only	1	Community and personal service workers	684
Capital Region	Walked only	1	Labourers	603
Capital Region	Walked only	1	Machinery operators and drivers	136
Capital Region	Walked only	1	Managers	901
Capital Region	Walked only	1	Professionals	452
Capital Region	Walked only	1	Sales workers	421
Capital Region	Walked only	1	Technicians and trades workers	447
Capital Region	Worked at home			84
Capital Region	Worked at home		Clerical and administrative workers	914
Capital Region	Worked at home		Community and personal service workers	302
Capital Region	Worked at home		Labourers	254
Capital Region	Worked at home		Machinery operators and drivers	56
Capital Region	Worked at home		Managers	2649
Capital Region	Worked at home		Professionals	1036
Capital Region	Worked at home		Sales workers	182
Capital Region	Worked at home		Technicians and trades workers	430
Central Coast	Bicycle	1		6
Central Coast	Bicycle	1	Clerical and administrative workers	32
Central Coast	Bicycle	1	Community and personal service workers	41
Central Coast	Bicycle	1	Labourers	61
Central Coast	Bicycle	1	Machinery operators and drivers	27
Central Coast	Bicycle	1	Managers	34
Central Coast	Bicycle	1	Professionals	89
Central Coast	Bicycle	1	Sales workers	25
Central Coast	Bicycle	1	Technicians and trades workers	57
Central Coast	Bus	1		17
Central Coast	Bus	1	Clerical and administrative workers	96
Central Coast	Bus	1	Community and personal service workers	195
Central Coast	Bus	1	Labourers	266
Central Coast	Bus	1	Machinery operators and drivers	46
Central Coast	Bus	1	Managers	57
Central Coast	Bus	1	Professionals	108
Central Coast	Bus	1	Sales workers	330
Central Coast	Bus	1	Technicians and trades workers	103
Central Coast	Bus and car as driver	2		4
Central Coast	Bus and car as driver	2	Clerical and administrative workers	9
Central Coast	Bus and car as driver	2	Machinery operators and drivers	3
Central Coast	Bus and car as driver	2	Managers	4
Central Coast	Bus and car as driver	2	Professionals	11
Central Coast	Bus and car as driver	2	Sales workers	3
Central Coast	Bus and car as driver	2	Technicians and trades workers	3
Central Coast	Bus and car as passenger	2	Clerical and administrative workers	7
Central Coast	Bus and car as passenger	2	Community and personal service workers	14
Central Coast	Bus and car as passenger	2	Labourers	33
Central Coast	Bus and car as passenger	2	Managers	4
Central Coast	Bus and car as passenger	2	Professionals	10
Central Coast	Bus and car as passenger	2	Sales workers	52
Central Coast	Bus and car as passenger	2	Technicians and trades workers	3
Central Coast	Bus and other	2	Sales workers	3
Central Coast	Bus and two other methods excludes train	3	Community and personal service workers	3
Central Coast	Bus and two other methods excludes train	3	Machinery operators and drivers	3
Central Coast	Bus and two other methods excludes train	3	Professionals	3
Central Coast	Bus and two other methods excludes train	3	Sales workers	8
Central Coast	Car as driver	1		913
Central Coast	Car as driver	1	Clerical and administrative workers	9898
Central Coast	Car as driver	1	Community and personal service workers	9477
Central Coast	Car as driver	1	Labourers	6764
Central Coast	Car as driver	1	Machinery operators and drivers	4598
Central Coast	Car as driver	1	Managers	8014
Central Coast	Car as driver	1	Professionals	14655
Central Coast	Car as driver	1	Sales workers	7836
Central Coast	Car as driver	1	Technicians and trades workers	10607
Central Coast	Car as passenger	1		64
Central Coast	Car as passenger	1	Clerical and administrative workers	425
Central Coast	Car as passenger	1	Community and personal service workers	653
Central Coast	Car as passenger	1	Labourers	1128
Central Coast	Car as passenger	1	Machinery operators and drivers	190
Central Coast	Car as passenger	1	Managers	286
Central Coast	Car as passenger	1	Professionals	468
Central Coast	Car as passenger	1	Sales workers	1066
Central Coast	Car as passenger	1	Technicians and trades workers	657
Central Coast	Did not go to work			125
Central Coast	Did not go to work		Clerical and administrative workers	1444
Central Coast	Did not go to work		Community and personal service workers	2214
Central Coast	Did not go to work		Labourers	1240
Central Coast	Did not go to work		Machinery operators and drivers	494
Central Coast	Did not go to work		Managers	747
Central Coast	Did not go to work		Professionals	2285
Central Coast	Did not go to work		Sales workers	2390
Central Coast	Did not go to work		Technicians and trades workers	855
Central Coast	Ferry	1	Labourers	3
Central Coast	Ferry	1	Managers	7
Central Coast	Ferry	1	Professionals	3
Central Coast	Ferry	1	Technicians and trades workers	3
Central Coast	Method of travel not stated			311
Central Coast	Method of travel not stated		Clerical and administrative workers	86
Central Coast	Method of travel not stated		Community and personal service workers	121
Central Coast	Method of travel not stated		Labourers	119
Central Coast	Method of travel not stated		Machinery operators and drivers	61
Central Coast	Method of travel not stated		Managers	84
Central Coast	Method of travel not stated		Professionals	105
Central Coast	Method of travel not stated		Sales workers	115
Central Coast	Method of travel not stated		Technicians and trades workers	124
Central Coast	Motorbike scooter	1		4
Central Coast	Motorbike scooter	1	Clerical and administrative workers	71
Central Coast	Motorbike scooter	1	Community and personal service workers	62
Central Coast	Motorbike scooter	1	Labourers	61
Central Coast	Motorbike scooter	1	Machinery operators and drivers	56
Central Coast	Motorbike scooter	1	Managers	30
Central Coast	Motorbike scooter	1	Professionals	52
Central Coast	Motorbike scooter	1	Sales workers	27
Central Coast	Motorbike scooter	1	Technicians and trades workers	103
Central Coast	(Other)	1		22
Central Coast	(Other)	1	Clerical and administrative workers	57
Central Coast	(Other)	1	Community and personal service workers	36
Central Coast	(Other)	1	Labourers	41
Central Coast	(Other)	1	Machinery operators and drivers	30
Central Coast	(Other)	1	Managers	71
Central Coast	(Other)	1	Professionals	65
Central Coast	(Other)	1	Sales workers	18
Central Coast	(Other)	1	Technicians and trades workers	49
Central Coast	Other three methods	3	Labourers	3
Central Coast	Other three methods	3	Managers	3
Central Coast	Other three methods	3	Professionals	6
Central Coast	Other three methods	3	Sales workers	3
Central Coast	Other two methods	2		6
Central Coast	Other two methods	2	Clerical and administrative workers	44
Central Coast	Other two methods	2	Community and personal service workers	58
Central Coast	Other two methods	2	Labourers	95
Central Coast	Other two methods	2	Machinery operators and drivers	57
Central Coast	Other two methods	2	Managers	51
Central Coast	Other two methods	2	Professionals	89
Central Coast	Other two methods	2	Sales workers	52
Central Coast	Other two methods	2	Technicians and trades workers	95
Central Coast	Taxi	1		3
Central Coast	Taxi	1	Clerical and administrative workers	4
Central Coast	Taxi	1	Community and personal service workers	13
Central Coast	Taxi	1	Labourers	9
Central Coast	Taxi	1	Machinery operators and drivers	6
Central Coast	Taxi	1	Managers	8
Central Coast	Taxi	1	Professionals	5
Central Coast	Taxi	1	Sales workers	15
Central Coast	Taxi	1	Technicians and trades workers	9
Central Coast	Train	1		24
Central Coast	Train	1	Clerical and administrative workers	81
Central Coast	Train	1	Community and personal service workers	69
Central Coast	Train	1	Labourers	63
Central Coast	Train	1	Machinery operators and drivers	26
Central Coast	Train	1	Managers	62
Central Coast	Train	1	Professionals	230
Central Coast	Train	1	Sales workers	95
Central Coast	Train	1	Technicians and trades workers	59
Central Coast	Train and bus	2		7
Central Coast	Train and bus	2	Clerical and administrative workers	27
Central Coast	Train and bus	2	Community and personal service workers	36
Central Coast	Train and bus	2	Labourers	40
Central Coast	Train and bus	2	Machinery operators and drivers	3
Central Coast	Train and bus	2	Managers	23
Central Coast	Train and bus	2	Professionals	49
Central Coast	Train and bus	2	Sales workers	34
Central Coast	Train and bus	2	Technicians and trades workers	41
Central Coast	Train and car as driver	2		5
Central Coast	Train and car as driver	2	Clerical and administrative workers	38
Central Coast	Train and car as driver	2	Community and personal service workers	24
Central Coast	Train and car as driver	2	Labourers	17
Central Coast	Train and car as driver	2	Machinery operators and drivers	6
Central Coast	Train and car as driver	2	Managers	38
Central Coast	Train and car as driver	2	Professionals	83
Central Coast	Train and car as driver	2	Sales workers	21
Central Coast	Train and car as driver	2	Technicians and trades workers	11
Central Coast	Train and car as passenger	2	Clerical and administrative workers	9
Central Coast	Train and car as passenger	2	Community and personal service workers	4
Central Coast	Train and car as passenger	2	Labourers	5
Central Coast	Train and car as passenger	2	Managers	8
Central Coast	Train and car as passenger	2	Professionals	11
Central Coast	Train and car as passenger	2	Sales workers	9
Central Coast	Train and car as passenger	2	Technicians and trades workers	9
Central Coast	Train and other	2	Clerical and administrative workers	5
Central Coast	Train and other	2	Community and personal service workers	3
Central Coast	Train and other	2	Labourers	4
Central Coast	Train and other	2	Managers	3
Central Coast	Train and other	2	Professionals	13
Central Coast	Train and other	2	Technicians and trades workers	4
Central Coast	Train and two other methods	3	Clerical and administrative workers	10
Central Coast	Train and two other methods	3	Community and personal service workers	15
Central Coast	Train and two other methods	3	Labourers	18
Central Coast	Train and two other methods	3	Managers	16
Central Coast	Train and two other methods	3	Professionals	34
Central Coast	Train and two other methods	3	Sales workers	17
Central Coast	Train and two other methods	3	Technicians and trades workers	15
Central Coast	Truck	1		24
Central Coast	Truck	1	Clerical and administrative workers	19
Central Coast	Truck	1	Community and personal service workers	5
Central Coast	Truck	1	Labourers	165
Central Coast	Truck	1	Machinery operators and drivers	282
Central Coast	Truck	1	Managers	68
Central Coast	Truck	1	Professionals	7
Central Coast	Truck	1	Sales workers	33
Central Coast	Truck	1	Technicians and trades workers	284
Central Coast	Walked only	1		29
Central Coast	Walked only	1	Clerical and administrative workers	186
Central Coast	Walked only	1	Community and personal service workers	362
Central Coast	Walked only	1	Labourers	334
Central Coast	Walked only	1	Machinery operators and drivers	90
Central Coast	Walked only	1	Managers	276
Central Coast	Walked only	1	Professionals	310
Central Coast	Walked only	1	Sales workers	281
Central Coast	Walked only	1	Technicians and trades workers	235
Central Coast	Worked at home			105
Central Coast	Worked at home		Clerical and administrative workers	1783
Central Coast	Worked at home		Community and personal service workers	422
Central Coast	Worked at home		Labourers	134
Central Coast	Worked at home		Machinery operators and drivers	49
Central Coast	Worked at home		Managers	1163
Central Coast	Worked at home		Professionals	1811
Central Coast	Worked at home		Sales workers	323
Central Coast	Worked at home		Technicians and trades workers	585
Central West	Bicycle	1		5
Central West	Bicycle	1	Clerical and administrative workers	22
Central West	Bicycle	1	Community and personal service workers	20
Central West	Bicycle	1	Labourers	59
Central West	Bicycle	1	Machinery operators and drivers	21
Central West	Bicycle	1	Managers	32
Central West	Bicycle	1	Professionals	92
Central West	Bicycle	1	Sales workers	13
Central West	Bicycle	1	Technicians and trades workers	56
Central West	Bus	1		6
Central West	Bus	1	Clerical and administrative workers	11
Central West	Bus	1	Community and personal service workers	21
Central West	Bus	1	Labourers	69
Central West	Bus	1	Machinery operators and drivers	96
Central West	Bus	1	Managers	15
Central West	Bus	1	Professionals	25
Central West	Bus	1	Sales workers	25
Central West	Bus	1	Technicians and trades workers	38
Central West	Bus and car as driver	2	Labourers	3
Central West	Bus and car as driver	2	Machinery operators and drivers	8
Central West	Bus and car as driver	2	Managers	3
Central West	Bus and car as driver	2	Professionals	3
Central West	Bus and car as driver	2	Technicians and trades workers	7
Central West	Bus and car as passenger	2	Labourers	8
Central West	Bus and car as passenger	2	Sales workers	7
Central West	Bus and other	2	Community and personal service workers	3
Central West	Bus and other	2	Labourers	3
Central West	Bus and other	2	Machinery operators and drivers	3
Central West	Bus and two other methods excludes train	3	Labourers	3
Central West	Car as driver	1		665
Central West	Car as driver	1	Clerical and administrative workers	7222
Central West	Car as driver	1	Community and personal service workers	6376
Central West	Car as driver	1	Labourers	5957
Central West	Car as driver	1	Machinery operators and drivers	5063
Central West	Car as driver	1	Managers	6923
Central West	Car as driver	1	Professionals	10413
Central West	Car as driver	1	Sales workers	4754
Central West	Car as driver	1	Technicians and trades workers	8833
Central West	Car as passenger	1		55
Central West	Car as passenger	1	Clerical and administrative workers	357
Central West	Car as passenger	1	Community and personal service workers	430
Central West	Car as passenger	1	Labourers	974
Central West	Car as passenger	1	Machinery operators and drivers	415
Central West	Car as passenger	1	Managers	294
Central West	Car as passenger	1	Professionals	444
Central West	Car as passenger	1	Sales workers	780
Central West	Car as passenger	1	Technicians and trades workers	640
Central West	Did not go to work			117
Central West	Did not go to work		Clerical and administrative workers	938
Central West	Did not go to work		Community and personal service workers	1458
Central West	Did not go to work		Labourers	1068
Central West	Did not go to work		Machinery operators and drivers	690
Central West	Did not go to work		Managers	698
Central West	Did not go to work		Professionals	1440
Central West	Did not go to work		Sales workers	1221
Central West	Did not go to work		Technicians and trades workers	829
Central West	Ferry	1	Labourers	6
Central West	Ferry	1	Sales workers	3
Central West	Ferry	1	Technicians and trades workers	4
Central West	Method of travel not stated			373
Central West	Method of travel not stated		Clerical and administrative workers	60
Central West	Method of travel not stated		Community and personal service workers	85
Central West	Method of travel not stated		Labourers	114
Central West	Method of travel not stated		Machinery operators and drivers	77
Central West	Method of travel not stated		Managers	98
Central West	Method of travel not stated		Professionals	73
Central West	Method of travel not stated		Sales workers	74
Central West	Method of travel not stated		Technicians and trades workers	123
Central West	Motorbike scooter	1		3
Central West	Motorbike scooter	1	Clerical and administrative workers	20
Central West	Motorbike scooter	1	Community and personal service workers	28
Central West	Motorbike scooter	1	Labourers	40
Central West	Motorbike scooter	1	Machinery operators and drivers	25
Central West	Motorbike scooter	1	Managers	114
Central West	Motorbike scooter	1	Professionals	32
Central West	Motorbike scooter	1	Sales workers	16
Central West	Motorbike scooter	1	Technicians and trades workers	60
Central West	(Other)	1		13
Central West	(Other)	1	Clerical and administrative workers	25
Central West	(Other)	1	Community and personal service workers	65
Central West	(Other)	1	Labourers	46
Central West	(Other)	1	Machinery operators and drivers	43
Central West	(Other)	1	Managers	207
Central West	(Other)	1	Professionals	46
Central West	(Other)	1	Sales workers	12
Central West	(Other)	1	Technicians and trades workers	47
Central West	Other three methods	3	Community and personal service workers	3
Central West	Other three methods	3	Labourers	4
Central West	Other three methods	3	Managers	26
Central West	Other three methods	3	Professionals	5
Central West	Other three methods	3	Sales workers	3
Central West	Other three methods	3	Technicians and trades workers	5
Central West	Other two methods	2		10
Central West	Other two methods	2	Clerical and administrative workers	21
Central West	Other two methods	2	Community and personal service workers	36
Central West	Other two methods	2	Labourers	53
Central West	Other two methods	2	Machinery operators and drivers	71
Central West	Other two methods	2	Managers	79
Central West	Other two methods	2	Professionals	73
Central West	Other two methods	2	Sales workers	37
Central West	Other two methods	2	Technicians and trades workers	62
Central West	Taxi	1		4
Central West	Taxi	1	Clerical and administrative workers	8
Central West	Taxi	1	Community and personal service workers	14
Central West	Taxi	1	Labourers	40
Central West	Taxi	1	Machinery operators and drivers	28
Central West	Taxi	1	Managers	16
Central West	Taxi	1	Professionals	15
Central West	Taxi	1	Sales workers	23
Central West	Taxi	1	Technicians and trades workers	14
Central West	Train	1		3
Central West	Train	1	Clerical and administrative workers	7
Central West	Train	1	Community and personal service workers	4
Central West	Train	1	Labourers	9
Central West	Train	1	Managers	9
Central West	Train	1	Professionals	20
Central West	Train	1	Sales workers	3
Central West	Train	1	Technicians and trades workers	7
Central West	Train and bus	2	Community and personal service workers	4
Central West	Train and bus	2	Technicians and trades workers	3
Central West	Train and car as driver	2	Managers	5
Central West	Train and car as driver	2	Professionals	9
Central West	Train and car as driver	2	Technicians and trades workers	4
Central West	Train and two other methods	3	Labourers	3
Central West	Train and two other methods	3	Managers	3
Central West	Tram includes light rail	1	Technicians and trades workers	3
Central West	Truck	1		12
Central West	Truck	1	Clerical and administrative workers	15
Central West	Truck	1	Community and personal service workers	9
Central West	Truck	1	Labourers	121
Central West	Truck	1	Machinery operators and drivers	314
Central West	Truck	1	Managers	296
Central West	Truck	1	Professionals	11
Central West	Truck	1	Sales workers	16
Central West	Truck	1	Technicians and trades workers	188
Central West	Walked only	1		40
Central West	Walked only	1	Clerical and administrative workers	333
Central West	Walked only	1	Community and personal service workers	493
Central West	Walked only	1	Labourers	536
Central West	Walked only	1	Machinery operators and drivers	170
Central West	Walked only	1	Managers	867
Central West	Walked only	1	Professionals	520
Central West	Walked only	1	Sales workers	403
Central West	Walked only	1	Technicians and trades workers	407
Central West	Worked at home			98
Central West	Worked at home		Clerical and administrative workers	791
Central West	Worked at home		Community and personal service workers	275
Central West	Worked at home		Labourers	247
Central West	Worked at home		Machinery operators and drivers	77
Central West	Worked at home		Managers	3207
Central West	Worked at home		Professionals	786
Central West	Worked at home		Sales workers	156
Central West	Worked at home		Technicians and trades workers	346
Coffs Harbour - Grafton	Bicycle	1		13
Coffs Harbour - Grafton	Bicycle	1	Clerical and administrative workers	34
Coffs Harbour - Grafton	Bicycle	1	Community and personal service workers	51
Coffs Harbour - Grafton	Bicycle	1	Labourers	63
Coffs Harbour - Grafton	Bicycle	1	Machinery operators and drivers	33
Coffs Harbour - Grafton	Bicycle	1	Managers	37
Coffs Harbour - Grafton	Bicycle	1	Professionals	99
Coffs Harbour - Grafton	Bicycle	1	Sales workers	41
Coffs Harbour - Grafton	Bicycle	1	Technicians and trades workers	63
Coffs Harbour - Grafton	Bus	1		3
Coffs Harbour - Grafton	Bus	1	Clerical and administrative workers	10
Coffs Harbour - Grafton	Bus	1	Community and personal service workers	18
Coffs Harbour - Grafton	Bus	1	Labourers	50
Coffs Harbour - Grafton	Bus	1	Machinery operators and drivers	11
Coffs Harbour - Grafton	Bus	1	Managers	6
Coffs Harbour - Grafton	Bus	1	Professionals	21
Coffs Harbour - Grafton	Bus	1	Sales workers	32
Coffs Harbour - Grafton	Bus	1	Technicians and trades workers	12
Coffs Harbour - Grafton	Bus and car as driver	2	Clerical and administrative workers	4
Coffs Harbour - Grafton	Bus and car as driver	2	Community and personal service workers	4
Coffs Harbour - Grafton	Bus and car as passenger	2	Clerical and administrative workers	5
Coffs Harbour - Grafton	Bus and car as passenger	2	Community and personal service workers	3
Coffs Harbour - Grafton	Bus and car as passenger	2	Labourers	8
Coffs Harbour - Grafton	Bus and car as passenger	2	Sales workers	5
Coffs Harbour - Grafton	Bus and car as passenger	2	Technicians and trades workers	3
Coffs Harbour - Grafton	Bus and two other methods excludes train	3	Machinery operators and drivers	3
Coffs Harbour - Grafton	Car as driver	1		369
Coffs Harbour - Grafton	Car as driver	1	Clerical and administrative workers	4617
Coffs Harbour - Grafton	Car as driver	1	Community and personal service workers	4445
Coffs Harbour - Grafton	Car as driver	1	Labourers	3566
Coffs Harbour - Grafton	Car as driver	1	Machinery operators and drivers	2094
Coffs Harbour - Grafton	Car as driver	1	Managers	3762
Coffs Harbour - Grafton	Car as driver	1	Professionals	6541
Coffs Harbour - Grafton	Car as driver	1	Sales workers	3442
Coffs Harbour - Grafton	Car as driver	1	Technicians and trades workers	4669
Coffs Harbour - Grafton	Car as passenger	1		40
Coffs Harbour - Grafton	Car as passenger	1	Clerical and administrative workers	278
Coffs Harbour - Grafton	Car as passenger	1	Community and personal service workers	323
Coffs Harbour - Grafton	Car as passenger	1	Labourers	734
Coffs Harbour - Grafton	Car as passenger	1	Machinery operators and drivers	107
Coffs Harbour - Grafton	Car as passenger	1	Managers	224
Coffs Harbour - Grafton	Car as passenger	1	Professionals	302
Coffs Harbour - Grafton	Car as passenger	1	Sales workers	494
Coffs Harbour - Grafton	Car as passenger	1	Technicians and trades workers	233
Coffs Harbour - Grafton	Did not go to work			78
Coffs Harbour - Grafton	Did not go to work		Clerical and administrative workers	599
Coffs Harbour - Grafton	Did not go to work		Community and personal service workers	947
Coffs Harbour - Grafton	Did not go to work		Labourers	688
Coffs Harbour - Grafton	Did not go to work		Machinery operators and drivers	198
Coffs Harbour - Grafton	Did not go to work		Managers	335
Coffs Harbour - Grafton	Did not go to work		Professionals	957
Coffs Harbour - Grafton	Did not go to work		Sales workers	900
Coffs Harbour - Grafton	Did not go to work		Technicians and trades workers	396
Coffs Harbour - Grafton	Ferry	1	Labourers	3
Coffs Harbour - Grafton	Ferry	1	Professionals	3
Coffs Harbour - Grafton	Method of travel not stated			203
Coffs Harbour - Grafton	Method of travel not stated		Clerical and administrative workers	33
Coffs Harbour - Grafton	Method of travel not stated		Community and personal service workers	66
Coffs Harbour - Grafton	Method of travel not stated		Labourers	74
Coffs Harbour - Grafton	Method of travel not stated		Machinery operators and drivers	22
Coffs Harbour - Grafton	Method of travel not stated		Managers	43
Coffs Harbour - Grafton	Method of travel not stated		Professionals	36
Coffs Harbour - Grafton	Method of travel not stated		Sales workers	42
Coffs Harbour - Grafton	Method of travel not stated		Technicians and trades workers	36
Coffs Harbour - Grafton	Motorbike scooter	1		9
Coffs Harbour - Grafton	Motorbike scooter	1	Clerical and administrative workers	24
Coffs Harbour - Grafton	Motorbike scooter	1	Community and personal service workers	35
Coffs Harbour - Grafton	Motorbike scooter	1	Labourers	44
Coffs Harbour - Grafton	Motorbike scooter	1	Machinery operators and drivers	44
Coffs Harbour - Grafton	Motorbike scooter	1	Managers	36
Coffs Harbour - Grafton	Motorbike scooter	1	Professionals	41
Coffs Harbour - Grafton	Motorbike scooter	1	Sales workers	24
Coffs Harbour - Grafton	Motorbike scooter	1	Technicians and trades workers	65
Coffs Harbour - Grafton	(Other)	1		5
Coffs Harbour - Grafton	(Other)	1	Clerical and administrative workers	23
Coffs Harbour - Grafton	(Other)	1	Community and personal service workers	34
Coffs Harbour - Grafton	(Other)	1	Labourers	47
