SA4_NAME16	Age	EmploymentStatus	Sex	workers
Capital Region	70-74	Owner managers of incorporated enterprises	F	53
Capital Region	70-74	Owner managers of incorporated enterprises	M	121
Capital Region	70-74	Owner managers of unincorporated enterprises	F	144
Capital Region	70-74	Owner managers of unincorporated enterprises	M	263
Capital Region	75+		F	27
Capital Region	75+		M	31
Capital Region	75+	Contributing family workers	F	88
Capital Region	75+	Contributing family workers	M	188
Capital Region	75+	Employee	F	68
Capital Region	75+	Employee	M	115
Capital Region	75+	Owner managers of incorporated enterprises	F	13
Capital Region	75+	Owner managers of incorporated enterprises	M	68
Capital Region	75+	Owner managers of unincorporated enterprises	F	72
Capital Region	75+	Owner managers of unincorporated enterprises	M	244
Central Coast	15-19		F	52
Central Coast	15-19		M	36
Central Coast	15-19	Contributing family workers	F	13
Central Coast	15-19	Contributing family workers	M	17
Central Coast	15-19	Employee	F	4271
Central Coast	15-19	Employee	M	3250
Central Coast	15-19	Owner managers of incorporated enterprises	F	8
Central Coast	15-19	Owner managers of incorporated enterprises	M	10
Central Coast	15-19	Owner managers of unincorporated enterprises	F	17
Central Coast	15-19	Owner managers of unincorporated enterprises	M	26
Central Coast	20-24		F	39
Central Coast	20-24		M	53
Central Coast	20-24	Contributing family workers	F	23
Central Coast	20-24	Contributing family workers	M	18
Central Coast	20-24	Employee	F	4897
Central Coast	20-24	Employee	M	4519
Central Coast	20-24	Owner managers of incorporated enterprises	F	13
Central Coast	20-24	Owner managers of incorporated enterprises	M	50
Central Coast	20-24	Owner managers of unincorporated enterprises	F	89
Central Coast	20-24	Owner managers of unincorporated enterprises	M	146
Central Coast	25-29		F	37
Central Coast	25-29		M	40
Central Coast	25-29	Contributing family workers	F	31
Central Coast	25-29	Contributing family workers	M	25
Central Coast	25-29	Employee	F	4505
Central Coast	25-29	Employee	M	3965
Central Coast	25-29	Owner managers of incorporated enterprises	F	60
Central Coast	25-29	Owner managers of incorporated enterprises	M	167
Central Coast	25-29	Owner managers of unincorporated enterprises	F	208
Central Coast	25-29	Owner managers of unincorporated enterprises	M	331
Central Coast	30-34		F	33
Central Coast	30-34		M	38
Central Coast	30-34	Contributing family workers	F	62
Central Coast	30-34	Contributing family workers	M	34
Central Coast	30-34	Employee	F	4440
Central Coast	30-34	Employee	M	3851
Central Coast	30-34	Owner managers of incorporated enterprises	F	191
Central Coast	30-34	Owner managers of incorporated enterprises	M	375
Central Coast	30-34	Owner managers of unincorporated enterprises	F	326
Central Coast	30-34	Owner managers of unincorporated enterprises	M	388
Central Coast	35-39		F	40
Central Coast	35-39		M	52
Central Coast	35-39	Contributing family workers	F	89
Central Coast	35-39	Contributing family workers	M	46
Central Coast	35-39	Employee	F	4497
Central Coast	35-39	Employee	M	3479
Central Coast	35-39	Owner managers of incorporated enterprises	F	276
Central Coast	35-39	Owner managers of incorporated enterprises	M	499
Central Coast	35-39	Owner managers of unincorporated enterprises	F	462
Central Coast	35-39	Owner managers of unincorporated enterprises	M	481
Central Coast	40-44		F	43
Central Coast	40-44		M	60
Central Coast	40-44	Contributing family workers	F	105
Central Coast	40-44	Contributing family workers	M	52
Central Coast	40-44	Employee	F	5417
Central Coast	40-44	Employee	M	3640
Central Coast	40-44	Owner managers of incorporated enterprises	F	374
Central Coast	40-44	Owner managers of incorporated enterprises	M	657
Central Coast	40-44	Owner managers of unincorporated enterprises	F	557
Central Coast	40-44	Owner managers of unincorporated enterprises	M	586
Central Coast	45-49		F	70
Central Coast	45-49		M	58
Central Coast	45-49	Contributing family workers	F	112
Central Coast	45-49	Contributing family workers	M	63
Central Coast	45-49	Employee	F	5817
Central Coast	45-49	Employee	M	3676
Central Coast	45-49	Owner managers of incorporated enterprises	F	426
Central Coast	45-49	Owner managers of incorporated enterprises	M	721
Central Coast	45-49	Owner managers of unincorporated enterprises	F	567
Central Coast	45-49	Owner managers of unincorporated enterprises	M	665
Central Coast	50-54		F	64
Central Coast	50-54		M	74
Central Coast	50-54	Contributing family workers	F	100
Central Coast	50-54	Contributing family workers	M	75
Central Coast	50-54	Employee	F	5693
Central Coast	50-54	Employee	M	3715
Central Coast	50-54	Owner managers of incorporated enterprises	F	356
Central Coast	50-54	Owner managers of incorporated enterprises	M	739
Central Coast	50-54	Owner managers of unincorporated enterprises	F	473
Central Coast	50-54	Owner managers of unincorporated enterprises	M	670
Central Coast	55-59		F	63
Central Coast	55-59		M	54
Central Coast	55-59	Contributing family workers	F	112
Central Coast	55-59	Contributing family workers	M	85
Central Coast	55-59	Employee	F	5188
Central Coast	55-59	Employee	M	3402
Central Coast	55-59	Owner managers of incorporated enterprises	F	311
Central Coast	55-59	Owner managers of incorporated enterprises	M	622
Central Coast	55-59	Owner managers of unincorporated enterprises	F	427
Central Coast	55-59	Owner managers of unincorporated enterprises	M	710
Central Coast	60-64		F	47
Central Coast	60-64		M	38
Central Coast	60-64	Contributing family workers	F	96
Central Coast	60-64	Contributing family workers	M	68
Central Coast	60-64	Employee	F	3082
Central Coast	60-64	Employee	M	2228
Central Coast	60-64	Owner managers of incorporated enterprises	F	189
Central Coast	60-64	Owner managers of incorporated enterprises	M	500
Central Coast	60-64	Owner managers of unincorporated enterprises	F	310
Central Coast	60-64	Owner managers of unincorporated enterprises	M	546
Central Coast	65-69		F	28
Central Coast	65-69		M	28
Central Coast	65-69	Contributing family workers	F	48
Central Coast	65-69	Contributing family workers	M	64
Central Coast	65-69	Employee	F	973
Central Coast	65-69	Employee	M	852
Central Coast	65-69	Owner managers of incorporated enterprises	F	142
Central Coast	65-69	Owner managers of incorporated enterprises	M	319
Central Coast	65-69	Owner managers of unincorporated enterprises	F	158
Central Coast	65-69	Owner managers of unincorporated enterprises	M	349
Central Coast	70-74		F	10
Central Coast	70-74		M	21
Central Coast	70-74	Contributing family workers	F	43
Central Coast	70-74	Contributing family workers	M	53
Central Coast	70-74	Employee	F	262
Central Coast	70-74	Employee	M	243
Central Coast	70-74	Owner managers of incorporated enterprises	F	57
Central Coast	70-74	Owner managers of incorporated enterprises	M	153
Central Coast	70-74	Owner managers of unincorporated enterprises	F	68
Central Coast	70-74	Owner managers of unincorporated enterprises	M	144
Central Coast	75+		F	17
Central Coast	75+		M	20
Central Coast	75+	Contributing family workers	F	14
Central Coast	75+	Contributing family workers	M	50
Central Coast	75+	Employee	F	59
Central Coast	75+	Employee	M	105
Central Coast	75+	Owner managers of incorporated enterprises	F	27
Central Coast	75+	Owner managers of incorporated enterprises	M	59
Central Coast	75+	Owner managers of unincorporated enterprises	F	24
Central Coast	75+	Owner managers of unincorporated enterprises	M	79
Central West	15-19		F	40
Central West	15-19		M	44
Central West	15-19	Contributing family workers	F	27
Central West	15-19	Contributing family workers	M	47
Central West	15-19	Employee	F	2439
Central West	15-19	Employee	M	2215
Central West	15-19	Owner managers of incorporated enterprises	F	3
Central West	15-19	Owner managers of incorporated enterprises	M	9
Central West	15-19	Owner managers of unincorporated enterprises	F	15
Central West	15-19	Owner managers of unincorporated enterprises	M	23
Central West	20-24		F	39
Central West	20-24		M	55
Central West	20-24	Contributing family workers	F	20
Central West	20-24	Contributing family workers	M	19
Central West	20-24	Employee	F	3233
Central West	20-24	Employee	M	3406
Central West	20-24	Owner managers of incorporated enterprises	F	13
Central West	20-24	Owner managers of incorporated enterprises	M	32
Central West	20-24	Owner managers of unincorporated enterprises	F	65
Central West	20-24	Owner managers of unincorporated enterprises	M	101
Central West	25-29		F	28
Central West	25-29		M	44
Central West	25-29	Contributing family workers	F	39
Central West	25-29	Contributing family workers	M	30
Central West	25-29	Employee	F	3281
Central West	25-29	Employee	M	3667
Central West	25-29	Owner managers of incorporated enterprises	F	58
Central West	25-29	Owner managers of incorporated enterprises	M	120
Central West	25-29	Owner managers of unincorporated enterprises	F	132
Central West	25-29	Owner managers of unincorporated enterprises	M	233
Central West	30-34		F	41
Central West	30-34		M	50
Central West	30-34	Contributing family workers	F	87
Central West	30-34	Contributing family workers	M	54
Central West	30-34	Employee	F	3308
Central West	30-34	Employee	M	3553
Central West	30-34	Owner managers of incorporated enterprises	F	121
Central West	30-34	Owner managers of incorporated enterprises	M	249
Central West	30-34	Owner managers of unincorporated enterprises	F	245
Central West	30-34	Owner managers of unincorporated enterprises	M	318
Central West	35-39		F	37
Central West	35-39		M	55
Central West	35-39	Contributing family workers	F	89
Central West	35-39	Contributing family workers	M	58
Central West	35-39	Employee	F	3141
Central West	35-39	Employee	M	3219
Central West	35-39	Owner managers of incorporated enterprises	F	148
Central West	35-39	Owner managers of incorporated enterprises	M	304
Central West	35-39	Owner managers of unincorporated enterprises	F	351
Central West	35-39	Owner managers of unincorporated enterprises	M	408
Central West	40-44		F	47
Central West	40-44		M	59
Central West	40-44	Contributing family workers	F	93
Central West	40-44	Contributing family workers	M	105
Central West	40-44	Employee	F	3792
Central West	40-44	Employee	M	3295
Central West	40-44	Owner managers of incorporated enterprises	F	184
Central West	40-44	Owner managers of incorporated enterprises	M	409
Central West	40-44	Owner managers of unincorporated enterprises	F	383
Central West	40-44	Owner managers of unincorporated enterprises	M	482
Central West	45-49		F	51
Central West	45-49		M	62
Central West	45-49	Contributing family workers	F	103
Central West	45-49	Contributing family workers	M	102
Central West	45-49	Employee	F	3940
Central West	45-49	Employee	M	3390
Central West	45-49	Owner managers of incorporated enterprises	F	256
Central West	45-49	Owner managers of incorporated enterprises	M	432
Central West	45-49	Owner managers of unincorporated enterprises	F	366
Central West	45-49	Owner managers of unincorporated enterprises	M	572
Central West	50-54		F	51
Central West	50-54		M	75
Central West	50-54	Contributing family workers	F	150
Central West	50-54	Contributing family workers	M	134
Central West	50-54	Employee	F	3805
Central West	50-54	Employee	M	3340
Central West	50-54	Owner managers of incorporated enterprises	F	232
Central West	50-54	Owner managers of incorporated enterprises	M	440
Central West	50-54	Owner managers of unincorporated enterprises	F	417
Central West	50-54	Owner managers of unincorporated enterprises	M	606
Central West	55-59		F	58
Central West	55-59		M	67
Central West	55-59	Contributing family workers	F	130
Central West	55-59	Contributing family workers	M	176
Central West	55-59	Employee	F	3455
Central West	55-59	Employee	M	3124
Central West	55-59	Owner managers of incorporated enterprises	F	185
Central West	55-59	Owner managers of incorporated enterprises	M	389
Central West	55-59	Owner managers of unincorporated enterprises	F	409
Central West	55-59	Owner managers of unincorporated enterprises	M	732
Central West	60-64		F	49
Central West	60-64		M	54
Central West	60-64	Contributing family workers	F	198
Central West	60-64	Contributing family workers	M	219
Central West	60-64	Employee	F	2079
Central West	60-64	Employee	M	1965
Central West	60-64	Owner managers of incorporated enterprises	F	155
Central West	60-64	Owner managers of incorporated enterprises	M	326
Central West	60-64	Owner managers of unincorporated enterprises	F	338
Central West	60-64	Owner managers of unincorporated enterprises	M	701
Central West	65-69		F	30
Central West	65-69		M	51
Central West	65-69	Contributing family workers	F	183
Central West	65-69	Contributing family workers	M	248
Central West	65-69	Employee	F	731
Central West	65-69	Employee	M	777
Central West	65-69	Owner managers of incorporated enterprises	F	92
Central West	65-69	Owner managers of incorporated enterprises	M	239
Central West	65-69	Owner managers of unincorporated enterprises	F	256
Central West	65-69	Owner managers of unincorporated enterprises	M	481
Central West	70-74		F	24
Central West	70-74		M	38
Central West	70-74	Contributing family workers	F	132
Central West	70-74	Contributing family workers	M	196
Central West	70-74	Employee	F	203
Central West	70-74	Employee	M	286
Central West	70-74	Owner managers of incorporated enterprises	F	50
Central West	70-74	Owner managers of incorporated enterprises	M	108
Central West	70-74	Owner managers of unincorporated enterprises	F	136
Central West	70-74	Owner managers of unincorporated enterprises	M	316
Central West	75+		F	34
Central West	75+		M	47
Central West	75+	Contributing family workers	F	123
Central West	75+	Contributing family workers	M	241
Central West	75+	Employee	F	80
Central West	75+	Employee	M	118
Central West	75+	Owner managers of incorporated enterprises	F	20
Central West	75+	Owner managers of incorporated enterprises	M	62
Central West	75+	Owner managers of unincorporated enterprises	F	121
Central West	75+	Owner managers of unincorporated enterprises	M	259
Coffs Harbour - Grafton	15-19		F	27
Coffs Harbour - Grafton	15-19		M	24
Coffs Harbour - Grafton	15-19	Contributing family workers	F	10
Coffs Harbour - Grafton	15-19	Contributing family workers	M	26
Coffs Harbour - Grafton	15-19	Employee	F	1643
Coffs Harbour - Grafton	15-19	Employee	M	1371
Coffs Harbour - Grafton	15-19	Owner managers of incorporated enterprises	M	4
Coffs Harbour - Grafton	15-19	Owner managers of unincorporated enterprises	F	6
Coffs Harbour - Grafton	15-19	Owner managers of unincorporated enterprises	M	11
Coffs Harbour - Grafton	20-24		F	24
Coffs Harbour - Grafton	20-24		M	31
Coffs Harbour - Grafton	20-24	Contributing family workers	F	10
Coffs Harbour - Grafton	20-24	Contributing family workers	M	18
Coffs Harbour - Grafton	20-24	Employee	F	1664
Coffs Harbour - Grafton	20-24	Employee	M	1776
Coffs Harbour - Grafton	20-24	Owner managers of incorporated enterprises	F	6
Coffs Harbour - Grafton	20-24	Owner managers of incorporated enterprises	M	13
Coffs Harbour - Grafton	20-24	Owner managers of unincorporated enterprises	F	40
Coffs Harbour - Grafton	20-24	Owner managers of unincorporated enterprises	M	50
Coffs Harbour - Grafton	25-29		F	24
Coffs Harbour - Grafton	25-29		M	23
Coffs Harbour - Grafton	25-29	Contributing family workers	F	23
Coffs Harbour - Grafton	25-29	Contributing family workers	M	26
Coffs Harbour - Grafton	25-29	Employee	F	1744
Coffs Harbour - Grafton	25-29	Employee	M	1748
Coffs Harbour - Grafton	25-29	Owner managers of incorporated enterprises	F	25
Coffs Harbour - Grafton	25-29	Owner managers of incorporated enterprises	M	43
Coffs Harbour - Grafton	25-29	Owner managers of unincorporated enterprises	F	97
Coffs Harbour - Grafton	25-29	Owner managers of unincorporated enterprises	M	111
Coffs Harbour - Grafton	30-34		F	16
Coffs Harbour - Grafton	30-34		M	18
Coffs Harbour - Grafton	30-34	Contributing family workers	F	30
Coffs Harbour - Grafton	30-34	Contributing family workers	M	25
Coffs Harbour - Grafton	30-34	Employee	F	1769
Coffs Harbour - Grafton	30-34	Employee	M	1751
Coffs Harbour - Grafton	30-34	Owner managers of incorporated enterprises	F	51
Coffs Harbour - Grafton	30-34	Owner managers of incorporated enterprises	M	102
Coffs Harbour - Grafton	30-34	Owner managers of unincorporated enterprises	F	158
Coffs Harbour - Grafton	30-34	Owner managers of unincorporated enterprises	M	178
Coffs Harbour - Grafton	35-39		F	14
Coffs Harbour - Grafton	35-39		M	28
Coffs Harbour - Grafton	35-39	Contributing family workers	F	45
Coffs Harbour - Grafton	35-39	Contributing family workers	M	40
Coffs Harbour - Grafton	35-39	Employee	F	1875
Coffs Harbour - Grafton	35-39	Employee	M	1648
Coffs Harbour - Grafton	35-39	Owner managers of incorporated enterprises	F	89
Coffs Harbour - Grafton	35-39	Owner managers of incorporated enterprises	M	143
Coffs Harbour - Grafton	35-39	Owner managers of unincorporated enterprises	F	197
Coffs Harbour - Grafton	35-39	Owner managers of unincorporated enterprises	M	246
Coffs Harbour - Grafton	40-44		F	36
Coffs Harbour - Grafton	40-44		M	32
Coffs Harbour - Grafton	40-44	Contributing family workers	F	55
Coffs Harbour - Grafton	40-44	Contributing family workers	M	48
Coffs Harbour - Grafton	40-44	Employee	F	2343
Coffs Harbour - Grafton	40-44	Employee	M	1872
Coffs Harbour - Grafton	40-44	Owner managers of incorporated enterprises	F	134
Coffs Harbour - Grafton	40-44	Owner managers of incorporated enterprises	M	254
Coffs Harbour - Grafton	40-44	Owner managers of unincorporated enterprises	F	289
Coffs Harbour - Grafton	40-44	Owner managers of unincorporated enterprises	M	327
Coffs Harbour - Grafton	45-49		F	40
Coffs Harbour - Grafton	45-49		M	36
Coffs Harbour - Grafton	45-49	Contributing family workers	F	71
Coffs Harbour - Grafton	45-49	Contributing family workers	M	54
Coffs Harbour - Grafton	45-49	Employee	F	2597
Coffs Harbour - Grafton	45-49	Employee	M	1862
Coffs Harbour - Grafton	45-49	Owner managers of incorporated enterprises	F	148
Coffs Harbour - Grafton	45-49	Owner managers of incorporated enterprises	M	281
Coffs Harbour - Grafton	45-49	Owner managers of unincorporated enterprises	F	325
Coffs Harbour - Grafton	45-49	Owner managers of unincorporated enterprises	M	356
Coffs Harbour - Grafton	50-54		F	35
Coffs Harbour - Grafton	50-54		M	47
Coffs Harbour - Grafton	50-54	Contributing family workers	F	73
Coffs Harbour - Grafton	50-54	Contributing family workers	M	67
Coffs Harbour - Grafton	50-54	Employee	F	2647
Coffs Harbour - Grafton	50-54	Employee	M	1944
Coffs Harbour - Grafton	50-54	Owner managers of incorporated enterprises	F	155
Coffs Harbour - Grafton	50-54	Owner managers of incorporated enterprises	M	312
Coffs Harbour - Grafton	50-54	Owner managers of unincorporated enterprises	F	291
Coffs Harbour - Grafton	50-54	Owner managers of unincorporated enterprises	M	392
Coffs Harbour - Grafton	55-59		F	36
Coffs Harbour - Grafton	55-59		M	35
Coffs Harbour - Grafton	55-59	Contributing family workers	F	93
Coffs Harbour - Grafton	55-59	Contributing family workers	M	87
Coffs Harbour - Grafton	55-59	Employee	F	2633
Coffs Harbour - Grafton	55-59	Employee	M	1905
Coffs Harbour - Grafton	55-59	Owner managers of incorporated enterprises	F	133
Coffs Harbour - Grafton	55-59	Owner managers of incorporated enterprises	M	269
Coffs Harbour - Grafton	55-59	Owner managers of unincorporated enterprises	F	293
Coffs Harbour - Grafton	55-59	Owner managers of unincorporated enterprises	M	459
Coffs Harbour - Grafton	60-64		F	32
Coffs Harbour - Grafton	60-64		M	38
Coffs Harbour - Grafton	60-64	Contributing family workers	F	83
Coffs Harbour - Grafton	60-64	Contributing family workers	M	96
Coffs Harbour - Grafton	60-64	Employee	F	1541
Coffs Harbour - Grafton	60-64	Employee	M	1358
Coffs Harbour - Grafton	60-64	Owner managers of incorporated enterprises	F	119
Coffs Harbour - Grafton	60-64	Owner managers of incorporated enterprises	M	235
Coffs Harbour - Grafton	60-64	Owner managers of unincorporated enterprises	F	237
Coffs Harbour - Grafton	60-64	Owner managers of unincorporated enterprises	M	430
Coffs Harbour - Grafton	65-69		F	19
Coffs Harbour - Grafton	65-69		M	14
Coffs Harbour - Grafton	65-69	Contributing family workers	F	64
Coffs Harbour - Grafton	65-69	Contributing family workers	M	84
Coffs Harbour - Grafton	65-69	Employee	F	451
Coffs Harbour - Grafton	65-69	Employee	M	468
Coffs Harbour - Grafton	65-69	Owner managers of incorporated enterprises	F	45
Coffs Harbour - Grafton	65-69	Owner managers of incorporated enterprises	M	128
Coffs Harbour - Grafton	65-69	Owner managers of unincorporated enterprises	F	137
Coffs Harbour - Grafton	65-69	Owner managers of unincorporated enterprises	M	262
Coffs Harbour - Grafton	70-74		F	9
Coffs Harbour - Grafton	70-74		M	9
Coffs Harbour - Grafton	70-74	Contributing family workers	F	36
Coffs Harbour - Grafton	70-74	Contributing family workers	M	47
Coffs Harbour - Grafton	70-74	Employee	F	101
Coffs Harbour - Grafton	70-74	Employee	M	146
Coffs Harbour - Grafton	70-74	Owner managers of incorporated enterprises	F	17
Coffs Harbour - Grafton	70-74	Owner managers of incorporated enterprises	M	52
Coffs Harbour - Grafton	70-74	Owner managers of unincorporated enterprises	F	50
Coffs Harbour - Grafton	70-74	Owner managers of unincorporated enterprises	M	107
Coffs Harbour - Grafton	75+		F	17
Coffs Harbour - Grafton	75+		M	26
Coffs Harbour - Grafton	75+	Contributing family workers	F	28
Coffs Harbour - Grafton	75+	Contributing family workers	M	59
Coffs Harbour - Grafton	75+	Employee	F	43
Coffs Harbour - Grafton	75+	Employee	M	57
Coffs Harbour - Grafton	75+	Owner managers of incorporated enterprises	F	7
Coffs Harbour - Grafton	75+	Owner managers of incorporated enterprises	M	28
Coffs Harbour - Grafton	75+	Owner managers of unincorporated enterprises	F	23
Coffs Harbour - Grafton	75+	Owner managers of unincorporated enterprises	M	84
Far West and Orana	15-19		F	16
Far West and Orana	15-19		M	21
Far West and Orana	15-19	Contributing family workers	F	13
Far West and Orana	15-19	Contributing family workers	M	31
Far West and Orana	15-19	Employee	F	1179
Far West and Orana	15-19	Employee	M	1045
Far West and Orana	15-19	Owner managers of incorporated enterprises	M	4
Far West and Orana	15-19	Owner managers of unincorporated enterprises	F	4
Far West and Orana	15-19	Owner managers of unincorporated enterprises	M	12
Far West and Orana	20-24		F	17
Far West and Orana	20-24		M	35
Far West and Orana	20-24	Contributing family workers	F	20
Far West and Orana	20-24	Contributing family workers	M	22
Far West and Orana	20-24	Employee	F	1727
Far West and Orana	20-24	Employee	M	1791
Far West and Orana	20-24	Owner managers of incorporated enterprises	F	5
Far West and Orana	20-24	Owner managers of incorporated enterprises	M	25
Far West and Orana	20-24	Owner managers of unincorporated enterprises	F	32
Far West and Orana	20-24	Owner managers of unincorporated enterprises	M	72
Far West and Orana	25-29		F	25
Far West and Orana	25-29		M	32
Far West and Orana	25-29	Contributing family workers	F	26
Far West and Orana	25-29	Contributing family workers	M	25
Far West and Orana	25-29	Employee	F	2242
Far West and Orana	25-29	Employee	M	2089
Far West and Orana	25-29	Owner managers of incorporated enterprises	F	19
Far West and Orana	25-29	Owner managers of incorporated enterprises	M	61
Far West and Orana	25-29	Owner managers of unincorporated enterprises	F	87
Far West and Orana	25-29	Owner managers of unincorporated enterprises	M	154
Far West and Orana	30-34		F	20
Far West and Orana	30-34		M	32
Far West and Orana	30-34	Contributing family workers	F	51
Far West and Orana	30-34	Contributing family workers	M	36
Far West and Orana	30-34	Employee	F	1946
Far West and Orana	30-34	Employee	M	1947
Far West and Orana	30-34	Owner managers of incorporated enterprises	F	50
Far West and Orana	30-34	Owner managers of incorporated enterprises	M	118
Far West and Orana	30-34	Owner managers of unincorporated enterprises	F	141
Far West and Orana	30-34	Owner managers of unincorporated enterprises	M	215
Far West and Orana	35-39		F	30
Far West and Orana	35-39		M	39
Far West and Orana	35-39	Contributing family workers	F	52
Far West and Orana	35-39	Contributing family workers	M	45
Far West and Orana	35-39	Employee	F	1750
Far West and Orana	35-39	Employee	M	1638
Far West and Orana	35-39	Owner managers of incorporated enterprises	F	72
Far West and Orana	35-39	Owner managers of incorporated enterprises	M	133
Far West and Orana	35-39	Owner managers of unincorporated enterprises	F	150
Far West and Orana	35-39	Owner managers of unincorporated enterprises	M	236
Far West and Orana	40-44		F	24
Far West and Orana	40-44		M	38
Far West and Orana	40-44	Contributing family workers	F	67
Far West and Orana	40-44	Contributing family workers	M	68
Far West and Orana	40-44	Employee	F	1875
Far West and Orana	40-44	Employee	M	1652
Far West and Orana	40-44	Owner managers of incorporated enterprises	F	109
Far West and Orana	40-44	Owner managers of incorporated enterprises	M	215
