SA4_NAME16	Age	EmploymentStatus	LabourForceStatus	Sex	workers
Capital Region	45-49	Employee	Employed (part-time)	M	2197
Capital Region	45-49	Employee	Employed (part-time)	M	396
Capital Region	45-49	Owner managers of incorporated enterprises		F	8
Capital Region	45-49	Owner managers of incorporated enterprises		M	15
Capital Region	45-49	Owner managers of incorporated enterprises	Employed (part-time)	F	178
Capital Region	45-49	Owner managers of incorporated enterprises	Employed (part-time)	F	87
Capital Region	45-49	Owner managers of incorporated enterprises	Employed (part-time)	M	424
Capital Region	45-49	Owner managers of incorporated enterprises	Employed (part-time)	M	44
Capital Region	45-49	Owner managers of unincorporated enterprises		F	18
Capital Region	45-49	Owner managers of unincorporated enterprises		M	24
Capital Region	45-49	Owner managers of unincorporated enterprises	Employed (part-time)	F	240
Capital Region	45-49	Owner managers of unincorporated enterprises	Employed (part-time)	F	178
Capital Region	45-49	Owner managers of unincorporated enterprises	Employed (part-time)	M	473
Capital Region	45-49	Owner managers of unincorporated enterprises	Employed (part-time)	M	123
Capital Region	50-54			F	8
Capital Region	50-54			M	8
Capital Region	50-54		Employed (part-time)	F	24
Capital Region	50-54		Employed (part-time)	F	18
Capital Region	50-54		Employed (part-time)	M	44
Capital Region	50-54		Employed (part-time)	M	14
Capital Region	50-54	Contributing family workers		F	11
Capital Region	50-54	Contributing family workers		M	10
Capital Region	50-54	Contributing family workers	Employed (part-time)	F	73
Capital Region	50-54	Contributing family workers	Employed (part-time)	F	58
Capital Region	50-54	Contributing family workers	Employed (part-time)	M	90
Capital Region	50-54	Contributing family workers	Employed (part-time)	M	27
Capital Region	50-54	Employee		F	157
Capital Region	50-54	Employee		M	142
Capital Region	50-54	Employee	Employed (part-time)	F	1723
Capital Region	50-54	Employee	Employed (part-time)	F	1720
Capital Region	50-54	Employee	Employed (part-time)	M	2187
Capital Region	50-54	Employee	Employed (part-time)	M	448
Capital Region	50-54	Owner managers of incorporated enterprises		F	11
Capital Region	50-54	Owner managers of incorporated enterprises		M	16
Capital Region	50-54	Owner managers of incorporated enterprises	Employed (part-time)	F	167
Capital Region	50-54	Owner managers of incorporated enterprises	Employed (part-time)	F	89
Capital Region	50-54	Owner managers of incorporated enterprises	Employed (part-time)	M	474
Capital Region	50-54	Owner managers of incorporated enterprises	Employed (part-time)	M	59
Capital Region	50-54	Owner managers of unincorporated enterprises		F	18
Capital Region	50-54	Owner managers of unincorporated enterprises		M	34
Capital Region	50-54	Owner managers of unincorporated enterprises	Employed (part-time)	F	248
Capital Region	50-54	Owner managers of unincorporated enterprises	Employed (part-time)	F	173
Capital Region	50-54	Owner managers of unincorporated enterprises	Employed (part-time)	M	505
Capital Region	50-54	Owner managers of unincorporated enterprises	Employed (part-time)	M	157
Capital Region	55-59			F	18
Capital Region	55-59			M	15
Capital Region	55-59		Employed (part-time)	F	19
Capital Region	55-59		Employed (part-time)	F	16
Capital Region	55-59		Employed (part-time)	M	37
Capital Region	55-59		Employed (part-time)	M	11
Capital Region	55-59	Contributing family workers		F	14
Capital Region	55-59	Contributing family workers		M	23
Capital Region	55-59	Contributing family workers	Employed (part-time)	F	72
Capital Region	55-59	Contributing family workers	Employed (part-time)	F	65
Capital Region	55-59	Contributing family workers	Employed (part-time)	M	115
Capital Region	55-59	Contributing family workers	Employed (part-time)	M	41
Capital Region	55-59	Employee		F	209
Capital Region	55-59	Employee		M	137
Capital Region	55-59	Employee	Employed (part-time)	F	1390
Capital Region	55-59	Employee	Employed (part-time)	F	1689
Capital Region	55-59	Employee	Employed (part-time)	M	1929
Capital Region	55-59	Employee	Employed (part-time)	M	569
Capital Region	55-59	Owner managers of incorporated enterprises		F	13
Capital Region	55-59	Owner managers of incorporated enterprises		M	19
Capital Region	55-59	Owner managers of incorporated enterprises	Employed (part-time)	F	138
Capital Region	55-59	Owner managers of incorporated enterprises	Employed (part-time)	F	97
Capital Region	55-59	Owner managers of incorporated enterprises	Employed (part-time)	M	423
Capital Region	55-59	Owner managers of incorporated enterprises	Employed (part-time)	M	84
Capital Region	55-59	Owner managers of unincorporated enterprises		F	17
Capital Region	55-59	Owner managers of unincorporated enterprises		M	35
Capital Region	55-59	Owner managers of unincorporated enterprises	Employed (part-time)	F	220
Capital Region	55-59	Owner managers of unincorporated enterprises	Employed (part-time)	F	190
Capital Region	55-59	Owner managers of unincorporated enterprises	Employed (part-time)	M	495
Capital Region	55-59	Owner managers of unincorporated enterprises	Employed (part-time)	M	196
Capital Region	60-64			F	7
Capital Region	60-64			M	19
Capital Region	60-64		Employed (part-time)	F	18
Capital Region	60-64		Employed (part-time)	F	15
Capital Region	60-64		Employed (part-time)	M	27
Capital Region	60-64		Employed (part-time)	M	19
Capital Region	60-64	Contributing family workers		F	13
Capital Region	60-64	Contributing family workers		M	13
Capital Region	60-64	Contributing family workers	Employed (part-time)	F	73
Capital Region	60-64	Contributing family workers	Employed (part-time)	F	98
Capital Region	60-64	Contributing family workers	Employed (part-time)	M	117
Capital Region	60-64	Contributing family workers	Employed (part-time)	M	59
Capital Region	60-64	Employee		F	147
Capital Region	60-64	Employee		M	123
Capital Region	60-64	Employee	Employed (part-time)	F	768
Capital Region	60-64	Employee	Employed (part-time)	F	1155
Capital Region	60-64	Employee	Employed (part-time)	M	1103
Capital Region	60-64	Employee	Employed (part-time)	M	601
Capital Region	60-64	Owner managers of incorporated enterprises		F	16
Capital Region	60-64	Owner managers of incorporated enterprises		M	22
Capital Region	60-64	Owner managers of incorporated enterprises	Employed (part-time)	F	85
Capital Region	60-64	Owner managers of incorporated enterprises	Employed (part-time)	F	72
Capital Region	60-64	Owner managers of incorporated enterprises	Employed (part-time)	M	309
Capital Region	60-64	Owner managers of incorporated enterprises	Employed (part-time)	M	100
Capital Region	60-64	Owner managers of unincorporated enterprises		F	23
Capital Region	60-64	Owner managers of unincorporated enterprises		M	38
Capital Region	60-64	Owner managers of unincorporated enterprises	Employed (part-time)	F	155
Capital Region	60-64	Owner managers of unincorporated enterprises	Employed (part-time)	F	212
Capital Region	60-64	Owner managers of unincorporated enterprises	Employed (part-time)	M	429
Capital Region	60-64	Owner managers of unincorporated enterprises	Employed (part-time)	M	217
Capital Region	65-69			F	6
Capital Region	65-69			M	8
Capital Region	65-69		Employed (part-time)	F	10
Capital Region	65-69		Employed (part-time)	F	7
Capital Region	65-69		Employed (part-time)	M	34
Capital Region	65-69		Employed (part-time)	M	14
Capital Region	65-69	Contributing family workers		F	12
Capital Region	65-69	Contributing family workers		M	12
Capital Region	65-69	Contributing family workers	Employed (part-time)	F	70
Capital Region	65-69	Contributing family workers	Employed (part-time)	F	84
Capital Region	65-69	Contributing family workers	Employed (part-time)	M	105
Capital Region	65-69	Contributing family workers	Employed (part-time)	M	89
Capital Region	65-69	Employee		F	58
Capital Region	65-69	Employee		M	47
Capital Region	65-69	Employee	Employed (part-time)	F	198
Capital Region	65-69	Employee	Employed (part-time)	F	469
Capital Region	65-69	Employee	Employed (part-time)	M	357
Capital Region	65-69	Employee	Employed (part-time)	M	334
Capital Region	65-69	Owner managers of incorporated enterprises		F	11
Capital Region	65-69	Owner managers of incorporated enterprises		M	21
Capital Region	65-69	Owner managers of incorporated enterprises	Employed (part-time)	F	52
Capital Region	65-69	Owner managers of incorporated enterprises	Employed (part-time)	F	52
Capital Region	65-69	Owner managers of incorporated enterprises	Employed (part-time)	M	176
Capital Region	65-69	Owner managers of incorporated enterprises	Employed (part-time)	M	94
Capital Region	65-69	Owner managers of unincorporated enterprises		F	10
Capital Region	65-69	Owner managers of unincorporated enterprises		M	32
Capital Region	65-69	Owner managers of unincorporated enterprises	Employed (part-time)	F	92
Capital Region	65-69	Owner managers of unincorporated enterprises	Employed (part-time)	F	135
Capital Region	65-69	Owner managers of unincorporated enterprises	Employed (part-time)	M	272
Capital Region	65-69	Owner managers of unincorporated enterprises	Employed (part-time)	M	198
Capital Region	70-74			F	8
Capital Region	70-74			M	17
Capital Region	70-74		Employed (part-time)	F	5
Capital Region	70-74		Employed (part-time)	F	3
Capital Region	70-74		Employed (part-time)	M	8
Capital Region	70-74		Employed (part-time)	M	5
Capital Region	70-74	Contributing family workers		F	15
Capital Region	70-74	Contributing family workers		M	4
Capital Region	70-74	Contributing family workers	Employed (part-time)	F	42
Capital Region	70-74	Contributing family workers	Employed (part-time)	F	82
Capital Region	70-74	Contributing family workers	Employed (part-time)	M	98
Capital Region	70-74	Contributing family workers	Employed (part-time)	M	78
Capital Region	70-74	Employee		F	16
Capital Region	70-74	Employee		M	15
Capital Region	70-74	Employee	Employed (part-time)	F	32
Capital Region	70-74	Employee	Employed (part-time)	F	132
Capital Region	70-74	Employee	Employed (part-time)	M	73
Capital Region	70-74	Employee	Employed (part-time)	M	126
Capital Region	70-74	Owner managers of incorporated enterprises		F	2
Capital Region	70-74	Owner managers of incorporated enterprises		M	7
Capital Region	70-74	Owner managers of incorporated enterprises	Employed (part-time)	F	21
Capital Region	70-74	Owner managers of incorporated enterprises	Employed (part-time)	F	30
Capital Region	70-74	Owner managers of incorporated enterprises	Employed (part-time)	M	63
Capital Region	70-74	Owner managers of incorporated enterprises	Employed (part-time)	M	51
Capital Region	70-74	Owner managers of unincorporated enterprises		F	11
Capital Region	70-74	Owner managers of unincorporated enterprises		M	14
Capital Region	70-74	Owner managers of unincorporated enterprises	Employed (part-time)	F	52
Capital Region	70-74	Owner managers of unincorporated enterprises	Employed (part-time)	F	81
Capital Region	70-74	Owner managers of unincorporated enterprises	Employed (part-time)	M	139
Capital Region	70-74	Owner managers of unincorporated enterprises	Employed (part-time)	M	110
Capital Region	75+			F	20
Capital Region	75+			M	17
Capital Region	75+		Employed (full-time)	F	3
Capital Region	75+		Employed (full-time)	M	4
Capital Region	75+		Employed (part-time)	F	4
Capital Region	75+		Employed (part-time)	M	10
Capital Region	75+	Contributing family workers		F	8
Capital Region	75+	Contributing family workers		M	25
Capital Region	75+	Contributing family workers	Employed (full-time)	F	38
Capital Region	75+	Contributing family workers	Employed (full-time)	M	74
Capital Region	75+	Contributing family workers	Employed (part-time)	F	42
Capital Region	75+	Contributing family workers	Employed (part-time)	M	89
Capital Region	75+	Employee		F	2
Capital Region	75+	Employee		M	13
Capital Region	75+	Employee	Employed (full-time)	F	21
Capital Region	75+	Employee	Employed (full-time)	M	35
Capital Region	75+	Employee	Employed (part-time)	F	45
Capital Region	75+	Employee	Employed (part-time)	M	67
Capital Region	75+	Owner managers of incorporated enterprises		F	-1
Capital Region	75+	Owner managers of incorporated enterprises		M	-1
Capital Region	75+	Owner managers of incorporated enterprises	Employed (full-time)	F	3
Capital Region	75+	Owner managers of incorporated enterprises	Employed (full-time)	M	37
Capital Region	75+	Owner managers of incorporated enterprises	Employed (part-time)	F	11
Capital Region	75+	Owner managers of incorporated enterprises	Employed (part-time)	M	32
Capital Region	75+	Owner managers of unincorporated enterprises		F	5
Capital Region	75+	Owner managers of unincorporated enterprises		M	21
Capital Region	75+	Owner managers of unincorporated enterprises	Employed (full-time)	F	25
Capital Region	75+	Owner managers of unincorporated enterprises	Employed (full-time)	M	120
Capital Region	75+	Owner managers of unincorporated enterprises	Employed (part-time)	F	42
Capital Region	75+	Owner managers of unincorporated enterprises	Employed (part-time)	M	103
Central Coast	15-19			F	0
Central Coast	15-19			M	9
Central Coast	15-19		Employed (part-time)	F	8
Central Coast	15-19		Employed (part-time)	F	44
Central Coast	15-19		Employed (part-time)	M	7
Central Coast	15-19		Employed (part-time)	M	20
Central Coast	15-19	Contributing family workers		F	4
Central Coast	15-19	Contributing family workers		M	6
Central Coast	15-19	Contributing family workers	Employed (part-time)	F	0
Central Coast	15-19	Contributing family workers	Employed (part-time)	F	9
Central Coast	15-19	Contributing family workers	Employed (part-time)	M	0
Central Coast	15-19	Contributing family workers	Employed (part-time)	M	11
Central Coast	15-19	Employee		F	234
Central Coast	15-19	Employee		M	209
Central Coast	15-19	Employee	Employed (part-time)	F	526
Central Coast	15-19	Employee	Employed (part-time)	F	3511
Central Coast	15-19	Employee	Employed (part-time)	M	872
Central Coast	15-19	Employee	Employed (part-time)	M	2169
Central Coast	15-19	Owner managers of incorporated enterprises		F	-2
Central Coast	15-19	Owner managers of incorporated enterprises		M	0
Central Coast	15-19	Owner managers of incorporated enterprises	Employed (part-time)	F	0
Central Coast	15-19	Owner managers of incorporated enterprises	Employed (part-time)	F	10
Central Coast	15-19	Owner managers of incorporated enterprises	Employed (part-time)	M	4
Central Coast	15-19	Owner managers of incorporated enterprises	Employed (part-time)	M	6
Central Coast	15-19	Owner managers of unincorporated enterprises		F	-4
Central Coast	15-19	Owner managers of unincorporated enterprises		M	1
Central Coast	15-19	Owner managers of unincorporated enterprises	Employed (part-time)	F	3
Central Coast	15-19	Owner managers of unincorporated enterprises	Employed (part-time)	F	18
Central Coast	15-19	Owner managers of unincorporated enterprises	Employed (part-time)	M	3
Central Coast	15-19	Owner managers of unincorporated enterprises	Employed (part-time)	M	22
Central Coast	20-24			F	18
Central Coast	20-24			M	11
Central Coast	20-24		Employed (part-time)	F	8
Central Coast	20-24		Employed (part-time)	F	13
Central Coast	20-24		Employed (part-time)	M	28
Central Coast	20-24		Employed (part-time)	M	14
Central Coast	20-24	Contributing family workers		F	5
Central Coast	20-24	Contributing family workers		M	0
Central Coast	20-24	Contributing family workers	Employed (part-time)	F	3
Central Coast	20-24	Contributing family workers	Employed (part-time)	F	15
Central Coast	20-24	Contributing family workers	Employed (part-time)	M	3
Central Coast	20-24	Contributing family workers	Employed (part-time)	M	15
Central Coast	20-24	Employee		F	292
Central Coast	20-24	Employee		M	237
Central Coast	20-24	Employee	Employed (part-time)	F	2046
Central Coast	20-24	Employee	Employed (part-time)	F	2559
Central Coast	20-24	Employee	Employed (part-time)	M	2592
Central Coast	20-24	Employee	Employed (part-time)	M	1690
Central Coast	20-24	Owner managers of incorporated enterprises		F	4
Central Coast	20-24	Owner managers of incorporated enterprises		M	6
Central Coast	20-24	Owner managers of incorporated enterprises	Employed (part-time)	F	6
Central Coast	20-24	Owner managers of incorporated enterprises	Employed (part-time)	F	3
Central Coast	20-24	Owner managers of incorporated enterprises	Employed (part-time)	M	34
Central Coast	20-24	Owner managers of incorporated enterprises	Employed (part-time)	M	10
Central Coast	20-24	Owner managers of unincorporated enterprises		F	11
Central Coast	20-24	Owner managers of unincorporated enterprises		M	12
Central Coast	20-24	Owner managers of unincorporated enterprises	Employed (part-time)	F	27
Central Coast	20-24	Owner managers of unincorporated enterprises	Employed (part-time)	F	51
Central Coast	20-24	Owner managers of unincorporated enterprises	Employed (part-time)	M	88
Central Coast	20-24	Owner managers of unincorporated enterprises	Employed (part-time)	M	46
Central Coast	25-29			F	12
Central Coast	25-29			M	10
Central Coast	25-29		Employed (part-time)	F	10
Central Coast	25-29		Employed (part-time)	F	15
Central Coast	25-29		Employed (part-time)	M	18
Central Coast	25-29		Employed (part-time)	M	12
Central Coast	25-29	Contributing family workers		F	-2
Central Coast	25-29	Contributing family workers		M	9
Central Coast	25-29	Contributing family workers	Employed (part-time)	F	5
Central Coast	25-29	Contributing family workers	Employed (part-time)	F	28
Central Coast	25-29	Contributing family workers	Employed (part-time)	M	12
Central Coast	25-29	Contributing family workers	Employed (part-time)	M	4
Central Coast	25-29	Employee		F	333
Central Coast	25-29	Employee		M	170
Central Coast	25-29	Employee	Employed (part-time)	F	2477
Central Coast	25-29	Employee	Employed (part-time)	F	1695
Central Coast	25-29	Employee	Employed (part-time)	M	3020
Central Coast	25-29	Employee	Employed (part-time)	M	775
Central Coast	25-29	Owner managers of incorporated enterprises		F	-2
Central Coast	25-29	Owner managers of incorporated enterprises		M	4
Central Coast	25-29	Owner managers of incorporated enterprises	Employed (part-time)	F	32
Central Coast	25-29	Owner managers of incorporated enterprises	Employed (part-time)	F	30
Central Coast	25-29	Owner managers of incorporated enterprises	Employed (part-time)	M	147
Central Coast	25-29	Owner managers of incorporated enterprises	Employed (part-time)	M	16
Central Coast	25-29	Owner managers of unincorporated enterprises		F	7
Central Coast	25-29	Owner managers of unincorporated enterprises		M	19
Central Coast	25-29	Owner managers of unincorporated enterprises	Employed (part-time)	F	83
Central Coast	25-29	Owner managers of unincorporated enterprises	Employed (part-time)	F	118
Central Coast	25-29	Owner managers of unincorporated enterprises	Employed (part-time)	M	228
Central Coast	25-29	Owner managers of unincorporated enterprises	Employed (part-time)	M	84
Central Coast	30-34			F	12
Central Coast	30-34			M	9
Central Coast	30-34		Employed (part-time)	F	6
Central Coast	30-34		Employed (part-time)	F	15
Central Coast	30-34		Employed (part-time)	M	19
Central Coast	30-34		Employed (part-time)	M	10
Central Coast	30-34	Contributing family workers		F	3
Central Coast	30-34	Contributing family workers		M	4
