SA4_NAME16	Age	ModeTravelToWork	NumberModes	workers
Capital Region	45-54	(Other)	1	127
Capital Region	45-54	Other three methods	3	4
Capital Region	45-54	Other two methods	2	88
Capital Region	45-54	Taxi	1	17
Capital Region	45-54	Train	1	16
Capital Region	45-54	Train and car as driver	2	18
Capital Region	45-54	Tram includes light rail	1	3
Capital Region	45-54	Truck	1	295
Capital Region	45-54	Walked only	1	779
Capital Region	45-54	Worked at home		1287
Capital Region	55-64	Bicycle	1	55
Capital Region	55-64	Bus	1	36
Capital Region	55-64	Bus and car as driver	2	3
Capital Region	55-64	Bus and two other methods excludes train	3	3
Capital Region	55-64	Car as driver	1	9115
Capital Region	55-64	Car as passenger	1	376
Capital Region	55-64	Did not go to work		1601
Capital Region	55-64	Method of travel not stated		158
Capital Region	55-64	Motorbike scooter	1	81
Capital Region	55-64	(Other)	1	148
Capital Region	55-64	Other three methods	3	14
Capital Region	55-64	Other two methods	2	75
Capital Region	55-64	Taxi	1	25
Capital Region	55-64	Train	1	10
Capital Region	55-64	Train and car as driver	2	9
Capital Region	55-64	Train and car as passenger	2	3
Capital Region	55-64	Train and two other methods	3	4
Capital Region	55-64	Truck	1	242
Capital Region	55-64	Walked only	1	804
Capital Region	55-64	Worked at home		1571
Capital Region	65-74	Bicycle	1	3
Capital Region	65-74	Bus	1	14
Capital Region	65-74	Car as driver	1	1945
Capital Region	65-74	Car as passenger	1	97
Capital Region	65-74	Did not go to work		552
Capital Region	65-74	Method of travel not stated		86
Capital Region	65-74	Motorbike scooter	1	27
Capital Region	65-74	(Other)	1	81
Capital Region	65-74	Other two methods	2	13
Capital Region	65-74	Taxi	1	3
Capital Region	65-74	Train	1	4
Capital Region	65-74	Truck	1	143
Capital Region	65-74	Walked only	1	276
Capital Region	65-74	Worked at home		1159
Capital Region	75+	Bicycle	1	3
Capital Region	75+	Car as driver	1	222
Capital Region	75+	Car as passenger	1	17
Capital Region	75+	Did not go to work		72
Capital Region	75+	Ferry	1	3
Capital Region	75+	Method of travel not stated		52
Capital Region	75+	Motorbike scooter	1	7
Capital Region	75+	(Other)	1	25
Capital Region	75+	Other two methods	2	5
Capital Region	75+	Truck	1	43
Capital Region	75+	Walked only	1	65
Capital Region	75+	Worked at home		391
Central Coast	15-24	Bicycle	1	62
Central Coast	15-24	Bus	1	479
Central Coast	15-24	Bus and car as driver	2	5
Central Coast	15-24	Bus and car as passenger	2	81
Central Coast	15-24	Bus and other	2	3
Central Coast	15-24	Bus and two other methods excludes train	3	10
Central Coast	15-24	Car as driver	1	10032
Central Coast	15-24	Car as passenger	1	2450
Central Coast	15-24	Did not go to work		2988
Central Coast	15-24	Ferry	1	3
Central Coast	15-24	Method of travel not stated		234
Central Coast	15-24	Motorbike scooter	1	54
Central Coast	15-24	(Other)	1	21
Central Coast	15-24	Other three methods	3	4
Central Coast	15-24	Other two methods	2	107
Central Coast	15-24	Taxi	1	11
Central Coast	15-24	Train	1	153
Central Coast	15-24	Train and bus	2	71
Central Coast	15-24	Train and car as driver	2	35
Central Coast	15-24	Train and car as passenger	2	18
Central Coast	15-24	Train and other	2	9
Central Coast	15-24	Train and two other methods	3	33
Central Coast	15-24	Truck	1	37
Central Coast	15-24	Walked only	1	456
Central Coast	15-24	Worked at home		175
Central Coast	25-34	Bicycle	1	63
Central Coast	25-34	Bus	1	191
Central Coast	25-34	Bus and car as driver	2	9
Central Coast	25-34	Bus and car as passenger	2	24
Central Coast	25-34	Bus and two other methods excludes train	3	8
Central Coast	25-34	Car as driver	1	13917
Central Coast	25-34	Car as passenger	1	725
Central Coast	25-34	Did not go to work		2197
Central Coast	25-34	Ferry	1	4
Central Coast	25-34	Method of travel not stated		169
Central Coast	25-34	Motorbike scooter	1	104
Central Coast	25-34	(Other)	1	46
Central Coast	25-34	Other three methods	3	3
Central Coast	25-34	Other two methods	2	112
Central Coast	25-34	Taxi	1	12
Central Coast	25-34	Train	1	165
Central Coast	25-34	Train and bus	2	59
Central Coast	25-34	Train and car as driver	2	49
Central Coast	25-34	Train and car as passenger	2	9
Central Coast	25-34	Train and other	2	9
Central Coast	25-34	Train and two other methods	3	29
Central Coast	25-34	Truck	1	125
Central Coast	25-34	Walked only	1	381
Central Coast	25-34	Worked at home		728
Central Coast	35-44	Bicycle	1	74
Central Coast	35-44	Bus	1	167
Central Coast	35-44	Bus and car as driver	2	4
Central Coast	35-44	Bus and car as passenger	2	12
Central Coast	35-44	Bus and other	2	3
Central Coast	35-44	Bus and two other methods excludes train	3	3
Central Coast	35-44	Car as driver	1	15835
Central Coast	35-44	Car as passenger	1	502
Central Coast	35-44	Did not go to work		1966
Central Coast	35-44	Ferry	1	3
Central Coast	35-44	Method of travel not stated		188
Central Coast	35-44	Motorbike scooter	1	85
Central Coast	35-44	(Other)	1	71
Central Coast	35-44	Other three methods	3	6
Central Coast	35-44	Other two methods	2	100
Central Coast	35-44	Taxi	1	12
Central Coast	35-44	Train	1	140
Central Coast	35-44	Train and bus	2	42
Central Coast	35-44	Train and car as driver	2	57
Central Coast	35-44	Train and car as passenger	2	4
Central Coast	35-44	Train and other	2	8
Central Coast	35-44	Train and two other methods	3	17
Central Coast	35-44	Truck	1	200
Central Coast	35-44	Walked only	1	302
Central Coast	35-44	Worked at home		1632
Central Coast	45-54	Bicycle	1	117
Central Coast	45-54	Bus	1	196
Central Coast	45-54	Bus and car as driver	2	11
Central Coast	45-54	Bus and car as passenger	2	8
Central Coast	45-54	Car as driver	1	17960
Central Coast	45-54	Car as passenger	1	636
Central Coast	45-54	Did not go to work		2001
Central Coast	45-54	Ferry	1	3
Central Coast	45-54	Method of travel not stated		239
Central Coast	45-54	Motorbike scooter	1	113
Central Coast	45-54	(Other)	1	106
Central Coast	45-54	Other three methods	3	6
Central Coast	45-54	Other two methods	2	121
Central Coast	45-54	Taxi	1	17
Central Coast	45-54	Train	1	118
Central Coast	45-54	Train and bus	2	53
Central Coast	45-54	Train and car as driver	2	57
Central Coast	45-54	Train and car as passenger	2	12
Central Coast	45-54	Train and other	2	4
Central Coast	45-54	Train and two other methods	3	25
Central Coast	45-54	Truck	1	240
Central Coast	45-54	Walked only	1	435
Central Coast	45-54	Worked at home		1652
Central Coast	55-64	Bicycle	1	58
Central Coast	55-64	Bus	1	160
Central Coast	55-64	Bus and car as driver	2	6
Central Coast	55-64	Bus and car as passenger	2	4
Central Coast	55-64	Bus and two other methods excludes train	3	4
Central Coast	55-64	Car as driver	1	12615
Central Coast	55-64	Car as passenger	1	505
Central Coast	55-64	Did not go to work		2018
Central Coast	55-64	Method of travel not stated		160
Central Coast	55-64	Motorbike scooter	1	99
Central Coast	55-64	(Other)	1	104
Central Coast	55-64	Other two methods	2	100
Central Coast	55-64	Taxi	1	11
Central Coast	55-64	Train	1	108
Central Coast	55-64	Train and bus	2	26
Central Coast	55-64	Train and car as driver	2	39
Central Coast	55-64	Train and car as passenger	2	12
Central Coast	55-64	Train and other	2	3
Central Coast	55-64	Train and two other methods	3	18
Central Coast	55-64	Truck	1	230
Central Coast	55-64	Walked only	1	396
Central Coast	55-64	Worked at home		1389
Central Coast	65-74	Bicycle	1	3
Central Coast	65-74	Bus	1	28
Central Coast	65-74	Car as driver	1	2244
Central Coast	65-74	Car as passenger	1	112
Central Coast	65-74	Did not go to work		564
Central Coast	65-74	Method of travel not stated		84
Central Coast	65-74	Motorbike scooter	1	14
Central Coast	65-74	(Other)	1	40
Central Coast	65-74	Other two methods	2	11
Central Coast	65-74	Taxi	1	3
Central Coast	65-74	Train	1	18
Central Coast	65-74	Train and bus	2	11
Central Coast	65-74	Train and car as driver	2	11
Central Coast	65-74	Train and car as passenger	2	3
Central Coast	65-74	Train and two other methods	3	8
Central Coast	65-74	Truck	1	62
Central Coast	65-74	Walked only	1	118
Central Coast	65-74	Worked at home		674
Central Coast	75+	Car as driver	1	160
Central Coast	75+	Car as passenger	1	16
Central Coast	75+	Did not go to work		71
Central Coast	75+	Method of travel not stated		42
Central Coast	75+	Motorbike scooter	1	3
Central Coast	75+	(Other)	1	6
Central Coast	75+	Train	1	4
Central Coast	75+	Truck	1	3
Central Coast	75+	Walked only	1	24
Central Coast	75+	Worked at home		117
Central West	15-24	Bicycle	1	37
Central West	15-24	Bus	1	55
Central West	15-24	Bus and car as passenger	2	6
Central West	15-24	Bus and two other methods excludes train	3	3
Central West	15-24	Car as driver	1	7062
Central West	15-24	Car as passenger	1	1692
Central West	15-24	Did not go to work		1719
Central West	15-24	Ferry	1	4
Central West	15-24	Method of travel not stated		236
Central West	15-24	Motorbike scooter	1	53
Central West	15-24	(Other)	1	47
Central West	15-24	Other three methods	3	3
Central West	15-24	Other two methods	2	62
Central West	15-24	Taxi	1	22
Central West	15-24	Train	1	9
Central West	15-24	Train and bus	2	4
Central West	15-24	Train and car as passenger	2	6
Central West	15-24	Tram includes light rail	1	3
Central West	15-24	Truck	1	41
Central West	15-24	Walked only	1	650
Central West	15-24	Worked at home		138
Central West	25-34	Bicycle	1	53
Central West	25-34	Bus	1	58
Central West	25-34	Bus and car as driver	2	4
Central West	25-34	Bus and car as passenger	2	7
Central West	25-34	Bus and other	2	3
Central West	25-34	Bus and two other methods excludes train	3	3
Central West	25-34	Car as driver	1	11248
Central West	25-34	Car as passenger	1	812
Central West	25-34	Did not go to work		1777
Central West	25-34	Ferry	1	3
Central West	25-34	Method of travel not stated		146
Central West	25-34	Motorbike scooter	1	52
Central West	25-34	(Other)	1	65
Central West	25-34	Other three methods	3	5
Central West	25-34	Other two methods	2	111
Central West	25-34	Taxi	1	37
Central West	25-34	Train	1	19
Central West	25-34	Train and bus	2	3
Central West	25-34	Train and car as driver	2	3
Central West	25-34	Truck	1	92
Central West	25-34	Walked only	1	615
Central West	25-34	Worked at home		531
Central West	35-44	Bicycle	1	64
Central West	35-44	Bus	1	66
Central West	35-44	Bus and car as driver	2	11
Central West	35-44	Bus and car as passenger	2	4
Central West	35-44	Bus and other	2	4
Central West	35-44	Car as driver	1	12318
Central West	35-44	Car as passenger	1	612
Central West	35-44	Did not go to work		1432
Central West	35-44	Ferry	1	3
Central West	35-44	Method of travel not stated		164
Central West	35-44	Motorbike scooter	1	52
Central West	35-44	(Other)	1	79
Central West	35-44	Other three methods	3	7
Central West	35-44	Other two methods	2	83
Central West	35-44	Taxi	1	24
Central West	35-44	Train	1	13
Central West	35-44	Train and car as driver	2	5
Central West	35-44	Train and two other methods	3	4
Central West	35-44	Truck	1	154
Central West	35-44	Walked only	1	568
Central West	35-44	Worked at home		984
Central West	45-54	Bicycle	1	76
Central West	45-54	Bus	1	58
Central West	45-54	Bus and car as driver	2	12
Central West	45-54	Bus and car as passenger	2	3
Central West	45-54	Car as driver	1	13451
Central West	45-54	Car as passenger	1	669
Central West	45-54	Did not go to work		1475
Central West	45-54	Ferry	1	3
Central West	45-54	Method of travel not stated		192
Central West	45-54	Motorbike scooter	1	70
Central West	45-54	(Other)	1	101
Central West	45-54	Other three methods	3	12
Central West	45-54	Other two methods	2	82
Central West	45-54	Taxi	1	30
Central West	45-54	Train	1	12
Central West	45-54	Train and bus	2	4
Central West	45-54	Train and car as driver	2	11
Central West	45-54	Train and two other methods	3	5
Central West	45-54	Truck	1	254
Central West	45-54	Walked only	1	755
Central West	45-54	Worked at home		1241
Central West	55-64	Bicycle	1	68
Central West	55-64	Bus	1	55
Central West	55-64	Bus and car as driver	2	3
Central West	55-64	Car as driver	1	9755
Central West	55-64	Car as passenger	1	484
Central West	55-64	Did not go to work		1452
Central West	55-64	Method of travel not stated		154
Central West	55-64	Motorbike scooter	1	76
Central West	55-64	(Other)	1	112
Central West	55-64	Other three methods	3	8
Central West	55-64	Other two methods	2	63
Central West	55-64	Taxi	1	32
Central West	55-64	Train	1	5
Central West	55-64	Train and car as driver	2	4
Central West	55-64	Truck	1	270
Central West	55-64	Walked only	1	787
Central West	55-64	Worked at home		1488
Central West	65-74	Bicycle	1	13
Central West	65-74	Bus	1	11
Central West	65-74	Car as driver	1	2076
Central West	65-74	Car as passenger	1	99
Central West	65-74	Did not go to work		515
Central West	65-74	Method of travel not stated		104
Central West	65-74	Motorbike scooter	1	35
Central West	65-74	(Other)	1	85
Central West	65-74	Other three methods	3	9
Central West	65-74	Other two methods	2	32
Central West	65-74	Taxi	1	7
Central West	65-74	Train	1	3
Central West	65-74	Train and car as driver	2	4
Central West	65-74	Truck	1	125
Central West	65-74	Walked only	1	297
Central West	65-74	Worked at home		1171
Central West	75+	Bicycle	1	3
Central West	75+	Car as driver	1	291
Central West	75+	Car as passenger	1	27
Central West	75+	Did not go to work		90
Central West	75+	Method of travel not stated		73
Central West	75+	Motorbike scooter	1	9
Central West	75+	(Other)	1	20
Central West	75+	Other two methods	2	8
Central West	75+	Truck	1	48
Central West	75+	Walked only	1	98
Central West	75+	Worked at home		435
Coffs Harbour - Grafton	15-24	Bicycle	1	60
Coffs Harbour - Grafton	15-24	Bus	1	61
Coffs Harbour - Grafton	15-24	Bus and car as driver	2	3
Coffs Harbour - Grafton	15-24	Bus and car as passenger	2	16
Coffs Harbour - Grafton	15-24	Car as driver	1	3833
Coffs Harbour - Grafton	15-24	Car as passenger	1	1107
Coffs Harbour - Grafton	15-24	Did not go to work		1049
Coffs Harbour - Grafton	15-24	Method of travel not stated		128
Coffs Harbour - Grafton	15-24	Motorbike scooter	1	52
Coffs Harbour - Grafton	15-24	(Other)	1	27
Coffs Harbour - Grafton	15-24	Other three methods	3	3
Coffs Harbour - Grafton	15-24	Other two methods	2	59
Coffs Harbour - Grafton	15-24	Taxi	1	5
Coffs Harbour - Grafton	15-24	Truck	1	15
Coffs Harbour - Grafton	15-24	Walked only	1	281
Coffs Harbour - Grafton	15-24	Worked at home		50
Coffs Harbour - Grafton	25-34	Bicycle	1	66
Coffs Harbour - Grafton	25-34	Bus	1	20
Coffs Harbour - Grafton	25-34	Bus and car as driver	2	3
Coffs Harbour - Grafton	25-34	Bus and car as passenger	2	4
Coffs Harbour - Grafton	25-34	Car as driver	1	5696
Coffs Harbour - Grafton	25-34	Car as passenger	1	479
Coffs Harbour - Grafton	25-34	Did not go to work		846
Coffs Harbour - Grafton	25-34	Method of travel not stated		77
Coffs Harbour - Grafton	25-34	Motorbike scooter	1	50
Coffs Harbour - Grafton	25-34	(Other)	1	37
Coffs Harbour - Grafton	25-34	Other three methods	3	4
Coffs Harbour - Grafton	25-34	Other two methods	2	53
Coffs Harbour - Grafton	25-34	Taxi	1	11
Coffs Harbour - Grafton	25-34	Train and bus	2	3
Coffs Harbour - Grafton	25-34	Train and car as driver	2	3
Coffs Harbour - Grafton	25-34	Tram includes light rail	1	3
Coffs Harbour - Grafton	25-34	Truck	1	62
Coffs Harbour - Grafton	25-34	Walked only	1	280
Coffs Harbour - Grafton	25-34	Worked at home		241
Coffs Harbour - Grafton	35-44	Bicycle	1	90
Coffs Harbour - Grafton	35-44	Bus	1	29
Coffs Harbour - Grafton	35-44	Bus and two other methods excludes train	3	3
Coffs Harbour - Grafton	35-44	Car as driver	1	7243
Coffs Harbour - Grafton	35-44	Car as passenger	1	327
Coffs Harbour - Grafton	35-44	Did not go to work		820
Coffs Harbour - Grafton	35-44	Ferry	1	8
Coffs Harbour - Grafton	35-44	Method of travel not stated		86
Coffs Harbour - Grafton	35-44	Motorbike scooter	1	55
Coffs Harbour - Grafton	35-44	(Other)	1	46
Coffs Harbour - Grafton	35-44	Other three methods	3	7
Coffs Harbour - Grafton	35-44	Other two methods	2	45
Coffs Harbour - Grafton	35-44	Taxi	1	13
Coffs Harbour - Grafton	35-44	Train	1	4
Coffs Harbour - Grafton	35-44	Truck	1	85
Coffs Harbour - Grafton	35-44	Walked only	1	274
Coffs Harbour - Grafton	35-44	Worked at home		588
Coffs Harbour - Grafton	45-54	Bicycle	1	116
Coffs Harbour - Grafton	45-54	Bus	1	20
Coffs Harbour - Grafton	45-54	Bus and car as driver	2	4
Coffs Harbour - Grafton	45-54	Bus and car as passenger	2	3
Coffs Harbour - Grafton	45-54	Car as driver	1	8659
Coffs Harbour - Grafton	45-54	Car as passenger	1	397
Coffs Harbour - Grafton	45-54	Did not go to work		931
Coffs Harbour - Grafton	45-54	Ferry	1	3
Coffs Harbour - Grafton	45-54	Method of travel not stated		112
Coffs Harbour - Grafton	45-54	Motorbike scooter	1	90
Coffs Harbour - Grafton	45-54	(Other)	1	72
Coffs Harbour - Grafton	45-54	Other two methods	2	66
Coffs Harbour - Grafton	45-54	Taxi	1	11
Coffs Harbour - Grafton	45-54	Train	1	5
Coffs Harbour - Grafton	45-54	Train and car as driver	2	3
Coffs Harbour - Grafton	45-54	Truck	1	118
Coffs Harbour - Grafton	45-54	Walked only	1	398
Coffs Harbour - Grafton	45-54	Worked at home		725
Coffs Harbour - Grafton	55-64	Bicycle	1	97
Coffs Harbour - Grafton	55-64	Bus	1	26
Coffs Harbour - Grafton	55-64	Bus and car as passenger	2	7
Coffs Harbour - Grafton	55-64	Car as driver	1	6756
Coffs Harbour - Grafton	55-64	Car as passenger	1	348
Coffs Harbour - Grafton	55-64	Did not go to work		1137
Coffs Harbour - Grafton	55-64	Method of travel not stated		87
Coffs Harbour - Grafton	55-64	Motorbike scooter	1	65
Coffs Harbour - Grafton	55-64	(Other)	1	67
Coffs Harbour - Grafton	55-64	Other three methods	3	3
Coffs Harbour - Grafton	55-64	Other two methods	2	53
Coffs Harbour - Grafton	55-64	Taxi	1	8
Coffs Harbour - Grafton	55-64	Train	1	3
Coffs Harbour - Grafton	55-64	Train and car as driver	2	4
Coffs Harbour - Grafton	55-64	Truck	1	167
Coffs Harbour - Grafton	55-64	Walked only	1	416
Coffs Harbour - Grafton	55-64	Worked at home		858
Coffs Harbour - Grafton	65-74	Bicycle	1	12
Coffs Harbour - Grafton	65-74	Bus	1	11
Coffs Harbour - Grafton	65-74	Car as driver	1	1187
Coffs Harbour - Grafton	65-74	Car as passenger	1	62
Coffs Harbour - Grafton	65-74	Did not go to work		278
Coffs Harbour - Grafton	65-74	Method of travel not stated		46
Coffs Harbour - Grafton	65-74	Motorbike scooter	1	8
Coffs Harbour - Grafton	65-74	(Other)	1	29
Coffs Harbour - Grafton	65-74	Other two methods	2	8
Coffs Harbour - Grafton	65-74	Taxi	1	7
Coffs Harbour - Grafton	65-74	Truck	1	47
Coffs Harbour - Grafton	65-74	Walked only	1	126
Coffs Harbour - Grafton	65-74	Worked at home		434
Coffs Harbour - Grafton	75+	Car as driver	1	113
Coffs Harbour - Grafton	75+	Car as passenger	1	9
Coffs Harbour - Grafton	75+	Did not go to work		23
Coffs Harbour - Grafton	75+	Method of travel not stated		40
Coffs Harbour - Grafton	75+	(Other)	1	5
Coffs Harbour - Grafton	75+	Truck	1	15
Coffs Harbour - Grafton	75+	Walked only	1	19
Coffs Harbour - Grafton	75+	Worked at home		136
Far West and Orana	15-24	Bicycle	1	22
Far West and Orana	15-24	Bus	1	43
Far West and Orana	15-24	Bus and car as driver	2	3
Far West and Orana	15-24	Bus and car as passenger	2	3
Far West and Orana	15-24	Car as driver	1	3560
Far West and Orana	15-24	Car as passenger	1	912
Far West and Orana	15-24	Did not go to work		742
Far West and Orana	15-24	Ferry	1	3
Far West and Orana	15-24	Method of travel not stated		117
Far West and Orana	15-24	Motorbike scooter	1	62
Far West and Orana	15-24	(Other)	1	31
Far West and Orana	15-24	Other two methods	2	45
Far West and Orana	15-24	Taxi	1	16
Far West and Orana	15-24	Train	1	3
Far West and Orana	15-24	Truck	1	31
Far West and Orana	15-24	Walked only	1	368
Far West and Orana	15-24	Worked at home		109
Far West and Orana	25-34	Bicycle	1	36
Far West and Orana	25-34	Bus	1	34
Far West and Orana	25-34	Bus and car as driver	2	4
Far West and Orana	25-34	Bus and car as passenger	2	3
Far West and Orana	25-34	Car as driver	1	6511
Far West and Orana	25-34	Car as passenger	1	518
Far West and Orana	25-34	Did not go to work		1030
Far West and Orana	25-34	Ferry	1	3
Far West and Orana	25-34	Method of travel not stated		93
Far West and Orana	25-34	Motorbike scooter	1	60
Far West and Orana	25-34	(Other)	1	51
Far West and Orana	25-34	Other three methods	3	6
Far West and Orana	25-34	Other two methods	2	57
Far West and Orana	25-34	Taxi	1	10
Far West and Orana	25-34	Train	1	3
Far West and Orana	25-34	Train and car as driver	2	3
Far West and Orana	25-34	Train and two other methods	3	3
Far West and Orana	25-34	Truck	1	77
Far West and Orana	25-34	Walked only	1	477
Far West and Orana	25-34	Worked at home		324
Far West and Orana	35-44	Bicycle	1	49
Far West and Orana	35-44	Bus	1	46
Far West and Orana	35-44	Bus and car as driver	2	4
Far West and Orana	35-44	Car as driver	1	6168
Far West and Orana	35-44	Car as passenger	1	368
Far West and Orana	35-44	Did not go to work		684
Far West and Orana	35-44	Ferry	1	5
Far West and Orana	35-44	Method of travel not stated		90
Far West and Orana	35-44	Motorbike scooter	1	55
Far West and Orana	35-44	(Other)	1	67
Far West and Orana	35-44	Other three methods	3	4
Far West and Orana	35-44	Other two methods	2	42
Far West and Orana	35-44	Taxi	1	17
Far West and Orana	35-44	Train	1	3
Far West and Orana	35-44	Train and two other methods	3	7
Far West and Orana	35-44	Truck	1	89
Far West and Orana	35-44	Walked only	1	433
Far West and Orana	35-44	Worked at home		494
Far West and Orana	45-54	Bicycle	1	61
Far West and Orana	45-54	Bus	1	52
Far West and Orana	45-54	Bus and car as driver	2	3
Far West and Orana	45-54	Bus and two other methods excludes train	3	3
Far West and Orana	45-54	Car as driver	1	7003
Far West and Orana	45-54	Car as passenger	1	397
Far West and Orana	45-54	Did not go to work		704
Far West and Orana	45-54	Ferry	1	3
Far West and Orana	45-54	Method of travel not stated		114
Far West and Orana	45-54	Motorbike scooter	1	60
Far West and Orana	45-54	(Other)	1	93
Far West and Orana	45-54	Other three methods	3	13
Far West and Orana	45-54	Other two methods	2	62
Far West and Orana	45-54	Taxi	1	13
Far West and Orana	45-54	Truck	1	128
Far West and Orana	45-54	Walked only	1	612
Far West and Orana	45-54	Worked at home		744
Far West and Orana	55-64	Bicycle	1	38
Far West and Orana	55-64	Bus	1	34
Far West and Orana	55-64	Car as driver	1	5454
Far West and Orana	55-64	Car as passenger	1	298
Far West and Orana	55-64	Did not go to work		773
Far West and Orana	55-64	Method of travel not stated		117
Far West and Orana	55-64	Motorbike scooter	1	85
Far West and Orana	55-64	(Other)	1	95
Far West and Orana	55-64	Other three methods	3	3
Far West and Orana	55-64	Other two methods	2	48
Far West and Orana	55-64	Taxi	1	15
Far West and Orana	55-64	Truck	1	132
Far West and Orana	55-64	Walked only	1	594
Far West and Orana	55-64	Worked at home		893
Far West and Orana	65-74	Bicycle	1	8
Far West and Orana	65-74	Bus	1	8
Far West and Orana	65-74	Car as driver	1	1250
Far West and Orana	65-74	Car as passenger	1	63
Far West and Orana	65-74	Did not go to work		248
Far West and Orana	65-74	Method of travel not stated		59
Far West and Orana	65-74	Motorbike scooter	1	23
Far West and Orana	65-74	(Other)	1	65
Far West and Orana	65-74	Other three methods	3	15
Far West and Orana	65-74	Other two methods	2	18
Far West and Orana	65-74	Taxi	1	5
Far West and Orana	65-74	Truck	1	67
Far West and Orana	65-74	Walked only	1	215
Far West and Orana	65-74	Worked at home		549
Far West and Orana	75+	Bicycle	1	4
Far West and Orana	75+	Car as driver	1	180
Far West and Orana	75+	Car as passenger	1	12
Far West and Orana	75+	Did not go to work		49
Far West and Orana	75+	Method of travel not stated		53
Far West and Orana	75+	Motorbike scooter	1	17
Far West and Orana	75+	(Other)	1	19
Far West and Orana	75+	Other two methods	2	4
Far West and Orana	75+	Truck	1	22
Far West and Orana	75+	Walked only	1	40
Far West and Orana	75+	Worked at home		255
Hunter Valley exc Newcastle	15-24	Bicycle	1	56
Hunter Valley exc Newcastle	15-24	Bus	1	154
Hunter Valley exc Newcastle	15-24	Bus and car as driver	2	3
Hunter Valley exc Newcastle	15-24	Bus and car as passenger	2	18
Hunter Valley exc Newcastle	15-24	Bus and other	2	8
Hunter Valley exc Newcastle	15-24	Bus and two other methods excludes train	3	6
Hunter Valley exc Newcastle	15-24	Car as driver	1	9461
Hunter Valley exc Newcastle	15-24	Car as passenger	1	2201
Hunter Valley exc Newcastle	15-24	Did not go to work		2485
Hunter Valley exc Newcastle	15-24	Ferry	1	3
Hunter Valley exc Newcastle	15-24	Method of travel not stated		203
Hunter Valley exc Newcastle	15-24	Motorbike scooter	1	107
Hunter Valley exc Newcastle	15-24	(Other)	1	151
Hunter Valley exc Newcastle	15-24	Other two methods	2	119
