SA4_NAME16	Age	EmploymentStatus	workers
Central Coast	45-49	Owner managers of unincorporated enterprises	1229
Central Coast	45-49	Status in employment not stated	126
Central Coast	50-54	Contributing family workers	169
Central Coast	50-54	Employee	9401
Central Coast	50-54	Owner managers of incorporated enterprises	1091
Central Coast	50-54	Owner managers of unincorporated enterprises	1140
Central Coast	50-54	Status in employment not stated	139
Central Coast	55-59	Contributing family workers	197
Central Coast	55-59	Employee	8584
Central Coast	55-59	Owner managers of incorporated enterprises	933
Central Coast	55-59	Owner managers of unincorporated enterprises	1138
Central Coast	55-59	Status in employment not stated	116
Central Coast	60-64	Contributing family workers	164
Central Coast	60-64	Employee	5307
Central Coast	60-64	Owner managers of incorporated enterprises	692
Central Coast	60-64	Owner managers of unincorporated enterprises	857
Central Coast	60-64	Status in employment not stated	86
Central Coast	65-69	Contributing family workers	113
Central Coast	65-69	Employee	1819
Central Coast	65-69	Owner managers of incorporated enterprises	460
Central Coast	65-69	Owner managers of unincorporated enterprises	501
Central Coast	65-69	Status in employment not stated	55
Central Coast	70-74	Contributing family workers	95
Central Coast	70-74	Employee	507
Central Coast	70-74	Owner managers of incorporated enterprises	212
Central Coast	70-74	Owner managers of unincorporated enterprises	208
Central Coast	70-74	Status in employment not stated	31
Central Coast	75+	Contributing family workers	64
Central Coast	75+	Employee	161
Central Coast	75+	Owner managers of incorporated enterprises	83
Central Coast	75+	Owner managers of unincorporated enterprises	107
Central Coast	75+	Status in employment not stated	37
Central West	15-19	Contributing family workers	77
Central West	15-19	Employee	4655
Central West	15-19	Owner managers of incorporated enterprises	9
Central West	15-19	Owner managers of unincorporated enterprises	35
Central West	15-19	Status in employment not stated	84
Central West	20-24	Contributing family workers	45
Central West	20-24	Employee	6637
Central West	20-24	Owner managers of incorporated enterprises	49
Central West	20-24	Owner managers of unincorporated enterprises	170
Central West	20-24	Status in employment not stated	94
Central West	25-29	Contributing family workers	76
Central West	25-29	Employee	6951
Central West	25-29	Owner managers of incorporated enterprises	176
Central West	25-29	Owner managers of unincorporated enterprises	366
Central West	25-29	Status in employment not stated	74
Central West	30-34	Contributing family workers	141
Central West	30-34	Employee	6859
Central West	30-34	Owner managers of incorporated enterprises	368
Central West	30-34	Owner managers of unincorporated enterprises	560
Central West	30-34	Status in employment not stated	90
Central West	35-39	Contributing family workers	143
Central West	35-39	Employee	6359
Central West	35-39	Owner managers of incorporated enterprises	452
Central West	35-39	Owner managers of unincorporated enterprises	759
Central West	35-39	Status in employment not stated	89
Central West	40-44	Contributing family workers	191
Central West	40-44	Employee	7091
Central West	40-44	Owner managers of incorporated enterprises	592
Central West	40-44	Owner managers of unincorporated enterprises	863
Central West	40-44	Status in employment not stated	113
Central West	45-49	Contributing family workers	203
Central West	45-49	Employee	7328
Central West	45-49	Owner managers of incorporated enterprises	685
Central West	45-49	Owner managers of unincorporated enterprises	936
Central West	45-49	Status in employment not stated	118
Central West	50-54	Contributing family workers	285
Central West	50-54	Employee	7144
Central West	50-54	Owner managers of incorporated enterprises	670
Central West	50-54	Owner managers of unincorporated enterprises	1023
Central West	50-54	Status in employment not stated	125
Central West	55-59	Contributing family workers	311
Central West	55-59	Employee	6584
Central West	55-59	Owner managers of incorporated enterprises	568
Central West	55-59	Owner managers of unincorporated enterprises	1144
Central West	55-59	Status in employment not stated	125
Central West	60-64	Contributing family workers	411
Central West	60-64	Employee	4046
Central West	60-64	Owner managers of incorporated enterprises	490
Central West	60-64	Owner managers of unincorporated enterprises	1039
Central West	60-64	Status in employment not stated	99
Central West	65-69	Contributing family workers	440
Central West	65-69	Employee	1512
Central West	65-69	Owner managers of incorporated enterprises	328
Central West	65-69	Owner managers of unincorporated enterprises	739
Central West	65-69	Status in employment not stated	72
Central West	70-74	Contributing family workers	335
Central West	70-74	Employee	488
Central West	70-74	Owner managers of incorporated enterprises	161
Central West	70-74	Owner managers of unincorporated enterprises	455
Central West	70-74	Status in employment not stated	62
Central West	75+	Contributing family workers	356
Central West	75+	Employee	195
Central West	75+	Owner managers of incorporated enterprises	84
Central West	75+	Owner managers of unincorporated enterprises	379
Central West	75+	Status in employment not stated	82
Coffs Harbour - Grafton	15-19	Contributing family workers	32
Coffs Harbour - Grafton	15-19	Employee	3018
Coffs Harbour - Grafton	15-19	Owner managers of incorporated enterprises	4
Coffs Harbour - Grafton	15-19	Owner managers of unincorporated enterprises	15
Coffs Harbour - Grafton	15-19	Status in employment not stated	47
Coffs Harbour - Grafton	20-24	Contributing family workers	28
Coffs Harbour - Grafton	20-24	Employee	3443
Coffs Harbour - Grafton	20-24	Owner managers of incorporated enterprises	19
Coffs Harbour - Grafton	20-24	Owner managers of unincorporated enterprises	92
Coffs Harbour - Grafton	20-24	Status in employment not stated	56
Coffs Harbour - Grafton	25-29	Contributing family workers	44
Coffs Harbour - Grafton	25-29	Employee	3492
Coffs Harbour - Grafton	25-29	Owner managers of incorporated enterprises	68
Coffs Harbour - Grafton	25-29	Owner managers of unincorporated enterprises	211
Coffs Harbour - Grafton	25-29	Status in employment not stated	49
Coffs Harbour - Grafton	30-34	Contributing family workers	55
Coffs Harbour - Grafton	30-34	Employee	3515
Coffs Harbour - Grafton	30-34	Owner managers of incorporated enterprises	150
Coffs Harbour - Grafton	30-34	Owner managers of unincorporated enterprises	334
Coffs Harbour - Grafton	30-34	Status in employment not stated	30
Coffs Harbour - Grafton	35-39	Contributing family workers	86
Coffs Harbour - Grafton	35-39	Employee	3519
Coffs Harbour - Grafton	35-39	Owner managers of incorporated enterprises	231
Coffs Harbour - Grafton	35-39	Owner managers of unincorporated enterprises	439
Coffs Harbour - Grafton	35-39	Status in employment not stated	46
Coffs Harbour - Grafton	40-44	Contributing family workers	102
Coffs Harbour - Grafton	40-44	Employee	4214
Coffs Harbour - Grafton	40-44	Owner managers of incorporated enterprises	388
Coffs Harbour - Grafton	40-44	Owner managers of unincorporated enterprises	611
Coffs Harbour - Grafton	40-44	Status in employment not stated	68
Coffs Harbour - Grafton	45-49	Contributing family workers	122
Coffs Harbour - Grafton	45-49	Employee	4460
Coffs Harbour - Grafton	45-49	Owner managers of incorporated enterprises	434
Coffs Harbour - Grafton	45-49	Owner managers of unincorporated enterprises	673
Coffs Harbour - Grafton	45-49	Status in employment not stated	72
Coffs Harbour - Grafton	50-54	Contributing family workers	134
Coffs Harbour - Grafton	50-54	Employee	4590
Coffs Harbour - Grafton	50-54	Owner managers of incorporated enterprises	470
Coffs Harbour - Grafton	50-54	Owner managers of unincorporated enterprises	683
Coffs Harbour - Grafton	50-54	Status in employment not stated	88
Coffs Harbour - Grafton	55-59	Contributing family workers	178
Coffs Harbour - Grafton	55-59	Employee	4537
Coffs Harbour - Grafton	55-59	Owner managers of incorporated enterprises	398
Coffs Harbour - Grafton	55-59	Owner managers of unincorporated enterprises	752
Coffs Harbour - Grafton	55-59	Status in employment not stated	68
Coffs Harbour - Grafton	60-64	Contributing family workers	180
Coffs Harbour - Grafton	60-64	Employee	2898
Coffs Harbour - Grafton	60-64	Owner managers of incorporated enterprises	350
Coffs Harbour - Grafton	60-64	Owner managers of unincorporated enterprises	663
Coffs Harbour - Grafton	60-64	Status in employment not stated	71
Coffs Harbour - Grafton	65-69	Contributing family workers	148
Coffs Harbour - Grafton	65-69	Employee	920
Coffs Harbour - Grafton	65-69	Owner managers of incorporated enterprises	171
Coffs Harbour - Grafton	65-69	Owner managers of unincorporated enterprises	399
Coffs Harbour - Grafton	65-69	Status in employment not stated	30
Coffs Harbour - Grafton	70-74	Contributing family workers	78
Coffs Harbour - Grafton	70-74	Employee	247
Coffs Harbour - Grafton	70-74	Owner managers of incorporated enterprises	66
Coffs Harbour - Grafton	70-74	Owner managers of unincorporated enterprises	159
Coffs Harbour - Grafton	70-74	Status in employment not stated	19
Coffs Harbour - Grafton	75+	Contributing family workers	80
Coffs Harbour - Grafton	75+	Employee	95
Coffs Harbour - Grafton	75+	Owner managers of incorporated enterprises	38
Coffs Harbour - Grafton	75+	Owner managers of unincorporated enterprises	106
Coffs Harbour - Grafton	75+	Status in employment not stated	42
Far West and Orana	15-19	Contributing family workers	43
Far West and Orana	15-19	Employee	2226
Far West and Orana	15-19	Owner managers of incorporated enterprises	6
Far West and Orana	15-19	Owner managers of unincorporated enterprises	12
Far West and Orana	15-19	Status in employment not stated	35
Far West and Orana	20-24	Contributing family workers	39
Far West and Orana	20-24	Employee	3513
Far West and Orana	20-24	Owner managers of incorporated enterprises	30
Far West and Orana	20-24	Owner managers of unincorporated enterprises	108
Far West and Orana	20-24	Status in employment not stated	53
Far West and Orana	25-29	Contributing family workers	46
Far West and Orana	25-29	Employee	4330
Far West and Orana	25-29	Owner managers of incorporated enterprises	83
Far West and Orana	25-29	Owner managers of unincorporated enterprises	236
Far West and Orana	25-29	Status in employment not stated	56
Far West and Orana	30-34	Contributing family workers	87
Far West and Orana	30-34	Employee	3891
Far West and Orana	30-34	Owner managers of incorporated enterprises	162
Far West and Orana	30-34	Owner managers of unincorporated enterprises	360
Far West and Orana	30-34	Status in employment not stated	50
Far West and Orana	35-39	Contributing family workers	98
Far West and Orana	35-39	Employee	3389
Far West and Orana	35-39	Owner managers of incorporated enterprises	208
Far West and Orana	35-39	Owner managers of unincorporated enterprises	380
Far West and Orana	35-39	Status in employment not stated	67
Far West and Orana	40-44	Contributing family workers	134
Far West and Orana	40-44	Employee	3525
Far West and Orana	40-44	Owner managers of incorporated enterprises	315
Far West and Orana	40-44	Owner managers of unincorporated enterprises	447
Far West and Orana	40-44	Status in employment not stated	61
Far West and Orana	45-49	Contributing family workers	190
Far West and Orana	45-49	Employee	3794
Far West and Orana	45-49	Owner managers of incorporated enterprises	347
Far West and Orana	45-49	Owner managers of unincorporated enterprises	499
Far West and Orana	45-49	Status in employment not stated	70
Far West and Orana	50-54	Contributing family workers	220
Far West and Orana	50-54	Employee	3877
Far West and Orana	50-54	Owner managers of incorporated enterprises	385
Far West and Orana	50-54	Owner managers of unincorporated enterprises	606
Far West and Orana	50-54	Status in employment not stated	86
Far West and Orana	55-59	Contributing family workers	274
Far West and Orana	55-59	Employee	3681
Far West and Orana	55-59	Owner managers of incorporated enterprises	328
Far West and Orana	55-59	Owner managers of unincorporated enterprises	658
Far West and Orana	55-59	Status in employment not stated	87
Far West and Orana	60-64	Contributing family workers	251
Far West and Orana	60-64	Employee	2357
Far West and Orana	60-64	Owner managers of incorporated enterprises	246
Far West and Orana	60-64	Owner managers of unincorporated enterprises	613
Far West and Orana	60-64	Status in employment not stated	72
Far West and Orana	65-69	Contributing family workers	230
Far West and Orana	65-69	Employee	917
Far West and Orana	65-69	Owner managers of incorporated enterprises	156
Far West and Orana	65-69	Owner managers of unincorporated enterprises	423
Far West and Orana	65-69	Status in employment not stated	67
Far West and Orana	70-74	Contributing family workers	189
Far West and Orana	70-74	Employee	267
Far West and Orana	70-74	Owner managers of incorporated enterprises	75
Far West and Orana	70-74	Owner managers of unincorporated enterprises	224
Far West and Orana	70-74	Status in employment not stated	35
Far West and Orana	75+	Contributing family workers	218
Far West and Orana	75+	Employee	129
Far West and Orana	75+	Owner managers of incorporated enterprises	55
Far West and Orana	75+	Owner managers of unincorporated enterprises	214
Far West and Orana	75+	Status in employment not stated	47
Hunter Valley exc Newcastle	15-19	Contributing family workers	36
Hunter Valley exc Newcastle	15-19	Employee	6467
Hunter Valley exc Newcastle	15-19	Owner managers of incorporated enterprises	15
Hunter Valley exc Newcastle	15-19	Owner managers of unincorporated enterprises	33
Hunter Valley exc Newcastle	15-19	Status in employment not stated	82
Hunter Valley exc Newcastle	20-24	Contributing family workers	39
Hunter Valley exc Newcastle	20-24	Employee	8835
Hunter Valley exc Newcastle	20-24	Owner managers of incorporated enterprises	45
Hunter Valley exc Newcastle	20-24	Owner managers of unincorporated enterprises	176
Hunter Valley exc Newcastle	20-24	Status in employment not stated	95
Hunter Valley exc Newcastle	25-29	Contributing family workers	69
Hunter Valley exc Newcastle	25-29	Employee	9684
Hunter Valley exc Newcastle	25-29	Owner managers of incorporated enterprises	183
Hunter Valley exc Newcastle	25-29	Owner managers of unincorporated enterprises	340
Hunter Valley exc Newcastle	25-29	Status in employment not stated	57
Hunter Valley exc Newcastle	30-34	Contributing family workers	89
Hunter Valley exc Newcastle	30-34	Employee	9603
Hunter Valley exc Newcastle	30-34	Owner managers of incorporated enterprises	395
Hunter Valley exc Newcastle	30-34	Owner managers of unincorporated enterprises	524
Hunter Valley exc Newcastle	30-34	Status in employment not stated	72
Hunter Valley exc Newcastle	35-39	Contributing family workers	110
Hunter Valley exc Newcastle	35-39	Employee	8996
Hunter Valley exc Newcastle	35-39	Owner managers of incorporated enterprises	499
Hunter Valley exc Newcastle	35-39	Owner managers of unincorporated enterprises	548
Hunter Valley exc Newcastle	35-39	Status in employment not stated	90
Hunter Valley exc Newcastle	40-44	Contributing family workers	142
Hunter Valley exc Newcastle	40-44	Employee	9607
Hunter Valley exc Newcastle	40-44	Owner managers of incorporated enterprises	735
Hunter Valley exc Newcastle	40-44	Owner managers of unincorporated enterprises	732
Hunter Valley exc Newcastle	40-44	Status in employment not stated	108
Hunter Valley exc Newcastle	45-49	Contributing family workers	158
Hunter Valley exc Newcastle	45-49	Employee	9506
Hunter Valley exc Newcastle	45-49	Owner managers of incorporated enterprises	776
Hunter Valley exc Newcastle	45-49	Owner managers of unincorporated enterprises	754
Hunter Valley exc Newcastle	45-49	Status in employment not stated	99
Hunter Valley exc Newcastle	50-54	Contributing family workers	188
Hunter Valley exc Newcastle	50-54	Employee	8936
Hunter Valley exc Newcastle	50-54	Owner managers of incorporated enterprises	738
Hunter Valley exc Newcastle	50-54	Owner managers of unincorporated enterprises	813
Hunter Valley exc Newcastle	50-54	Status in employment not stated	121
Hunter Valley exc Newcastle	55-59	Contributing family workers	214
Hunter Valley exc Newcastle	55-59	Employee	7668
Hunter Valley exc Newcastle	55-59	Owner managers of incorporated enterprises	695
Hunter Valley exc Newcastle	55-59	Owner managers of unincorporated enterprises	860
Hunter Valley exc Newcastle	55-59	Status in employment not stated	98
Hunter Valley exc Newcastle	60-64	Contributing family workers	217
Hunter Valley exc Newcastle	60-64	Employee	4316
Hunter Valley exc Newcastle	60-64	Owner managers of incorporated enterprises	585
Hunter Valley exc Newcastle	60-64	Owner managers of unincorporated enterprises	727
Hunter Valley exc Newcastle	60-64	Status in employment not stated	81
Hunter Valley exc Newcastle	65-69	Contributing family workers	227
Hunter Valley exc Newcastle	65-69	Employee	1446
Hunter Valley exc Newcastle	65-69	Owner managers of incorporated enterprises	368
Hunter Valley exc Newcastle	65-69	Owner managers of unincorporated enterprises	448
Hunter Valley exc Newcastle	65-69	Status in employment not stated	54
Hunter Valley exc Newcastle	70-74	Contributing family workers	170
Hunter Valley exc Newcastle	70-74	Employee	368
Hunter Valley exc Newcastle	70-74	Owner managers of incorporated enterprises	158
Hunter Valley exc Newcastle	70-74	Owner managers of unincorporated enterprises	244
Hunter Valley exc Newcastle	70-74	Status in employment not stated	25
Hunter Valley exc Newcastle	75+	Contributing family workers	170
Hunter Valley exc Newcastle	75+	Employee	174
Hunter Valley exc Newcastle	75+	Owner managers of incorporated enterprises	81
Hunter Valley exc Newcastle	75+	Owner managers of unincorporated enterprises	159
Hunter Valley exc Newcastle	75+	Status in employment not stated	48
Illawarra	15-19	Contributing family workers	45
Illawarra	15-19	Employee	6508
Illawarra	15-19	Owner managers of incorporated enterprises	24
Illawarra	15-19	Owner managers of unincorporated enterprises	31
Illawarra	15-19	Status in employment not stated	88
Illawarra	20-24	Contributing family workers	37
Illawarra	20-24	Employee	10484
Illawarra	20-24	Owner managers of incorporated enterprises	71
Illawarra	20-24	Owner managers of unincorporated enterprises	238
Illawarra	20-24	Status in employment not stated	96
Illawarra	25-29	Contributing family workers	50
Illawarra	25-29	Employee	8989
Illawarra	25-29	Owner managers of incorporated enterprises	242
Illawarra	25-29	Owner managers of unincorporated enterprises	425
Illawarra	25-29	Status in employment not stated	81
Illawarra	30-34	Contributing family workers	67
Illawarra	30-34	Employee	8842
Illawarra	30-34	Owner managers of incorporated enterprises	503
Illawarra	30-34	Owner managers of unincorporated enterprises	680
Illawarra	30-34	Status in employment not stated	74
Illawarra	35-39	Contributing family workers	101
Illawarra	35-39	Employee	8506
Illawarra	35-39	Owner managers of incorporated enterprises	714
Illawarra	35-39	Owner managers of unincorporated enterprises	838
Illawarra	35-39	Status in employment not stated	75
Illawarra	40-44	Contributing family workers	116
Illawarra	40-44	Employee	9548
Illawarra	40-44	Owner managers of incorporated enterprises	851
Illawarra	40-44	Owner managers of unincorporated enterprises	1036
Illawarra	40-44	Status in employment not stated	77
Illawarra	45-49	Contributing family workers	125
Illawarra	45-49	Employee	9511
Illawarra	45-49	Owner managers of incorporated enterprises	887
Illawarra	45-49	Owner managers of unincorporated enterprises	887
Illawarra	45-49	Status in employment not stated	97
Illawarra	50-54	Contributing family workers	141
Illawarra	50-54	Employee	9581
Illawarra	50-54	Owner managers of incorporated enterprises	858
Illawarra	50-54	Owner managers of unincorporated enterprises	948
Illawarra	50-54	Status in employment not stated	119
Illawarra	55-59	Contributing family workers	121
Illawarra	55-59	Employee	8428
Illawarra	55-59	Owner managers of incorporated enterprises	677
Illawarra	55-59	Owner managers of unincorporated enterprises	775
Illawarra	55-59	Status in employment not stated	83
Illawarra	60-64	Contributing family workers	125
Illawarra	60-64	Employee	4627
Illawarra	60-64	Owner managers of incorporated enterprises	538
Illawarra	60-64	Owner managers of unincorporated enterprises	612
Illawarra	60-64	Status in employment not stated	74
Illawarra	65-69	Contributing family workers	92
Illawarra	65-69	Employee	1476
Illawarra	65-69	Owner managers of incorporated enterprises	308
Illawarra	65-69	Owner managers of unincorporated enterprises	347
Illawarra	65-69	Status in employment not stated	48
Illawarra	70-74	Contributing family workers	64
Illawarra	70-74	Employee	379
Illawarra	70-74	Owner managers of incorporated enterprises	130
Illawarra	70-74	Owner managers of unincorporated enterprises	131
Illawarra	70-74	Status in employment not stated	30
Illawarra	75+	Contributing family workers	58
Illawarra	75+	Employee	152
Illawarra	75+	Owner managers of incorporated enterprises	61
Illawarra	75+	Owner managers of unincorporated enterprises	69
Illawarra	75+	Status in employment not stated	37
Mid North Coast	15-19	Contributing family workers	35
Mid North Coast	15-19	Employee	4195
Mid North Coast	15-19	Owner managers of incorporated enterprises	3
Mid North Coast	15-19	Owner managers of unincorporated enterprises	28
Mid North Coast	15-19	Status in employment not stated	105
Mid North Coast	20-24	Contributing family workers	28
Mid North Coast	20-24	Employee	4523
Mid North Coast	20-24	Owner managers of incorporated enterprises	24
Mid North Coast	20-24	Owner managers of unincorporated enterprises	111
Mid North Coast	20-24	Status in employment not stated	65
Mid North Coast	25-29	Contributing family workers	59
Mid North Coast	25-29	Employee	4638
Mid North Coast	25-29	Owner managers of incorporated enterprises	88
Mid North Coast	25-29	Owner managers of unincorporated enterprises	272
Mid North Coast	25-29	Status in employment not stated	66
Mid North Coast	30-34	Contributing family workers	82
Mid North Coast	30-34	Employee	4549
Mid North Coast	30-34	Owner managers of incorporated enterprises	224
Mid North Coast	30-34	Owner managers of unincorporated enterprises	439
Mid North Coast	30-34	Status in employment not stated	63
Mid North Coast	35-39	Contributing family workers	89
Mid North Coast	35-39	Employee	4745
Mid North Coast	35-39	Owner managers of incorporated enterprises	335
Mid North Coast	35-39	Owner managers of unincorporated enterprises	589
Mid North Coast	35-39	Status in employment not stated	82
Mid North Coast	40-44	Contributing family workers	141
Mid North Coast	40-44	Employee	5756
Mid North Coast	40-44	Owner managers of incorporated enterprises	511
Mid North Coast	40-44	Owner managers of unincorporated enterprises	863
Mid North Coast	40-44	Status in employment not stated	97
Mid North Coast	45-49	Contributing family workers	163
Mid North Coast	45-49	Employee	6335
Mid North Coast	45-49	Owner managers of incorporated enterprises	566
Mid North Coast	45-49	Owner managers of unincorporated enterprises	946
Mid North Coast	45-49	Status in employment not stated	108
Mid North Coast	50-54	Contributing family workers	198
Mid North Coast	50-54	Employee	6654
Mid North Coast	50-54	Owner managers of incorporated enterprises	633
Mid North Coast	50-54	Owner managers of unincorporated enterprises	1039
Mid North Coast	50-54	Status in employment not stated	127
Mid North Coast	55-59	Contributing family workers	221
Mid North Coast	55-59	Employee	6459
Mid North Coast	55-59	Owner managers of incorporated enterprises	617
Mid North Coast	55-59	Owner managers of unincorporated enterprises	1176
Mid North Coast	55-59	Status in employment not stated	130
Mid North Coast	60-64	Contributing family workers	284
Mid North Coast	60-64	Employee	3998
Mid North Coast	60-64	Owner managers of incorporated enterprises	507
Mid North Coast	60-64	Owner managers of unincorporated enterprises	980
Mid North Coast	60-64	Status in employment not stated	111
Mid North Coast	65-69	Contributing family workers	267
Mid North Coast	65-69	Employee	1424
Mid North Coast	65-69	Owner managers of incorporated enterprises	315
Mid North Coast	65-69	Owner managers of unincorporated enterprises	570
Mid North Coast	65-69	Status in employment not stated	59
Mid North Coast	70-74	Contributing family workers	172
Mid North Coast	70-74	Employee	374
Mid North Coast	70-74	Owner managers of incorporated enterprises	138
Mid North Coast	70-74	Owner managers of unincorporated enterprises	313
Mid North Coast	70-74	Status in employment not stated	42
Mid North Coast	75+	Contributing family workers	175
Mid North Coast	75+	Employee	146
Mid North Coast	75+	Owner managers of incorporated enterprises	70
Mid North Coast	75+	Owner managers of unincorporated enterprises	177
Mid North Coast	75+	Status in employment not stated	56
Murray	15-19	Contributing family workers	54
Murray	15-19	Employee	2890
Murray	15-19	Owner managers of incorporated enterprises	9
Murray	15-19	Owner managers of unincorporated enterprises	22
Murray	15-19	Status in employment not stated	43
Murray	20-24	Contributing family workers	39
Murray	20-24	Employee	4003
Murray	20-24	Owner managers of incorporated enterprises	33
Murray	20-24	Owner managers of unincorporated enterprises	86
Murray	20-24	Status in employment not stated	44
Murray	25-29	Contributing family workers	36
Murray	25-29	Employee	3927
Murray	25-29	Owner managers of incorporated enterprises	115
Murray	25-29	Owner managers of unincorporated enterprises	215
Murray	25-29	Status in employment not stated	37
Murray	30-34	Contributing family workers	80
Murray	30-34	Employee	3846
Murray	30-34	Owner managers of incorporated enterprises	222
Murray	30-34	Owner managers of unincorporated enterprises	311
Murray	30-34	Status in employment not stated	45
Murray	35-39	Contributing family workers	123
Murray	35-39	Employee	3502
Murray	35-39	Owner managers of incorporated enterprises	316
Murray	35-39	Owner managers of unincorporated enterprises	368
Murray	35-39	Status in employment not stated	52
Murray	40-44	Contributing family workers	129
Murray	40-44	Employee	3890
Murray	40-44	Owner managers of incorporated enterprises	404
Murray	40-44	Owner managers of unincorporated enterprises	501
Murray	40-44	Status in employment not stated	52
Murray	45-49	Contributing family workers	162
Murray	45-49	Employee	4099
Murray	45-49	Owner managers of incorporated enterprises	521
Murray	45-49	Owner managers of unincorporated enterprises	551
Murray	45-49	Status in employment not stated	77
Murray	50-54	Contributing family workers	172
Murray	50-54	Employee	4272
Murray	50-54	Owner managers of incorporated enterprises	552
Murray	50-54	Owner managers of unincorporated enterprises	575
Murray	50-54	Status in employment not stated	54
Murray	55-59	Contributing family workers	225
Murray	55-59	Employee	4075
Murray	55-59	Owner managers of incorporated enterprises	525
Murray	55-59	Owner managers of unincorporated enterprises	617
Murray	55-59	Status in employment not stated	84
Murray	60-64	Contributing family workers	244
Murray	60-64	Employee	2749
Murray	60-64	Owner managers of incorporated enterprises	377
